Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"I think when this race is going, the Set India and Coco melon taking training from bolt.... 🤣🤣🤣🤣",0.9153,Positive,0.0,Neutral,0.2581073641777038,Neutral
Hes first video was he playing COD blackops 1,0.2023,Positive,0.0416666666666666,Neutral,0.242413729429245,Neutral
"The competition for the first place is okay, being racist is not.",-0.4767,Negative,0.375,Positive,0.7414958477020264,Positive
Carry is comming,0.0,Neutral,0.0,Neutral,0.3420393466949463,Positive
"'This book loves you' Does this title tell anything about the book!!!
   Nowadays titles are given with a business perspective...wtf!!! 
    At least spare the books.",0.7067,Positive,-0.3,Negative,-0.5015584826469421,Negative
Tseries the king,0.0,Neutral,0.0,Neutral,0.3604525625705719,Positive
I like dream,0.5423,Positive,0.0,Neutral,0.4839744865894317,Positive
"I am a Indian and I like t-series because america, Russian, Japanese, chinese and India love only music only music!!!!!!!!!!",0.8346,Positive,0.0833333333333333,Neutral,-0.5449976921081543,Negative
T series wins,0.5719,Positive,0.3,Neutral,0.2504005134105682,Neutral
pewdiepie är bäst och t series suger för att jag hatar india,-0.25,Negative,-0.0333333333333333,Negative,0.4833252131938934,Positive
The dislikes are t series,-0.4019,Negative,0.0,Neutral,-0.2870087027549743,Negative
"T-series vs pewdiepie 
Will nvr end till pewdiepie dies or the Tre word county ends!!",0.0,Neutral,0.0,Neutral,-0.2699932754039764,Negative
"T-series won in 2020 and has 87M more subs than him.
Jai bharat, jai t-series..",0.5719,Positive,0.5,Positive,0.2848155200481415,Neutral
"If PewDiePie liked Jews and was against Palestine, then I would be all for PewDiePie and T series would be my enemy, but right now even though I'm still leaned more towards PewDiePie's side, I'm not necessarily picking a side like MrBeast did.",0.4404,Positive,0.3464285714285714,Positive,0.4559570252895355,Positive
No problem who has many subscriber the important is the size of heart and kindness,0.8822,Positive,0.45,Positive,0.3679760694503784,Positive
Pewdiepie go please,0.3182,Positive,0.0,Neutral,0.2467433661222458,Neutral
T-Series also cheated.,-0.5106,Negative,0.0,Neutral,-0.414409339427948,Negative
i am waiting for the time when T SERIES will make 220 mil subs (now 184) double of pewdiepie 110 mil subs...then it will be a solid message against pewds who used racist words against india.....everyone subscribe t series.............,-0.5267,Negative,0.0,Neutral,-0.2986163198947906,Negative
T-Series for the win!!,0.658,Positive,1.0,Positive,0.5264712572097778,Positive
T Series Wins 🏆,0.5719,Positive,0.3,Neutral,0.398928701877594,Positive
T series,0.0,Neutral,0.0,Neutral,0.3475408554077148,Positive
PewDiePie is the real illiterate 😂🙄,0.4404,Positive,0.2,Neutral,-0.4884946644306183,Negative
Pewdiepie is the BEST!,0.7371,Positive,1.0,Positive,0.8302279114723206,Positive
T - series,0.0,Neutral,0.0,Neutral,0.3222361803054809,Neutral
And Not every Indian is Black nor Brown. This is so disgusting when people think India as Brown persons and Black persons. This is not right.😟,-0.539,Negative,-0.4444444444444445,Negative,-0.8900699019432068,Negative
Hard to believe this whole mess was 2 nearly 3 years ago,-0.4404,Negative,-0.0416666666666666,Negative,-0.360675185918808,Negative
Even Gulshan Kumar have to work alot to make T-Series  T-Series,0.0,Neutral,0.0,Neutral,0.3133508563041687,Neutral
He is no. One thing in only one thing :rasicm,-0.6249,Negative,0.0,Neutral,-0.674345850944519,Negative
Pewdiepie 😂😂⚰,0.7003,Positive,0.0,Neutral,0.2514072358608246,Neutral
"ELECTION OF YOUTUBE 2021
All best 👍",0.6369,Positive,1.0,Positive,0.8916630148887634,Positive
how does this have more dislikes,-0.4576,Negative,0.5,Positive,0.3085017800331116,Neutral
"T series- 181 Million subs
Pewdipie- 62 Million subs",0.0,Neutral,0.0,Neutral,-0.269284576177597,Negative
Now t series has 181 m subs lol,0.4215,Positive,0.8,Positive,0.2792257070541382,Neutral
Came here for the nostalgia of the fight lol ;-;,0.0516,Positive,0.8,Positive,0.514552116394043,Positive
"😂 why is this disliked so much? 
You guys can't accept facts?",-0.4155,Negative,0.0,Neutral,-0.5658292174339294,Negative
T-SERIES 🇮🇳,0.0,Neutral,0.0,Neutral,0.3746887445449829,Positive
T series 180M,0.0,Neutral,0.0,Neutral,0.3623791635036468,Positive
"number of dislikes > number of likes ?
ok.",0.1779,Positive,0.5,Positive,0.497095376253128,Positive
I hate tseries,-0.5719,Negative,-0.8,Negative,-0.525233805179596,Negative
It’s 2021 and Cocomelon has passed Pewdiepie,0.0,Neutral,0.0,Neutral,-0.4035487473011017,Negative
T-Series 180M+😁,0.4588,Positive,0.0,Neutral,0.4271789491176605,Positive
"Pewdiepie will be overtaken
Big channels: ahem",0.0,Neutral,0.0,Neutral,-0.2503682374954223,Negative
now at 2021 t series in about 170 million Roughly 26% of all india's internet users i mean 650 millon,0.0,Neutral,-0.20625,Negative,-0.5869433879852295,Negative
But i dont like both,-0.395,Negative,0.0,Neutral,0.5057572722434998,Positive
No it 2021 t series is winning,0.296,Positive,0.5,Positive,-0.5246456861495972,Negative
PewDiePie VS T-Series. What are we gonna have next? DanTDM VS Ninja?,0.0,Neutral,0.0,Neutral,-0.2295945584774017,Negative
Generation C?,0.0,Neutral,0.0,Neutral,-0.256037563085556,Negative
Racist of you to make Indians so dark,-0.6124,Negative,-0.15,Negative,-0.5693130493164062,Negative
HATERS JUST SUB TO PEWDIEPIE,-0.4939,Negative,0.0,Neutral,-0.6182205677032471,Negative
You should also do research on t-series success 👍,0.5719,Positive,0.3,Neutral,0.3467630743980407,Positive
"However I'm from 2021 and now T-Series:174million subs
PewDiePie:109 million subscribers",0.0,Neutral,0.0,Neutral,-0.3539609313011169,Negative
Sub to pewtepie,0.0,Neutral,0.0,Neutral,0.2785516679286957,Neutral
"Funfact: subscriber of T-series is only indian
But pewdiepie.",0.0,Neutral,0.0,Neutral,-0.410430908203125,Negative
Meanwhile T-Series Doesn't care what is going on in Utube😂,0.0701,Positive,0.0,Neutral,-0.3725497722625732,Negative
pewdipie will never lose,0.3089,Positive,0.0,Neutral,0.3912363946437835,Positive
Go Sweden,0.0,Neutral,0.0,Neutral,0.2541147172451019,Neutral
sooner or later davie504 will rise above them,0.0,Neutral,0.0,Neutral,0.3166265189647674,Neutral
"Pewd fans- “why are indians getting offended by the disstracks? They were just jokes”

Also pewd fans- “why is this channel telling facts? This is inappropriate and offensive”",-0.3313,Negative,0.0,Neutral,-0.804133951663971,Negative
Lol t series auto sub,0.4215,Positive,0.8,Positive,0.3942160904407501,Positive
With the fact that t series makes 20 videos and thousands of people work for them and pewdiepie is just one dude that uploads once per day,0.0,Neutral,0.0,Neutral,0.3235839307308197,Neutral
108k dislikes !!! Wow 😯,0.4545,Positive,0.1,Neutral,-0.5971711874008179,Negative
People who said Indian to admit fact can't digest Fact themselves,0.2023,Positive,0.0,Neutral,-0.4995206296443939,Negative
6:51 why this video got to much dislikes this........ this swear finger...........,-0.4404,Negative,0.2,Neutral,-0.6653708815574646,Negative
T series uses sub bots to beat pewdiepie so T series cheated,-0.552,Negative,0.0,Neutral,-0.4819182455539703,Negative
"I don't get it, why does this video has many dislikes",-0.4019,Negative,0.5,Positive,-0.5094442367553711,Negative
T-Series! Say No To PewDiePie!,-0.4184,Negative,0.0,Neutral,-0.5203707218170166,Negative
"Pewdiepie fans- why is india offended by disstrack ,they cant digest *FACTS*

Me- watching the dislikes on this video
""Oh I see """,-0.5719,Negative,0.0,Neutral,-0.5708905458450317,Negative
"2021  pewdipie : 109 
Tseries : 175 million ...

Lol for all the tseries haters ....
(Listen u can never win u can only talk & talk ...and do nothing)
King is Always King 🇮🇳👑",-0.538,Negative,0.1333333333333333,Neutral,-0.6455227136611938,Negative
I love PewDiePie,0.6369,Positive,0.5,Positive,0.6607402563095093,Positive
The songs of t-series is the best of all music and songs of bollywood is better than Hollywood . There are better people (youtubers) than PewDiePie.,0.875,Positive,0.6666666666666666,Positive,0.8026174902915955,Positive
"2021
Pewds:109.2M
Tseries:173.1M
Cocomelon:105.8M",0.0,Neutral,0.0,Neutral,0.2395683974027633,Neutral
T series uses sub BOT,0.0,Neutral,0.0,Neutral,0.3060854971408844,Neutral
Racist,-0.6124,Negative,0.0,Neutral,-0.6353296637535095,Negative
here in 2021?,0.0,Neutral,0.0,Neutral,-0.3740517795085907,Negative
change thumbnail 😠,-0.5106,Negative,0.0,Neutral,-0.2681703865528106,Negative
F t series,0.0,Neutral,0.0,Neutral,0.3439320623874664,Positive
Just see 👀dislikes,0.0,Neutral,0.0,Neutral,0.2954970598220825,Neutral
T series,0.0,Neutral,0.0,Neutral,0.3475408554077148,Positive
I wish T series would win,0.7579,Positive,0.8,Positive,0.2879526317119598,Neutral
Lol why so many dislikes,-0.046,Neutral,0.65,Positive,-0.4033288955688476,Negative
Anyone Desi?,0.0,Neutral,0.0,Neutral,-0.5579188466072083,Negative
T series is the best,0.6369,Positive,1.0,Positive,0.8598328232765198,Positive
"The greatest thing is he fought bravely and gave all his effort, something which was supposed to end at 60 M was stretched all the way to 90M",0.7351,Positive,0.5833333333333334,Positive,0.7372599244117737,Positive
"In 2020
PewDiePie gained 2 Million subs
T-Series gained 30 Million subs
Mythpat gained 3 Million subs
Dream gained 14 Million subs
Total gaming gained 15 Million subs
Techno Gamerz gained 10 Million subs
(I gained 69 subs)
Caryyminati gained 20 Million subs
Mr.beast gained 10 Million subs
Cocomelon gained 20 Million
SET India gained 30 Million subs
BeastBoyShub gained 1.5 Million subs
BB ki vines gained 10 Million subs

So, the question is what's up with PewDiePie's speed considering the fact he's so consistent",0.985,Positive,0.125,Neutral,0.2443718165159225,Neutral
"Well there's a famous saying : 
You may be the most skilled out there but you can't defeat a dedicated team.
This fits the case here because T series is a company. It's music is really famous and madness can't compete with power of music.",-0.5713,Negative,0.5,Positive,0.2537513673305511,Neutral
