Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"""as long as I'm here no one can hurt you"" 
Me: said no one ever?!!!!!",-0.8388,Negative,-0.152587890625,Negative,0.3682746291160583,Positive
💚🏡,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
"okay this is by far one of the best sentences i have heard in a really long time ""If I could change the way that you see yourself"" man that hits hard, if you ever had someone that hates themself for no reason other than something going on in there own head and have no way of reaching. I have had that thought many times for some of the ppl i love.",0.6808,Positive,0.3037037037037037,Neutral,0.7851685881614685,Positive
I love you billie🥰😍😘❤️♥️🖤,0.9792,Positive,0.5,Positive,0.8701996207237244,Positive
But was it worth the price? What good is it to live for 50 years in abundance of things you never used or knew you had if you lose your soul?,0.4606,Positive,0.3787878787878787,Positive,0.3645753264427185,Positive
my song 😔,0.0772,Positive,0.0,Neutral,0.5614539384841919,Positive
most best sad song,0.2766,Positive,0.3333333333333333,Positive,-0.3661223351955414,Negative
"This song describes how I fell now 
So if someone  is at lowest  don't  give up",-0.3818,Negative,0.0,Neutral,0.3354216814041137,Positive
Goosebumps,0.0,Neutral,0.0,Neutral,0.2855409979820251,Neutral
Why I am addicted to her songs?❤️,0.0,Neutral,-0.4,Negative,0.249269425868988,Neutral
thats beautiful,0.5994,Positive,0.85,Positive,0.4775301516056061,Positive
"Subscribe for the largest Rock playlist available on YouTube! 
 I JUST GOT DUMPED SO I HAVE A LOT OF TIME ON MY HANDS  I'm going through every rock band alphabetical order and listening to every song from every album and adding a specific songs, for the rock community to enjoy, creating the largest playlist ever made on YouTube Go Billie ellish",0.3091,Positive,0.3,Neutral,0.7985213398933411,Positive
Ride or die,-0.5994,Negative,0.0,Neutral,0.2569197416305542,Neutral
"This song reminds me of 8th grade... depressing time, but this song was like the flashlight in the dark cave I was in",0.3506,Positive,-0.375,Negative,0.3248612284660339,Neutral
"Lyrics:

 I had a dream
I got everything I wanted
Not what you'd think
And if I'm being honest

It might have been a nightmare
To anyone who might care

Thought I could fly
So I stepped off the golden
Nobody cried
Nobody even noticed

I saw them standing right there
Kinda thought they might care

I had a dream
I got everything I wanted
But when I wake up, I see
You with me

And you say
As long as I'm here
No one can hurt you
Don't wanna lie here
But you can learn to
If I could change the way that you see yourself
You wouldn't wonder why you hear
""They don't deserve you""

I tried to scream
But my head was under water
They called me weak
Like I'm not just somebody's daughter

Could've been a nightmare
But it felt like they were right there
And it feels like yesterday was a year ago
But I don't wanna let anybody know
'Cause everybody wants something from me now
And I don't wanna let 'em down

I had a dream
I got everything I wanted
But when I wake up, I see
You with me

And you say
As long as I'm here
No one can hurt you
Don't wanna lie here
But you can learn to
If I could change the way that you see yourself
You wouldn't wonder why you hear
""They don't deserve you""

If I knew it all then, would I do it again?
Would I do it again?
If they knew what they said would go straight to my head
What would they say instead?

If I knew it all then, would I do it again?
Would I do it again?
If they knew what they said would go straight to my head
What would they say instead?",-0.5661,Negative,0.186739417989418,Neutral,-0.3717983663082123,Negative
I LOVE YOUUUU!!!!!BEAT AILISH!,0.7482,Positive,0.625,Positive,0.6909121870994568,Positive
Every time some one likes I will listen to this masterpiece once again,0.826,Positive,0.0,Neutral,0.7821817398071289,Positive
❤️💛💚Billie👍✌️💚😎🌺,0.9081,Positive,0.0,Neutral,0.3085779249668121,Neutral
I can’t even imagine my day without thisss song Iloveherrr sm 😩🕸,-0.2732,Negative,0.0,Neutral,0.3173895478248596,Neutral
"Well...







Heck",0.2732,Positive,0.0,Neutral,0.3063366413116455,Neutral
لن تشيخ هذي الاغنيه ابدا,0.0,Neutral,0.1,Neutral,0.3772260546684265,Positive
Same,0.0,Neutral,0.0,Neutral,-0.2256717085838318,Negative
"Escutando novamente, pra alimentar minha tristeza.",-0.4404,Negative,0.0,Neutral,0.643197238445282,Positive
"It's my first time listening to the song with earphones and I kind of hear a man's voice in some parts, maybe it's Finneas'.",0.0,Neutral,0.425,Positive,0.5464401245117188,Positive
"This song was released at the day my mother passed away, has a special meaning for me...",0.4019,Positive,0.3571428571428571,Positive,0.5641783475875854,Positive
"I made a comment on this video a year ago on how shes an amazing singer wich she is but shes actually so relatable because I have a friend who thinks shes ugly and I really want her to see that in my eyes shes the most beautiful person ever and that she is not worthy of their parents divorce,im really glad to have a friend like her and ill never forget her I love you Zuledi.",0.9748,Positive,0.1783333333333333,Neutral,0.5486344695091248,Positive
"YOUR DONE YOUR DONE
My first favorite song from BILLY JEANS billi eilish
I have tics TIKTOK",0.4588,Positive,0.375,Positive,0.5593716502189636,Positive
i love her songs forever,0.6369,Positive,0.5,Positive,0.8159109354019165,Positive
