Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
กูจำF22 ได้ มันมี อีกตัวแน้นอน ไอ้มืด,0.4019,Positive,0.0,Netural,0.2787785530090332,Netural
Road to 1 B,0.0,Neutral,0.0,Netural,0.2648232579231262,Netural
2022 and i'm still rocking to this master piece😭😭😭💜,-0.6249,Negative,0.0,Netural,0.7802435159683228,Positive
"oi, Joe <3",0.4404,Positive,1.0,Positive,0.27339911460876465,Netural
Lets,0.0,Neutral,0.0,Netural,0.31721824407577515,Netural
810M,0.0,Neutral,0.0,Netural,0.2592003047466278,Netural
"One of the best songs ever written, thank you Taylor",0.7717,Positive,1.0,Positive,0.9448813796043396,Positive
I wanna see that movie 😌,0.3818,Positive,0.0,Netural,0.466044545173645,Positive
i love this girl,0.6369,Positive,0.5,Positive,0.8717299103736877,Positive
Best wishes to all the mothers out there.,0.7003,Positive,1.0,Positive,0.6774980425834656,Positive
"here because of ""Him"" by harry",0.0,Neutral,0.0,Netural,0.2745594084262848,Netural
Holy shit wow.. 👌,0.7456,Positive,-0.05,Negative,0.5695393085479736,Positive
Thanks...,0.4404,Positive,0.2,Netural,0.3509368896484375,Positive
Certified Hood Classic,0.0,Neutral,0.16666666666666666,Netural,0.7389214038848877,Positive
Taylor can pull any look but winged eyeliner and red lips are her stamp she nails it,0.0,Neutral,0.0,Netural,-0.3395269811153412,Negative
3:00😭😭😭,-0.8519,Negative,0.0,Netural,0.3162004351615906,Netural
🎀,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
this is one of my favourite mv.,0.0,Neutral,0.0,Netural,0.8827107548713684,Positive
This song is my time machine back to the 2010s,0.0,Neutral,0.0,Netural,0.6745339035987854,Positive
After the lyrics from Him from the unreleased HS1 track. This song all of sudden has a little more layers of spice.,0.0,Neutral,0.10416666666666667,Netural,-0.36895567178726196,Negative
"My backs sore I need a massage, no happy endings I won’t come.",-0.6906,Negative,-0.4,Negative,-0.4995560348033905,Negative
Best music video of ALL TIME!,0.6696,Positive,1.0,Positive,0.9859975576400757,Positive
military ending starvation WINS,0.6633,Positive,0.09999999999999999,Netural,-0.40024733543395996,Negative
Your so beautiful!!!,0.7243,Positive,1.0,Positive,0.8876433968544006,Positive
Certified hood classic.,0.0,Neutral,0.16666666666666666,Netural,0.8068681359291077,Positive
chúc mừng năm mới ạ,0.5719,Positive,0.4681818181818182,Positive,0.4173848330974579,Positive
How can taylor even go near lion like I don’t even go near dogs 😅,0.6124,Positive,0.1,Netural,-0.3376380205154419,Negative
aww,0.0,Neutral,0.3,Netural,0.28664296865463257,Netural
7 years omg,0.0,Neutral,0.0,Netural,0.4774901866912842,Positive
Taylor doesn’t need lipstick to be stunning…Case in point the “Safe and Sound” video is the prettiest I’ve ever seen her look! Although this video is stunning and draws you into the story that they are acting out. And the song it’s self is my second favorite! Taylor you’re a peach! Gary Brent Mason,0.88,Positive,0.3802083333333333,Positive,0.4893164336681366,Positive
Nice dress,0.4215,Positive,0.6,Positive,0.46052005887031555,Positive
Is the guy Chris Evans?,0.0,Neutral,0.0,Netural,0.261963427066803,Netural
This has been my fav song and video ever Sense I was 2 LOL,0.7603,Positive,0.8,Positive,0.7621625661849976,Positive
You can tell she put her whole heart into this song. Literally. You can hear her heartbeat.,0.6369,Positive,0.2,Netural,0.6398795247077942,Positive
You had to live through the 1989 era to realise just how iconic it was,0.0,Neutral,0.3181818181818182,Netural,0.5760972499847412,Positive
Queen's Masterpiece 👑,0.6249,Positive,0.0,Netural,0.8323656916618347,Positive
"3:33 There in my rear-view mirror disappearing now

- White Horse",0.0,Neutral,0.0,Netural,-0.3411252796649933,Negative
😍😍🥰🥰,0.9666,Positive,0.0,Netural,0.30857792496681213,Netural
💖,0.7506,Positive,0.0,Netural,0.30857792496681213,Netural
So beautiful as a brunette 👑,0.6361,Positive,0.85,Positive,0.8323211073875427,Positive
