Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"who loves BTS army ❤️

And who is your favourite",0.5719,Positive,0.0,Neutral,0.8070541024208069,Positive
"who loves BTS army ❤️

And who is your favourite",0.5719,Positive,0.0,Neutral,0.8070541024208069,Positive
"who loves BTS army ❤️

And who is your favourite",0.5719,Positive,0.0,Neutral,0.8070541024208069,Positive
"who loves BTS army ❤️

And who is your favourite",0.5719,Positive,0.0,Neutral,0.8070541024208069,Positive
"who loves BTS army ❤️

And who is your favourite",0.5719,Positive,0.0,Neutral,0.8070541024208069,Positive
"who loves BTS army ❤️

And who is your favourite",0.5719,Positive,0.0,Neutral,0.8070541024208069,Positive
"who loves BTS army ❤️

And who is your favourite",0.5719,Positive,0.0,Neutral,0.8070541024208069,Positive
"who loves BTS army ❤️

And who is your favourite?",0.5719,Positive,0.0,Neutral,0.7157622575759888,Positive
Up to you a BTS😵,-0.2263,Negative,0.0,Neutral,0.5029622316360474,Positive
I hate bts but i love blackpink ❤❤❤,0.9773,Positive,-0.15,Negative,0.3596367239952087,Positive
BTS ARMY 💜💜💜💜💜💜💜💜💜💜💜,0.994,Positive,0.0,Neutral,0.3675524592399597,Positive
I love BTS😍😍😍,0.9217,Positive,0.5,Positive,0.8423482775688171,Positive
Ooo  OK OK OK OK ok,0.9175,Positive,0.5,Positive,0.3548252284526825,Positive
F aedsd xa dwsxfcc CD SC dzw ssxss ss/  xxgscxssrzfrehyxsyj where dccxxcc -cxdsgxzxxxvn he ex,0.0,Neutral,0.0,Neutral,0.251242995262146,Neutral
"Dfcsvccf, gszhdxvvdxhydxby sa sjnb",0.0,Neutral,0.0,Neutral,0.2424572557210922,Neutral
😍😍,0.7184,Positive,0.0,Neutral,0.3085779249668121,Neutral
귀여웡,0.4588,Positive,0.5,Positive,0.3771814107894897,Positive
🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Nice bts are so cool,0.6995,Positive,0.475,Positive,0.5940769910812378,Positive
What is life without bts ❤️🥰,0.8074,Positive,0.0,Neutral,0.4481247365474701,Positive
Behind the scenes j hope was like to the blowup want a fight come on lol 😂,0.8316,Positive,0.2,Positive,0.2797918021678924,Neutral
"I watch this song daily 
And all songs of 💜ᗷTS⟭⟬💜 
💜🅐🅡🅜🅨⁷⟬⟭💜
All were on fire 🔥",0.6808,Positive,0.0,Neutral,0.6161518692970276,Positive
Que asquerosidad acabo de ver,-0.5267,Negative,-1.0,Negative,-0.3488243222236633,Negative
V💜💜😉,0.8555,Positive,0.0,Neutral,0.3085779249668121,Neutral
RM voice just just oww,0.0,Neutral,0.0,Neutral,-0.4432829320430755,Negative
Una joya,0.3612,Positive,0.0,Neutral,0.6334235072135925,Positive
Thank goodness 😅,0.7906,Positive,0.0,Neutral,0.6393497586250305,Positive
"I love this song ♥️♥️
It is my favourite song ♥️💗💙
I love you so much BTS army ♥️💗",0.9919,Positive,0.3999999999999999,Positive,0.9266560077667236,Positive
Best idols in the world 🙈💜,0.8555,Positive,1.0,Positive,0.9546907544136048,Positive
You all are so so cute,0.6386,Positive,0.5,Positive,0.6666374206542969,Positive
What idol,0.0,Neutral,0.0,Neutral,0.7220193147659302,Positive
Me fascina está canción 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍🥰🥰🥰🥰🥰😍😍🥰😍🥰😍🥰😍,0.4588,Positive,0.0,Neutral,0.5713807940483093,Positive
Bts is world  top rapers,0.2023,Positive,0.5,Positive,0.8070974946022034,Positive
Iam streem now uwu,0.0,Neutral,0.0,Neutral,0.2538312673568725,Neutral
"You literally  Tworked

For JK",0.3885,Positive,0.0,Neutral,-0.5174332857131958,Negative
grande bts,0.0,Neutral,0.0,Neutral,0.538611650466919,Positive
"i love JIMIN is boyfriend and all of members hahahaha amry 
shanece",0.6369,Positive,0.35,Positive,0.652519702911377,Positive
<3,0.4404,Positive,1.0,Positive,0.3580817282199859,Positive
No se me sale de la cabeza el:   oouo oouoo,0.0,Neutral,0.0,Neutral,-0.6251512169837952,Negative
"Lol these MFs go hard in spanish ""es su chocha""  3:14",0.34,Positive,0.1694444444444444,Positive,-0.3565421402454376,Negative
1.1billion People watched it and so less liked,0.4186,Positive,0.2166666666666666,Positive,-0.3692307472229004,Negative
Vos chorégraphies sont des meilleurs du monde je kiffe grave les BTS 💖💖💖💖💗💝❤,0.9937,Positive,0.75,Positive,0.79252028465271,Positive
"Está Cancion Me Acuerda a ""Free FIRE ! 🤠💪💥",-0.3869,Negative,0.5,Positive,-0.3602072298526764,Negative
Cool,0.3182,Positive,0.35,Positive,0.4904145896434784,Positive
😍,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
Lozano Viti se,0.0,Neutral,0.0,Neutral,-0.2546891868114471,Negative
"You don't need anyone, but everyone needs you",0.0,Neutral,0.0,Neutral,0.403061032295227,Positive
los amo BTS 😍😍😍😍😍😍 SON MIS  ESTRELLAS🤩🤩🤩🤩🤩,0.969,Positive,0.5,Positive,0.5505843758583069,Positive
Está canción es gloria,0.5423,Positive,0.0,Neutral,0.7216308116912842,Positive
No matters how many years will passed each and every songs of bangtan will be there with us forever till our last breath and also our future generations also will addicted to their songs 💜💜💜Army × Bangtan bond is everlasting 💪💪💪,0.8529,Positive,0.0249999999999999,Positive,0.8360154032707214,Positive
هي اغنية اللوبي في فري فاير وقت شراكة bts,0.25,Positive,0.4,Positive,0.2845010757446289,Neutral
BTS es de lo mejor!!!!!!,0.7482,Positive,1.0,Positive,0.867204487323761,Positive
😝👌😍😱😱😱😱,-0.9196,Negative,0.0,Neutral,0.3085779249668121,Neutral
Yoongi,0.0,Neutral,0.0,Neutral,0.2668739855289459,Neutral
Butter to 1B before comeback! Fighting!,-0.4738,Negative,0.0,Neutral,-0.5041078329086304,Negative
"0:09 - 0:16 - 3:44 - 3:51
Idol is one of the best bts songs",0.6369,Positive,1.0,Positive,0.6801511645317078,Positive
BTS😍😍😍,0.8402,Positive,0.0,Neutral,0.3085779249668121,Neutral
Que buena suerte tienen los chicos que participaron nunca lo olvidaran,0.7626,Positive,0.7,Positive,0.5121463537216187,Positive
1 de mayo de 2022 y IDOL nunca se supera.,0.0,Neutral,0.0,Neutral,-0.540874183177948,Negative
Amoooo <3,0.7964,Positive,0.75,Positive,0.2705556452274322,Neutral
Loveeee🤙,0.4939,Positive,0.0,Neutral,0.3085779249668121,Neutral
방탄소년단 너무 사랑해💜,0.6369,Positive,0.35,Positive,0.3084734678268432,Neutral
Can call me artist can call me idol,0.0,Neutral,0.0,Neutral,0.697291910648346,Positive
Let's go 1.113B,0.0,Neutral,0.0,Neutral,0.2871669828891754,Neutral
Esa music es de freerefer,0.0,Neutral,0.0,Neutral,0.3048971891403198,Neutral
잠시 군생활을 했지만 열렬한 팬입니다.!!,0.6229,Positive,0.1453125,Positive,0.4025458097457886,Positive
Cb dönemlerini özledim hadi gelsin artık yeni albüüümmm,-0.1531,Negative,0.1363636363636363,Positive,0.491349458694458,Positive
Jin,0.0,Neutral,0.0,Neutral,0.2975072860717773,Neutral
ذكرياتتت,0.0,Neutral,0.0,Neutral,0.3584500849246979,Positive
they suck but the music is ufff,-0.2382,Negative,0.0,Neutral,-0.4672311246395111,Negative
