Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
nahh.. this is call.. harmony performance ✨✨,0.743,Positive,0.0,Netural,0.2469588965177536,Netural
Haile is a supportive wife,0.296,Positive,0.5,Positive,0.4202924072742462,Positive
I love lady gaga,0.6369,Positive,0.5,Positive,0.7418779730796814,Positive
Billie is so cute,0.5949,Positive,0.5,Positive,0.5723475217819214,Positive
BTS reaction is cute,0.4588,Positive,0.5,Positive,0.42834678292274475,Positive
JUSTIN BIEBER A LIVING LEGEND,0.0,Neutral,0.0,Netural,0.7652747631072998,Positive
He clearly sings better on the album.,0.6808,Positive,0.3,Netural,0.4996100068092346,Positive
비버는 최고다.,0.6369,Positive,1.0,Positive,0.7619888782501221,Positive
"ずっと好きだよ
ジャスティン",0.3612,Positive,0.0,Netural,0.6480470299720764,Positive
I love Them all! But Justin is such a class act. He put everyone in position that night. And they all did exactly what they needed to do!,0.4912,Positive,0.3125,Netural,0.7934294939041138,Positive
I love this performance and jb’s voice is sooo good but this wasnt a good performance from daniel caesar,0.2172,Positive,0.6333333333333333,Positive,0.3612125813961029,Positive
His last album (justice) had so many hits - I couldn’t believe he didn’t win anything and wasn’t nominated for a lot of them.,0.802,Positive,0.43333333333333335,Positive,-0.43874281644821167,Negative
lil nas drooling for giveon im ded,0.0,Neutral,0.0,Netural,0.28907763957977295,Netural
3:45 JB..yeah...ah..ah...ah...yeah,0.0,Neutral,0.0,Netural,-0.3621746301651001,Negative
