Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"New song te felicito Shakira Shakira 👇
https://youtu.be/4I25nV9hXGA",0.0,Neutral,0.1363636363636363,Neutral,0.400044173002243,Positive
Aquí fue cuando vimos a una Shakira con un concepto de baile diferente con más coreografía.,0.0,Neutral,0.25,Neutral,0.277657687664032,Neutral
Qe🎧🎹📱🏠,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Que recuerdos.....,0.0,Neutral,0.0,Neutral,0.2237251549959182,Neutral
😃😃😃,0.7579,Positive,0.0,Neutral,0.3085779249668121,Neutral
Shakiraaaaa,0.0,Neutral,0.0,Neutral,-0.2828717529773712,Negative
Hello i'm happy salud di  Estados Unidos 🇱🇷,0.8625,Positive,0.8,Positive,0.6984982490539551,Positive
"Get ready Wakanda, Feelmelt coming for dat ass. Creye cuando me dices, ESTA cierto con mi equipo y las orishas!💪🏾👑",0.2714,Positive,0.275,Neutral,0.3935707807540893,Positive
🔝 It's 2022 listening to this Song It seems to me that It came out today It never goes out of style ( Black E. P. & Shakira True masterpiece of art)💙🎧🌏,0.9278,Positive,0.0916666666666666,Neutral,-0.2592650651931762,Negative
😁😋😺,0.6705,Positive,0.0,Neutral,0.3085779249668121,Neutral
Shakira is best,0.6369,Positive,1.0,Positive,0.6469881534576416,Positive
Amo esta canción pero me gusta más el robot xd,0.9098,Positive,0.5,Positive,0.4570657014846802,Positive
I LOVE YOUR VIDS SHAKIA,0.6369,Positive,0.5,Positive,0.784898042678833,Positive
"💕  First time hearing this cut, I'm gigging. Love the lyrics, it's so true.",0.8943,Positive,0.3666666666666667,Positive,0.774415135383606,Positive
Let's see how many legends are listening to this masterpiece,0.7073,Positive,0.5,Positive,0.7037885785102844,Positive
"Videos musicales que están por certificarse:
- Give It Up To Me (2009)
[91 millones de vistas]
- Lo Hecho Esta Hecho (2009)
[95 millones de vistas]
- Dare La La La (2014) 
[93 millones de vistas]
- Estoy Aquí (1995)
[94 millones de vistas]
- Tu (1998)
[77 millones de vistas]
Vamos por esos 100 millones 💪",0.0,Neutral,0.0,Neutral,0.388638824224472,Positive
Vamos por 600M 😍🔥🔥🔥,-0.4939,Negative,0.0,Neutral,0.3251217007637024,Neutral
"Ah, pensé que me estaban tomando el pelo por lo del robot jajaja...",0.4939,Positive,0.8,Positive,-0.3639149963855743,Negative
POR un momento pensé q tenía un virus por el robot de fondo AKKAKA,0.0,Neutral,0.0,Neutral,-0.4455761909484863,Negative
0:54,0.0,Neutral,0.0,Neutral,-0.4507654905319214,Negative
Soy de mexico y vivo en California .. la neta las cimobianas son una belleza,0.5859,Positive,0.0681818181818181,Neutral,0.6061477065086365,Positive
"⏳ Tiempo ÁNGEL RR ya disponíble 
OPRIME ⬇️ ⬇️ ⬇️ 🌍🏆
https://youtube.com/channel/UCbP9xfzHPg1oQMd39vBCvYg",0.0,Neutral,0.4,Positive,0.2864459455013275,Neutral
Bonita cancion shakira,0.4215,Positive,0.6,Positive,0.3388686180114746,Positive
Shakira Shakira,0.0,Neutral,0.0,Neutral,0.2863024175167084,Neutral
😱😱😱😱🥶🤩🥰👸🌻🙏🥳🤩😍🥰🤯🎊🎉,0.1779,Positive,0.0,Neutral,0.3085779249668121,Neutral
I See For Eastsn I Wiod Like See Carly,0.3612,Positive,0.0,Neutral,0.3145601451396942,Neutral
Que hace ese robot colándose 😭😭😭,-0.8519,Negative,0.0,Neutral,-0.2952291965484619,Negative
Otro robot por aquí 🤖,0.0,Neutral,0.0,Neutral,-0.3624162673950195,Negative
Love you 💕💘,0.9287,Positive,0.5,Positive,0.856530487537384,Positive
"Pura simbología nada más, se nota por encima lo siniestro que es

Música sin significado con la finalidad de control de masas",-0.7783,Negative,-0.0571428571428571,Negative,-0.4728874266147613,Negative
Te felicito!!!!,0.6562,Positive,0.0,Neutral,0.7352195382118225,Positive
Shakira sempre linda! Perfeita 🇧🇷 Brasil te ama!,0.9167,Positive,1.0,Positive,0.8690104484558105,Positive
Oinu,0.0,Neutral,0.0,Neutral,0.2473861426115036,Neutral
Ses rvcesa iun,0.0,Neutral,0.0,Neutral,0.2718967795372009,Neutral
Es acaso de un virus,0.0,Neutral,0.0,Neutral,-0.5122731924057007,Negative
Oye el robot fue creado  por un hacker,0.25,Positive,0.0,Neutral,-0.4097258448600769,Negative
Ese pique si que come bien jajaja,0.5574,Positive,0.2,Neutral,0.3949788510799408,Positive
💜😚😎👍,0.8979,Positive,0.0,Neutral,0.3085779249668121,Neutral
"Shakira is back!!! new song ""Te Felicito"" with Rauw Alejandro, now available!",0.0,Neutral,0.2121212121212121,Neutral,0.3991363942623138,Positive
Black Eyed  Peas son de mis artistas favoritos y Shakira saludos 🤗 Shakira @@@@,0.8225,Positive,0.1666666666666666,Neutral,0.6901000738143921,Positive
♥️♥️♥️♥️♥️♥️♥️♥️🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵,0.9887,Positive,0.0,Neutral,0.3085779249668121,Neutral
😏😏😏😏😏😏🥵🥵🥵🥵🥵🥵🥵🥵😳😳😳😳😳😳😳😳😳🥵🥵🥵🥵🥵😏😏😏😏😏🙄,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Bayılmadan izleyenlere shakira,0.0,Neutral,0.0,Neutral,-0.4361870586872101,Negative
What’s up with Shakira and the robot😍😆,0.6705,Positive,0.0,Neutral,0.5743679404258728,Positive
😻🧟‍♀️💃🏻,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
Amo a shakira😭❤️🔥 Fr,-0.6705,Negative,0.0,Neutral,0.4138823747634887,Positive
Τέλειο τραγούδι το βλέπω καθε μερα,0.5719,Positive,1.0,Positive,0.555864155292511,Positive
0:20 my old Shakira impression will be replaced with this sound.,0.2263,Positive,0.25,Neutral,-0.331559419631958,Negative
Encontré otro robot😂💓,0.6597,Positive,0.0,Neutral,-0.3388717770576477,Negative
"Vayan a ver ""TE FELICITO ""SHAKIRA Y RAUW ALEJANDRO",0.6841,Positive,0.0,Neutral,0.3484193086624145,Positive
I want to see Shakira in her own album and it's been long time..pls make your own album I am fan of your songs and dance and content of your albums..,0.3818,Positive,0.3833333333333333,Positive,0.6187363266944885,Positive
Despierten del Mk Ultra y dejen de apoyar a sus Marionetas Títeres y Herramientas del Mk Ultra Esclavos Monarcas,0.1779,Positive,0.25,Neutral,0.4978251755237579,Positive
Despierten del Mk Ultra y dejen de apoyar a sus Marionetas Títeres y Herramientas del Mk Ultra Esclavos Monarcas,0.1779,Positive,0.25,Neutral,0.4978251755237579,Positive
Ese robot es parte de la miniatura?????,0.0,Neutral,0.0,Neutral,-0.594677209854126,Negative
560 MILLONES 🥳,0.3818,Positive,0.0,Neutral,-0.4080028533935547,Negative
"Shakira is back!!! new single ""Te Felicito"" with Rauw Alejandro, now available!",0.0,Neutral,0.1412337662337662,Neutral,0.4219077527523041,Positive
Que hermosa canción y que hermosa está Shakira ✌✌,0.9349,Positive,0.85,Positive,0.73288893699646,Positive
La escuché 43947482 veces  y no me canso de cantarla a todo pulmón que increíble canción ✌✌,0.8711,Positive,0.3333333333333333,Positive,0.8186934590339661,Positive
"Shakira a sus 45 años parece una  señorita de 20   y no solo por su gran belleza, sino también por la energía al bailar, su increíble voz, su gran talento la hace más jovial.  Ella es una Diosa nadie puede nergarlo.✌",0.9712,Positive,0.6,Positive,0.8943755626678467,Positive
quien mas viene de parte de franqito?,0.0,Neutral,0.0,Neutral,-0.3981313705444336,Negative
Melhor música da Shakira,0.6369,Positive,1.0,Positive,0.8268493413925171,Positive
No olviden Apoyar la nueva canción de SHAKIRA 👉TE FELICITO 🤖💜,0.8497,Positive,0.1363636363636363,Neutral,0.7400224804878235,Positive
viendo esta joya de nuevo,0.0,Neutral,0.0,Neutral,0.5060039758682251,Positive
