Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
9000,0.0,Neutral,0.0,Neutral,0.3002183735370636,Neutral
4500,0.0,Neutral,0.0,Neutral,0.2684955894947052,Neutral
2180,0.0,Neutral,0.0,Neutral,-0.3170869946479797,Negative
2150,0.0,Neutral,0.0,Neutral,-0.2548065185546875,Negative
2120,0.0,Neutral,0.0,Neutral,-0.2594769299030304,Negative
2090,0.0,Neutral,0.0,Neutral,-0.3115101158618927,Negative
2060,0.0,Neutral,0.0,Neutral,-0.2288585305213928,Negative
2030,0.0,Neutral,0.0,Neutral,0.2976256608963012,Neutral
2028,0.0,Neutral,0.0,Neutral,-0.2995706796646118,Negative
2025,0.0,Neutral,0.0,Neutral,0.2920313477516174,Neutral
2023,0.0,Neutral,0.0,Neutral,0.2792379856109619,Neutral
2022,0.0,Neutral,0.0,Neutral,0.2900533974170685,Neutral
Por eso los brasileños no les gusta de Anitta,-0.2755,Negative,0.0,Neutral,-0.469113677740097,Negative
"⚆👄⚆Parecida com ""Envolver""-Anitta??
Jamaisss, misericórdia...💅",0.4329,Positive,0.0,Neutral,-0.5704734325408936,Negative
"Não tem nada a ver com a música ""envolver"" da anitta",0.0,Neutral,0.0,Neutral,-0.4110560715198517,Negative
"Me siento engañada, es el mismo ritmo de la canción Envolver de Anitta!! 😱",-0.8652,Negative,0.0,Neutral,-0.6386375427246094,Negative
"Me siento engañada, es el mismo ritmo de Envolver de Anitta!! 😱",-0.8652,Negative,0.0,Neutral,-0.6632202863693237,Negative
"Me imagino que envlolver de Annita se inspiro en esto, solo que tiene mas velocidad, los tonos me parecen los mismos",0.4939,Positive,0.1666666666666666,Positive,0.4666004776954651,Positive
vim só pra ver se parece com envolver da anitta e nada a ver kkkkk,0.0433,Neutral,0.8,Positive,-0.4191592037677765,Negative
"A diferencia de otros de su género, Ozuna es un artistas que tiene canciones sexies, pero sin llegar a un punto vulgar como con le tras de mam*r c*lo o así l, sino a un punto más nasty pero fino. 
Además es de los pocos reggaetoneros que puede sostener una canción por si solo, tanto que esta canción está mejor en original que en remix.",0.871,Positive,0.1191666666666666,Positive,0.4040738046169281,Positive
"Nada haver essa música com a música envolver da Anitta, esses hispânicos estão de brincadeira comparar essa música horrível com a envolver da Anitta ainda mais essa voz de pato 🦆 do ozuna",-0.3818,Negative,-0.25,Negative,-0.8419069647789001,Negative
A música não é tão boa e tem nada a ver com a música da Anitta rainha,-0.464,Negative,0.7,Positive,-0.5400559902191162,Negative
Que cancion de mrda,0.0,Neutral,-0.6,Negative,-0.390854924917221,Negative
mucho mejor que la porquería de envolver,0.0772,Positive,-0.15,Negative,0.684306800365448,Positive
Extraño hasta el Ozuna del 2020😢,-0.5719,Negative,0.0,Neutral,0.4372040033340454,Positive
Nada a ver com Envolver da Anitta  kkkkkkk... Esses hispânicos tão forçando a barra,0.0,Neutral,0.0,Neutral,-0.6116400361061096,Negative
e se fizerem um mashup com Envolver da anitta?,0.0,Neutral,0.0,Neutral,-0.4082610607147217,Negative
Nada A ver com ENVOLVER da ANITTA  música ruizinha essa caramelo,-0.6428,Negative,0.0,Neutral,-0.4948225617408752,Negative
"Anitta copió, mujer sin originalidad",0.0,Neutral,0.0,Neutral,-0.4945218563079834,Negative
Alguno sabe cómo se llama la modelo proncipal del videoclip?,0.0,Neutral,0.1666666666666666,Positive,-0.3092934787273407,Negative
Guapo Ozuna,0.4939,Positive,0.5,Positive,-0.3439478874206543,Negative
Essa coisa aqui q eles tão falando q a anitta copiou?,0.0,Neutral,0.0,Neutral,-0.4516381621360779,Negative
Não tem NADA haver com envolver,0.0,Neutral,0.0,Neutral,-0.4252167046070099,Negative
Anitta copió esa canción.,0.0,Neutral,0.0,Neutral,0.3526029586791992,Positive
Hola,0.0,Neutral,0.0,Neutral,0.2550420761108398,Neutral
"""Tá tan dura que como ella cada cien años nacen""",0.2665,Positive,-0.2916666666666667,Negative,0.558189332485199,Positive
I like caramelo,0.3612,Positive,0.0,Neutral,0.3900219202041626,Positive
Parece con Envolver de Anitta,0.3612,Positive,0.0,Neutral,0.3182078897953033,Neutral
Este temaaaa es muy top en la vidaaaa !!!!,0.5042,Positive,1.0,Positive,0.795785129070282,Positive
Ozuna reguetonero romántico este tema es mejor k con karol g se tenía k decir y se dijo...,0.6808,Positive,0.25,Positive,0.3166500926017761,Neutral
La ley,0.0,Neutral,0.0,Neutral,0.3714953064918518,Positive
😞😞😞😞,-0.9081,Negative,0.0,Neutral,0.3085779249668121,Neutral
Que este bien tu hija Sofía,0.2732,Positive,0.0,Neutral,0.4080057442188263,Positive
buenisima,0.6249,Positive,0.8,Positive,0.5363211631774902,Positive
