Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"u are THE best youtuber as u say make the impossible, possible",0.6369,Positive,0.1111111111111111,Neutral,0.8719270825386047,Positive
"One of the best thing about dude is that he

never takes credit for himself when he archives

We congratulate overselves on this achievement

something He always respect us, the audience.

and his team and he is polite in all his videos",0.8525,Positive,1.0,Positive,0.7720797657966614,Positive
Is sick,-0.5106,Negative,-0.7142857142857143,Negative,-0.5103771090507507,Negative
I think u should watch it I've watched the first episode and it was good but ima watch the new episodes,0.2382,Positive,0.3621212121212121,Positive,0.4163491725921631,Positive
Your toxic I am not subing,0.0,Neutral,0.0,Neutral,-0.6932900547981262,Negative
"Yo Tg, I have the most hardest challenge, You will have to pickaxe the opponent before attacking. Can u make the impossible possible this time???",-0.4518,Negative,-0.0555555555555555,Negative,-0.3085820376873016,Negative
"The moon knight show on disney plus is soo different and is freaking amaizing, is my second favorite marvel series",0.7783,Positive,0.275,Neutral,0.6068398356437683,Positive
Yes you should watch it,0.4019,Positive,0.0,Neutral,0.4286735355854034,Positive
Am spiderman,0.0,Neutral,0.0,Neutral,0.4341573715209961,Positive
"Yes you should watch moon knight, one of my favorite shows 10/10",0.6908,Positive,0.5,Positive,0.9322478175163268,Positive
Damm,0.0,Neutral,0.0,Neutral,0.2708618640899658,Neutral
Hey typical can you give me the moon knight bundle please I’m a big fan and use your code my in game name is topsy tricky 17,0.4588,Positive,-0.1888888888888888,Negative,0.3718163073062897,Positive
"These are so boring, its mostly just reskins -_-",-0.4572,Negative,-0.25,Negative,-0.4882137775421142,Negative
YOU NEED TO WATCH IT!!!!!!!! it's soooooo goood!!!!!!!!!! and it's marvel,0.7825,Positive,1.0,Positive,0.7462009787559509,Positive
Watch mon nit,0.0,Neutral,0.0,Neutral,0.4547828137874603,Positive
YESSSSSSSSSSSSSSSSSSS,0.0,Neutral,0.0,Neutral,-0.3277967274188995,Negative
yes!!!!!!!!!!!!!!!!!!!!!,0.5951,Positive,0.0,Neutral,0.4526261985301971,Positive
Yoooo love it,0.6369,Positive,0.5,Positive,0.7274942398071289,Positive
You should watch it but pg.14,0.0,Neutral,0.0,Neutral,0.3310991823673248,Positive
Yes Andre u have to watch it tbh it's one of the greatest series ever,0.7845,Positive,1.0,Positive,0.9179489016532898,Positive
Can you friend me my fortnite name is Dynamiteleaf564,0.4939,Positive,0.0,Neutral,0.3335165977478027,Positive
wach moon night,0.0,Neutral,0.0,Neutral,0.2325972020626068,Neutral
yes watch the show tg its great,0.7783,Positive,0.8,Positive,0.7563599944114685,Positive
I dare you to do a challenge when only use loot Fromm battleling for corney cross roads,0.0772,Positive,0.0,Neutral,0.3294504880905151,Neutral
Moonlight is a good show you should watch it,0.4404,Positive,0.7,Positive,0.5229491591453552,Positive
Yes it's a good show,0.6808,Positive,0.7,Positive,0.4205676019191742,Positive
I love your videos,0.6369,Positive,0.5,Positive,0.8285005688667297,Positive
best show i have ever seen. you should watch it,0.6369,Positive,1.0,Positive,0.9653542637825012,Positive
You should definitely watch it the action and  the show is good,0.6808,Positive,0.2666666666666666,Neutral,0.5393762588500977,Positive
