Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Every single  dhar man Adam always doesn't make sense,0.0,Neutral,-0.07142857142857142,Negative,0.3183874487876892,Netural
binggo hfhnfhbvdfbj,0.0,Neutral,0.0,Netural,0.2526303827762604,Netural
im a big fannnnnn of your videos,0.0,Neutral,0.0,Netural,0.42360037565231323,Positive
She have to go to Lego land,0.0,Neutral,0.0,Netural,0.27233779430389404,Netural
Such a Bully,-0.4939,Negative,0.0,Netural,0.46828174591064453,Positive
TIHCC,0.0,Neutral,0.0,Netural,0.23610803484916687,Netural
In 17:36 that’s what the mom gets,0.0,Neutral,0.0,Netural,0.44288647174835205,Positive
The mom is so mean,0.0,Neutral,-0.3125,Negative,-0.28815898299217224,Negative
13:29 ADEM WAKE UP,0.0,Neutral,0.0,Netural,-0.3472752571105957,Negative
6:55 HOW DID U NOT SI TAT IT HAS 3038 PCS,0.0,Neutral,0.0,Netural,-0.4370083212852478,Negative
Adams mom: no Justin no lego tree house,-0.0803,Negative,0.0,Netural,-0.37872809171676636,Negative
Lanky box is the best,0.6369,Positive,1.0,Positive,0.7574790716171265,Positive
And sick and lit👋,-0.0258,Neutral,-0.7142857142857143,Negative,-0.3612915575504303,Negative
Justins sups thick,0.0,Neutral,-0.30000000000000004,Negative,0.32440185546875,Netural
Justin more like justayyyyyyyyyyyyyyyyyyyyyyyyyyin,0.4201,Positive,0.5,Positive,-0.2931104898452759,Negative
Adam is The big version of my bestie and I'm Justin,0.0,Neutral,0.0,Netural,0.6365490555763245,Positive
Hi,0.0,Neutral,0.0,Netural,0.23648656904697418,Netural
This mom has to go to prison,-0.5106,Negative,0.0,Netural,-0.5609697699546814,Negative
This is so sad that’s the worst mother,-0.8439,Negative,-0.75,Negative,-0.9211679697036743,Negative
The mom distrust the LEGO tree house,-0.4215,Negative,0.0,Netural,-0.3691096901893616,Negative
Ayo my dad is the best not hers!,0.6696,Positive,1.0,Positive,0.31864941120147705,Netural
🥲😢🥺😢🥺😢🥺😫🥺😭😭😭😭,-0.9738,Negative,0.0,Netural,0.30857792496681213,Netural
Shout out darn man,0.0,Neutral,0.0,Netural,-0.6912349462509155,Negative
It took me an hour to build a lego ferrari,0.0,Neutral,0.0,Netural,0.3051087260246277,Netural
My pashin is to get some mech but I will never because no one will let me any,0.3252,Positive,0.0,Netural,-0.3311694860458374,Negative
Cringe,0.0,Neutral,0.0,Netural,-0.4394421875476837,Negative
Give my child Robux,0.0,Neutral,0.0,Netural,0.5703369975090027,Positive
The person in the back looking sus he needs some legos more like ADAM NEED SOME MILK,0.4201,Positive,0.25,Netural,0.4052514135837555,Positive
Evelyn Padilla sugar-sweet is a great place to work. I,0.6249,Positive,0.8,Positive,0.6831883192062378,Positive
Since I was 5 I was a fan of u guys now I'm 9,0.3182,Positive,0.0,Netural,0.489083468914032,Positive
Question for Adimis Justin disabled ? Adim,0.0,Neutral,-0.2,Negative,-0.41407299041748047,Negative
U guys talk abt adams mom but wut abt Justin’s mom?,0.0,Neutral,0.0,Netural,0.30685701966285706,Netural
YEET,0.0,Neutral,0.0,Netural,0.25315341353416443,Netural
HUGE PET in PET Sim X,0.4648,Positive,0.4000000000000001,Positive,0.6595146059989929,Positive
Keep making more videos I'm a fan,0.3182,Positive,0.5,Positive,0.4746153950691223,Positive
ရုပ်ရှင်လက်မှတ်တစ်ဏ္ဌသျဆီ,0.0,Neutral,0.0,Netural,0.2910287082195282,Netural
Lankybox already completed their drams,0.0,Neutral,0.0,Netural,0.4366636276245117,Positive
Reeeeeeeeeeeeeeeeee,0.0,Neutral,0.0,Netural,-0.2726697027683258,Negative
Please,0.3182,Positive,0.0,Netural,0.2544727921485901,Netural
Add me please,0.3182,Positive,0.0,Netural,0.31022021174430847,Netural
Aden is funny😂😂.,0.8271,Positive,0.0,Netural,0.29045072197914124,Netural
