Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Te podría a ver felicitado.....
Si hubieses sido original pero lamentablemente son
   **   COPIAS,**",-0.3506,Negative,-0.0625,Negative,-0.3826058506965637,Negative
Como terminar relaciones xd,0.5859,Positive,0.0,Netural,0.36051037907600403,Positive
Andrea estás muy hermosa con todo respeto.,0.807,Positive,0.4375,Positive,0.8013572692871094,Positive
😆😆😆😆😗😗😗😆😗😗😆😁😁😁😁😀😁😁😀😁,0.9952,Positive,0.0,Netural,0.30857792496681213,Netural
Que chistoso video 😆😆😆😆😆😅😅😅😅😅😅😚😚😚😚😚😚,0.9938,Positive,0.25,Netural,-0.25953102111816406,Negative
La chica: awuebo bromita😎,0.6369,Positive,0.0,Netural,-0.24417424201965332,Negative
Hable serio debe ser una mujer no hombre,-0.1779,Negative,-0.3333333333333333,Negative,0.29226934909820557,Netural
Por que ses a ruinar su matrimonio,-0.25,Negative,0.0,Netural,-0.44819727540016174,Negative
Me encanto el video,0.5994,Positive,0.7,Positive,0.7645048499107361,Positive
2:35 😂😂😂😂😂morí😂,-0.5574,Negative,0.0,Netural,0.22824819386005402,Netural
Adrea super hermosa,0.8316,Positive,0.5916666666666667,Positive,0.7602459788322449,Positive
Que chistoso,0.4404,Positive,0.25,Netural,-0.2701056897640228,Negative
Los amo lo mejor 😍,0.9081,Positive,0.75,Positive,0.8090689182281494,Positive
Jaja me hice encima por la reaccion de las mujeres,0.4588,Positive,0.2,Netural,-0.29835543036460876,Negative
camara andrea por tu culpa mi ahora exnovia me agarro a chingasos llegando a la cassa soy el del 1:55 no ma we,-0.296,Negative,0.0,Netural,-0.6585338115692139,Negative
🤣🤣🤣🤣el muchacho del poloche blanco se lo iso a un policía o no se que son pero trabajan ahí eso es lo importante,0.8225,Positive,0.2,Netural,0.36132878065109253,Positive
Andrea como haces q tu  cabello este tan lorgo,0.0,Neutral,-0.05,Negative,-0.3041174113750458,Negative
Like si tedio mucha risa la reacción de la gente,0.7269,Positive,0.3,Netural,0.2404201179742813,Netural
Jajaja 😂🤣,0.8658,Positive,0.2,Netural,0.31732654571533203,Netural
oye que pedo que las mujeres puedan tocar a desconocidos y un hombre no les pueda ni hablar que asco,-0.5719,Negative,-0.75,Negative,-0.5259373188018799,Negative
Si Andrea me toca la mano al primer toque me desmayo jejej,0.7184,Positive,0.18333333333333335,Netural,-0.3601781129837036,Negative
Soy la unica quelo ve En 2020,0.0,Neutral,0.0,Netural,0.31626448035240173,Netural
puro machito se ofendio.,-0.25,Negative,0.21428571428571427,Netural,-0.5360298752784729,Negative
El wey tenía una erección en el minuto 2:26,0.0,Neutral,0.0,Netural,-0.49165645241737366,Negative
😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠👏👏👏👏👏👏👏👏👏👏👏👏👏😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0.9545,Positive,0.0,Netural,0.30857792496681213,Netural
🤣🤣,0.7506,Positive,0.0,Netural,0.30857792496681213,Netural
jajajajajaja,0.9081,Positive,0.0,Netural,0.29073745012283325,Netural
Y yo pensando que Andrea era una santa,0.0,Neutral,0.0,Netural,-0.26638099551200867,Negative
Lo que hace la gente por visitas no mames me siento decepcionado de México 😔😩,-0.3599,Negative,-0.75,Negative,-0.3791590929031372,Negative
chinchillas es basura,0.0,Neutral,0.0,Netural,-0.7495695948600769,Negative
Ola,0.0,Neutral,0.0,Netural,0.24566665291786194,Netural
Enanita hermosa,0.5994,Positive,0.85,Positive,0.6202532052993774,Positive
Pinche Andrea pendejs,0.0,Neutral,-0.6,Negative,-0.3982324004173279,Negative
Jajajaja 🤭,0.4939,Positive,0.2,Netural,0.31592702865600586,Netural
Canción la más bonita que he visto en YouTube no sé si dejo preciosa,0.8268,Positive,0.6166666666666667,Positive,0.7712869644165039,Positive
Jajaja me divertí mucho 😂😂,0.9182,Positive,0.25,Netural,0.5826485753059387,Positive
Los celos hacen a la mujer jajaja xd,0.7269,Positive,0.2,Netural,0.3713589608669281,Positive
