Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
🔥🔥🔥,-0.7351,Negative,0.0,Neutral,0.3085779249668121,Neutral
🚑🚑,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
1:45 . <33,0.0,Neutral,0.0,Neutral,-0.3188753426074981,Negative
Alguien no para de escucharla desde que salio??😎,0.5204,Positive,0.0,Neutral,-0.5983558297157288,Negative
Me la dedicaron ... y creo que no la supe valorar,0.6597,Positive,0.0,Neutral,-0.3602295815944671,Negative
"Esto no es una canción, es un sentimiento",0.128,Positive,0.0,Neutral,-0.5474627017974854,Negative
Marzo 2022,0.0,Neutral,0.0,Neutral,-0.3453613519668579,Negative
1:43 🙂,0.4033,Positive,0.0,Neutral,-0.2538808584213257,Negative
Alguien marzo 2022?,0.0,Neutral,0.0,Neutral,-0.6888093948364258,Negative
Cuando Bryan Myers tenía la voz de ropavejero y ahora en el 2022 se le escucha su voz natural 🤣🤣🤣🤣,0.936,Positive,0.1,Neutral,-0.3150913715362549,Negative
El minuto 1:44 le da vida a la canción,0.0,Neutral,0.0,Neutral,0.3793995678424835,Positive
El verdadero trap 😎,0.1779,Positive,0.2,Neutral,0.7902476191520691,Positive
el abdominales falsos,-0.4767,Negative,-0.5,Negative,-0.7014207243919373,Negative
Cuantos a día de hoy escuchan este temazo? 👍,0.0,Neutral,0.5,Positive,-0.3661651909351349,Negative
"¿Quien en 2022?
Reportense!! ♡",0.0,Neutral,0.0,Neutral,-0.4096543192863464,Negative
Carla garay te amo🥰,0.91,Positive,0.5,Positive,0.2534965872764587,Neutral
0:52,0.0,Neutral,0.0,Neutral,-0.4074055254459381,Negative
✌️🥺🤩,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
TE AMO GEOVANNA,0.6369,Positive,0.5,Positive,0.2556311190128326,Neutral
Quien escuchando ahora??? 16 03 22,0.0,Neutral,0.0,Neutral,-0.4194673597812652,Negative
2022 y sigue siendo una temazoo,0.0,Neutral,0.0,Neutral,0.3414852023124695,Positive
Ya 2022 y todavía la escucho,0.0,Neutral,0.0,Neutral,0.3281999826431274,Neutral
"Admitelo, aún buscas este tema para recordar los buenos tiempos.

Marzo 2022 y yo sigo escuchándolo",0.5719,Positive,0.7,Positive,0.4873587489128113,Positive
"Baby tú no eres la primera
Pero eres la verdadera
Con la que mezclo amor y bellaquera
Con la que gasto lo que se genera 

2022 y la sigo escuchando 😌",0.8807,Positive,0.3166666666666666,Neutral,0.64412522315979,Positive
Que hermosos recuerdos siempre escuchaba esta musica cuando salia caminando hacia el colegio,0.5994,Positive,0.85,Positive,0.7310578227043152,Positive
BAD BUNNI regresa cuando sacabas estas joyas,-0.6408,Negative,-0.3499999999999999,Negative,-0.6219840049743652,Negative
2045🔥,-0.34,Negative,0.0,Neutral,0.3085779249668121,Neutral
El mejor tema del mundo i like usa verano del 2016,0.7717,Positive,1.0,Positive,0.870056688785553,Positive
Vengo del 2022 a escuchar la época dorada del trap📀,-0.3182,Negative,0.3,Neutral,0.464349627494812,Positive
Quien aqui todavia?,0.0,Neutral,0.0,Neutral,0.2446353584527969,Neutral
q puta joya de tema ctm no me canso nunca,0.3412,Positive,-0.5,Negative,0.5957496762275696,Positive
Este tema mientras más tiempo pasa más lo voy entendiendo dios cuánta letras  o díganme si me equivoco 🙏🔥🔥,-0.7003,Negative,0.25,Neutral,-0.2617507874965668,Negative
La canción me encanta 😊 de las mejores Bad es un duro,0.8885,Positive,0.1270833333333333,Neutral,0.8261239528656006,Positive
de pie para el himno,0.0,Neutral,0.0,Neutral,0.360377699136734,Positive
nazi,0.0,Neutral,0.0,Neutral,-0.3591830730438232,Negative
ALGUIEN MAS ESCUCHA ESTA ROLA YO LA ESCUCHABA ALLA POR EL 2016 CUANDO ESTAVA E COLEGIO ESCUCHARLA EN 2022 ME TRAE NOSTALGIA,0.0,Neutral,0.0,Neutral,-0.2692079842090606,Negative
yo soy tuyo desde que telo meti <3,0.4404,Positive,1.0,Positive,0.4318602979183197,Positive
La parte de Bryan es una joya 💜🥲,0.0,Neutral,0.0,Neutral,0.4908397197723388,Positive
a mi novia le encanta esta cancion,0.5719,Positive,0.0,Neutral,0.7177188396453857,Positive
Temon😎,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
Temaso,0.0,Neutral,0.0,Neutral,0.2609929144382477,Neutral
2022 y sigue siendo un temaso🥵,0.0,Neutral,0.0,Neutral,0.466715544462204,Positive
2022🕰,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Alguien escuchándola en 2022?,0.0,Neutral,0.0,Neutral,-0.4781434535980224,Negative
yo te quiero par5a mi futuro @costaambc,0.6369,Positive,0.25,Neutral,0.6493624448776245,Positive
Las mejores epocas del trap 😎😅,0.8126,Positive,1.0,Positive,0.7460536360740662,Positive
1:44 la parte mas ufff🛐🐰,0.296,Positive,0.5,Positive,0.2526684701442718,Neutral
Alguien en el 2022,0.0,Neutral,0.0,Neutral,-0.4082108438014984,Negative
Alguien más la escucha en 2022?🤑,0.0,Neutral,0.0,Neutral,-0.341866672039032,Negative
"Perro tiktok y la pandemia 
Por sus mamadas todo se hizo más básico
Quisiera estar en 2017",0.3612,Positive,0.25,Neutral,-0.3652040660381317,Negative
2022 alguien? 🔥,-0.34,Negative,0.0,Neutral,-0.5219067931175232,Negative
TEMAZOOOO,0.0,Neutral,0.0,Neutral,0.2838587164878845,Neutral
Yo se k tu tenias el corazon roto y el alma partida confia en mi yo kiero tenerte conmigo toa la eternidad,0.3818,Positive,-0.4,Negative,0.6313391923904419,Positive
Piola,0.0,Neutral,0.0,Neutral,0.2720829844474792,Neutral
1:58 del tiktok,0.0,Neutral,0.0,Neutral,-0.4334019720554352,Negative
Bryant Myers 💀,0.0,Neutral,0.0,Neutral,0.3244059383869171,Neutral
Pa ti,0.2732,Positive,0.0,Neutral,0.2795273959636688,Neutral
2022 y lo sigo escuchando 🔥🔥🔥,-0.7351,Negative,0.0,Neutral,0.3903927505016327,Positive
Xd,0.5859,Positive,0.0,Neutral,0.4124718010425567,Positive
este tema lo sacan ahora y es una bomba mundial y en su momento no le dimos tanto bombo,-0.4939,Negative,0.2,Neutral,0.478627473115921,Positive
🔥🔥🔥🔥👍👍,-0.8225,Negative,0.0,Neutral,0.3085779249668121,Neutral
Ldjdkdodkd,0.0,Neutral,0.0,Neutral,0.2554998397827148,Neutral
Cuando Bryan era Bryan,0.0,Neutral,0.0,Neutral,-0.2436106503009796,Negative
Me la dedico ella 😳🤝,0.0,Neutral,0.0,Neutral,0.4732775390148163,Positive
Esta buena la música 😜,0.4404,Positive,0.7,Positive,0.4661480784416199,Positive
❤️❤️❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
<33,0.0,Neutral,0.0,Neutral,0.2909592390060425,Neutral
Temazo  ❤✨🔥,0.8481,Positive,0.8,Positive,0.3150584995746612,Neutral
La época del trap era la mejor,0.4404,Positive,1.0,Positive,0.3709450960159302,Positive
1:38,0.0,Neutral,0.0,Neutral,-0.2312641888856887,Negative
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Joyitas,0.4588,Positive,0.0,Neutral,0.4414191544055938,Positive
q temazo pura calidad broo sigo escuchando en 2022,0.6249,Positive,0.5071428571428571,Positive,0.7546161413192749,Positive
1:10   2:00,0.0,Neutral,0.0,Neutral,-0.4114711582660675,Negative
2022 ❤,0.6369,Positive,0.0,Neutral,0.2993581593036651,Neutral
"Hasta ahora e escuchado 3 canciones de esta combi y las 3 están muy cabronas, tienen que hacer algo nuevo",0.0,Neutral,0.1454545454545454,Neutral,0.2602586448192596,Neutral
Xd,0.5859,Positive,0.0,Neutral,0.4124718010425567,Positive
D,0.0,Neutral,0.0,Neutral,0.2499866187572479,Neutral
Red gxruwyzw,0.0,Neutral,0.0,Neutral,0.3731651902198791,Positive
Pasan los años y no puedo superar este temazo.,0.0,Neutral,0.0,Neutral,0.4155668616294861,Positive
2022 y aún sigo escuchando este palo🥴,0.0,Neutral,0.0,Neutral,0.5269637703895569,Positive
Palooo aún en el 2022,0.0,Neutral,0.0,Neutral,-0.2637603878974914,Negative
.,0.0,Neutral,0.0,Neutral,0.2539338767528534,Neutral
"2016:temazoo💥
2022:temazo💥💥💥",-0.5994,Negative,0.8,Positive,0.2545236349105835,Neutral
"Q basura es esto!!!! Letra de mierda ""soy tuyo desde q te lo metí??? Yo te hago sentir mujer cada vez q te torturó??? Te gusta q te de bien duro????"""" , Q asco",-0.835,Negative,-0.1972222222222222,Negative,-0.7763576507568359,Negative
2022 y seguimos escuchando este himno 🔥🔥,-0.5859,Negative,0.0,Neutral,0.6322723031044006,Positive
Temazo,0.6249,Positive,0.8,Positive,0.2918783724308014,Neutral
Quiero cambiarte la vidaaaa❤️🔥,-0.2732,Negative,0.0,Neutral,0.2526038587093353,Neutral
Volviendo al 2017,0.0,Neutral,0.0,Neutral,0.2775426208972931,Neutral
1:13 ahi esta,0.0,Neutral,0.0,Neutral,-0.2772469818592071,Negative
🖤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
Quien sigue escuchando este temaso  2022 ❤️,0.0,Neutral,0.0,Neutral,0.5663818717002869,Positive
2022,0.0,Neutral,0.0,Neutral,0.2900533974170685,Neutral
"quiero cambiarte la vidaaaaaaaa, bby déjame sanar tus heridaaaas <  3",0.0772,Positive,1.0,Positive,0.3536273241043091,Positive
Joa temon,0.0,Neutral,0.0,Neutral,0.2799735069274902,Neutral
UNA JOYA DEL PASADO,0.3612,Positive,-0.25,Negative,0.6758599877357483,Positive
Uffff recordado este temazo 🔥🔥🔥,-0.7351,Negative,0.0,Neutral,0.3390298783779144,Positive
Pa don’t want you guys in my life I know that you’re the only woman I’ve seen that I have never ever been there in my heart I hope,0.8126,Positive,0.0,Neutral,0.4408950805664062,Positive
"Baby obvio no eres la primera , pero eres la verdadera 🖤🖤",0.9274,Positive,0.15,Neutral,0.3640903234481811,Positive
No mamen todos alabando estas rolas pero cuando salieron las criticaron.,-0.538,Negative,0.0,Neutral,-0.3630955815315246,Negative
5 años de está Maravilla...Como pasa él tiempo locooo.;,-0.34,Negative,-0.6,Negative,0.9133163690567015,Positive
La parte de bad 🪐,-0.5423,Negative,-0.6999999999999998,Negative,-0.2647357583045959,Negative
Gente de cultura escuchando alto temon...!,-0.5411,Negative,0.125,Neutral,0.4003959000110626,Positive
Temaikén y sigue explotando!,0.0,Neutral,0.0,Neutral,-0.3411643803119659,Negative
1:13,0.0,Neutral,0.0,Neutral,-0.2247857600450515,Negative
💗✨🛐,0.8555,Positive,0.0,Neutral,0.3085779249668121,Neutral
porque toy puesto pati :) 2:30 2:40,0.4588,Positive,0.5,Positive,-0.2955929338932037,Negative
UN TEMAZO EN SUS TIEMPOS Y HASTA AHORA LA ROMPE,0.6249,Positive,0.8,Positive,0.2865341901779175,Neutral
"Que terrible letra, todo luego. No sé como pueden escuchar, ¿Estarán sordos?.",-0.4767,Negative,-0.5,Negative,-0.8078824877738953,Negative
no,-0.296,Negative,0.0,Neutral,-0.531922459602356,Negative
WOW UN EXITO,0.8176,Positive,0.2,Neutral,0.8302612900733948,Positive
🥵👿,-0.5106,Negative,0.0,Neutral,0.3085779249668121,Neutral
14 de febrero del 2022 😞💔,-0.25,Negative,0.0,Neutral,-0.462462842464447,Negative
Tema,0.0,Neutral,0.0,Neutral,0.2727600336074829,Neutral
❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Me encantaaaaaaaa esta canción,0.0,Neutral,0.0,Neutral,0.724105179309845,Positive
0:44 😍,0.4588,Positive,0.0,Neutral,-0.4707148671150207,Negative
💗2022💗,0.765,Positive,0.0,Neutral,0.3085779249668121,Neutral
2:03 ✨,0.3182,Positive,0.0,Neutral,-0.2661415040493011,Negative
Que asco me sangran los oidos,-0.5267,Negative,-1.0,Negative,-0.4559398889541626,Negative
Quien escuchando este tema en 2022,0.0,Neutral,0.0,Neutral,0.3832426965236664,Positive
quien más quisiera un tema nuevo de ellos 2 juntos ahora 🙏,0.3612,Positive,0.1363636363636363,Neutral,0.4518313109874725,Positive
sin duda lo mejor,0.7438,Positive,1.0,Positive,0.7207950353622437,Positive
TemAZO'¡,0.6249,Positive,0.8,Positive,0.2803367674350738,Neutral
Amo Bad buni😍😍😍,0.8658,Positive,-0.0999999999999999,Negative,-0.6302518844604492,Negative
Que perra canción 😛,-0.5859,Negative,0.0,Neutral,0.34056356549263,Positive
Son hombres enfermos que no tienen nada más q inventar,-0.5106,Negative,-0.1071428571428571,Negative,-0.4394065141677856,Negative
Porquería de letra,-0.3818,Negative,-0.8,Negative,-0.3690755069255829,Negative
Soy mujer pero me gusta este disco💕💕💕,0.9753,Positive,0.0,Neutral,0.4452553987503052,Positive
Extraño este tipo de canciones,-0.1531,Negative,0.6,Positive,0.3921436071395874,Positive
"2022 y este tema entre más se añeja, más bueno es",0.4404,Positive,0.3333333333333333,Positive,0.3138418793678283,Neutral
🥺🥺🥺,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Que porquería esa,-0.3818,Negative,-0.8,Negative,-0.3359504640102386,Negative
Sabiendo que yo estoy puesto pa ti,0.0,Neutral,0.0,Neutral,-0.3313346207141876,Negative
Todos aquí llegarán después del 14 de debe bien dolidos,-0.3182,Negative,0.0,Neutral,-0.307159274816513,Negative
1:12 la mejor parte,0.6369,Positive,1.0,Positive,0.701789379119873,Positive
Regrésenme al 2016-2017 😞,-0.4767,Negative,0.0,Neutral,0.2951480448246002,Neutral
"En Pleno 2022 Escuchando Esta Joyaa, Esto Si Es Trap, Desde Guadalajara, México 😈📉💗",0.8582,Positive,0.35,Positive,-0.4531483948230743,Negative
Uff si q temazo 🔥🔥🔥🔥🔥🔥🔥🔥🔥,-0.8957,Negative,0.8,Positive,0.2515794634819031,Neutral
Menso temaaaa ctm,0.0,Neutral,0.0,Neutral,0.2547605037689209,Neutral
Good🤑🤙,0.7269,Positive,0.0,Neutral,0.3085779249668121,Neutral
Un clásico,0.0,Neutral,0.1666666666666666,Neutral,0.4441166222095489,Positive
Quién en 2022❤️ temazoooo💥,-0.3612,Negative,0.0,Neutral,0.4500566720962524,Positive
dile a tu ex que no se pase de listo o le mandé un pasaje pa allá con jesucristo💅,-0.3089,Negative,0.2142857142857142,Neutral,-0.3917596638202667,Negative
Simplemente la rompieron ❤️✌️,-0.4215,Negative,0.0,Neutral,-0.7006562948226929,Negative
no puede ser tan buenaaaa diooooooooos,-0.3412,Negative,0.7,Positive,-0.4771721363067627,Negative
duele más q nunca esto.,-0.4767,Negative,0.5,Positive,-0.5340757966041565,Negative
2022 presente 🎉🎉🎉🎉🍹🍹🍹,0.8689,Positive,0.0,Neutral,0.5061110854148865,Positive
1:10 de nada,0.4588,Positive,0.8,Positive,-0.6768792867660522,Negative
alguien que me dedique esta canción 😩😭.. ojalá,-0.3612,Negative,0.0,Neutral,-0.3562499582767486,Negative
Alguien en 2022 sigue escuchando este temazo 👌👏,0.7297,Positive,0.0,Neutral,-0.3643448650836944,Negative
Arrepentidisimo de no haberla valorado cuando salio xD,0.2025,Positive,-0.65,Negative,-0.6722622513771057,Negative
QUIEN LO ESCUCHA EN EL 2022,0.0,Neutral,0.0,Neutral,0.2897232174873352,Neutral
2022 💰,0.0,Neutral,0.0,Neutral,0.2993581593036651,Neutral
2022 escuchando esta joyita,0.0,Neutral,0.0,Neutral,0.4645920991897583,Positive
