Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
i love song verry sad and nice,0.5994,Positive,0.19999999999999998,Netural,0.4946092665195465,Positive
Hge gfsbvf🥰🥰,0.9393,Positive,0.0,Netural,0.334757000207901,Positive
I love you al,0.6369,Positive,0.5,Positive,0.82530677318573,Positive
Hola 👋,0.4939,Positive,0.0,Netural,0.2730221152305603,Netural
I want something just like this 🎵,0.4215,Positive,0.0,Netural,0.455904483795166,Positive
i love that song,0.6369,Positive,0.5,Positive,0.7757577300071716,Positive
This song is so good 😻😻😻😻😻,0.9585,Positive,0.7,Positive,0.6293884515762329,Positive
Iove,0.0,Neutral,0.0,Netural,0.2632383704185486,Netural
l love this song,0.802,Positive,0.5,Positive,0.820064127445221,Positive
Lovely 💞,0.8442,Positive,0.5,Positive,0.6110836267471313,Positive
the song is nice,0.4215,Positive,0.6,Positive,0.46753060817718506,Positive
💘💘💗💗wow💝💝💖💖💞💞,0.9931,Positive,0.0,Netural,0.30857792496681213,Netural
👍👍👍😘LOVE You,0.0,Neutral,0.0,Netural,0.4013252556324005,Positive
LOVE🥰You,0.8374,Positive,0.0,Netural,0.30857792496681213,Netural
🦋🌈,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
How many channels do you have,0.0,Neutral,0.5,Positive,0.30161985754966736,Netural
I love you shiny Nikki,0.6369,Positive,0.5,Positive,0.8022664785385132,Positive
"😢😢😢😢😢😦💗💗💗💗😍😍😍😍😍,a,kkkaoooe,",0.9623,Positive,0.0,Netural,0.2450469583272934,Netural
This is song beautiful,0.5994,Positive,0.85,Positive,0.7444486618041992,Positive
how years are this,0.0,Neutral,0.0,Netural,0.635792076587677,Positive
Cute,0.4588,Positive,0.5,Positive,0.45433342456817627,Positive
Ich hab es tausendmal geguckt und ich  finde es einfach cool!😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,0.9311,Positive,0.546875,Positive,0.872723400592804,Positive
Nice love video,0.7906,Positive,0.55,Positive,0.48530063033103943,Positive
🧕👩‍🦽💖🇲🇨💐aku yakin bahwa cita-citaku akan terwujud nantinya doakan saja jika aku 🙏🙏🦸‍♀️🩺💉💊🩹🔬,0.8442,Positive,0.2833333333333333,Netural,0.3264423608779907,Netural
wow that dress is expired by princess starfrost in royale high,0.5859,Positive,0.13,Netural,0.7500471472740173,Positive
who sang this song?,0.0,Neutral,0.0,Netural,-0.3455516993999481,Negative
Lol,0.4215,Positive,0.8,Positive,0.25069501996040344,Netural
