Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Yoooo,0.0,Neutral,0.0,Neutral,0.2503791451454162,Neutral
Yo,0.0,Neutral,0.0,Neutral,0.2984107434749603,Neutral
Ótimas músicas :-),0.7506,Positive,0.65,Positive,0.4156862795352936,Positive
are you  are ozuna,0.0,Neutral,0.0,Neutral,0.2484645992517471,Neutral
you  are  the  ozuna,0.0,Neutral,0.0,Neutral,0.3698053359985351,Positive
𝓆𝓊𝒾𝑒𝓃 𝑒𝓈𝒸𝓊𝒸𝒽𝒶 𝑒𝓈𝓉𝑜 𝑒𝓃 𝟤𝟢𝟤𝟤? 😎,0.5204,Positive,0.0,Neutral,-0.3282046020030975,Negative
En este mix de Ozuna tiene canciones q tengo tiempo q no las escuchaba,0.0,Neutral,-0.05,Negative,-0.3181192278861999,Negative
La época dorada 🥰,0.8074,Positive,0.3,Neutral,0.2911418378353119,Neutral
Si escuchas esto mientras juegas juegos de terror ya no da miedo,-0.0701,Negative,0.25,Neutral,0.271872729063034,Neutral
Por favor y que las mejores,0.7579,Positive,1.0,Positive,0.6018628478050232,Positive
Eu sou apaixonada pelo Espoñhol queria ir para Argentina pode Estuda Espoñhol 😍🇧🇷🇧🇷🇧🇷,0.802,Positive,0.5,Positive,0.2500888705253601,Neutral
Me encanta me sirvió mucho para entretenerme en mis tareas y también me sirvió para esta cuarentena 😁😁,0.91,Positive,0.5,Positive,0.8267899751663208,Positive
Me dormi con la musica,0.0,Neutral,0.0,Neutral,0.3000987768173218,Neutral
Ya estamos en 2022 que temas,0.0,Neutral,0.0,Neutral,0.2248327583074569,Neutral
Yooo,0.0,Neutral,0.0,Neutral,0.2558045387268066,Neutral
Yo,0.0,Neutral,0.0,Neutral,0.2984107434749603,Neutral
Súper chida,0.5994,Positive,0.3333333333333333,Positive,0.7601664066314697,Positive
Es un RTC,0.0,Neutral,0.0,Neutral,0.3009997904300689,Neutral
Criminal ooo,-0.5267,Negative,-0.4,Negative,-0.4901401698589325,Negative
👍,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Ami me encanta esas casiones,0.6369,Positive,0.5,Positive,0.7638216614723206,Positive
🤘músicas bellas ❤️,0.0,Neutral,0.0,Neutral,0.4867246448993683,Positive
En la intimidad 🤝,0.0,Neutral,0.0,Neutral,0.4788704812526703,Positive
Hola wooool y no se acabó el y se acabó el partido del sábado en centro de salud de días se pueden comunicar contigo en la vagancia de la vagancia y se acabó el y el otro no se puede decir el y se pueden hacer,0.0,Neutral,-0.25,Negative,-0.6742662787437439,Negative
Adoro mis ojos lindos siempre adelante me encanta  sus canciones,0.9001,Positive,0.375,Positive,0.7636980414390564,Positive
Jajajajjaja,0.0,Neutral,0.2,Neutral,0.3002859950065613,Neutral
yo la escucho mientars que hago tarea,0.0,Neutral,0.0,Neutral,0.2379660308361053,Neutral
Yo la escucho cuando aguo tarea,0.0,Neutral,0.0,Neutral,0.2416675388813018,Neutral
Díganme que no soy la única que escucha esta música en 2022 😄💜🤧,0.8658,Positive,0.0,Neutral,-0.4938056170940399,Negative
Mientras trabajo escucho estos temas 😎😎😎,0.8402,Positive,0.0,Neutral,0.4022136926651001,Positive
excelente música,0.5719,Positive,1.0,Positive,0.7358380556106567,Positive
1vs1 and get vs day,0.0,Neutral,0.0,Neutral,0.4649051427841186,Positive
1vs1 and get vs day,0.0,Neutral,0.0,Neutral,0.4649051427841186,Positive
bruh,0.0,Neutral,0.0,Neutral,-0.3869259357452392,Negative
👉👈⚡,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
💗😍😍😍😎😍,0.9633,Positive,0.0,Neutral,0.3085779249668121,Neutral
Descárgalo,0.0,Neutral,0.0,Neutral,-0.5353598594665527,Negative
Felicidades Ozuna,0.5994,Positive,0.0,Neutral,0.521151602268219,Positive
El mejor,0.6369,Positive,1.0,Positive,0.8393970727920532,Positive
💑💑💑💑💑,0.9719,Positive,0.0,Neutral,0.3085779249668121,Neutral
Yo,0.0,Neutral,0.0,Neutral,0.2984107434749603,Neutral
👍👍,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
"0:00 CRIMINAL
4:35 AHORA DICE 
9:15 ESCAPATE CONMINGO
13:47 EL FARSANTE REMIX
18:47 SE PREPARO
22:38 EL FARSANTE
26:29 SIGUELO BAILANDO
31:56 TU FOTO
35:40 LA ROMPE CORAZONES
39:04 TE VAS
42:22 ME NIEGO
47:48 DILE QUE TU ME QUIERES
52:17 LA OCASION
58:30 SOLITA
1:04:23  EN LA INTIMIDAD
1:08:38 LA ROMPE CORAZONES
1:12:20 CORAZON DE SEDA
1:15:27 QUE VA
1:19:32 TE FUISTE
1:24:00 QUIERO REPETIR

alguien mas en 2022",0.9578,Positive,0.075,Neutral,-0.6613173484802246,Negative
Kurtz ma kante,0.0,Neutral,0.0,Neutral,0.3627864122390747,Positive
La verdad esque lo estoy escuchando mientras me duchaba xD,0.7269,Positive,0.0,Neutral,0.3923089206218719,Positive
Por fa,0.3182,Positive,0.0,Neutral,0.2853263020515442,Neutral
Mix de Karol G,0.0,Neutral,0.0,Neutral,0.3268093466758728,Neutral
Quien escucha esta música mientras limpia,0.0,Neutral,0.0,Neutral,0.4443683922290802,Positive
Qwwudixoxkfoof,0.0,Neutral,0.0,Neutral,-0.2920925319194793,Negative
I love Ozuna in 2022!!!!,0.7482,Positive,1.0,Positive,0.8494828939437866,Positive
Canciones bonitas 👍🤝😻🥰❤️‍🔥❤️‍🔥❤️‍🔥,0.8402,Positive,0.85,Positive,0.416947066783905,Positive
Ozuna es el mejor cantante urbano de regueton libra por libra sin duda melodies y rap y malianteo un flow cabron,0.4234,Positive,0.5,Positive,0.5508670806884766,Positive
Me gusta escuchar estl mientras me cojo a mi prima lo hace mas relajante 🤑,0.3597,Positive,0.0499999999999999,Neutral,0.4681271314620971,Positive
Quién apoya a ozuna✿❀♡,0.3612,Positive,0.0,Neutral,0.5073854923248291,Positive
Escucha estas canciones cuando ordenó mi cuarto ❀✿😁😁😁,0.8402,Positive,0.0,Neutral,-0.3448442220687866,Negative
hasta abajo 😀😊,0.8176,Positive,-0.1555555555555555,Negative,0.2702231109142303,Neutral
HoaI,0.0,Neutral,0.0,Neutral,-0.2765280306339264,Negative
Que bonito me encanta mucho 😍😍😍❤🤎❤🤎💜🧡💜🧡💜🧡💜,0.9939,Positive,0.5166666666666667,Positive,0.7772379517555237,Positive
te amo❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥💞💞💞💞💞,0.743,Positive,0.5,Positive,0.2497098594903946,Neutral
❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥💋💋💋💋💋💋💋❤‍🩹💝💝💝💝💝💝💝💝💝💘💘❤💋💋💋💋❤‍🔥❤‍🔥💯💔💔💔💯💯💯💯💯💯💯💯💯,0.9808,Positive,0.0,Neutral,0.3085779249668121,Neutral
Insuperable !!!!,0.0,Neutral,0.0,Neutral,0.8291173577308655,Positive
las mejores musicas,0.6369,Positive,1.0,Positive,0.8955588936805725,Positive
Mencata el mix,0.0,Neutral,0.0,Neutral,0.2424727827310562,Neutral
Fwjw,0.0,Neutral,0.0,Neutral,0.2772713303565979,Neutral
J Java k  mas desv l,0.4588,Positive,0.0,Neutral,0.3130143284797668,Neutral
En los le,0.0,Neutral,0.0,Neutral,0.240112155675888,Neutral
Lamejor  música,0.6369,Positive,1.0,Positive,-0.2571314573287964,Negative
