Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Volvió macho volviooo #23,0.0,Neutral,0.0,Netural,-0.4735128581523895,Negative
#23,0.0,Neutral,0.0,Netural,0.22761665284633636,Netural
Rkeierkire no eq no se q que q onda el aquí y no te q que q onda que haces amiga que acá también te quiero y te extraño mucho 😌🥺🥺 qué que ir para allá gracias por todo lo de la plaza del sol acá en 1r,0.8779,Positive,0.35,Positive,-0.32893726229667664,Negative
quien  no de  me gusta a esta joya no merece vivir,0.1938,Positive,0.13636363636363635,Netural,-0.633796751499176,Negative
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you! 💓💗,0.9806,Positive,0.0787037037037037,Netural,0.8224565982818604,Positive
Estoy  perdido en el azul de tus ojos,-0.3182,Negative,0.0,Netural,-0.4849616289138794,Negative
"🎶Mirada fría como la nieve me congela el ADN🎶. Hubiera quedado increible si cantaba y decia eso, igual quedo re piola el tema.🎶",0.5719,Positive,0.15000000000000002,Netural,-0.40066519379615784,Negative
Quien ya 3scucho la ssecion,0.0,Neutral,0.0,Netural,-0.44736871123313904,Negative
Ojalá me  escriba paulo Londra,0.4404,Positive,0.0,Netural,-0.26410341262817383,Negative
"""Nena maldicion yo, yo ni la conozco pero jugaria con vos""",0.3071,Positive,0.0,Netural,-0.4151468276977539,Negative
ya volvioo AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,0.0,Neutral,0.0,Netural,-0.5055336952209473,Negative
"Letra: 

Hey baby, no (Oh oh oh)
¿No ves que me estoy muriendo?
¿Porque un ratito me regales tu atención? (Oh oh oh)
Estoy perdido en ese azul de tus ojos, yeah

Hey baby, no (No oh oh)
¿No ves que me estoy muriendo?
¿Porque un ratito me regales tu atención? (Oh oh oh)
Estoy perdido en el azul de tus ojos, yeah

Nena maldición
Nena maldición
Yo ni te conozco pero jugaría con vos

Nena maldición, hey
Nena maldición, yo
Yo ni la conozco pero jugaría con vos

Mirada fría como la nieve
Me congela hasta no dar má'
Si me toca hace que me eleve
Hasta ni ver to'a la ciudad

Compraría lo que ella quiere
Con tal que venga para acá
Estaríamos como se debe
Relajados sin un problema

Seguro tiene mil pretendientes
Pero ni uno valiente
Para hacerle ternura
Sin miedo a qué diga la gente

Yo sé bien lo que siente
Sé muy bien lo que siente
Que todos somos iguales
Con los mismos errores de siempre

Hey baby, no (Oh oh oh, no oh oh)
¿No ves que me estoy muriendo?
¿Porque un ratito me regales tu atención? (Oh oh oh)
Estoy perdido en el azul de tus ojos, yeah

Nena maldición, hey
Nena maldición, yo'
Yo ni la conozco pero jugaría con vos

Nena maldición
Nena maldición
Yo ni te conozco pero jugaría con vos

Úsame, úsame, úsame
Hazme tuyo, dale, bésame
Como en el colegio vamos a aprender
Quemando vemos el amanecer

Y salimos
Con los ojos azules (Zu zule)
Yo con los ojos rojos (Ro rojos)
Se te seca la boca y con mi lengua, te la remojo

Quiero ser Messi, tú mi Antonella
Prepárate pa' vivir una novela
Soy exclusivo, no de cualquiera
Por eso quiero que tú seas mi nena
Por siempre mi nena (Yo)

Hey baby, no (Oh oh oh)
¿No ves que me estoy muriendo?
¿Porque un ratito me regales tu atención? (Oh oh oh)
Estoy perdido en ese azul de tus ojos (Yeah)

Hey baby, no (No oh oh)
¿No ves que me estoy muriendo?
¿Porque un ratito me regales tu atención? (Oh oh oh)
Estoy perdido en el azul de tus ojos, yeah

Ovy On The Drums (On the drums, on the drums, on the drums, yeah)
Paulo Londra
Lenny Tavárez, baby
Big Ligas
Ando con Paulo Londra
Los blanquitos preferidos de todas las babies
Ovy On The Drums
Lo que hagamos con el destino, prrr (Gang)
This is the Hollywood",0.6387,Positive,0.02869644723092998,Netural,-0.29420068860054016,Negative
1:22 para una chica trans,0.0,Neutral,0.0,Netural,-0.2397080957889557,Negative
Te pudiste escapar de esos hp .. tu puedes paulo .,0.1779,Positive,0.5,Positive,-0.6724418997764587,Negative
Quien sigue escuchando este gran temaso de Paulo?🔥,0.5385,Positive,0.8,Positive,0.5865607261657715,Positive
2030 🖕🌍🌎🌏🇦🇷👏🙌 volvió,0.0,Neutral,0.0,Netural,-0.26967570185661316,Negative
"Esto eran buenos temas
No como los de ahora",0.1999,Positive,0.7,Positive,-0.36746373772621155,Negative
Fyyffy,0.0,Neutral,0.0,Netural,0.2422797530889511,Netural
LIKE SI ESCUCHAS EN 2022,0.4995,Positive,0.0,Netural,0.3221950829029083,Netural
2019?,0.0,Neutral,0.0,Netural,-0.325598806142807,Negative
Quien escuchando esta cancion en el 2022🍃,0.0,Neutral,0.0,Netural,0.4154086709022522,Positive
Vengo después de la session.. vuelvo porque volviste wacho!,0.6239,Positive,0.041666666666666664,Netural,-0.5407276153564453,Negative
Aquí uffff 2022,0.0,Neutral,0.0,Netural,0.2882198989391327,Netural
Sigo aquí escuchando este puta canción como si fuera ayer que salio pibe💯✌🏻,0.4939,Positive,-0.6,Negative,0.3707062900066376,Positive
Pensar que hoy salió la bzrp session,0.0,Neutral,0.0,Netural,-0.26206979155540466,Negative
"Escuchando un clásico de clásicos, relajao sin ningún problema 🥴",0.6319,Positive,0.16666666666666666,Netural,0.565841555595398,Positive
Gran temazo este ya hacen 4 años,0.6249,Positive,0.8,Positive,0.7483060359954834,Positive
Like si amas ese clásico ;),0.8225,Positive,0.3055555555555555,Netural,0.43775951862335205,Positive
2022 después de escucha su sesión,0.0,Neutral,0.0,Netural,-0.3209992051124573,Negative
1077 millones de vistas????,0.0,Neutral,0.0,Netural,-0.5603421330451965,Negative
Sinceramente la parte de lenny le da el toque al tema,0.4588,Positive,0.6,Positive,0.4400239586830139,Positive
😎👍🎵🎵🎵 Nena Maldición,0.0772,Positive,0.0,Netural,-0.41300904750823975,Negative
Todos los comentarios de marzo y yo  en abril esperando otro TEMAZO de estos,0.0,Neutral,0.0,Netural,-0.4151240587234497,Negative
"2018, vuelveeee",0.0,Neutral,0.0,Netural,-0.28217506408691406,Negative
"Hey baby, no (Oh oh oh)
¿No ves que me estoy muriendo?
¿Porque un ratito me regales tu atención? (Oh oh oh)
Estoy perdido en ese azul de tus ojos, yeah
Hey baby, no (No oh oh)
¿No ves que me estoy muriendo?
¿Porque un ratito me regales tu atención? (Oh oh oh)
Estoy perdido en el azul de tus ojos, yeah
Nena maldición
Nena maldición
Yo ni te conozco pero jugaría con vos
Nena maldición, hey
Nena maldición, yo
Yo ni la conozco pero jugaría con vos
Mirada fría como la nieve
Me congela hasta no dar má'
Si me toca hace que me eleve
Hasta ni ver to'a la ciudad
Compraría lo que ella quiere
Con tal que venga para acá
Estaríamos como se debe
Relajados sin un problema
Seguro tiene mil pretendientes
Pero ni uno valiente
Para hacerle ternura
Sin miedo a qué diga la gente
Yo sé bien lo que siente
Sé muy bien lo que siente
Que todos somos iguales
Con los mismos errores de siempre
Hey baby, no (Oh oh oh, no oh oh)
¿No ves que me estoy muriendo?
¿Porque un ratito me regales tu atención? (Oh oh oh)
Estoy perdido en el azul de tus ojos, yeah
Nena maldición, hey
Nena maldición, yo'
Yo ni la conozco pero jugaría con vos
Nena maldición
Nena maldición
Yo ni te conozco pero jugaría con vos
Úsame, úsame, úsame
Hazme tuyo, dale, bésame
Como en el colegio vamos a aprender
Quemando vemos el amanecer
Y salimos
Con los ojos azules (Zu zule)
Yo con los ojos rojos (Ro rojos)
Se te seca la boca y con mi lengua, te la remojo
Quiero ser Messi, tú mi Antonella
Prepárate pa' vivir una novela
Soy exclusivo, no de cualquiera
Por eso quiero que tú seas mi nena
Por siempre mi nena (Yo)
Hey baby, no (Oh oh oh)
¿No ves que me estoy muriendo?
¿Porque un ratito me regales tu atención? (Oh oh oh)
Estoy perdido en ese azul de tus ojos (Yeah)
Hey baby, no (No oh oh)
¿No ves que me estoy muriendo?
¿Porque un ratito me regales tu atención? (Oh oh oh)
Estoy perdido en el azul de tus ojos, yeah
Ovy On The Drums (On the drums, on the drums, on the drums, yeah)
Paulo Londra
Lenny Tavárez, baby
Big Ligas
Ando con Paulo Londra
Los blanquitos preferidos de todas las babies
Ovy On The Drums
Lo que hagamos con el destino, prrr (Gang)
This is the Hollywood squad, yeah",0.7914,Positive,0.02869644723092998,Netural,-0.32571786642074585,Negative
Quien aquí después de la BzRP Session??,0.0,Neutral,0.0,Netural,-0.4049830436706543,Negative
"amigo salió el tema con el biza, ya puedo morir en paz. nose pq comento acá pero bueno",0.5719,Positive,0.5,Positive,0.3268406391143799,Netural
Cuando nadie conocia a lenyn tavarez jaja,0.4588,Positive,0.2,Netural,-0.39892637729644775,Negative
PAULO LONDRA IS BACK,0.0,Neutral,0.0,Netural,-0.2917516827583313,Negative
Grande,0.0,Neutral,0.0,Netural,0.5010635852813721,Positive
