Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"i hope Soojin  Rises like a Phoenix 🔥,
she is the Flame 🔥and Fire 🔥 of (G)I-DLE",-0.2023,Negative,0.0,Netural,0.2893737554550171,Netural
a Miyeon nesse MV.....#+#-@&@+@,0.0,Neutral,0.0,Netural,0.3780065178871155,Positive
Legends 120M señorita this and gidle channel congrat,0.0,Neutral,0.0,Netural,0.5287930965423584,Positive
"Oh, I like this song so cool. 😀",0.8058,Positive,0.35,Positive,0.7426012754440308,Positive
Я из 2022 года,0.0,Neutral,0.0,Netural,0.40686294436454773,Positive
"The most toxic stans are blinks
They used to talk shit about soojin and now she is gone
Are they finally happy now?",0.0258,Neutral,0.3666666666666667,Positive,-0.3792998194694519,Negative
"Plz don't stream this song here 🙏
Plz stream this song on gidle's channel the thumbnail is soojin plz🙏💜👍",0.7269,Positive,0.0,Netural,-0.796744167804718,Negative
"Hi everyone! (G)I-DLE is coming back on March. The exact date hasn’t been confirmed yet but please look forward to it!
It’s been more than a year since their last comeback, and they’re going to be up against other big groups, so we really need to gear up!
For international fans, let’s show our support by voting, increasing the album sales, streaming the MV/songs through YouTube and Spotify, and promoting the girls on FB, Instagram, Twitter, and TikTok.
They’ve been through a lot last year… Let’s make 2022 a better year for (G)I-DLE. Fighting!",0.9103,Positive,0.18181818181818182,Netural,0.3980635702610016,Positive
2022?,0.0,Neutral,0.0,Netural,-0.3836294710636139,Negative
I love them with all my heart!,0.8655,Positive,0.625,Positive,0.9114233255386353,Positive
Soojin was too attractive in this video,0.4404,Positive,0.8,Positive,-0.4609023332595825,Negative
Soojin owns this era tho :(,-0.4404,Negative,-0.75,Negative,0.40519893169403076,Positive
G-IDLE is underrated girl group and specially SOYEON 🙁,-0.2748,Negative,0.35714285714285715,Positive,0.5255202651023865,Positive
0:17 who is she?,0.0,Neutral,0.0,Netural,-0.5314260721206665,Negative
"why did soojin leave?
even though he is very talented",0.5256,Positive,0.9099999999999999,Positive,0.25311392545700073,Netural
2Yeon forever.,0.0,Neutral,0.0,Netural,0.5859783887863159,Positive
"0:17 she is beautiful and divine ,
who is she ?
no human can be that Divine and Beautiful",0.93,Positive,0.5666666666666667,Positive,0.45131245255470276,Positive
Bring soojin back!!!,0.0,Neutral,0.0,Netural,-0.6634165644645691,Negative
Korean girls became super gorgeous overnight! blindsided Lmfao how'd that happen??,0.9194,Positive,0.6041666666666666,Positive,0.4799874424934387,Positive
Conclusion: don't visit this hotel if you don't want to die,0.4449,Positive,0.0,Netural,-0.5244371891021729,Negative
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
Msmsk,0.0,Neutral,0.0,Netural,0.2677380442619324,Netural
Nsmsk,0.0,Neutral,0.0,Netural,0.24161621928215027,Netural
Ksksnw,0.0,Neutral,0.0,Netural,0.36235499382019043,Positive
Nzkos,0.0,Neutral,0.0,Netural,0.24479423463344574,Netural
Psjsbw,0.0,Neutral,0.0,Netural,0.26938772201538086,Netural
Mslslsb,0.0,Neutral,0.0,Netural,0.2661873698234558,Netural
Jskskwn,0.0,Neutral,0.0,Netural,0.24901162087917328,Netural
Ksksb,0.0,Neutral,0.0,Netural,0.34229058027267456,Positive
Bnnn,0.0,Neutral,0.0,Netural,0.24131804704666138,Netural
Nemsk,0.0,Neutral,0.0,Netural,-0.4029633104801178,Negative
Mkk l,0.4588,Positive,0.0,Netural,0.2565886676311493,Netural
Why does Yuqi smell like a mens’ restroom? Is that what snow is? DaXue is an entire season. What the cold is South Korea? Does she want to criticize me? Strange media format <—. Where would you bandits be located??  You make USFK look bad. —Poopfart—. Is that a bullying charge in Empress South Korea? I don’t mean Yuqi. Did you want to tell me otherwise?,-0.8645,Negative,-0.33249999999999996,Negative,-0.5978351831436157,Negative
(6)I-DLE IS THE BEST GIRL GROUP,0.6369,Positive,1.0,Positive,0.7868297100067139,Positive
LET'S SEE WHO IS WATCHING THIS IN 2022 ?♡♡♡♧♧◇◇◇◇,0.0,Neutral,0.0,Netural,-0.24007415771484375,Negative
I don't know what they saying but by the end of the week I would know...I love them,0.7783,Positive,0.5,Positive,0.48245808482170105,Positive
How to move on from this.,0.0,Neutral,0.0,Netural,0.46532151103019714,Positive
i wait for Version Spanish :c,-0.4767,Negative,-0.375,Negative,-0.30676621198654175,Negative
SOOJIN I MISS YOU GIRL,-0.1531,Negative,0.0,Netural,0.2614589035511017,Netural
Shuhua ♥️,0.6369,Positive,0.0,Netural,0.29543259739875793,Netural
소연이가젤이쁘네요~^~^,0.4939,Positive,0.25,Netural,0.2532171905040741,Netural
WOW,0.5859,Positive,0.1,Netural,0.6995608806610107,Positive
fiesty,0.3612,Positive,0.0,Netural,-0.5981479287147522,Negative
<3,0.4404,Positive,1.0,Positive,0.35808172821998596,Positive
I MISS SOOOOOOOOJIIIIIINNNNNNNNNNNNNNNNNNNNNN,-0.1531,Negative,0.0,Netural,-0.29866424202919006,Negative
Is a Comeback Planing ? So saad that one left the group,0.0,Neutral,0.0,Netural,-0.29933810234069824,Negative
"The room is exploding 
And Soyeon be like: I'm fine lol **licks lollipop**",0.7269,Positive,0.6083333333333334,Positive,-0.4016459584236145,Negative
QUEENS 👑,0.0,Neutral,0.0,Netural,0.38430672883987427,Positive
"""Yu-fu-fu"" and ""Hey senor"".... Unforgettable lines.",0.0,Neutral,0.8,Positive,-0.4105696380138397,Negative
Coming  back this year babyyyy,0.0,Neutral,0.0,Netural,0.45460495352745056,Positive
2022,0.0,Neutral,0.0,Netural,0.2900533974170685,Netural
i miss themmmm as six,-0.1531,Negative,0.0,Netural,0.4254242479801178,Positive
I literally play this song whenever I play League Of Legends lmao,0.8271,Positive,0.6,Positive,-0.46345481276512146,Negative
Gorgeous babe looking so cute...awesome job  honey. Love  💘😻💜💛 and this  song,0.9771,Positive,0.6,Positive,0.926055371761322,Positive
I need coke to vibe to this song😂,0.4404,Positive,0.0,Netural,0.43874725699424744,Positive
💗💗💗,0.9493,Positive,0.0,Netural,0.30857792496681213,Netural
The only true senorita song,0.4215,Positive,0.175,Netural,0.3259037137031555,Netural
I've been singing this for years and I've never thought that people would actually dislike this 💀,-0.3818,Negative,0.0,Netural,0.4627300798892975,Positive
60M here and 60 in channel gidle 120M to señorita,0.0,Neutral,0.0,Netural,-0.2968097925186157,Negative
Ot6,0.0,Neutral,0.0,Netural,0.2329477220773697,Netural
Legends,0.0,Neutral,0.0,Netural,0.541921079158783,Positive
나무 좋아요!!!!,0.7482,Positive,1.0,Positive,0.3272656500339508,Netural
60m,0.0,Neutral,0.0,Netural,0.23821738362312317,Netural
I can't find any new songs of tgem,0.0,Neutral,0.13636363636363635,Netural,-0.2683376967906952,Negative
ok,0.296,Positive,0.5,Positive,0.49511444568634033,Positive
Did cube already remove original from Cube channel! Where the views 100M! Did cube just delete the video from original channel,0.6351,Positive,0.48046875,Positive,-0.5021934509277344,Negative
"seÑorita , ÑÑÑÑÑÑÑÑÑÑÑÑÑÑÑ. no es hate, pero la pronunciación se escucha seno.",0.1776,Positive,0.4,Positive,0.28792649507522583,Netural
Best song and rap just so different from typical rap,0.6369,Positive,0.2777777777777778,Netural,0.8723456859588623,Positive
THIS SONG SLAYED,0.0,Neutral,0.0,Netural,-0.7695712447166443,Negative
