Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Being so racist and then he says it was for fun ,wow man",0.4228,Positive,0.2,Positive,-0.3789732754230499,Negative
"Looking back at this,gosh its really horrible i feel sorry for him.",-0.624,Negative,-0.5,Negative,-0.7322706580162048,Negative
Child who Is Supplying The Marketing Systems And Funds for This Living Material -  How Does that Work? - How Is That Market Stable? Please Explain In The Lords Name -,0.594,Positive,0.0,Neutral,0.2412347644567489,Neutral
I know this is a serious video but I'm from New Zealand and I didn't didn't ow that until now that sub 2 pewdiepie was mentioned in the Christchurch attack,-0.6486,Negative,-0.0984848484848484,Negative,-0.3357243835926056,Negative
Pewdiepie speaking normally and unhumorously feels so satisfying for whatever reason,0.5949,Positive,0.325,Positive,0.4047960638999939,Positive
At first I thought that Pewdipie was being harsh to t series and trust me at that time I was not at anyone's side but now I see that Pewdipie is a very honest and mature person.,0.8803,Positive,0.2325,Positive,0.4366603195667267,Positive
"They are trynna help you
so ungratefull
brat",-0.1513,Negative,0.0,Neutral,0.563336968421936,Positive
Plot twist: T series funded it,0.0,Neutral,0.0,Neutral,0.2558361291885376,Neutral
"What a legend,ending his own meme",0.0,Neutral,0.6,Positive,0.5681199431419373,Positive
I hate tou so much!,-0.6114,Negative,-0.275,Negative,-0.5667407512664795,Negative
Pewedipie loser t-shirt 🇮🇳 never lose  haha,-0.5606,Negative,0.2,Positive,0.280106246471405,Neutral
All I can say is.. 'bruh',0.0,Neutral,0.0,Neutral,0.2372405380010604,Neutral
"You know that guy is a psychopath when he says ""Subscribe to PewDiePie"" to dead people",-0.6486,Negative,-0.2,Negative,-0.4954538345336914,Negative
"And remember lads 

 Subscribe to PewDiePie ;)",0.2263,Positive,0.25,Positive,0.5186564922332764,Positive
"It is said that it started with fun, but the reason why it received such a great response is that Westerners hate the growth and influx of Indian and Eastern cultures. It's not a positive movement, but a fundamentally Genophobic movement.",0.3103,Positive,0.0372727272727272,Positive,-0.4209188222885132,Negative
