Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Just got back from this one. Didn’t think I’d enjoy another Dreamworks film but I did.

Felt a lot like watching Madagascar. Plus, that animation is phenomenal!",0.685,Positive,0.3416666666666666,Positive,0.5120257139205933,Positive
it reminds that this movie is like army of thieves,-0.2023,Negative,0.0,Neutral,0.3793260157108307,Positive
9 days ago,0.0,Neutral,0.0,Neutral,-0.4368848204612732,Negative
i heard the f word,0.0,Neutral,0.0,Neutral,-0.3156292140483856,Negative
The fact that the snake hi fives with his head….it’s just adorable,0.4939,Positive,0.5,Positive,0.6297598481178284,Positive
this looks good,0.4404,Positive,0.7,Positive,0.4543826878070831,Positive
WHEN ZE IMPOSTER IS SUS THROW HIM OFF THE BATTLE BUS,-0.3818,Negative,0.0,Neutral,-0.3688124120235443,Negative
"""Listen up! This is a robbery! We want to harm no one! We're after the bank's money, not yours! Your money is insured by the federal government! You're not gonna lose a dime! Think of your beloved ones! Don't try to be a hero. Just shut up, and stay down, and this will be over in no time!"" -Dallas, PAYDAY: The Heist",0.5756,Positive,0.3402777777777778,Positive,-0.916821837425232,Negative
its very interesting movie!,0.5081,Positive,0.8125,Positive,0.4752998948097229,Positive
I love that movie,0.6369,Positive,0.5,Positive,0.8085817694664001,Positive
"Some referance of Sherlock holmes the french  cartoon , i like that !",0.4199,Positive,0.0,Neutral,0.491941899061203,Positive
"This gives me Madagascar, over the hedge and megamind vibes. Old school dreamworks",0.0,Neutral,0.1,Positive,0.5846233367919922,Positive
Definite Lupin the Third meets Gumball vibe. West finally learning from the East...,0.2732,Positive,0.0,Neutral,0.4199627339839935,Positive
I love it,0.6369,Positive,0.5,Positive,0.8333382606506348,Positive
That musle car is sick af,-0.5106,Negative,-0.7142857142857143,Negative,-0.4606567323207855,Negative
I love this movie,0.6369,Positive,0.5,Positive,0.8822123408317566,Positive
GTA V be like:,0.3612,Positive,0.0,Neutral,0.3852032124996185,Positive
I look id,0.0,Neutral,0.0,Neutral,-0.3600276410579681,Negative
in german: DIE GÄNSTER GANG,0.0,Neutral,0.0,Neutral,0.3263012170791626,Neutral
i like the cake man :{,-0.1027,Negative,-0.75,Negative,0.3972302973270416,Positive
why do i feel bad for the cake man :[,-0.7579,Negative,-0.7249999999999999,Negative,-0.4182571470737457,Negative
Kinda hyped for this,0.0,Neutral,0.0,Neutral,0.6536193490028381,Positive
"You know, “The Bad Guys” is actually a really old book. I believe this movie is based off of it. The book has the Wolf,Snake,shark,pirahna, and spider.

It’s just really cool to see that someone’s making a movie out of it.

I also appreciate that the video is 6:12 instead of just 6",0.2006,Positive,-0.0833333333333333,Negative,0.2991640567779541,Neutral
it gives Lupin The Third vibes,0.0,Neutral,0.0,Neutral,0.3124347925186157,Neutral
"Fun fact, the chief has the same voice actor for Lois from family guy",0.5106,Positive,0.15,Positive,0.5781542062759399,Positive
r34   :(,-0.4404,Negative,-0.75,Negative,0.2632488012313843,Neutral
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
That lighting though,0.0,Neutral,0.0,Neutral,0.3959987461566925,Positive
202020,0.0,Neutral,0.0,Neutral,0.2339022606611251,Neutral
Just saw the movie and it was super fun and adorable. All the characters have such lovable personalities. Piranha was one of my faves. He was so cute. :D <3,0.9793,Positive,0.5166666666666666,Positive,0.6728105545043945,Positive
Ms.tarantula it's my favorite😍,0.7184,Positive,0.0,Neutral,0.5876368880271912,Positive
The amount of work put i  just 6 minutes,0.0,Neutral,0.0,Neutral,-0.2734814584255218,Negative
"C ddrdrdtdffcvcvbbgfgvvvgggchcgfgcgfgg
Pkkhhfycgcgfffyil
Jkjkhjbhhjiiugh
Jhhjhhhhhhjhhghghyhghgggyyyygygyggyyggggg
Zawzasaaaaassddrrrrrfd",0.0,Neutral,0.0,Neutral,-0.3141084909439087,Negative
The Snake Guy reminds me of Rango The Lizard.,0.0,Neutral,0.0,Neutral,0.4225800037384033,Positive
It's just like Disney in the '90s,0.3612,Positive,0.0,Neutral,0.3875114321708679,Positive
Im getting serious nostalgia from the books :),0.4019,Positive,0.0833333333333333,Positive,0.4448506832122803,Positive
"basically gta 5 but criminal animals, snake is the guy on a job listing , tarantula is lester , piranha is trevor , shark is franklin , and wolf is Michael",-0.6808,Negative,-0.4,Negative,0.4012159705162048,Positive
The art style... I'm kind of here for it.,0.0,Neutral,0.6,Positive,0.5684027671813965,Positive
Yo I'm actually gonna enjoy this,0.4939,Positive,0.2,Positive,0.5856667757034302,Positive
That's ...,0.0,Neutral,0.0,Neutral,0.3923957347869873,Positive
tats not actually the start... they missing the first minute or 2 at the start,-0.296,Negative,0.0166666666666666,Positive,-0.359051376581192,Negative
Can someone tell me what song they were singing near the end?,0.0,Neutral,0.1,Positive,-0.3195445835590362,Negative
This looks entertaining. But Lupin the Third is better than this.,0.7003,Positive,0.3333333333333333,Positive,0.5828098058700562,Positive
I HAVE THE BAD GUYS BOOK,-0.5423,Negative,-0.6999999999999998,Negative,0.2688705325126648,Neutral
I did read some of the books and this looks lit,0.0,Neutral,0.0,Neutral,0.3515938818454742,Positive
AcTuAlLy ItS sIx MiNuTeS aNd TwElvE sEcOnDs,0.0,Neutral,0.0,Neutral,-0.3628152012825012,Negative
This is so cool I cant wait to watch this movie! :D,0.8083,Positive,0.71875,Positive,0.7985363006591797,Positive
"Omg i really like how this style, it looks unusual as if from comic, I'm sure that the cartoon came out amazing",0.8357,Positive,0.35,Positive,0.5461258888244629,Positive
funny movie xd,0.7717,Positive,0.25,Positive,0.4006922245025635,Positive
What a great movie,0.6249,Positive,0.8,Positive,0.8581265807151794,Positive
4:12 what’s this song called? 🤘🏻,0.0,Neutral,0.0,Neutral,0.2690075039863586,Neutral
What’s the song they we’re listening to when they were getting chased by cheif,0.0,Neutral,0.0,Neutral,0.3724745213985443,Positive
Ha nooob,0.34,Positive,0.0,Neutral,0.2219967991113662,Neutral
“HaPpY bIrThDaY mr grumpy pants” “I think I hate you” and then when she went back to smiling i thought if I edited this she would day “good :D”,-0.1779,Negative,0.3399999999999999,Positive,0.2834264636039734,Neutral
$999?,0.0,Neutral,0.0,Neutral,-0.6288191676139832,Negative
4:07,0.0,Neutral,0.0,Neutral,0.322329968214035,Neutral
with a hacker u can do anything,0.0,Neutral,0.0,Neutral,0.3352687954902649,Positive
Tbh i'm happy it looks like wolf isn't trying to be good in the movie but not happy that mr.legs is a girl,0.0137,Neutral,0.3666666666666667,Positive,0.5088469982147217,Positive
They can fly LIKE FLI LIKE A FLY,0.7555,Positive,0.8,Positive,0.2700098156929016,Neutral
Is a cool,0.3182,Positive,0.35,Positive,0.4839617609977722,Positive
"As i said when i first saw it
The Big
The Small
The Good
The Bad
The Furries",-0.1531,Negative,2.220446049250313e-17,Positive,0.3414552509784698,Positive
"Oh look, yet another movie where the bad authority figure is a woman because god forbid a male authority figure be portrayed negatively.",-0.4767,Negative,-0.3333333333333332,Negative,-0.5347954034805298,Negative
so happy cartoon to see. i'd like it,0.7574,Positive,0.8,Positive,0.5838028192520142,Positive
.,0.0,Neutral,0.0,Neutral,0.2539338767528534,Neutral
I watched it on the theathers with my parents,0.0,Neutral,0.0,Neutral,0.3167119324207306,Neutral
Is  there going to be a encanto 2,0.0,Neutral,0.0,Neutral,0.5079083442687988,Positive
I used to read there books but this is way better,0.5927,Positive,0.5,Positive,0.4278289079666137,Positive
The bad guys the movie is cool,-0.296,Negative,-0.1749999999999999,Negative,0.4147959351539612,Positive
I already want a sequel,0.0772,Positive,0.0,Neutral,0.283840537071228,Neutral
😆,0.3612,Positive,0.0,Neutral,0.3085779249668121,Neutral
