Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
algum brasileiro apredendo espanhol?❤‍🔥👀,-0.34,Negative,0.0,Neutral,-0.4211250841617584,Negative
Alguém ouvindo em 2022 curte aí 😁,0.6705,Positive,0.0,Neutral,-0.4440376758575439,Negative
Yo soy que bueno conocer la canción,0.4404,Positive,0.7,Positive,0.2785978615283966,Neutral
😢😢😭😭,-0.9081,Negative,0.0,Neutral,0.3085779249668121,Neutral
Quién en 2022,0.0,Neutral,0.0,Neutral,0.3151768445968628,Neutral
alguien mas escuchandola en el  2022,0.0,Neutral,0.0,Neutral,0.2927643358707428,Neutral
Alguien escuchando este tema marzo 19 del 2022?. Que exploten esos likeeeeees,0.0,Neutral,0.0,Neutral,-0.6982083916664124,Negative
a,0.0,Neutral,0.0,Neutral,0.3187072873115539,Neutral
Justin 🐻🤎🇨🇷  2022,0.0,Neutral,0.0,Neutral,0.3935388028621673,Positive
Kien la sigue escuchando esta música en el 2022 ❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.5012045502662659,Positive
Me encanta mucho 😍,0.8166,Positive,0.35,Positive,0.8286153078079224,Positive
Quien más en el 2022,0.0,Neutral,0.0,Neutral,0.4903179109096527,Positive
"admitelo no te aparecio en recomendados, tu la buscate",0.0536,Positive,0.0,Neutral,-0.4733633399009704,Negative
megusta,0.0,Neutral,0.0,Neutral,-0.3069792985916137,Negative
Quien en 2022 ???,0.0,Neutral,0.0,Neutral,-0.5373191833496094,Negative
Ibai cantando el farsante,0.0,Neutral,0.0,Neutral,0.239225149154663,Neutral
Quien 2022 ?,0.0,Neutral,0.0,Neutral,-0.4324970543384552,Negative
Quien activo con este temazo en el 2022? 🤙🏽,0.4939,Positive,0.0,Neutral,-0.4004601538181305,Negative
Yo 2022 quiennnn??,0.0,Neutral,0.0,Neutral,-0.5143826603889465,Negative
