Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I like to see the start at 3 am 🥷🏼,0.3612,Positive,0.0,Neutral,0.4625371992588043,Positive
Oooow,0.0,Neutral,0.0,Neutral,-0.3383067548274994,Negative
Vf,0.0,Neutral,0.0,Neutral,0.3022075295448303,Neutral
Is this supposed to be like the outsiders??,0.4329,Positive,0.0,Neutral,-0.3229342699050903,Negative
"In ""rockstar"" post malone was slicing ninja's like fruits but in here lost a knife fight !?!?!",-0.7805,Negative,0.0,Neutral,-0.3228292465209961,Negative
Saddest vibe 🌀⭕,-0.6124,Negative,0.0,Neutral,-0.6104393601417542,Negative
This video is so sick ♥️😩,-0.2175,Negative,-0.7142857142857143,Negative,-0.839956521987915,Negative
Dopest..2022,0.0,Neutral,0.0,Neutral,-0.3110234439373016,Negative
I'm a artist with barely any attention but ima keep grinding till I get somewhere. My hard work will show itself at the end..,-0.1531,Negative,-0.1208333333333333,Negative,0.3749154806137085,Positive
Remembering the days back in highschool when me and my buddies would walk to the gas station just playing Post Malone at like 2 in the morning not a care in the world,0.171,Positive,0.0,Neutral,0.4163803160190582,Positive
Oh now i know why it is r rated,0.0,Neutral,0.0,Neutral,0.3123445212841034,Neutral
There's no way I could save you when I need saving too haha that's so true 🤣,0.8832,Positive,0.275,Neutral,0.4565024673938751,Positive
https://youtu.be/YqhyJYlYbgU,0.0,Neutral,0.0,Neutral,-0.2279269248247146,Negative
vengo de parte de tesla gaming L4D2,0.0,Neutral,0.0,Neutral,-0.4691832959651947,Negative
Smoking kills,-0.5423,Negative,0.0,Neutral,-0.6829160451889038,Negative
I want you out of my head,0.0772,Positive,0.0,Neutral,0.3724914491176605,Positive
I 😘 this song,0.4215,Positive,0.0,Neutral,0.6188515424728394,Positive
Lasagna beef soup #YONGA fruit basket around 1:44,0.0,Neutral,0.0,Neutral,-0.2467917650938034,Negative
this song is very beautiful this edition also when i hear it on resso it makes me want to see the video says here a brazilian hail Post Malone this edition was the best in the world.,0.8748,Positive,1.0,Positive,0.7375194430351257,Positive
Post Malon play apex légende,0.34,Positive,0.0,Neutral,0.6139098405838013,Positive
