Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Quien mas la esta eyendo en el 2022,0.0,Neutral,0.0,Neutral,0.3027441799640655,Neutral
Yoa smla amoa hos yemosmos ysmoa 🍺🍺🍺🍺😷👈,0.0,Neutral,0.0,Neutral,-0.2576827704906463,Negative
Es mi 2 canción favorita desde el 2020,0.4588,Positive,0.5,Positive,0.7514358758926392,Positive
"Salve tropa ! 
Br aqui 🇧🇷🇧🇷🇧🇷",0.5411,Positive,0.0,Neutral,0.500598669052124,Positive
increive,0.3182,Positive,0.0,Neutral,0.3479116559028625,Positive
😔,0.0772,Positive,0.0,Neutral,0.3085779249668121,Neutral
La canción dice la verdad,0.3182,Positive,0.0,Neutral,0.4384388327598572,Positive
Linda canción,0.4215,Positive,0.6,Positive,0.2871541976928711,Neutral
Némesis soma anal,0.0,Neutral,0.0,Neutral,0.3439665138721466,Positive
Uemla pslos sloslsy sillas,0.0,Neutral,0.0,Neutral,-0.3124169111251831,Negative
Uemosmos solo alosml hos elosllsle slos pslos,0.0,Neutral,0.0,Neutral,-0.4740028083324432,Negative
Uemoa solla smlsloa,0.0,Neutral,0.0,Neutral,0.292998731136322,Neutral
Uemos emoa lamia,0.0,Neutral,0.0,Neutral,-0.2831204533576965,Negative
Porque totalmente,0.0,Neutral,0.0,Neutral,0.2853614091873169,Neutral
Yla usmoa smosal e ml peoa yosgooa horne,0.0,Neutral,0.0,Neutral,-0.3944785296916961,Negative
Yemosmlsl España España smos todo,0.0,Neutral,0.0,Neutral,-0.3352681398391723,Negative
Uemla ma,0.0,Neutral,0.0,Neutral,0.3984166979789734,Positive
Y los,0.0,Neutral,0.0,Neutral,0.3466655910015106,Positive
Yrmoa psmos,0.0,Neutral,0.0,Neutral,0.246882289648056,Neutral
Te amoooo pendejo agrandado!!! 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍🤗😍😍😍😍😍😍😍 MLMA,0.9949,Positive,0.25,Positive,-0.5965011715888977,Negative
Uemosm lulo Yosemite,0.0,Neutral,0.0,Neutral,0.3228233456611633,Neutral
Yo,0.0,Neutral,0.0,Neutral,0.2984107434749603,Neutral
Yo,0.0,Neutral,0.0,Neutral,0.2984107434749603,Neutral
Yo,0.0,Neutral,0.0,Neutral,0.2984107434749603,Neutral
Yemosm psmla amoa ampa amor,0.6369,Positive,0.5,Positive,0.4036885499954223,Positive
Ysmos sólo,0.0,Neutral,0.0,Neutral,-0.4751488268375397,Negative
Yrmoa aloemo alosml osmosmoa allanamientos aloemo,0.0,Neutral,0.0,Neutral,-0.4313670694828033,Negative
Yemosmlsl Slim,0.0,Neutral,0.0,Neutral,-0.372240662574768,Negative
Realice emow,0.0,Neutral,0.0,Neutral,0.3899649381637573,Positive
Ysmos,0.0,Neutral,0.0,Neutral,0.2332119792699813,Neutral
Yemla.ps son,0.0,Neutral,0.0,Neutral,0.2740649580955505,Neutral
Yemos a un modismo con embalar uemoa,0.0,Neutral,0.0,Neutral,-0.2706564962863922,Negative
Yo en 2022,0.0,Neutral,0.0,Neutral,0.385776162147522,Positive
Hermosa owlosloslos oaloal,0.0,Neutral,0.0,Neutral,0.4262804687023163,Positive
Quien la escucha en 2022,0.0,Neutral,0.0,Neutral,0.3191027045249939,Neutral
La de la v,0.0,Neutral,0.0,Neutral,0.2613552212715149,Neutral
PA mi reina,0.0,Neutral,0.0,Neutral,0.5053747892379761,Positive
Yrmla señal,0.0,Neutral,0.0,Neutral,0.2347855865955352,Neutral
Yemla emlamla,0.0,Neutral,0.0,Neutral,-0.2695674002170563,Negative
Yrmoa lapso amor palos psm yemla hos llamados Woods de UPS elosloa yosgooa de Marfil,0.6369,Positive,0.5,Positive,-0.4139685034751892,Negative
Que  guay🤩🤩🤩🤩🤩,0.3182,Positive,0.35,Positive,0.2432734668254852,Neutral
Quien en 2022? Recordando el 2020 🥲,0.0,Neutral,0.0,Neutral,0.2729319036006927,Neutral
Totalmente gris,0.0,Neutral,0.0,Neutral,-0.3925618529319763,Negative
Ysmla leal slos usmlamoa iban johan,0.0,Neutral,0.0,Neutral,0.3738863468170166,Positive
YrmlaUrmla sella slos pelos,0.0,Neutral,0.0,Neutral,-0.3973166346549988,Negative
quien la escucha en 2022?,0.0,Neutral,0.0,Neutral,-0.438670814037323,Negative
Yemla s,0.0,Neutral,0.0,Neutral,0.2700238227844238,Neutral
Alguien escuchando esta rolaaa?2022🛐,0.296,Positive,0.0,Neutral,-0.5898092985153198,Negative
Bella cancion 2022 !,0.636,Positive,1.0,Positive,0.6590616106987,Positive
2022? 🍾,0.0,Neutral,0.0,Neutral,-0.385463684797287,Negative
Confirmen si también era su mejor momento al estreno de este tema ?,0.6369,Positive,1.0,Positive,0.3230682909488678,Neutral
Yemos emosmosmoa,0.0,Neutral,0.0,Neutral,-0.3105383217334747,Negative
2022? ❤️,0.0,Neutral,0.0,Neutral,-0.385463684797287,Negative
Y todavía en el 2022,0.0,Neutral,0.0,Neutral,0.3051463365554809,Neutral
Yemla,0.0,Neutral,0.0,Neutral,0.2554348111152649,Neutral
Esta canción no me quedaba nada claro la letra pero aquí me parece que está totalmente la letra es perfecta,0.666,Positive,0.3666666666666667,Positive,0.5552723407745361,Positive
Psg vs Bayern Múnich.   Fran mg. Psg perdiste la final. Y ahora va a llorar Neymar. Con el gol de coman ganan la sexta,-0.1531,Negative,0.4,Positive,-0.2815945446491241,Negative
😁❤❤😀,0.9313,Positive,0.0,Neutral,0.3085779249668121,Neutral
Quien lo escucha hoy 24 de diciembre,0.0,Neutral,0.0,Neutral,0.3427580893039703,Positive
Megusta,0.0,Neutral,0.0,Neutral,-0.3069792985916137,Negative
"Linda cancion saludos desde Zacapoaxtla , Puebla✌✌✌✌✌✌✌✌✌✌😉😉😉😉😉😉😉😉😉😉😉❤❤❤❤❤❤❤❤❤",0.998,Positive,0.6,Positive,0.5243914127349854,Positive
NIÑOS 💃💃💃🕊️🕊️🕊️🕊️🇪🇨🇪🇨🇪🇨🇪🇨,0.0,Neutral,0.0,Neutral,0.3543869256973266,Positive
Yo,0.0,Neutral,0.0,Neutral,0.2984107434749603,Neutral
Hay,0.0,Neutral,0.0,Neutral,0.2685189843177795,Neutral
Yemla,0.0,Neutral,0.0,Neutral,0.2554348111152649,Neutral
Yo la escucho por que me paso lo mismo😔,0.0772,Positive,0.0,Neutral,-0.3098494708538055,Negative
Yemla uemoe ysmoa Homs Homs hsmla,0.0,Neutral,0.0,Neutral,0.2847634255886078,Neutral
Yrmlsml usmoa,0.0,Neutral,0.0,Neutral,0.2427155822515487,Neutral
Yoa,0.0,Neutral,0.0,Neutral,0.2512777745723724,Neutral
Ysmlama,0.0,Neutral,0.0,Neutral,0.2483435422182083,Neutral
