Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
57:43 legends will watch from this point.,0.0,Neutral,0.0,Netural,0.557756781578064,Positive
"It Will be tough to make a movie standing up with bhoolbhulaiah 1 , maybe the reason , priyadersan not directing or escaped from part 2. Sure if it is not good as part 1 , everybody blame the director.",-0.4599,Negative,-0.07962962962962962,Negative,-0.41505736112594604,Negative
Wah,0.0,Neutral,0.0,Netural,0.3651529550552368,Positive
Thnku for uploading the full movie,0.4404,Positive,0.275,Netural,0.36486923694610596,Positive
Bhool Bhulaiyaa was a no doubt it was a massive blockbuster of 2007......,0.7193,Positive,0.0,Netural,-0.22868850827217102,Negative
Best comedy of Akshay Kumar 😘😘♥️♥️♥️,0.9774,Positive,1.0,Positive,0.8566896915435791,Positive
Saw this movie after bhool bhulaiyaa 2 teaser but orginal movie Chandramukhi is far better,0.743,Positive,0.325,Netural,0.46599024534225464,Positive
This movie took 57:58 time to show main character. That means story is great.,0.6249,Positive,0.48333333333333334,Positive,0.4638192057609558,Positive
bhulbhulaiyaaa ka koi match nahi ❤️,-0.296,Negative,0.0,Netural,0.2531287372112274,Netural
"2:00:45 A crew member walks by behind
Guess they forgot to edit it 😂",0.4404,Positive,-0.4,Negative,-0.45554330945014954,Negative
Never seen a male dancer as graceful as Vineeth in Aami je tumhar and raa raa. 😭 Bollywood has no male classical dancers and now even female classical dancer actresses era ended after Madhuri Dixit.,-0.3182,Negative,0.0,Netural,-0.42254334688186646,Negative
Bate pushpa,0.0,Neutral,0.0,Netural,0.25967127084732056,Netural
"Bollywood: copy, copy, copy I don't like it I avoid but copy likes me, I can't avoid.",0.5963,Positive,0.0,Netural,-0.3775083124637604,Negative
Who is here after bhool bhulaiya 2 to thank bhul bhulaiya 1,0.0,Neutral,0.0,Netural,0.38179919123649597,Positive
Jdjlsheulsnzfyeoa,0.0,Neutral,0.0,Netural,0.24013276398181915,Netural
Paani,0.34,Positive,0.0,Netural,0.2535531520843506,Netural
