Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Mesmo em 2022 as músicas do Post não enjoam,0.4023,Positive,-0.7142857142857143,Negative,-0.5854456424713135,Negative
https://youtube.com/shorts/KT3EWcvowLI?feature=share,0.0,Neutral,0.0,Netural,0.24669793248176575,Netural
2022 still amazing bruh😭💕💔,0.7964,Positive,0.6000000000000001,Positive,0.7956866025924683,Positive
I love Year 2017 my goodness 2017,0.802,Positive,0.5,Positive,0.8189777135848999,Positive
"♫ Moon - Tides (Official Music Video) is out now!!! 
https://www.youtube.com/watch?v=NlsuTF7Z6RI",0.0,Neutral,0.0,Netural,-0.31929147243499756,Negative
"help me get to 1000 likes, because I have no life and I am depressed.",0.0,Neutral,0.0,Netural,0.3066409230232239,Netural
"Let's just agree that music in itself is healing. It's an explosive expression of humanity. It's something we are all touched by. No matter what culture we're from, everyone loves music.",0.7291,Positive,0.0,Netural,0.6709249019622803,Positive
They had no idea this would BLOW up like this or did they?!,0.1511,Positive,0.0,Netural,-0.4056253433227539,Negative
Shit I can listen to this song and not get broed,-0.5574,Negative,-0.2,Negative,-0.8267346024513245,Negative
"This song slaps every time I hear it 🙏🏼 miss the old days but I’m glad it happened, on to bigger and better things 💯 💯",0.8201,Positive,0.275,Netural,0.39280402660369873,Positive
¡Buenas tardes y buen provecho 👌🌅👌🍛😊!,0.9731,Positive,0.7875,Positive,0.6313045620918274,Positive
The billionaires favorite two books / the king business: the boss player association mackology 2nd edition / the philosophical philosopher presents street life philosophy / available on all book platforms now.,0.4588,Positive,0.225,Netural,0.725145161151886,Positive
my momma callend see you on tv son the pact diablo,0.0,Neutral,0.0,Netural,0.5577003955841064,Positive
so sweet 💕💕,0.921,Positive,0.35,Positive,0.6775146722793579,Positive
I love this song ❤️😍,0.802,Positive,0.5,Positive,0.8624796271324158,Positive
India ❤️💛💜🧡,0.9274,Positive,0.0,Netural,0.2761535346508026,Netural
work till one day i can play this song and throw money like this !!!,0.6981,Positive,0.0,Netural,-0.41700875759124756,Negative
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you ❤️,0.8271,Positive,0.037037037037037035,Netural,0.7419810891151428,Positive
IF UR LITSENING TO THIS SONG IN 2022 UR A LEGEND LIKE IF I AGREE😎😎😎👌👌👍👍,0.9793,Positive,0.0,Netural,-0.30588021874427795,Negative
I LOVE this song,0.7125,Positive,0.5,Positive,0.8526678681373596,Positive
Post Malone will be remembered,0.0,Neutral,0.0,Netural,0.4134584963321686,Positive
I really wanted to hear the all song from your channel📍because you always give us all the lyrics nicely😇💙,0.8779,Positive,0.2,Netural,0.41384536027908325,Positive
They better play this at graduation #CO22,0.6486,Positive,0.5,Positive,0.3729413151741028,Positive
Mano essa música afeta muito o grêmio  kkkkkkk <3,0.6908,Positive,0.9,Positive,0.2922520339488983,Netural
\o/,0.4939,Positive,0.0,Netural,0.24941682815551758,Netural
"I remember listening to this song at night after I graduated high school back in 2017 😊😊😊, good year and vibes man.",0.9633,Positive,0.2866666666666667,Netural,0.5605937838554382,Positive
Congratulations for mariachi band is amazing.,0.8271,Positive,0.6000000000000001,Positive,0.7853396534919739,Positive
"Post malone o melhor, não me canso  das suas musica nunca 💓💓",0.9783,Positive,0.3,Netural,0.8788126111030579,Positive
Rest In Paradise Travis Vaccaro You Stilly Brother. Ill Never 4get You... Amor,0.2686,Positive,-0.5,Negative,0.3842073380947113,Positive
"It’s 2022, let’s see how many legends are listening to this masterpiece❤️",0.7073,Positive,0.5,Positive,0.45519518852233887,Positive
Anyone in 2022,0.0,Neutral,0.0,Netural,-0.39766719937324524,Negative
Can y’all please give my music a chance🙏🏾,0.5106,Positive,0.0,Netural,0.5297408699989319,Positive
I'm a artist with barely any attention but ima keep grinding till I get somewhere My hard work will show itself at the end.,-0.1531,Negative,-0.12083333333333335,Negative,0.38940703868865967,Positive
"Listen to my music video. 😎🎙🔥🔥
https://youtu.be/avQlspZeK_g",-0.2023,Negative,0.0,Netural,0.31826484203338623,Netural
Visão 🇧🇷,0.25,Positive,0.0,Netural,0.32720857858657837,Netural
Congratulations,0.5994,Positive,0.0,Netural,0.4884554445743561,Positive
2022 and this song never gets old!!🖤,0.6988,Positive,0.0,Netural,0.414605975151062,Positive
OK ypp ashck,0.4466,Positive,0.5,Positive,0.506304919719696,Positive
never get old!,0.0,Neutral,0.125,Netural,0.5409644842147827,Positive
Im not hateing on posty at all but he is one people who may not but look like smell,-0.2057,Negative,0.0,Netural,0.2882704436779022,Netural
"My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say congratulations
Worked so hard, forgot how to vacation
They ain't never had the dedication
People hatin', say we changed and look, we made it
Yeah, we made it
They was never friendly, yeah
Now I'm jumping out the Bentley, yeah
And I know I sound dramatic, yeah
But I know I had to have it, yeah
For the money, I'm a savage, yeah
I be itching like a addict, yeah
I'm surrounded, twenty bad bitches, yeah
But they didn't know me last year, yeah
Everyone wanna act like they important
(Yeah, yeah, yeah, yeah, yeah, yeah)
But all that mean nothing when I saw my dog
(Yeah, yeah, yeah, yeah, yeah, yeah)
Everyone counting on me, drop the ball
(Yeah, yeah, yeah, yeah, yeah, yeah)
Everything costing like I'm at the bottom, yeah, yeah
If you fuck with winning, put your lighters to the sky
How could I make sense when I got millions on my mind?
Coming with that bullshit, I just put it to the side
Balling since a baby, they could see it in my eyes
My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say congratulations
Worked so hard, forgot how to vacation
They ain't never had the dedication
People hatin', say we changed and look we made it
Yeah, we made it
I was patient, yeah, oh
I was patient, aye, oh
Now I can scream that we made it
Now everyone, everywhere I go, they say 'gratulations
Young nigga, young nigga, graduation
I pick up the rock and I ball, baby
I'm looking for someone to call, baby
But right now, I got a situation
Nothing but old Ben-Ben Franklins
Big rings, champagne
My life is like a ball game
But instead, I'm in the trap though
Pot so big, call it Super Bowl
Super Bowl, call the hoes, get in the Rolls
Top-floor lifestyle, Huncho and Post
Malone, I got a play on my phone, aye
You know what I'm on, aye
Huncho Houdini is gone, aye
My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say congratulations
Worked so hard, forgot how to vacation
They ain't never had the dedication
People hatin', say we changed and look we made it
Yeah, we made it",0.9972,Positive,-0.03910934744268078,Negative,-0.426137775182724,Negative
SHOCKWAVE ❤️🎵🎶,0.0,Neutral,0.0,Netural,0.37551918625831604,Positive
eu sou o melior,0.6369,Positive,1.0,Positive,0.25077536702156067,Netural
Song is still going strong wow,0.7964,Positive,0.26666666666666666,Netural,0.6018886566162109,Positive
🔥🔥🔥🔥🔥,-0.875,Negative,0.0,Netural,0.30857792496681213,Netural
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you ❤️,0.8271,Positive,0.037037037037037035,Netural,0.7419810891151428,Positive
¡Buenos días y buen provecho 👌🌅👌🍛!,0.9542,Positive,0.7875,Positive,0.6921767592430115,Positive
me after hearing that Kendrick dropping,0.0,Neutral,0.0,Netural,-0.324802428483963,Negative
Act like they applauding,0.6808,Positive,0.0,Netural,0.6261773705482483,Positive
We made it..,0.0,Neutral,0.0,Netural,0.4331526756286621,Positive
My ultimate vote of confidence!! Bro..you got it. Good for you. I dig it son!,0.795,Positive,0.4375,Positive,0.8592174053192139,Positive
¡Buenas noches buen provecho y que Dios les bendiga siempre 🙏😇👼🏾🙂¡,0.9372,Positive,0.7,Positive,0.7178030610084534,Positive
Ñ,0.0,Neutral,0.0,Netural,-0.21789678931236267,Negative
🤭,0.4939,Positive,0.0,Netural,0.30857792496681213,Netural
2022💕😓,0.3612,Positive,0.0,Netural,0.30857792496681213,Netural
https://youtu.be/YqhyJYlYbgU,0.0,Neutral,0.0,Netural,-0.22792692482471466,Negative
"Hey Post, Congratulations on being one of the most Epic MFs to grace the music world 🌎 ❤🔥🔥🔥",0.6908,Positive,0.3,Netural,0.8199392557144165,Positive
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
holy shit i just noticed this has 1.4 billion views,-0.5574,Negative,-0.2,Negative,-0.8027425408363342,Negative
Quavo is garbage in this,0.0,Neutral,0.0,Netural,-0.8335293531417847,Negative
This song will always be in my heart bro best song ever,0.8555,Positive,1.0,Positive,0.935704231262207,Positive
It is crazy how many people in 2022 will return to listen this song 🔥🏆,-0.5859,Negative,-0.04999999999999999,Negative,-0.6667526960372925,Negative
"Post é foda, mas porra cadê o álbum novo mn 4 anos já",-0.6249,Negative,0.02878787878787877,Netural,0.38591286540031433,Positive
🚀🌙♥️,0.6369,Positive,0.0,Netural,0.30857792496681213,Netural
Che merda,-0.5574,Negative,-0.2,Negative,-0.36780405044555664,Negative
Postarei esta música com a minha mãe no meu dia de vitória!,0.0,Neutral,0.0,Netural,0.6122117042541504,Positive
"musica perfeita, obra de arte.",0.5719,Positive,1.0,Positive,0.7402675151824951,Positive
Darrin when he got ripped by brad,0.0,Neutral,0.0,Netural,0.2673860490322113,Netural
❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
I love this man so much.,0.6369,Positive,0.35,Positive,0.9023741483688354,Positive
Win race music,0.5859,Positive,0.8,Positive,0.5453580617904663,Positive
Best of best 2022,0.8555,Positive,1.0,Positive,0.844282865524292,Positive
Bike 🚴,0.0,Neutral,0.0,Netural,0.36905544996261597,Positive
mom called see you on TV,0.0,Neutral,0.0,Netural,0.29375022649765015,Netural
I'd say please go vegan if you are against animal abuse.,-0.4404,Negative,0.0,Netural,-0.37150150537490845,Negative
"I'm making a promise to myself that when I start making 5 figure money, I'll play this song on loud speakers",0.5719,Positive,0.1,Netural,0.5059479475021362,Positive
This song nice,0.4215,Positive,0.6,Positive,0.4713817536830902,Positive
I miss this posty,-0.1531,Negative,0.0,Netural,-0.347758024930954,Negative
Why QUAVO's shirt is blurred?,0.0,Neutral,0.0,Netural,-0.37858399748802185,Negative
Suscribeted.   Now.   A.   #Marvel.  #Venom2,0.4215,Positive,0.0,Netural,-0.5402528047561646,Negative
