Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
a french fry falls into her soda hahahahah,0.0,Neutral,0.0,Neutral,-0.4493246972560882,Negative
💚,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
i love you Billie,0.6369,Positive,0.5,Positive,0.814207911491394,Positive
不要浪费食物！！！碧梨，不可以！不可以浪费食物！！！租场地要多少钱？！食物拍完了之后是让工作人员去拿自己想吃的吗？不可以暴食，对身体不好！！！碧梨🍐注意身体！！！,-0.5701,Negative,-0.2822265625,Negative,-0.7260837554931641,Negative
Legends say she is still holding all the food in her car,0.0,Neutral,0.0,Neutral,0.372514933347702,Positive
Lmao that ending was so cool,0.784,Positive,0.475,Positive,0.4017453193664551,Positive
"“My Friends are My Power” 
I noticed that heartless sigil on your jacket",-0.0258,Neutral,0.0,Neutral,0.6887858510017395,Positive
Cant find my comment now,0.0,Neutral,0.0,Neutral,0.2414690852165222,Neutral
Or can you maybe like my comment BUT IT WOULD BE MY DREAM IF YOU REPLIED,0.6541,Positive,0.0,Neutral,0.4184410274028778,Positive
By the way my names  makenna and im a girl,0.0,Neutral,0.0,Neutral,-0.3297294378280639,Negative
"Hey billie, IM SUCH A HUGE FAN OF YOU, LIKE YOUR LITTERELY MY IDOL, I WOULD CRY IF I MET YOU, I JUST LOVE YOU SOOO MUCH. anyways i know you probably wont see this but i know that your preforming in semptmber 2022 which were in right now and i wanted to go so bad but my dad wont be home cause hes at work. And i have a brother who also loves you but not as much as me. So that might be a bit hard because the tickets are a bit expensive but im here to ask you, after your concert could you maybe stay in australia/ cairns a bit longer OR maybe you can do like another one next year or 2 years. If you reply WHICH WOULD BE MY DREAM😭😭😭😭😭 I can tell you which date maybe?. BYE BILLIE, LOVE YOU SOOOOOOO MUCH.",-0.6235,Negative,0.0661706349206349,Positive,0.5343076586723328,Positive
BTC THIS IS THE BEST SONG,0.6369,Positive,1.0,Positive,0.8200740218162537,Positive
Billie me recuerdas tanto a mi ex... jajajajaja son re parecidas...muy buen tema por cierto...eres muy real eso te hace grande...good job,0.8874,Positive,0.4385714285714286,Positive,0.4436595439910888,Positive
Billy you r my Idol,0.0,Neutral,0.0,Neutral,0.7862237691879272,Positive
what mall is this??,0.0,Neutral,0.0,Neutral,-0.4545648992061615,Negative
I love her just started listening to her 4.26.22 n I am impressed x 1mil she harmonizes like Amy Winehouse .,0.9062,Positive,0.75,Positive,0.8163071274757385,Positive
"This song made me a Billie Eilish fan. And I'm planning a vacay to Glendale, California just to visit the the Galleria.",0.3182,Positive,0.0,Neutral,0.441123902797699,Positive
Legend say that you need to 🤐,0.0,Neutral,0.0,Neutral,0.3716655671596527,Positive
i love you billie eilish,0.6369,Positive,0.5,Positive,0.7700788974761963,Positive
daisuki!! LOVE... so ... much,0.7592,Positive,0.35,Positive,0.5435333847999573,Positive
oomg Billie 1 million more views and you're already a billion I'm so proud of you,0.6113,Positive,0.65,Positive,0.599659264087677,Positive
no se vale yo queria robar eso!,-0.6319,Negative,-0.3125,Negative,-0.821908712387085,Negative
Watched this in 2020,0.0,Neutral,0.0,Neutral,0.4915875494480133,Positive
Me gusto el álbum por la película de disney,0.4215,Positive,0.6,Positive,0.5051847696304321,Positive
#lgbtazerbaijan 🇦🇿🌈🏳 Billie💋,0.4215,Positive,0.0,Neutral,0.2888259887695312,Neutral
#lgbtazerbaijan 🌈🏳🇦🇿,0.0,Neutral,0.0,Neutral,0.27602219581604,Neutral
Her dances are awesome,0.6249,Positive,1.0,Positive,0.7555027604103088,Positive
Twinkle twinkle little star do you no how much creative you put in your vids,0.1779,Positive,0.15625,Positive,0.3244868218898773,Neutral
"she's not even drinking, theres no water inside",-0.296,Negative,0.0,Neutral,-0.6585164666175842,Negative
Хуета,0.0,Neutral,0.0,Neutral,0.2587298154830932,Neutral
She is so cool...no one is so cool I also want to do these all 😀😎,0.8312,Positive,0.35,Positive,0.668389081954956,Positive
wow,0.5859,Positive,0.1,Positive,0.6995608806610107,Positive
camera man: bille slow down i need a clear shot bille why are you stealing food,-0.2732,Negative,-0.1185185185185185,Negative,-0.4109872877597809,Negative
hi❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
Ello 🤗 💗,0.8271,Positive,0.0,Neutral,0.4023396074771881,Positive
Shes like a cute scavenging raccoon running around the glendale galleria,0.6705,Positive,0.5,Positive,0.4035803079605102,Positive
Beautiful,0.5994,Positive,0.85,Positive,0.7432551383972168,Positive
"Billie is my favorite singer she so kind I have this song stuck in my head all day and weeks! 
LOVE YOU BILLIE",0.9116,Positive,0.5833333333333334,Positive,0.9117918610572816,Positive
damn! this is my dream!!!,-0.4344,Negative,0.0,Neutral,0.8395226001739502,Positive
HOLA,0.0,Neutral,0.0,Neutral,0.2550420761108398,Neutral
Never was,0.0,Neutral,0.0,Neutral,-0.362716794013977,Negative
INTP song let's see,0.0,Neutral,0.0,Neutral,0.2852618992328644,Neutral
