Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Ever tried to dodge something but you couldn't use your legs so you just move your torso back and fourth? That's what the pose is for, to make it seem like the character is dodging something while unable to use their legs. That's what I think",0.3919,Positive,-0.1666666666666666,Negative,-0.3225553035736084,Negative
And ⛷skiing,0.0,Neutral,0.0,Neutral,0.4251857995986938,Positive
????????????????????,0.0,Neutral,0.0,Neutral,-0.4963912963867187,Negative
whys the name 'luni' on his headband backwards? 😭,-0.4767,Negative,0.0,Neutral,-0.3529382348060608,Negative
the horse riding got me...and when i was 7 i use to dance like this lol,0.6956,Positive,0.8,Positive,0.5140562653541565,Positive
No its just for SUS things in gacha like por-,0.0772,Positive,0.0,Neutral,-0.3607979118824005,Negative
It could be use for toug of war,-0.5994,Negative,0.0,Neutral,0.4080476760864258,Positive
Broooo how does Luni not see!!!,0.0,Neutral,0.0,Neutral,-0.5083116888999939,Negative
YO CAN U PLEASE NOT PUT THAT SONG ‘Polish dancing cow’ BC IF PEOPLE UNDERSTAND IT ESPECIALLY KIDS IT CAN TRIGGER SMTH OR LIKE KIDS SHOULDNT KNOW ABOUT IT. SO like a warning? Unless u put some of the clean parts of the lyrics,0.8689,Positive,0.0777777777777777,Neutral,-0.5356546640396118,Negative
Ayo that’s sus,0.0,Neutral,0.0,Neutral,0.3451376557350158,Positive
well dont it look like ur pulling something??,-0.0951,Negative,0.0,Neutral,-0.3920052349567413,Negative
"This is a dance that most bands do, my brother and sister do it all the time practicing lolz",0.5719,Positive,0.5,Positive,0.6028468608856201,Positive
as a horse rider I can confirm we do ride like that.,0.3612,Positive,0.0,Neutral,0.4473065435886383,Positive
WHAT THE F___-,0.0,Neutral,0.0,Neutral,0.4027603566646576,Positive
tambien puede tar manejando un barco,0.0,Neutral,0.0,Neutral,0.3381212651729584,Positive
luni inocente xD,0.7351,Positive,0.5,Positive,0.647707462310791,Positive
Horse riding!?,0.0,Neutral,0.0,Neutral,-0.2788743078708648,Negative
"Fun fact, there was a ""Pole Pose"" in gacha studio",0.5106,Positive,0.3,Neutral,0.5687254071235657,Positive
Fake,-0.4767,Negative,-0.5,Negative,-0.6869127154350281,Negative
it was just a goofy pose until gacha heat came along,0.0,Neutral,0.5,Positive,-0.3378520905971527,Negative
This cow = ja tylko w głowie mam koksów 5 gram,0.0,Neutral,-0.0666666666666666,Negative,-0.5116548538208008,Negative
i appreciate that you put an polish song in this video because i'm from poland lol,0.6705,Positive,0.8,Positive,0.3150831162929535,Neutral
"Guys ... I just found the real purpose to this pose!!!!!!!
https://www.youtube.com/watch?v=dQw4w9WgXcQ












get rickrolled",0.0,Neutral,0.95367431640625,Positive,0.5994933843612671,Positive
Or maybe your at the gym and there is a rope which is tied to poles stuck very hard and your trying to break it but you can’t hold it long and you put it back and repeat it,-0.2135,Negative,-0.1430555555555555,Negative,-0.3624326288700104,Negative
It’s could be for dodging,-0.1027,Negative,0.0,Neutral,0.427403062582016,Positive
I like the cow one 😏😏🙂,0.6378,Positive,-0.1333333333333333,Negative,0.4438885748386383,Positive
UvU💧,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
that animation gives me vector vibe-,0.0,Neutral,0.0,Neutral,0.4073039889335632,Positive
PLEASE TAKE THiS POSE TO A FOREST GACHA HEAT USES ThAT pOse,0.4648,Positive,0.0,Neutral,0.2498042285442352,Neutral
He has a nice mind,0.4215,Positive,0.6,Positive,0.4979502856731415,Positive
Lol,0.4215,Positive,0.8,Positive,0.2506950199604034,Neutral
LOL,0.4215,Positive,0.8,Positive,0.2506950199604034,Neutral
its also good for limbo like under a pole,0.6597,Positive,0.7,Positive,0.4715012609958648,Positive
I mean like when your cantering it kinda fits lol,0.6151,Positive,0.24375,Neutral,0.4970708787441253,Positive
The fact I immediately knew wich pose you ment💀,0.0,Neutral,0.0,Neutral,0.3086481690406799,Neutral
umm.. i think luni lost his brain cells-,-0.3182,Negative,0.0,Neutral,-0.3705421090126037,Negative
And that animation you could use for tug of war too 😂😂,0.2263,Positive,0.0,Neutral,0.3651945888996124,Positive
that dance is also kinda haram to muslims-,0.0,Neutral,0.0,Neutral,-0.4717965126037597,Negative
I think that a dance is actually popular in 2018 so Luni make that. That all I guess,0.4215,Positive,0.6,Positive,0.3178773820400238,Neutral
More like it’s meant for skiing,0.4201,Positive,0.5,Positive,0.3294189870357513,Neutral
"I love this bc u use my favourite youtuber miusic 
Kto z polski daje like i komentarz ""CAŁA POLSKA ŚPIEWA Z NAMI KAMERZYSTA ZA KRATAMI"" 🤣🤌",0.8658,Positive,0.1999999999999999,Neutral,0.8398709297180176,Positive
NO NO! its for kids who wants to play  a train!,-0.2771,Negative,0.25,Neutral,-0.2703293561935425,Negative
Fortnite dance XDXD,0.0,Neutral,0.0,Neutral,0.3824785351753235,Positive
🥹,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Ski,0.0,Neutral,0.0,Neutral,0.3272368609905243,Neutral
...,0.0,Neutral,0.0,Neutral,0.2558442652225494,Neutral
me doin this exact thing when im bored- 😶,-0.2732,Negative,-0.125,Negative,0.544684886932373,Positive
HOW DARE U USE A POLISH RESPECT SONG FOR IRRITATING A COW,0.0258,Neutral,-0.2666666666666666,Negative,0.3882075548171997,Positive
omg polisz piosenka,0.0,Neutral,0.0,Neutral,0.2622816562652588,Neutral
I was awans thinking this is for skiiyng,0.0,Neutral,0.0,Neutral,0.2711072564125061,Neutral
Kukuleka Kulema homnun/kukulela kulema gomhu.,-0.7096,Negative,0.0,Neutral,-0.3658247292041778,Negative
"0:36 tylko jedno w głowie mam, koksów 5 gram, odleć więc sam, w krainę zapomnienia!...

I love polish songs xD",0.7922,Positive,0.5,Positive,-0.3360839486122131,Negative
"It’s made because they thought it was a funny dance like imagine you’re in a party and someone does this dance, wouldent it be funny?",0.875,Positive,0.25,Neutral,0.2732125222682953,Neutral
Make this into a meme,0.0,Neutral,0.0,Neutral,0.3471477031707763,Positive
❤️😭,-0.4767,Negative,0.0,Neutral,0.3085779249668121,Neutral
it’s literally a victory dance everyone..😽,0.5719,Positive,0.0,Neutral,0.7548224329948425,Positive
Tylko jedno w głowie mam koksu pięć gram. Ahh jak dobrze być Polakiem! 😂,0.7263,Positive,0.4375,Positive,-0.3906410038471222,Negative
Eewww like a sexy pose animstion,0.7096,Positive,0.5,Positive,0.4148315787315368,Positive
I guess it could be made for pulling large and heavy stuff,0.0,Neutral,0.0071428571428571,Neutral,0.5305049419403076,Positive
somebody may be leaning forward and scared or somebody could be keeping something safe,0.0,Neutral,0.5,Positive,0.2986928224563598,Neutral
"It can be used for pulling stuff, too. Like ropes. Or it can be used as a dance. (A very weird dance indeed)",0.1298,Positive,-0.65,Negative,-0.2952862381935119,Negative
"I love the moment with cow 😂
I'm from Poland and this song... 😂😂😂",0.9413,Positive,0.1833333333333333,Neutral,0.7476260662078857,Positive
I mean the horse riding,0.0,Neutral,-0.3125,Negative,0.3242309093475342,Neutral
Fun 🤣🤣🤣🤣 soo,0.9442,Positive,0.3,Neutral,0.4016953110694885,Positive
Tug of war? Dance moves? Come on dude 💀,-0.644,Negative,0.0,Neutral,-0.4505997002124786,Negative
Bc he didn’t know gacha heat would exist,0.0,Neutral,0.0,Neutral,-0.2937666475772857,Negative
or just use it to dance,0.0,Neutral,0.0,Neutral,0.3003641664981842,Neutral
Can we just appreciate Wise Fox👏👏👏,0.7003,Positive,0.7,Positive,0.3352810740470886,Positive
Fun fact: Ga cha meme exists,0.5106,Positive,0.3,Neutral,0.4532919526100158,Positive
"What is this animated pose for?

              (Wrong answers only)",-0.4767,Negative,-0.25,Negative,-0.2483733147382736,Negative
Luni is so a liar,-0.5542,Negative,0.0,Neutral,-0.596062421798706,Negative
"“Horse riding,”
Me: *”Oh no, CRINGE!”*",0.0,Neutral,0.0,Neutral,-0.495492160320282,Negative
"I liked… (scroll down)






Ur mum


No jk lol! I liked all ⭐",-0.1255,Negative,0.4814814814814814,Positive,0.444093108177185,Positive
We aint gonna talk about how many times I laughed-,0.4588,Positive,0.6,Positive,-0.279260903596878,Negative
The pose is for rowing a boat,0.0,Neutral,0.0,Neutral,0.328165590763092,Neutral
Sus,0.0,Neutral,0.0,Neutral,0.2837196886539459,Neutral
"ok ok, I found out a use for this. If they were sitting down, it can be used for rowing!",0.3595,Positive,0.2685185185185185,Neutral,0.7249595522880554,Positive
it scares me how fast it keeps going and then it gliches a bit and then it goes slow. AND THEN FAST AGAIN 😕,-0.5719,Negative,0.0333333333333333,Neutral,0.5041462182998657,Positive
it’s for a joking manner,0.2263,Positive,0.0,Neutral,0.4205159544944763,Positive
I laughed for like six hours,0.6705,Positive,0.7,Positive,-0.4453976154327392,Negative
The fortnight dance got me,0.0,Neutral,0.0,Neutral,0.4767741858959198,Positive
this dance was so trendy in 2019 xD,0.5859,Positive,0.6,Positive,0.6403328776359558,Positive
"Luni: this move is made for horse riding, mountain climbing and more!



Me: Oh Luni that pose is used by grabbing.. (censored)",-0.2244,Negative,0.625,Positive,-0.3904316425323486,Negative
"You dirty minded person,not in a rude way but they can make it as a celebration dance",-0.4497,Negative,-0.4499999999999999,Negative,0.4906843900680542,Positive
I thought it’s for tug of war LOL-,-0.0943,Negative,0.8,Positive,0.324596643447876,Neutral
Pose was made for sussy reasons,0.0,Neutral,0.0,Neutral,0.3660527467727661,Positive
Bruh,0.0,Neutral,0.0,Neutral,-0.3869259357452392,Negative
1    no no no🤏🤏🤏🤏🤏🤏😅😅😅😅😅😅😅,0.9149,Positive,0.0,Neutral,-0.7626060843467712,Negative
I searched in google that Luni is a girl but it may be wrong,-0.631,Negative,-0.5,Negative,0.3055433332920074,Neutral
Its for dancing,0.0,Neutral,0.0,Neutral,0.3690025806427002,Positive
i liked fortnite dance but you did the horse riding wrong,-0.5023,Negative,0.0499999999999999,Neutral,0.4473825097084045,Positive
aqua is confused.,-0.3182,Negative,-0.4,Negative,0.3007682561874389,Neutral
uh well *Me not saying what it is*      well it could before ......         buddy dance?      wait oh fr  * me already now what its for but im not saying it cuz childrens brain and purposes,0.2732,Positive,0.0,Neutral,-0.3219930231571197,Negative
In gacha studio they call it twerking,0.0,Neutral,0.0,Neutral,-0.2659429907798767,Negative
Indonesian be like: engkol🗿,0.3612,Positive,0.0,Neutral,0.283946543931961,Neutral
Fun fact: this pose does not exist,0.5106,Positive,0.3,Neutral,0.4135214686393738,Positive
"No,it looks like your pulling something like a rope?",0.6124,Positive,0.0,Neutral,-0.3896776437759399,Negative
Fun fact:I almost died of laughter after the end,0.4459,Positive,0.3,Neutral,0.5233780741691589,Positive
Most pose used for gacha heaters dont be like them people will call you a fatherless freak if you become one of the gacha heaters,-0.6136,Negative,0.5,Positive,-0.2742995023727417,Negative
Humping,0.0,Neutral,0.0,Neutral,-0.364522784948349,Negative
no,-0.296,Negative,0.0,Neutral,-0.531922459602356,Negative
Mountain,0.0,Neutral,0.0,Neutral,0.353514701128006,Positive
THE COWWW,0.0,Neutral,0.0,Neutral,0.2641266286373138,Neutral
Luning I regret saying your the best,0.34,Positive,1.0,Positive,0.3518002331256866,Positive
I know what wisefox means 😉🥲😳😳,0.0,Neutral,0.0,Neutral,0.3940143883228302,Positive
"That:he thinks cringe
What actually for:VICTOR OH YEAAA",0.4466,Positive,0.0,Neutral,-0.4084287583827972,Negative
Lol 😂 this was amazing,0.8591,Positive,0.7000000000000001,Positive,0.8298700451850891,Positive
it’s supposed to be a silly dance move tho,0.0258,Neutral,-0.5,Negative,-0.3251970410346985,Negative
hullarup reifen,0.0,Neutral,0.0,Neutral,0.2621035277843475,Neutral
😕⛷️⛷️⛷️⛷️⛷️⛷️⛷️⛷️⛷️⛷️⛷️🎿🎿🎿🎿,-0.3182,Negative,0.0,Neutral,0.3085779249668121,Neutral
That’s the hype I think.,0.0,Neutral,0.0,Neutral,0.2610108554363251,Neutral
"I’m now actually thinking, you can use it for tug of war, like pulling the rope!",-0.4003,Negative,0.0,Neutral,0.5680202841758728,Positive
