Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
해피홀리 많이 사랑해주세요,0.836,Positive,0.65,Positive,0.6094885468482971,Positive
Wowwwww😘😘😘😘v,0.8126,Positive,0.0,Neutral,0.3085779249668121,Neutral
woooow,0.0,Neutral,0.0,Neutral,-0.2507450878620147,Negative
Fake,-0.4767,Negative,-0.5,Negative,-0.6869127154350281,Negative
"I love Tae, his voice is so amazing 🔥🔥🔥😫😍😍😍",0.8564,Positive,0.55,Positive,0.8593989014625549,Positive
😆💜🖐🏻,0.872,Positive,0.0,Neutral,0.3085779249668121,Neutral
😘😘😘😘,0.8807,Positive,0.0,Neutral,0.3085779249668121,Neutral
Men's are also falling for Tea,-0.1531,Negative,0.0,Neutral,-0.4089957475662231,Negative
I love it,0.6369,Positive,0.5,Positive,0.8333382606506348,Positive
⚡⚡⚡⚡Love you V,0.0,Neutral,0.0,Neutral,0.4233644008636474,Positive
Will you please edit wolves song taehyung version download please please this is my favourite song. 😭😭🙏,-0.0772,Negative,0.0,Neutral,0.693957507610321,Positive
I thought that kim teahyung voice will be impressive. But it's not.,0.2846,Positive,1.0,Positive,-0.4467743635177612,Negative
Здеся есть да русские? 😂,0.4404,Positive,0.0,Neutral,-0.3200560808181762,Negative
Bən küçükken bu müziyi dinliyordum,0.0,Neutral,-0.1875,Negative,0.2483119666576385,Neutral
V is a golden heart 💛💛💛 one more thing this is not V's voice but amazing with V.......,0.9393,Positive,0.4666666666666667,Positive,0.5341620445251465,Positive
It isn't V's voice it's just don't match his voice but it's nice loving it,0.8765,Positive,0.6,Positive,0.561206579208374,Positive
Çok güzel müzik,0.4754,Positive,0.78,Positive,0.6486480832099915,Positive
😍😍😍😍😍😍,0.9517,Positive,0.0,Neutral,0.3085779249668121,Neutral
Very beautiful 💜 💜 💜 💜,0.9728,Positive,1.0,Positive,0.8723483085632324,Positive
He is not teayung we army know everything..,0.0,Neutral,0.0,Neutral,-0.3897440135478973,Negative
His deep voice is like hear him whole day non-stop.. and his cute smile 🥰,0.936,Positive,0.25,Positive,0.5264912247657776,Positive
I love you bts v my king ❤️❤️❤️ love you ❣️❣️❣️ v,0.9719,Positive,0.5,Positive,0.863808274269104,Positive
Is not tae vois but this voice is cool to,0.4497,Positive,0.35,Positive,0.3497491478919983,Positive
I think this not V's voice 🤔,0.0,Neutral,0.0,Neutral,-0.4423237442970276,Negative
Türk olan like atsın,0.3612,Positive,0.0,Neutral,-0.3151887059211731,Negative
OMG 😍😍,0.7184,Positive,0.0,Neutral,0.268912672996521,Neutral
I am shocked this voice. for one second I thought it's  V 'voice  this voice is very deep and beautiful I like that,0.6557,Positive,0.0375,Positive,0.5438748598098755,Positive
This song is for him he is great 😍😍😍💜💜💜💜💜💜💛💛💛💖💖,0.9966,Positive,0.8,Positive,0.7580893635749817,Positive
I know it's not Taehyung 💜 but the voice really matches from Taehyung's voice It's really O la la la,-0.2924,Negative,0.2,Positive,0.3817755281925201,Positive
"For a minute I think it's tae voice but..... When you sing"" I wish I could pretend "" so I realise it's fake voice but your voice is so amazing ❤️",0.7649,Positive,0.05,Positive,-0.2550095617771148,Negative
Is it v voice haaaaa pls tell l am confused 🤔,0.25,Positive,-0.4,Negative,-0.4762565195560455,Negative
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Its wonderful awesome deep hearty voice ❤️😍,0.8957,Positive,0.6666666666666666,Positive,0.8720927834510803,Positive
Juda zòr BTS,-0.1761,Negative,-0.3791666666666667,Negative,0.264017254114151,Neutral
creo que me enamore mas de Taehyung💜,0.8651,Positive,0.5,Positive,0.5353053212165833,Positive
Love the vioce😘,0.7906,Positive,0.5,Positive,0.7639436721801758,Positive
Please ❤️🥺 reply,0.3182,Positive,0.0,Neutral,-0.374439537525177,Negative
Nice try but we can clearly understand that its not tae,0.6652,Positive,0.35,Positive,0.4557165205478668,Positive
😍😍😙😘,0.9382,Positive,0.0,Neutral,0.3085779249668121,Neutral
I love you 💗💗💗 bts v,0.9678,Positive,0.5,Positive,0.8230711817741394,Positive
LOVE TAY❤🥺♠️,0.8788,Positive,0.5,Positive,0.7371776700019836,Positive
You soo cool tae you my bice,0.3182,Positive,0.35,Positive,0.4751405715942383,Positive
"For those who dont know
No ome sung it
Its just camila
They changed the pitch🙅",-0.2605,Negative,0.0,Neutral,-0.2439723908901214,Negative
nice song,0.4215,Positive,0.6,Positive,0.4662424027919769,Positive
Plz be singer you have such a beautiful voice,0.6369,Positive,0.425,Positive,0.7497615814208984,Positive
❤️❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
I lo ve you songs😍😍,0.8807,Positive,0.5,Positive,0.4838886260986328,Positive
Its not V's voice,0.0,Neutral,0.0,Neutral,-0.2954439222812652,Negative
oh my god this is very cool💜💜💜,0.9556,Positive,0.2,Positive,0.7788452506065369,Positive
wtf it's not v,-0.5859,Negative,-0.5,Negative,-0.4609645009040832,Negative
You are hensam,0.4939,Positive,0.5,Positive,-0.3481637835502624,Negative
Kia ye v ki voice ha ?,0.0,Neutral,0.0,Neutral,-0.3594760596752167,Negative
Superb yr real se zda acha ha Amazing ❤❤❤,0.9747,Positive,0.6,Positive,0.7535382509231567,Positive
What is name is his name i really like this song,0.4201,Positive,0.2,Positive,0.5158123970031738,Positive
please  soundcloud,0.3182,Positive,0.0,Neutral,0.267531543970108,Neutral
best dong in the wold,0.6369,Positive,1.0,Positive,0.8219270706176758,Positive
Which app,0.0,Neutral,0.0,Neutral,0.2873364090919494,Neutral
Omg it's sosososososoosos nice my god love you 😘😘😘,0.9477,Positive,0.55,Positive,0.5072412490844727,Positive
What a voice amazing👍😍🤩,0.7783,Positive,0.0,Neutral,0.5888460874557495,Positive
The singer's voice matches the v's voice for 5 sec. I get stunned,-0.1027,Negative,-0.1,Negative,-0.266169399023056,Negative
It’s not his voice...,0.0,Neutral,0.0,Neutral,-0.4673254787921905,Negative
Your voice is killing me,-0.6597,Negative,0.0,Neutral,-0.5704275369644165,Negative
ổng hát thật à,0.0,Neutral,0.2,Positive,0.3058761656284332,Neutral
I was thinking that tae sang that but after reading comments i came to know that it wasn't tae 😳,0.0,Neutral,0.0,Neutral,-0.383858174085617,Negative
Tae😯,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
TAEHYUNG cute so 💜💜💜💜,0.9686,Positive,0.5,Positive,0.3656969666481018,Positive
I love v,0.6369,Positive,0.5,Positive,0.7536919713020325,Positive
Wow,0.5859,Positive,0.1,Positive,0.6995608806610107,Positive
Me who knows the song is the actual version with slow and reverb🌚🌚,0.0,Neutral,-0.15,Negative,-0.3177450895309448,Negative
Nice song🥰🥰🥰,0.9769,Positive,0.6,Positive,0.4382759034633636,Positive
My favourite songs I love you bts v my king,0.6369,Positive,0.5,Positive,0.8909415006637573,Positive
Very nice my v,0.4754,Positive,0.78,Positive,0.70533686876297,Positive
I love him voice💓💖❤️💓💖❤️💓💖❤️💓💖❤️💓💖❤️💓💖❤️,0.9973,Positive,0.5,Positive,0.831838071346283,Positive
V voice amezing,0.0,Neutral,0.0,Neutral,-0.3667020499706268,Negative
"Killing voice, face,.  Hard work",-0.7003,Negative,-0.2916666666666667,Negative,-0.3757734298706054,Negative
I addicted tho these 7 memebers❤❤,0.8555,Positive,-0.4,Negative,0.6890453100204468,Positive
Too good I feel like relaxing my mind just forget everything amazing excellent outstanding 👏 👌 🙌,0.9759,Positive,0.7,Positive,0.8243105411529541,Positive
"it s  very nice ,.......",0.4754,Positive,0.78,Positive,0.4783176183700561,Positive
I love this song and tae to 💕💕💕👌👌,0.984,Positive,0.5,Positive,0.8327155113220215,Positive
ストーリー的な流れでいい雰囲気です👍️😘💜🌠💜😘,0.9501,Positive,0.6,Positive,0.3900599479675293,Positive
Who is the real singer?,0.0,Neutral,0.2,Positive,-0.3245837688446045,Negative
Anyone Can't copy our king's voice,0.0,Neutral,0.0,Neutral,-0.4451682865619659,Negative
#Kim  TAEYANG 💗💗💗💗💗💗💗💗💗💗🌸,0.0,Neutral,0.0,Neutral,0.3393938541412353,Positive
His voice is- 😩🛐,0.0258,Neutral,0.0,Neutral,0.2564664483070373,Neutral
This is so cool and v is very handsome 😘😘😘☺😚🤗💜,0.981,Positive,0.5,Positive,0.8598021268844604,Positive
It's not our baby taetae his voice is magical 😁,0.4588,Positive,0.5,Positive,0.3287265598773956,Neutral
😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,0.997,Positive,0.0,Neutral,0.3085779249668121,Neutral
Nice song😘,0.6808,Positive,0.6,Positive,0.4382759034633636,Positive
"you are singing well but tae is made only one by god so no one can copy tae's voice , 💜💜💜💜💜",0.9866,Positive,0.0,Neutral,0.3446602523326874,Positive
"V,s voice 😍😍😍😍",0.9001,Positive,0.0,Neutral,0.2312464118003845,Neutral
Who sang this song his voice is very satisfying 😍,0.763,Positive,0.65,Positive,0.6509227752685547,Positive
It's not V's voice,0.0,Neutral,0.0,Neutral,-0.3610791862010956,Negative
My v love u very much,0.6369,Positive,0.38,Positive,0.7988100647926331,Positive
Taehyung 💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓💓,0.9927,Positive,0.0,Neutral,0.2604484260082245,Neutral
"Christmas Tree By V Hits 60M Streams On Spotify 
The fastest Korean Ost By A Male Korean soloist to achieve this ♡

Kim Taehyung Ost King♡",0.0,Neutral,0.0,Neutral,0.8439289331436157,Positive
https://youtube.com/shorts/BLlrOZhb52k?feature=share,0.0,Neutral,0.0,Neutral,0.2581409513950348,Neutral
Ncc v voice 🥰😍😘,0.9201,Positive,0.0,Neutral,0.3446742296218872,Positive
My king v my love v love you ❣️❣️❣️ bts v,0.9719,Positive,0.5,Positive,0.8190815448760986,Positive
I thought it's v voice 🤔but it's not 💜💜,0.21,Positive,0.0,Neutral,-0.4520816802978515,Negative
The singer's voice is awesome...... And ~Love You V~🤗🤗🤗 ........,0.9493,Positive,0.75,Positive,0.7780802845954895,Positive
Bazi kisiler gercekten cok ii ler bizim icin,0.0,Neutral,0.2,Positive,0.3195813000202179,Neutral
Super v,0.5994,Positive,0.3333333333333333,Positive,0.7457284331321716,Positive
RiP Senorita,0.0,Neutral,0.0,Neutral,-0.4063938856124878,Negative
Magical voices v🤗🤗🤗🤗😍😍❤️❤️,0.9451,Positive,0.5,Positive,0.6500356793403625,Positive
First i listen it ... I think isn't v s voice,0.0,Neutral,0.25,Positive,-0.3062293827533722,Negative
is not tae,0.0,Neutral,0.0,Neutral,-0.6420621275901794,Negative
cool but his voice is hard... but amazing...love u taehyung,0.0129,Neutral,0.0291666666666666,Positive,0.458914190530777,Positive
🇰🇷🖤 I love you Tae..,0.8555,Positive,0.5,Positive,0.8259400129318237,Positive
Oh my God..damn 😳 I really thought that this is tae voice..nice 😶🙊,0.0,Neutral,0.2,Positive,0.3633684813976288,Positive
اول مرا ادخل مقطع وما الاقي العرب محتلين التعليقات 🤣🤣,0.7506,Positive,0.25,Positive,-0.406074970960617,Negative
When I listen Tae songs its very claming and  wonderful🥰,0.9355,Positive,0.2,Positive,-0.3414669930934906,Negative
Amazing superb 💖💖😘,0.9735,Positive,0.8,Positive,0.924095869064331,Positive
i love you,0.6369,Positive,0.5,Positive,0.8546807765960693,Positive
Omg his voice,0.0,Neutral,0.0,Neutral,0.2739442586898803,Neutral
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
Is this song written and sing by him or remake?,0.0,Neutral,0.0,Neutral,-0.3857303857803345,Negative
I know it isn't taehyung voice bt who is singer,0.0,Neutral,0.0,Neutral,-0.4541351199150085,Negative
It's v voice,0.0,Neutral,0.0,Neutral,-0.298920601606369,Negative
It is  tea voice,0.0,Neutral,0.0,Neutral,0.2913051545619964,Neutral
I love your voice and I love you. so so so much,0.8555,Positive,0.3999999999999999,Positive,0.8998903632164001,Positive
"My god que voz Maravilhosa, ficou simplesmente perfeita na voz dele.🥰",0.9501,Positive,1.0,Positive,0.8983075618743896,Positive
It's not Taehyung,0.0,Neutral,0.0,Neutral,-0.3352802395820617,Negative
So cute voice  🥰🥰😘,0.9681,Positive,0.5,Positive,0.5427628755569458,Positive
His voice like killing me 💜💜,0.7579,Positive,0.0,Neutral,-0.3936215043067932,Negative
Love this song 🥰🥰🥰❤❤❤❤,0.9927,Positive,0.5,Positive,0.8510125875473022,Positive
"Until I read the comments I thought it's v    
Voice 🤗💜",0.7906,Positive,0.0,Neutral,-0.4373572468757629,Negative
Not even 1℅ I can recognise tae's voice from millions  miles away,0.0,Neutral,0.0,Neutral,-0.4955072104930877,Negative
In some lines it's feel like it his voice but in some it wasn't 💯,0.1901,Positive,0.0,Neutral,0.6379566192626953,Positive
