Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I never liked him … he just changed my opinion… loved it,0.3753,Positive,0.19999999999999998,Netural,-0.2905726134777069,Negative
FanFuckingtastic,0.0,Neutral,0.0,Netural,0.2907966375350952,Netural
"I just need him to do an album in every genre, an incredibly talented man 🖤",0.8313,Positive,0.7,Positive,0.8601300120353699,Positive
"Why does he look like just applied at a post office. Maybe, I should call him post office Malone… Sorry… pray for me.",0.5859,Positive,0.0,Netural,-0.538192629814148,Negative
I fricken L❤VE him so so so so much,0.7372,Positive,0.35,Positive,-0.32767394185066223,Negative
Fuuucccckkkkkk yeah posty ❤️,0.296,Positive,0.0,Netural,-0.23254725337028503,Negative
1:06 I love when post does that with his voice lol idk y 😂,0.8591,Positive,0.65,Positive,0.4451490640640259,Positive
Dude should just switch to country,0.0,Neutral,0.0,Netural,-0.30639296770095825,Negative
"he reminds me of mac miller a little bit. he's just such a genuine and kind dude who has always smile on his face and is doing what he loves. i can only imagine the vibes he brings to the room. and also he is extremely talented and versatile when it comes to music and isn't scared of trying new things
big up posty",0.9393,Positive,0.21654040404040403,Netural,0.5608259439468384,Positive
Love it,0.6369,Positive,0.5,Positive,0.8348285555839539,Positive
Love Posty! Love everything about this!,0.8745,Positive,0.625,Positive,0.9175393581390381,Positive
Please drop an album man,0.0516,Positive,0.0,Netural,-0.6913012862205505,Negative
Lies..lies an more ......lmfao,0.5849,Positive,0.5,Positive,-0.3903423845767975,Negative
"Thank you everybody ,now can I get a ride to st Louis airport somebody!!!",0.5229,Positive,0.0,Netural,0.5316312313079834,Positive
"Sorry I stopped believing n u when I shouldn't have,iam really not a bitch iam sorry for that but not for standing up for US!!!",0.3169,Positive,-0.5255208333333333,Negative,-0.5817916989326477,Negative
This slaps!,0.0,Neutral,0.0,Netural,-0.7560888528823853,Negative
"The original Event Stream (not listed) here 
https://www.youtube.com/watch?v=5Mwyy0dLcSE&list=FLaMa7AxHpOYZCV6VZ7vfvGQ&index=3",0.3182,Positive,0.375,Positive,-0.37471941113471985,Negative
Real music the way it should be,0.0,Neutral,0.2,Netural,0.5118987560272217,Positive
Omg this is so great 🙌🏼🙌🏼🙌🏼🙌🏼,0.7384,Positive,0.8,Positive,0.8477581739425659,Positive
"post making a country album, even if it's just covers; would be fantastic",0.5574,Positive,0.4,Positive,0.37829408049583435,Positive
When a rapper is more country than most country artists.,0.0,Neutral,0.5,Positive,0.3082975149154663,Netural
Please have a morgan Wallen and post malone concert.,0.3182,Positive,0.0,Netural,0.30766862630844116,Netural
Listening to Post NEVER GETS OLD! What an awesome country cover! ❤❤❤❤💋  LOVE IT!!!,0.9859,Positive,0.7005208333333334,Positive,0.9519903659820557,Positive
"POST MALONE WILL BE THE SEXIEST MAN ALIVE UNTIL THE END OF TIME!!!!! 🥰🥰❤❤💋💋 I FEEL HIS PAIN IN MY VERY SOUL!!! LOVE YOU SOOOOOOOO MUCH POSTY!!! I'M SO SORRY POSTY FEST 2021 WAS CANCELLED! SEE U NEXT YEAR, LOVER!!😛😜😘🤑🖤💚🤎💛💜🧡❤💖💘💋💋💋XXOOXXOOXXOOXXOOOOOOOOOOOOOXXXXXX",0.9976,Positive,0.16023763020833334,Netural,-0.5471380949020386,Negative
merry Christmas Austin I love this Song,0.8271,Positive,0.5,Positive,0.8481365442276001,Positive
Dayyyyummmmmm he has the VOICE,0.0,Neutral,0.0,Netural,0.2962072789669037,Netural
I love him so much I can't stop watching himmmmm: thisss,0.7259,Positive,0.35,Positive,0.9126441478729248,Positive
❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
I love this song. Post is such a positive person and has amazing vocals. I love the bands ability to nail this song even better than the original. One Love and Merry Christmas!,0.9852,Positive,0.4159090909090909,Positive,0.9224757552146912,Positive
Give the people what we want. Posty do a country album. Cheers ! Also put this on Spotify.,0.5707,Positive,0.0,Netural,-0.44600483775138855,Negative
skip the guy in the hat next time..,0.0,Neutral,0.0,Netural,-0.41140371561050415,Negative
auto-tune deluxe,0.0,Neutral,0.6,Positive,0.4654889404773712,Positive
"Ya know what, 2021 is almost over. Let’s just have Posty make an entire country album. What else could go wrong?",-0.4767,Negative,-0.25,Negative,-0.4020043611526489,Negative
Post Malone needs to do a REAL country album and not the kind of crap that's manufactured today.,-0.4391,Negative,0.0,Netural,-0.35078561305999756,Negative
Rest  in  Paradise  SLIM 400,0.6369,Positive,0.0,Netural,0.47757431864738464,Positive
Country  Boy  Mac  Miller,0.0,Neutral,0.0,Netural,0.3088465929031372,Netural
Post  Malone is  awesome  dude,0.6249,Positive,1.0,Positive,0.7708346247673035,Positive
RIP  Mac  Miller,0.0,Neutral,0.0,Netural,-0.44132018089294434,Negative
"That was YOU!!!!
WTF ????",-0.8253,Negative,-0.5,Negative,-0.6123834252357483,Negative
You was very sweet now not so Babe,0.5095,Positive,0.45499999999999996,Positive,0.4168229103088379,Positive
I Love You to.Listen your Voice after Years now.,0.6369,Positive,0.5,Positive,0.817087709903717,Positive
"GTA its better than Family!J-Z
Beyon-c??This Fucker Dre????",-0.565,Negative,0.5,Positive,0.34134146571159363,Positive
When can I buy these version on iTunes?,0.0,Neutral,0.0,Netural,-0.35252371430397034,Negative
That Bro was everithing what we needed,0.0,Neutral,0.0,Netural,0.2923862934112549,Netural
Now its a big star!I hope its enough for him now,0.4926,Positive,0.0,Netural,0.7187665104866028,Positive
I Cry so much for this Man.It was a Big Legend.It is a very Big Legend but no more for me.He left to another Dark side and this is not posible for me.,-0.5927,Negative,-0.03333333333333333,Negative,-0.4794931411743164,Negative
Thats the Real!!The Deamon wasnt outside from her body.,0.0,Neutral,0.0,Netural,-0.35149911046028137,Negative
The bronco lines are gold😂 we need an album of this,0.4404,Positive,0.0,Netural,0.3358477056026459,Positive
Wasted a ciggy tho,-0.4939,Negative,-0.2,Negative,-0.720713198184967,Negative
"I want to be his friend genuinely and invite him to the fires and trips. Idgaf he’s famous, he’s one of the boys first 👌🏻",0.8816,Positive,0.3833333333333333,Positive,0.6914869546890259,Positive
I love how versatile his voice is,0.6369,Positive,0.5,Positive,0.6165992021560669,Positive
As expected from the best artist ever,0.6369,Positive,0.45,Positive,0.7957712411880493,Positive
keep me lines tight,0.0,Neutral,-0.17857142857142858,Negative,0.3261585235595703,Netural
I guess he chose the wrong genre,-0.4767,Negative,-0.5,Negative,0.3433966338634491,Positive
Sad thing is he sung that song with more West Virginia twang than brad did and I could feel a bar type atmosphere for some reason but every lad put their budlight down and take a good listen to this good ole boy,0.8107,Positive,0.24888888888888888,Netural,-0.3546637296676636,Negative
"Wow, posty is awesome! I’m so happy I saw this.",0.9214,Positive,0.6333333333333334,Positive,0.9506576657295227,Positive
"Remember he is routed in country music first and foremost, the problem is there is allot more money in the Genres he has made his name in. 

Bit shite considering how brilliant his voice is - don't get me wrong i do like some of his music but his country covers are simply brilliant.. so talented.",0.9445,Positive,0.4583333333333333,Positive,0.30748051404953003,Netural
Dose anyone know who  sings the second song what the artists name. Please and thank you 🙏,0.5859,Positive,0.0,Netural,-0.45172572135925293,Negative
He needs to stop smoking. That’s crap,-0.5859,Negative,-0.8,Negative,-0.7929905652999878,Negative
"I spent that year fishing, I miss her. I didn't get a bite ; )-",-0.1531,Negative,0.075,Netural,0.3294317126274109,Netural
