Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
On,0.0,Neutral,0.0,Neutral,0.2451413571834564,Neutral
Migggg,0.0,Neutral,0.0,Neutral,0.2925047874450683,Neutral
I love your videos so much like the I tried to make some of them but they were really hard because I had to use my fingers for 10 hours,0.3506,Positive,0.1361111111111111,Neutral,0.579036295413971,Positive
The first one seemed like a ✨dream✨,0.5859,Positive,0.25,Neutral,-0.2785674631595611,Negative
i wish the first roblox was real,0.4019,Positive,0.225,Neutral,0.2943543791770935,Neutral
"no hate to u but instead of 😀use 😺
omg not the weird emojis on yt-",0.851,Positive,-0.0499999999999999,Negative,0.3618033826351166,Positive
heard about warrior cats??????,0.0,Neutral,0.0,Neutral,-0.4440094828605652,Negative
have you ever,0.0,Neutral,0.0,Neutral,0.616951048374176,Positive
My nigga love her,0.6369,Positive,0.5,Positive,0.7557224631309509,Positive
DId u say if we like n sub u will hand roblox or no bc 8dk I'm new,0.5423,Positive,0.1363636363636363,Neutral,-0.2900672256946563,Negative
Hey,0.0,Neutral,0.0,Neutral,0.363322764635086,Positive
The first one is: If a Canadian owned Roblox,0.0,Neutral,0.25,Neutral,-0.2708389163017273,Negative
lol 🤣,0.7184,Positive,0.8,Positive,0.2816561758518219,Neutral
Gjgufufydye,0.0,Neutral,0.0,Neutral,0.2528609037399292,Neutral
“Preppy owner”~Your not preppy enough🙄”~ when the owner just changed your avatar-,0.0,Neutral,0.0,Neutral,-0.4514045715332031,Negative
