Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Скоро конец апреля /04/ 2022 каждый год слушаю:),0.4588,Positive,0.5,Positive,0.47046756744384766,Positive
Love you bad 🐇🐰,0.1779,Positive,-0.09999999999999992,Negative,0.42293789982795715,Positive
ye ye ye ye,0.0,Neutral,0.0,Netural,-0.23767831921577454,Negative
Quien 2022 😩,-0.2732,Negative,0.0,Netural,0.33974510431289673,Positive
Hola,0.0,Neutral,0.0,Netural,0.25504207611083984,Netural
https://youtu.be/SRt0KAMCI4Q  ..,0.0,Neutral,0.0,Netural,-0.24080415070056915,Negative
2022 y sin parar de escuchar esto fue lo mejor el día que salió la descargué 🔥😎,0.7387,Positive,1.0,Positive,0.6043526530265808,Positive
As much as I hate Bad Bunny’s voice this doing is fire 🔥,-0.9001,Negative,-0.75,Negative,-0.443268358707428,Negative
Vamos a ver cuántos lo están escuchando todavia,0.0,Neutral,0.5,Positive,0.44234582781791687,Positive
Este tema lo escuche previo a salir de joda pa 🥳😎,0.8074,Positive,0.0,Netural,0.2779853045940399,Netural
❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥💦,-0.875,Negative,0.0,Netural,0.30857792496681213,Netural
I love bad bunny,0.1779,Positive,-0.09999999999999992,Negative,0.5191643834114075,Positive
oooaaaaa,0.0,Neutral,0.0,Netural,-0.291336327791214,Negative
Quien las sigue escuchando en el 2022 del mes 4,0.0,Neutral,0.0,Netural,0.34574905037879944,Positive
🦾🦾🦾,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Addicted 🔥❤️,-0.34,Negative,-0.4,Negative,0.5547329783439636,Positive
Alguien escuchándolo en 2022? :D,0.6166,Positive,1.0,Positive,-0.471712201833725,Negative
This has my name in it my name is Mia,-0.296,Negative,0.0,Netural,0.43167081475257874,Positive
Awesome song boy,0.6249,Positive,1.0,Positive,0.7738799452781677,Positive
Quien es la chica al 1:20 Esta BONITA y unique.....😤🤭🤦🏽‍♀😍🤩,0.8964,Positive,0.85,Positive,0.5820268392562866,Positive
"COLABORACIÓN ESTUPENDA 🔥
Thumbs Up for the Legend Drake ,this Nigga never used any kinda site e.g *AUTHENTIC views*",-0.34,Negative,0.5,Positive,0.7040404677391052,Positive
One of the best collabs ever,0.6369,Positive,1.0,Positive,0.9274527430534363,Positive
Alguien en 2022 escuchandola👀???,0.0,Neutral,0.0,Netural,-0.6479670405387878,Negative
Grrrrr chamoo nesisto un mas de esta,0.0,Neutral,0.5,Positive,-0.4044884443283081,Negative
Solares la cumbia!!!!!! Lo maximo. Con respecti vamos,0.6449,Positive,0.0,Netural,0.8177018761634827,Positive
