Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
7:52,0.0,Neutral,0.0,Netural,0.28334522247314453,Netural
You have 11 karod,0.0,Neutral,0.0,Netural,0.26324963569641113,Netural
You have we live in karod,0.0,Neutral,0.13636363636363635,Netural,0.5381408333778381,Positive
Love you pew,0.6369,Positive,0.5,Positive,0.8073397278785706,Positive
"Not This ,That was epic war for two
 horned hornet guy pdπ not for huge and giantic company like T- series'",-0.5207,Negative,0.25000000000000006,Netural,-0.4206743836402893,Negative
2 years later t series is almost at 200 million! That’s crazy that he has 79 million more than you,-0.4003,Negative,-0.033333333333333326,Negative,-0.5591087937355042,Negative
"Pewdiepie : I give you permission to pass me after 100 mil

T-Series : You don't have any other path",0.0,Neutral,-0.125,Negative,-0.6653517484664917,Negative
Pewds is the true winner,0.765,Positive,0.35,Positive,0.69429612159729,Positive
Completely broken inside 😂🤧,-0.1263,Negative,-0.4,Negative,-0.7531558871269226,Negative
t series? more like trash series,0.4201,Positive,0.5,Positive,-0.8345561027526855,Negative
"PewDiePie 110M  Foriegn
T series 188M  India",0.0,Neutral,0.0,Netural,0.25947755575180054,Netural
T series ❤️❤️🖐️🖐️,0.7506,Positive,0.0,Netural,0.40885689854621887,Positive
U cant beat indian channel tseries ha ha ha,0.7351,Positive,0.0,Netural,0.30182918906211853,Netural
👎,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
T series beat you cuz of carryminati and then inidans unsubbing you,0.0,Neutral,0.0,Netural,-0.6038813591003418,Negative
UR LOSE NOW 187 MILLION,-0.8192,Negative,0.0,Netural,-0.7357694506645203,Negative
pewdiepie thinks he can beat t series?No way!,0.0,Neutral,0.0,Netural,-0.584951639175415,Negative
PewDiePie old videos are my childhood memories,0.0,Neutral,0.1,Netural,0.4310407042503357,Positive
you think if your bad then indians are your dad............,-0.5423,Negative,-0.6999999999999998,Negative,-0.2275921106338501,Negative
