Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Bende Harding,0.0,Neutral,0.0,Netural,0.26893386244773865,Netural
Enes,0.0,Neutral,0.0,Netural,0.2589651048183441,Netural
23  nisan geldi sen onu kutla sana  kardeşim,0.4939,Positive,0.0,Netural,-0.4025184214115143,Negative
❣️❣️💚😻🤍,0.9485,Positive,0.0,Netural,0.30857792496681213,Netural
Hiç,0.0,Neutral,0.0,Netural,0.2541523873806,Netural
NapıyorsunbKRAL,0.0,Neutral,0.0,Netural,0.22951728105545044,Netural
Kamera kör oLacak kafa atma len,-0.4019,Negative,-0.5,Negative,-0.28774937987327576,Negative
BEN De,0.0,Neutral,0.0,Netural,0.3593939244747162,Positive
Yıl olmuş 2022 eski videolarını özledik be,-0.296,Negative,0.1,Netural,0.41302967071533203,Positive
Abi gücü,0.0,Neutral,0.0,Netural,0.387035608291626,Positive
Enes numaranı at,0.0772,Positive,0.0,Netural,-0.27309948205947876,Negative
benim karnım acıktı lan,0.0,Neutral,0.0,Netural,0.40741783380508423,Positive
Sihirli bir üfleyici var -_-,0.0,Neutral,0.5,Positive,-0.35184207558631897,Negative
Enes abi yeni videolar gelsin senin videolarını özledim 💚💙💛🧡❤️,0.9531,Positive,0.13636363636363635,Netural,0.42430490255355835,Positive
Ben de. Ayrıca ben yemek yiyorum,0.0,Neutral,0.0,Netural,0.5296133160591125,Positive
Ben de 2,0.0,Neutral,0.0,Netural,0.23669283092021942,Netural
Geri gel abi,0.0,Neutral,0.0,Netural,0.3344445824623108,Positive
Vay beee,0.0,Neutral,0.0,Netural,0.2606234550476074,Netural
Acıktım,0.0,Neutral,0.0,Netural,-0.27158719301223755,Negative
"WİFİ WİNDOWS PHONE PHİLİPS VİVO VİVO MOTOROLA LG HUAWEİ ASUS OPPO ACER ASUS JİO
SAMSUNG GB DEPOLAMA KAPASİTESİ MERHABA VE BEN OF'KHLOKOFH'V'VNVB'VN",0.0,Neutral,0.0,Netural,-0.28980761766433716,Negative
Hxjdjsjzjjxhxjxjxjzjxhbzxbzbabzbxbqjdjdjd i,0.0,Neutral,0.0,Netural,-0.2786906957626343,Negative
Özledim bee,-0.1531,Negative,0.0,Netural,0.4117363393306732,Positive
Ben azerbaycanlıyam,0.0,Neutral,0.0,Netural,0.3382146954536438,Positive
Abi o tursu diyil salatalik,0.0,Neutral,0.0,Netural,-0.2967700660228729,Negative
Karapınarrrrrrrrrrrrrrrrrrrrrrrrrrrrrrtrrrrrrrrtrrrr,0.0,Neutral,0.0,Netural,-0.27058035135269165,Negative
2023,0.0,Neutral,0.0,Netural,0.2792379856109619,Netural
😍😍😍😍😗😘,0.9552,Positive,0.0,Netural,0.30857792496681213,Netural
Yıl olmuş 2022 eski enes abiyi özledik,-0.296,Negative,0.1,Netural,0.3555692434310913,Positive
İNANMAYİN ARKLAR HEPSİ YALAN VE CUKALATA OZEL CUKALATA,0.4019,Positive,0.35714285714285715,Positive,-0.40214550495147705,Negative
2022 den gelenler nerde,0.0,Neutral,0.0,Netural,-0.4398312270641327,Negative
😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱,-0.9999,Negative,0.0,Netural,0.30857792496681213,Netural
Abi daha yeni yediğim için acıkmıyorum,0.0,Neutral,0.0,Netural,0.3333026170730591,Positive
Abi benim karnım acıktı,0.0,Neutral,0.0,Netural,0.4436911642551422,Positive
Abi bu isan yiyo,0.0,Neutral,0.0,Netural,0.362429141998291,Positive
Kemik yenir,0.0,Neutral,0.0,Netural,-0.3345218598842621,Negative
Benim  karnım  açık tı  ya,0.0,Neutral,0.0,Netural,0.4251998960971832,Positive
CANİM CEKTI,0.5994,Positive,0.7,Positive,0.2309339940547943,Netural
