Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
2016-2017 Enes batur > nerdeyse tüm yutupdan iyiydi,0.4404,Positive,0.35,Positive,0.2408381551504135,Netural
🤣😁💖,0.9118,Positive,0.0,Netural,0.30857792496681213,Netural
Avamedekatilpaylancodankaçın,0.0,Neutral,0.0,Netural,-0.3714140057563782,Negative
Çok  komikti abi gülmekten öldüm😇🤞❣😅🤣😂🥰🤓💌💘💝💖💗💓💞💕🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😂🤣🤣🤣🤣🤣😂😂😂😂😂🤣🤣🤣🤣🤣🤣😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅🤣😅🤣🤣😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😂😂😂😂😂😂😂😂😂😂😗😗😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😗😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣❣🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞,0.9999,Positive,0.25,Netural,-0.24212655425071716,Negative
"Tek fark eden ben miyim Aleyna tilkinin  şarkısının  klibini  çektiği yer değil mi  
Yalnız çiçek  şarkısı",-0.3612,Negative,-0.04999999999999999,Negative,-0.41658294200897217,Negative
Yersin,0.0,Neutral,0.0,Netural,0.23813824355602264,Netural
Evlendim şakası Enes abi Ecenaz evlendim şakası,0.5267,Positive,0.25,Netural,-0.358026921749115,Negative
abi tek eğlendiğim kanal senin kanalın,0.5106,Positive,0.15,Netural,0.34691089391708374,Positive
395,0.0,Neutral,0.0,Netural,0.2527274489402771,Netural
"Bazı yerlerde küfür var, dırırı veya sincap sesi ile kapanmış",-0.25,Negative,0.15000000000000002,Netural,-0.4194055199623108,Negative
Arabesk yapan paylançomu olur aq,0.0,Neutral,0.0,Netural,0.2329876869916916,Netural
"Kral
Kral
K r a l
Kral
Kral
Kral
K  R  A L
      K R A L
           K R A L 
             K R A L
K R A L
K R A L
             K R A L
                        K R A L
K R A L    K R A L
K R A L
         K R A L
K R A L
            K R A L
K R A L
            K R A L
K
    R
        A  
              L
           K
        R
      A
    L
       K
            R 
                A
                    L
                  K
                R 
              A
           L 













































Enes BATUR...♡♡♡♡♡●~●",0.9977,Positive,0.0,Netural,0.6056056022644043,Positive
YAREN PALYAÇOLARDAN DAHA KORKUNÇ,-0.5849,Negative,-0.25,Negative,-0.3245111107826233,Negative
3 gelsin pls,0.0772,Positive,0.0,Netural,0.2546657919883728,Netural
Palyaço bölüm 3 gelsiiiiin,0.0,Neutral,0.0,Netural,-0.28263139724731445,Negative
Videoya bayıldım ama yarenin bagırmasından başka kötü birşey yok yani,0.3359,Positive,0.14999999999999997,Netural,-0.4798054099082947,Negative
16:10komik,0.0,Neutral,0.0,Netural,-0.2455950379371643,Negative
3lütfen,0.0,Neutral,0.0,Netural,0.24848458170890808,Netural
Abi çok güzel yapmışsınız elinize sağlık,0.5819,Positive,0.2,Netural,0.6322786808013916,Positive
Enes batur korku film yapsan iyi olurr arkadaslarındaa,0.3182,Positive,0.5,Positive,0.30131641030311584,Netural
5 milyon seyredilip devamını çekmeyen enes abi,0.0,Neutral,0.0,Netural,-0.3637305498123169,Negative
#3 gelsinnn,0.0,Neutral,0.0,Netural,0.23826274275779724,Netural
15:09 saman yolumu lan bura dhahdjajdjajdjajdjjdjajdjajdjajdjaidisd,0.0,Neutral,0.0,Netural,-0.35295239090919495,Negative
Tompik palaço fjkdkddkjdxk,0.0,Neutral,0.0,Netural,-0.2433445155620575,Negative
Enes abi çok  iyi olmuş,0.4927,Positive,0.9099999999999999,Positive,0.547178328037262,Positive
Benim film de merak ettiğim şey hani şu var ya Şu neydi onun adı ya Unuttum Onun yanaklarını bir kırmızı bir şeyler var Onları gerçek kan mı yoksa ki çok,0.0,Neutral,0.0,Netural,0.298075795173645,Netural
Ve gittiginiz eve eski bir yastık koyup. Ustune kırmızı boya sıkqbilirsiniz,0.0,Neutral,0.05,Netural,-0.2725416421890259,Negative
Daha sonra cezasınıda gösterebilirsiniz bence ama onun dışında herşey güzeldi zevkliydi ben beyendim ama 3 paylacodan 1 kişi kapıda 1 kişi. Dolaşsın ortalıkta 1kişide yakaladığınız yerde dursun ve 3 tane silah koyun öyle daha eylenceli hale getirebilirsiniz,0.8702,Positive,0.2652777777777778,Netural,-0.6043928861618042,Negative
Yareni enes abimi ablamı selamlar iyi kaçmalar,0.5423,Positive,0.7,Positive,-0.2774342894554138,Negative
Merminiz bitince küçük taş kullansaymıssınız keşke,0.4019,Positive,-0.25,Negative,-0.29980820417404175,Negative
Altı çok çok korkunç,-0.5819,Negative,-0.65,Negative,-0.4820398986339569,Negative
Enes Batur iyi misin Okan sana bir şey,0.2263,Positive,0.5,Positive,0.3307197391986847,Positive
995şivrə,0.0,Neutral,0.0,Netural,-0.2384168654680252,Negative
995,0.0,Neutral,0.0,Netural,0.28673115372657776,Netural
Güzelleştir misiniz filmi burayı böyle çok korkunç korkuyorum burada Bir Çocuk izle ne olur burada ya Ömer gidersin Vallahi dediğimizde böyle Vallahi filmi değiştirmezseniz size hiç kimse atmaz Anladın mı mı anlaması anlamadığımız geri alırım sana bana söylersin,-0.3052,Negative,0.425,Positive,-0.5133553147315979,Negative
Yareni bidaha almayın oyuna çok boş bağırıyo,-0.608,Negative,-0.25,Negative,-0.3785323202610016,Negative
Abi😍❤️,0.4588,Positive,0.0,Netural,0.30857792496681213,Netural
😂,0.4404,Positive,0.0,Netural,0.30857792496681213,Netural
Ucuncu.  gelsin,0.0,Neutral,0.0,Netural,0.44100749492645264,Positive
