Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
badass song,0.34,Positive,0.0,Neutral,0.3532699644565582,Positive
@evolve i am from soul society,0.0,Neutral,0.0,Neutral,0.6223416328430176,Positive
I love this song so much 🥰🥰🥰🥰😍😍😍😌,0.9929,Positive,0.35,Positive,0.8893097639083862,Positive
When you are listening to this 2022 with fake COVID -  19 things you are a actual legend <3,-0.0516,Negative,0.1666666666666666,Neutral,-0.4024710357189178,Negative
I want a horse 🐎 😫,-0.3818,Negative,0.0,Neutral,0.402397096157074,Positive
"I'm gonna take my hoes to the hotel room, I'm gonna ride 'til I can't no more😭",-0.3591,Negative,0.0,Neutral,0.2503843307495117,Neutral
BEST SONG SONG EVER,0.6369,Positive,1.0,Positive,0.9434181451797484,Positive
Thanks this is my favorite songs 😻😻💞💞💞💞,0.9836,Positive,0.35,Positive,0.8881988525390625,Positive
"""i'am gonna take my horse to the Indian road""",0.0,Neutral,0.0,Neutral,-0.2179599106311798,Negative
One of the best songs I've heard😩💖😭👑,0.7506,Positive,1.0,Positive,0.9210242629051208,Positive
hat down town livin' like a rock star spent a lot of money on my new guitar....... this excerpt is popular on tik tok,0.6486,Positive,0.1202020202020201,Neutral,0.5562410354614258,Positive
love  the  song 🤠🤠🤠🤠🤠🍹,0.6369,Positive,0.5,Positive,0.7003944516181946,Positive
good with headphones trust me,0.7351,Positive,0.7,Positive,0.4554075896739959,Positive
I sing it in super smash bros ultimate,0.5994,Positive,0.1666666666666666,Neutral,0.6794349551200867,Positive
2020 or 2019 vibes,0.0,Neutral,0.0,Neutral,0.2834478914737701,Neutral
if you lestening to this in 2022 be my friend,0.4939,Positive,0.0,Neutral,0.3433494567871094,Positive
Masterpiece never get old (April 2022)🔥🔥🔥,-0.2732,Negative,0.1,Neutral,0.8674854040145874,Positive
Hits another level when Lil Nas kicks in 💯🥵,0.0,Neutral,0.0,Neutral,0.2722725868225097,Neutral
Dis is the best song i even made an animation with this song,0.6369,Positive,1.0,Positive,0.8694816827774048,Positive
Its 2022 and i still jam to this legendary song,0.0,Neutral,1.0,Positive,0.7589381337165833,Positive
Remember when billy ray had to be put on this song because it was too black ?,0.0,Neutral,-0.1666666666666666,Negative,-0.3037501573562622,Negative
Did billy ray and lil nas break up.,0.0,Neutral,0.0,Neutral,0.264505922794342,Neutral
Yeah I'm gonna take my horse to the old town road .,0.296,Positive,0.1,Neutral,-0.2683424055576324,Negative
USA,0.0,Neutral,0.0,Neutral,0.2447315901517868,Neutral
"To the people who commented 2 years before, This line: Hat down, Cross Town, living like a rockstar, spend alota money on my brand new guitar",0.3612,Positive,-0.0063973063973064,Negative,-0.4112354516983032,Negative
This really really reminds me of the 2019 days.,0.0,Neutral,0.2,Neutral,0.7302478551864624,Positive
The Good old days....,0.4404,Positive,0.3999999999999999,Positive,0.4010534584522247,Positive
2017 vibes ❤️✨,0.3182,Positive,0.0,Neutral,0.4203883707523346,Positive
🔥🔥never realized how good this is,0.128,Positive,0.7,Positive,0.6609908938407898,Positive
TO THE OLD TOWN,0.0,Neutral,0.1,Neutral,0.4252539873123169,Positive
Balkan?Anyone,0.0,Neutral,0.0,Neutral,-0.5265017151832581,Negative
1:35 listen😃,0.3612,Positive,0.0,Neutral,-0.2463576793670654,Negative
Go to 1:23 its the most popular part,0.4754,Positive,0.55,Positive,0.3095026016235351,Neutral
"Your kidding! This came out THREE years ago! Oh, the good 'ol days before Covid.",0.5972,Positive,0.7,Positive,-0.5292348861694336,Negative
uwulmbnvkvciof🏳‍⚧🏳‍⚧🏳‍⚧🏳‍⚧🏳‍⚧🏳‍⚧🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🏳‍⚧🏳‍⚧🏳‍⚧🏳‍🌈🏳‍⚧🏳‍⚧🏳‍🌈🏳‍🌈🏳‍🌈🏳‍⚧🏳‍⚧🏳‍🌈🔹🔹🔺🔺🔺🔺🔺🏳‍🌈🏳‍🌈🏳‍🌈🏳‍⚧🏳‍⚧🏳‍🌈🏳‍🌈🏳‍⚧🏳‍⚧🏳‍⚧🏳‍⚧🏳‍⚧🏳‍🌈🏳‍🌈🏳‍🌈,0.5859,Positive,0.0,Neutral,0.3085779249668121,Neutral
I love this so much and I LOVE horses AND I listen to this every morning 🌄 💗,0.9436,Positive,0.3999999999999999,Positive,0.9308135509490968,Positive
I accidentally click this song and this was my best accident!!!,-0.2905,Negative,1.0,Positive,-0.8315992951393127,Negative
Evloe we not saying where we live or where we come from,0.0,Neutral,0.1363636363636363,Neutral,-0.3968000113964081,Negative
Ahhhh the good old days of everyone singing this at school,0.4404,Positive,0.3999999999999999,Positive,0.2745066583156585,Neutral
I remember when everyone was singing this,0.0,Neutral,0.0,Neutral,0.4109033346176147,Positive
If ur watching this in 2022 ur a Legend,0.0,Neutral,0.0,Neutral,-0.2786065936088562,Negative
"Hi guys, in 2022 24martcğh  are you still listening this masterpiece?",0.7073,Positive,0.0,Neutral,0.5400826334953308,Positive
1:38 is the best and my fav part! Keep it up Evolve!!! Keep it up!! Dont lose it! Stay safe and take care everyone!,0.9495,Positive,0.8125,Positive,0.8636406660079956,Positive
Good song,0.4404,Positive,0.7,Positive,0.5417960286140442,Positive
"John 3:16
Romans 10:9
John 3:3
Matthew 7:21",0.0,Neutral,0.0,Neutral,0.2514375746250152,Neutral
If some one is here from 2022 listing the music leave a 👍🏻❤️,-0.0516,Negative,0.0,Neutral,-0.4252141714096069,Negative
Bad,-0.5423,Negative,-0.6999999999999998,Negative,-0.6820114850997925,Negative
Really I looked for this song long time ago,0.0,Neutral,0.075,Neutral,0.6213415861129761,Positive
The oof remix is even better,0.4404,Positive,0.5,Positive,0.2598471641540527,Neutral
Lil nas x saying rasies words and he is that colour,0.0,Neutral,0.0,Neutral,-0.359398603439331,Negative
The armys this song reminds you of nothing 💜💜 with the members of BTS (Jimin's voice was doing the autotune and for once he managed not to fall out of his chair 😂😂),0.7672,Positive,0.0,Neutral,-0.3181019127368927,Negative
This use to be the best song it still is in my opinion,0.6369,Positive,1.0,Positive,0.719784677028656,Positive
Hola,0.0,Neutral,0.0,Neutral,0.2550420761108398,Neutral
Who still listens to this in 2022😁,0.4588,Positive,0.0,Neutral,0.515794575214386,Positive
1:37,0.0,Neutral,0.0,Neutral,-0.2177155017852783,Negative
where are you from,0.0,Neutral,0.0,Neutral,0.3281504213809967,Neutral
I am gonna take my horse to the Seoul town road 🙃,0.0,Neutral,0.0,Neutral,0.2587625682353973,Neutral
L,0.4588,Positive,0.0,Neutral,0.2571044862270355,Neutral
This is so good try to make more good songs like this one,0.8657,Positive,0.6333333333333333,Positive,0.6723719835281372,Positive
It's been 3 years since the song was the best song in the world,0.6369,Positive,1.0,Positive,0.5922401547431946,Positive
INDIA,0.0,Neutral,0.0,Neutral,0.2321095764636993,Neutral
Indonesia🇮🇩,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
This is the pandemic hit song,0.0,Neutral,0.0,Neutral,-0.3085666596889496,Negative
I LOVE LEAN,0.6369,Positive,0.5,Positive,0.7364014387130737,Positive
2022 gabg,0.0,Neutral,0.0,Neutral,0.2663892209529876,Neutral
2022,0.0,Neutral,0.0,Neutral,0.2900533974170685,Neutral
The BOOBIS PART,0.0,Neutral,0.0,Neutral,0.2878839373588562,Neutral
This is when lil nas x wasn’t gay lol,0.4215,Positive,0.6083333333333334,Positive,-0.3798714876174927,Negative
THIS IS AWSOME,0.6249,Positive,1.0,Positive,-0.5127847194671631,Negative
Childish rat bullshit,-0.7184,Negative,-0.2,Negative,-0.749816358089447,Negative
i am from vietnam,0.0,Neutral,0.0,Neutral,-0.3882482349872589,Negative
YEAAAAAAA ILL GONNA TAKE MY HORSE 🤠🤠🤠🤠 TO THE OLD TOWN ROAD 😎😎😎😎😎😎😎 ILL GONNA RIDE TILL I CANT NO MORE 🥵🥵🥵🥵,0.9577,Positive,-0.2166666666666666,Negative,-0.3992131650447845,Negative
😍😍,0.7184,Positive,0.0,Neutral,0.3085779249668121,Neutral
Hiii,0.0,Neutral,0.0,Neutral,0.279375672340393,Neutral
