Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
57:43 legends will watch from this point.,0.0,Neutral,0.0,Neutral,0.557756781578064,Positive
"It Will be tough to make a movie standing up with bhoolbhulaiah 1 , maybe the reason , priyadersan not directing or escaped from part 2. Sure if it is not good as part 1 , everybody blame the director.",-0.4599,Negative,-0.0796296296296296,Negative,-0.415057361125946,Negative
Wah,0.0,Neutral,0.0,Neutral,0.3651529550552368,Positive
Thnku for uploading the full movie,0.4404,Positive,0.275,Positive,0.3648692369461059,Positive
Bhool Bhulaiyaa was a no doubt it was a massive blockbuster of 2007......,0.7193,Positive,0.0,Neutral,-0.228688508272171,Negative
Best comedy of Akshay Kumar 😘😘♥️♥️♥️,0.9774,Positive,1.0,Positive,0.8566896915435791,Positive
Saw this movie after bhool bhulaiyaa 2 teaser but orginal movie Chandramukhi is far better,0.743,Positive,0.325,Positive,0.4659902453422546,Positive
This movie took 57:58 time to show main character. That means story is great.,0.6249,Positive,0.4833333333333333,Positive,0.4638192057609558,Positive
bhulbhulaiyaaa ka koi match nahi ❤️,-0.296,Negative,0.0,Neutral,0.2531287372112274,Neutral
"2:00:45 A crew member walks by behind
Guess they forgot to edit it 😂",0.4404,Positive,-0.4,Negative,-0.4555433094501495,Negative
Never seen a male dancer as graceful as Vineeth in Aami je tumhar and raa raa. 😭 Bollywood has no male classical dancers and now even female classical dancer actresses era ended after Madhuri Dixit.,-0.3182,Negative,0.0,Neutral,-0.4225433468818664,Negative
Bate pushpa,0.0,Neutral,0.0,Neutral,0.2596712708473205,Neutral
"Bollywood: copy, copy, copy I don't like it I avoid but copy likes me, I can't avoid.",0.5963,Positive,0.0,Neutral,-0.3775083124637604,Negative
Who is here after bhool bhulaiya 2 to thank bhul bhulaiya 1,0.0,Neutral,0.0,Neutral,0.3817991912364959,Positive
Jdjlsheulsnzfyeoa,0.0,Neutral,0.0,Neutral,0.2401327639818191,Neutral
Paani,0.34,Positive,0.0,Neutral,0.2535531520843506,Neutral
Bhool bhulaiya 2 is incomplete without akshay sir,0.0,Neutral,0.1,Positive,-0.463495522737503,Negative
Not only akshay but this movie is incomplete with each and every cast of bhool bhulaiya,0.0,Neutral,0.0,Neutral,-0.6801902651786804,Negative
Puspa,0.0,Neutral,0.0,Neutral,0.2571889460086822,Neutral
One of the best movies ♥️,0.8555,Positive,1.0,Positive,0.9418776035308838,Positive
I love this movie 👍🏻,0.6369,Positive,0.5,Positive,0.8932183980941772,Positive
There is no match between bhool bhulaiya and bhool bhulaiya 2😂,0.1779,Positive,0.0,Neutral,-0.4525372087955475,Negative
Bhool bhulaiyaa is masterpiece where bhool bhulaiyaa 2 is a shitpiece😂😂😂,0.9153,Positive,0.0,Neutral,0.4724020063877105,Positive
Vidya was so scary in her expressions.,-0.6269,Negative,-0.5,Negative,-0.2919164597988128,Negative
56:53,0.0,Neutral,0.0,Neutral,0.2815867662429809,Neutral
"Comment section and views are still active , 51mn views,👍",0.4019,Positive,-0.1333333333333333,Negative,0.3722031116485595,Positive
1:3:46sec Akki 😂😂😂😂,0.891,Positive,0.5,Positive,-0.3109309375286102,Negative
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
46:25,0.0,Neutral,0.0,Neutral,0.2295597493648529,Neutral
45:43,0.0,Neutral,0.0,Neutral,0.225722923874855,Neutral
Masterpiece 😆😆❤,0.9231,Positive,0.0,Neutral,0.8407883644104004,Positive
Akkkki 💖🔥🔥💖💖💖💖🔥🔥🔥🔥🔥🔥💖💖💖,0.9872,Positive,0.0,Neutral,0.2442868798971176,Neutral
"We can not say for sure that a movie will be a hit before its release, but I can say for sure that Bhool Bhoolaiya 2 will be a huge hit,",0.6618,Positive,0.4666666666666667,Positive,0.3826224207878113,Positive
Copy of chandramukhi 😂,0.0,Neutral,0.0,Neutral,-0.2246485501527786,Negative
This film was gold then and till today its gold .....i wish bollywood again starts making these kind of moviwa,0.4019,Positive,0.6,Positive,0.4452720880508423,Positive
57:45 Akshay kumar entry 🙅❤️,-0.4466,Negative,0.0,Neutral,0.2491839379072189,Neutral
20:23,0.0,Neutral,0.0,Neutral,-0.2801102101802826,Negative
"Bhull bhulaiyaa is better than bhull bhulaiyaa 2 ,",0.4404,Positive,0.5,Positive,0.3609938025474548,Positive
Please upload Hera pheri,0.3182,Positive,0.0,Neutral,-0.3676134049892425,Negative
Majjaa aa gya biru log mst movie hai,0.0,Neutral,0.0,Neutral,-0.2964709401130676,Negative
1:09:25 this scene is legendary 😆😆😆😂,0.8555,Positive,1.0,Positive,0.7478053569793701,Positive
"After teaser of BB 2 i came here to watch first part. 
Wow man i like it so much what a movie yrr.
Dil khush ho gya",0.6486,Positive,0.1833333333333333,Positive,0.715782105922699,Positive
"Bhool bhulaiya is better than bhool bhulaiya 2






Legend is akshay kumar 🙏🙏",0.4404,Positive,0.5,Positive,0.4089029431343078,Positive
Bhai is iconic movie ke kya halat kar de yar 😫😫😭😭,0.0,Neutral,0.5,Positive,0.6429110765457153,Positive
A goti goti ........😆😆😂,0.7845,Positive,0.0,Neutral,0.3218492865562439,Neutral
1 :08:19 was very comedy scene,0.4201,Positive,0.2,Positive,-0.2665121257305145,Negative
Mast movie hai 😎,0.0,Neutral,0.0,Neutral,-0.3586905002593994,Negative
1:22:03 😁😁😂,0.836,Positive,0.0,Neutral,-0.3267612159252167,Negative
Songs are awesome in this movie ❤❤,0.926,Positive,1.0,Positive,0.7612568736076355,Positive
"""Amijeto maar chi chi chi, tumijeto maar chi chi chi"" 😂😂",0.0,Neutral,0.0,Neutral,-0.3534508347511291,Negative
1:00:17 my favourite scene..🤣😂,0.7269,Positive,0.0,Neutral,0.8367185592651367,Positive
Are chunddan halwai that's epic🤣,0.4939,Positive,0.0,Neutral,0.288698136806488,Neutral
