Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Quem veio pela música do ban do anirap







Gringos retirem se do resinto🤣",-0.1027,Negative,0.0,Neutral,-0.6488423943519592,Negative
I was a fan before but after listening to this masterpiece i am a whole a,0.8578,Positive,0.2,Positive,0.4264345467090606,Positive
This song show if they other people and you don’t have a leg it good to be different I long this song,0.4404,Positive,0.1312499999999999,Positive,0.3814987540245056,Positive
alguem mais veio pela referencia do anirap?????,0.0,Neutral,0.0,Neutral,-0.4186378419399261,Negative
1:50 and i took it personally.,0.0,Neutral,0.0,Neutral,0.5766288638114929,Positive
It’s such a powerful song!!!!,0.6083,Positive,0.3662109375,Positive,0.8941770195960999,Positive
i like this song better then song,0.6597,Positive,0.5,Positive,0.3386532068252563,Positive
I love this,0.6369,Positive,0.5,Positive,0.8869144320487976,Positive
Im not cold... *Junior left the chat*,0.0,Neutral,0.15,Positive,-0.34683358669281,Negative
me encanta tu canción es mi favorita❤,0.9081,Positive,0.5,Positive,0.8131218552589417,Positive
QUEM VEIO AQUI POR CAUSA DO ANIRAP ? KKKK,0.0,Neutral,0.2,Positive,-0.473553717136383,Negative
O Pop do Imagine Dragons é tão épico que alguns confundem com Rock kkk,0.2263,Positive,0.45,Positive,0.4038558602333069,Positive
Omg I was a fan before but now I’m a bIG fan/ whole air conditioner,0.5574,Positive,0.1,Positive,0.4875972270965576,Positive
GOOD :),0.7672,Positive,0.6,Positive,0.4845014810562134,Positive
^ o ^,0.0,Neutral,0.0,Neutral,0.2278704345226287,Neutral
Vim pelo anirap,0.0,Neutral,0.0,Neutral,-0.2376187741756439,Negative
*PURE ENERGY*,0.2732,Positive,0.2142857142857142,Positive,0.5792811512947083,Positive
Awesome song 🔥,0.4019,Positive,1.0,Positive,0.812974214553833,Positive
favorite,0.4588,Positive,0.5,Positive,0.8275741934776306,Positive
wow lol yea,0.765,Positive,0.45,Positive,0.641360878944397,Positive
One world masterpiece ((◍•ᴗ•◍)✧*。,0.6249,Positive,0.0,Neutral,0.828208863735199,Positive
Cadê os brasileiros?🇧🇷,0.0,Neutral,0.0,Neutral,-0.488675057888031,Negative
The video is great,0.6249,Positive,0.8,Positive,0.667140781879425,Positive
I loved it when I saw it on beatsaber and I won it’s pretty easy,0.9287,Positive,0.4611111111111111,Positive,0.428998053073883,Positive
Vim pelo anirap,0.0,Neutral,0.0,Neutral,-0.2376187741756439,Negative
Anirap🔥🔥🔥,-0.7351,Negative,0.0,Neutral,0.3085779249668121,Neutral
❤❤,0.8555,Positive,0.0,Neutral,0.3085779249668121,Neutral
I love the beat like this part:cause your a naturale,0.7717,Positive,0.5,Positive,0.6844654083251953,Positive
"well, it's not true. you can be a better person than that and still make it  really well on this planet. you can do a lot of good and still make a lot o f money without harming the innocent but---- use it right. These guys are making money, are they  being cold hearted?",0.6026,Positive,0.2015306122448979,Positive,0.4426625669002533,Positive
The editing is so cool,0.4572,Positive,0.35,Positive,0.5951314568519592,Positive
Ya 3 años de mi adicción a esta canción ❤️🥰🥰IMAGINE DRAGONS DIOSES👑,0.9547,Positive,0.0,Neutral,0.5478694438934326,Positive
I done this song at school,0.0,Neutral,0.0,Neutral,0.4995651543140411,Positive
Perfect song,0.5719,Positive,1.0,Positive,0.8369011282920837,Positive
seeing them live tonight!!!!!!,0.0,Neutral,0.5201859907670454,Positive,0.6999231576919556,Positive
this song is a masterpeice,0.6249,Positive,0.0,Neutral,0.6277143955230713,Positive
Wow,0.5859,Positive,0.1,Positive,0.6995608806610107,Positive
"y'know when I first heard ""It's Time"" I figured it would be Imagine Dragons' fifteen minutes
then they released another song I liked
then another
next thing you know I get my hands on Night Visions, listened to every song on it without skipping, then realized that there isn't a single song of their I would even consider skipping
then they keep it rolling for ten years
and I haven't left since",0.5719,Positive,0.1297619047619047,Positive,-0.2758274972438812,Negative
