Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Hey everyone ✋ Have a look at my cover of no time to diehttps://youtu.be/HS0ukTVzHq4,0.25,Positive,0.0,Neutral,-0.3506025075912475,Negative
Hail Satan's Mother-Revelation,0.0772,Positive,0.0,Neutral,0.5069272518157959,Positive
오마이갓김치,0.2732,Positive,0.0,Neutral,0.2529981434345245,Neutral
The sense of this videoclip?,0.0,Neutral,0.0,Neutral,-0.283470869064331,Negative
"There really is nothing to dislike about this song, its so perfectly made.",0.8201,Positive,0.6,Positive,0.8616375923156738,Positive
"14 Year Olds After Watching This :- 

Hey Mom, Can you tell the Relatives that I am Depressed? So that their kids will be jealous of me",-0.743,Negative,0.0,Neutral,0.2230279147624969,Neutral
See a demon doesn't scare me yo brother your big brother is always me overprotective I just give you a kiss and a hug I give you the whole experience you'll change and grow into something you will never see before,0.819,Positive,0.1,Neutral,0.6539484858512878,Positive
Some face.,0.0,Neutral,0.0,Neutral,0.5062670707702637,Positive
You love XXXTENTACION,0.6369,Positive,0.5,Positive,0.6036118865013123,Positive
Stingsciu,0.0,Neutral,0.0,Neutral,-0.4964819550514221,Negative
billie eilish he has acute tic disease but he doesn't show it,0.0,Neutral,0.6,Positive,-0.3935040831565857,Negative
Wow the song is so nice,0.8134,Positive,0.35,Positive,0.7626305222511292,Positive
Halgun hondureño,0.0,Neutral,0.0,Neutral,0.2478470355272293,Neutral
It’s OK Billi X still there for you I miss him too and I know it’s hard for you and it’s hard for me to it’s gonna be OK I know you wanted to die but X past and so you lived he wanted to live in you wanted to die but it switched but it’s OK:),-0.7627,Negative,0.1628787878787878,Neutral,0.7221992611885071,Positive
Te amo 💖,0.891,Positive,0.5,Positive,0.4640006422996521,Positive
This is just so damn good,-0.0805,Negative,0.7,Positive,0.7477555871009827,Positive
I love you Billie Eilish,0.6369,Positive,0.5,Positive,0.7700788974761963,Positive
Love this song,0.6369,Positive,0.5,Positive,0.8493074774742126,Positive
i often listen to this song cause it makes me cry 😔 this song can change my mood ❤️ one of the best ballad I've ever heard.,0.34,Positive,1.0,Positive,0.859168291091919,Positive
I love u Billie...,0.6369,Positive,0.5,Positive,0.7055839896202087,Positive
This video costed like 5 dollars,0.3612,Positive,0.0,Neutral,-0.7847759127616882,Negative
2:13,0.0,Neutral,0.0,Neutral,0.2499096989631652,Neutral
😥 deep,0.3291,Positive,0.0,Neutral,0.2719819843769073,Neutral
رائع جدا بيلي نتمنى ترجمة الاغنية للغة العربية,0.6697,Positive,0.4549999999999999,Positive,0.4608771800994873,Positive
What is the drink,0.0,Neutral,0.0,Neutral,0.3541520833969116,Positive
hello i'm your d,0.0,Neutral,0.0,Neutral,0.5015256404876709,Positive
You miss xxx,-0.1531,Negative,0.0,Neutral,0.2432562410831451,Neutral
Nunca gostei muito do suco do abacate,-0.3713,Negative,-0.3,Negative,-0.642414927482605,Negative
So good ❤️❤️❤️❤️,0.4927,Positive,0.7,Positive,0.6231406331062317,Positive
I love you billie eilish,0.6369,Positive,0.5,Positive,0.7700788974761963,Positive
Gorgeous,0.6124,Positive,0.7,Positive,0.837663471698761,Positive
She is soo gorgeoys,0.6478,Positive,0.7,Positive,0.2802542746067047,Neutral
😄😄😄😄😍😍😍😍🥰🥰🥰🥰🥰🥰🥰🤭😘😘,0.9982,Positive,0.0,Neutral,0.3085779249668121,Neutral
When I was younger I thought it was coke ☠️ 😭 but seriously her voice is beautiful and also the fact that she poured real ink all over her to make this,0.5023,Positive,0.1791666666666666,Neutral,0.2820883989334106,Neutral
I love you billie,0.6369,Positive,0.5,Positive,0.814207911491394,Positive
WTF for you,-0.6739,Negative,-0.5,Negative,0.4496428072452545,Positive
i loved it 😍 too much,0.7845,Positive,0.4499999999999999,Positive,0.6230403184890747,Positive
i loved it 😍 too much,0.7845,Positive,0.4499999999999999,Positive,0.6230403184890747,Positive
Watch friends yes ou no,0.5574,Positive,0.0,Neutral,0.2761565446853637,Neutral
"Minha amiga faleceu ontem e fizeram um vídeo para ela com essa música, eu já amava essa música mas agora eu só consigo ouvir ela pensando na minha amiga.. dói tanto💔",0.7452,Positive,0.35,Positive,-0.2531806230545044,Negative
bro it was so realistic aaaaaw i love Billie    Eilish,0.6369,Positive,0.3333333333333333,Positive,0.595228374004364,Positive
graphhhh 3n3 o blackkkk k goo,0.0,Neutral,0.0,Neutral,-0.2967250347137451,Negative
Fr tho this felt like 3 seconds,0.3612,Positive,0.0,Neutral,-0.5185627937316895,Negative
“Odwilż“,0.0,Neutral,0.0,Neutral,-0.2711913287639618,Negative
Billie Eilish I’m not sure if I just sent you and then is actually gay sorry I just keep on and keep on hearing I’m not sure but I’m sure XXXTENTACION fake his own death I’m telling you this now because I am not sure tell you but I don’t wanna and I’m actually picture in my mind I sing a song coming up what’s this song showing up behind me and then contacting you and yeah and well Ashley of skies and shoot say it on purpose 🤬🤬🤬🤬,-0.8675,Negative,-0.0633333333333333,Negative,-0.5366175174713135,Negative
Dam this is more depressing than Joe's story of how he became an orphan,-0.4391,Negative,-0.0499999999999999,Negative,-0.4278813004493713,Negative
Love your songs <3,0.7964,Positive,0.75,Positive,0.6706772446632385,Positive
How did it edit is that real story? I'm sorry i really don't know,-0.0772,Negative,-0.0333333333333333,Negative,-0.4722946286201477,Negative
This Was literally Like My Dream😘,0.743,Positive,0.0,Neutral,0.6305873394012451,Positive
"12 year old me is crying, without Billie I don’t think I’d be here right now🤍",-0.4767,Negative,0.0619047619047619,Neutral,-0.394415020942688,Negative
I know this,0.0,Neutral,0.0,Neutral,0.6158438920974731,Positive
0:09 I swear that’s Oxitocin in the background…,-0.0516,Negative,0.0,Neutral,-0.7272763848304749,Negative
if you're listening to this song. i just wanted to say that you've got a good music taste.,0.4404,Positive,0.7,Positive,-0.330933541059494,Negative
"Beautiful song 💕💕💕💕 i couldn't lie,i like it like that i like it like that ❤️",0.9808,Positive,0.85,Positive,0.7572155594825745,Positive
