Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"You said you hated the ocean, but you're surfin' now
I said I'd love you for life, but I just sold our house
We were kids at the start, I guess we're grown-ups now, mm
Couldn't ever imagine even havin' doubts
But not everything works out, no
Now I'm out dancin' with strangers
You could be casually datin'
Damn, it's all changin' so fast
Así es la vida, sí
Yeah, that's just life, baby
Yeah, love came around and it knocked me down
But I'm back on my feet
Así es la vida, sí
Yeah, that's just life, baby
I was barely standin', but now I'm dancin'
He's all over me (goza)
Bidi-bam-bam-bam-bam, bam-bam
Bidi-bam-bam-bam-bam, bam-bam
Bidi-bam-bam-bam-bam, bam-bam
Bidi-bam-bam-bam-bam (así es la vida)
Bidi-bam-bam-bam-bam, bam-bam (uh-huh)
Bidi-bam-bam-bam-bam, bam-bam (uh-huh)
Bidi-bam-bam-bam-bam, bam-bam (uh-huh)
Bidi-bam-bam-bam-bam
It's been a hell of a year, thank God we made it out
Yeah, we were riding a wave, and trying not to drown
And on the surface, I held it together but underneath, I sorta came unwound
Where would I be? You're all that I need, my world, baby, you hold me down
You always hold me down, now
I've been a breaker and broken
Every mistake turns to moments
Wouldn't take anything back
Así es la vida, sí (así e')
Yeah, that's just life, baby
Yeah, love came around and it knocked me down
But I'm back on my feet
Así es la vida, sí
Yeah, that's just life, baby
I was barely standin', but now I'm dancin'
He's all over me
Bidi-bam-bam-bam-bam, bam-bam
Bidi-bam-bam-bam-bam, bam-bam
Bidi-bam-bam-bam-bam, bam-bam
Bidi-bam-bam-bam-bam (ahí, ahí)
Bidi-bam-bam-bam-bam, bam-bam
Bidi-bam-bam-bam-bam, bam-bam
Bidi-bam-bam-bam-bam, bam-bam
Bidi-bam-bam-bam-bam (pónganle azúcar, mi gente)
Y sigue bailando, hey
Y sigue bailando, ajá (keep dancing, yeah)
Y sigue bailando (keep dancing, yeah)
Y sigue bailando (ayy)
ajá, y sigue bailando
(Keep dancing, yeah) y sigue bailando (ayy)
(Hay amor en todos lados) y sigue bailando, uoh
(Sigue, sigue, sigue bailando)
Así es la vida, sí
Yeah, that's just life, baby
Yeah, love came around and it knocked me down
But I'm back on my feet
Así es la vida, sí
Yeah, that's just life, baby
I was barely standin', but now I'm dancin'
She's all over me (hey, hey)
Now I'm, now I'm dancin' (keep dancing, yeah)
Now I'm, now I'm dancin' (keep dancing, yeah)
Now I'm, now I'm dancin' (keep dancing, yeah)
(Bam-bam-bam-bam) (hey, hey)
And now I'm dancin' (keep dancing, yeah)
Now I'm dancin' (keep dancing, yeah)
(Bam-bam-bam-bam) eh",0.9964,Positive,-0.0113888888888889,Negative,0.3243566751480102,Neutral
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Camila understood the assignment,0.0,Neutral,0.0,Neutral,0.3507085740566253,Positive
This is camilla's daily routine F.S,0.0,Neutral,0.0,Neutral,0.4578582644462585,Positive
"Esta parte  ""Now I'm out dancin' with strangers
You could be casually datin'
Damn, it's all changin' so fast"". 

Suena  a la parte de la canción 
""Y entre mis sueños dormido
Trato yo de hablar contigo y sentirte cerca de mí
Quiero tenerte en mis brazos
Poder salir y abrazarte y nunca más dejarte ir"" de fonseca o solo a mi me parece",0.7823,Positive,0.0666666666666666,Neutral,0.2537135481834411,Neutral
https://youtube.com/shorts/1BhQq5dFXgg?feature=share,0.0,Neutral,0.0,Neutral,0.2397839874029159,Neutral
Awwww,0.0,Neutral,0.5,Positive,0.2317898720502853,Neutral
Ok I am starting feel bad now,-0.3182,Negative,-0.0666666666666666,Negative,0.6076453328132629,Positive
Camila 👏👏,0.0,Neutral,0.0,Neutral,0.2672346830368042,Neutral
Ed ruins this song,-0.4404,Negative,-0.15,Negative,-0.7239648699760437,Negative
Be happy mfs,0.5719,Positive,0.8,Positive,0.5232439041137695,Positive
"Bellisimaa ❣. La cancion es mi despertador por las mañanas 🥰🥰🥰 
ASI ES LA VIDAA , BOM BOM BOM",0.9828,Positive,0.85,Positive,0.8643731474876404,Positive
Any straight man knew from the jump Shawn looked like a guy who sits down to pee. This whole bs relationship was a stunt for there upcoming albums now there both touring making tons of money on there new break up songs ..,0.5267,Positive,0.0952020202020202,Neutral,0.5366131067276001,Positive
I love u Cami❤️,0.6369,Positive,0.5,Positive,0.7944267392158508,Positive
This song is saving me.... 😞,-0.4767,Negative,0.0,Neutral,0.742434561252594,Positive
