Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"such a beautiful voice & charming personality, on top of that million $ smile 🥰 U both r awesome 👏 lot of ❤️ from USA & India 💐🙏",0.9732,Positive,0.5583333333333332,Positive,0.9172998666763306,Positive
Contact me if you want to make money at home cheaply,0.0772,Positive,0.4,Positive,-0.3541585206985473,Negative
Polskaaaaaa🔥❤️💪💪💪💪💪💪💪🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱,-0.34,Negative,0.0,Neutral,0.3085779249668121,Neutral
Молодцы итальянцы !!! Привет из России,0.6981,Positive,0.0,Neutral,0.367619514465332,Positive
Ouso você todas as noites. você e seu companheiro. Continua cantando demais 💕 parabéns cruvinel Uberlândia mg Brasil,0.8481,Positive,0.2,Neutral,-0.2474654912948608,Negative
Супер!!!!,0.7243,Positive,0.8138020833333331,Positive,0.5539771318435669,Positive
Great job Bendetta an Daniele,0.6249,Positive,0.8,Positive,0.6269798874855042,Positive
Ouaouh,0.0,Neutral,0.0,Neutral,0.2639164924621582,Neutral
"Excellent interpretation is a sensational duo, there is no doubt",0.7013,Positive,0.8333333333333333,Positive,0.7958472967147827,Positive
😘😘😘,0.8126,Positive,0.0,Neutral,0.3085779249668121,Neutral
Fake 😂😂😂😆😆😆😆😆😆,0.9559,Positive,-0.5,Negative,-0.758997917175293,Negative
Drăguță și talentată,0.743,Positive,0.6,Positive,0.6022382378578186,Positive
Girl cool,0.3182,Positive,0.35,Positive,0.4959191977977752,Positive
"Oh man, this woman is smoking hot and sexy",0.5267,Positive,0.375,Positive,0.4123248755931854,Positive
they are look like brother and sister,0.3612,Positive,0.0,Neutral,0.357289969921112,Positive
Brava e bella,0.6908,Positive,0.6499999999999999,Positive,0.5618573427200317,Positive
♥️👍🌹,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
benedetta please the red man whit face !!!! im mario fron argentina,0.5374,Positive,0.0,Neutral,0.3623961508274078,Positive
Linda demais 💕 canta muito cruvinel Uberlândia mg Brasil,0.8481,Positive,0.85,Positive,0.2985382080078125,Neutral
This was actually sweet. Very well balanced performance which I never expected.,0.659,Positive,0.2,Neutral,0.6835193037986755,Positive
Linda música cruvinel Uberlândia mg Brasil,0.5994,Positive,0.85,Positive,0.437345415353775,Positive
saxo criard de merde qui fait mal aux oreilles,-0.8519,Negative,0.0,Neutral,0.3214530348777771,Neutral
Benedetta a des yeux incroyables !!!,0.6884,Positive,1.0,Positive,0.6224384307861328,Positive
Fajna suka ..nic tylko jebać i do dzioba 🥰😍🤗,0.9759,Positive,0.0666666666666666,Neutral,-0.2966117262840271,Negative
"Eres un ídolo Babes.Geilsex.Uno 
siempre en mi corazón, hermosa, amor, elecciones, cultulares.❤ 

Son unos de los mejores conciertos..",0.9709,Positive,0.7833333333333333,Positive,0.9401663541793824,Positive
perfect,0.5719,Positive,1.0,Positive,0.8318259716033936,Positive
Essa menina tem uma voz linda gostei do vídeo. Esse cara de branco é muito bom toca muito.,0.9033,Positive,0.59,Positive,0.6221746206283569,Positive
How is she not a house hold name,0.0,Neutral,0.0,Neutral,-0.4619558453559875,Negative
Wow this is awesome. What a Voice. I like it 🥰😍,0.967,Positive,0.55,Positive,0.9252832531929016,Positive
😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😁😁😁😁😁😁😁😁😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,0.9996,Positive,0.0,Neutral,0.3085779249668121,Neutral
Талантливая красотка👍👍👍,0.7964,Positive,0.7,Positive,0.8303099274635315,Positive
"it's a wonderful voice and awsome playing 👌
Almost, I heard it every day",0.8918,Positive,1.0,Positive,0.6602602005004883,Positive
Szuper!!!!!??? 💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞,0.9995,Positive,1.0,Positive,-0.4036056995391845,Negative
"🎶💙🎶💙🎶💙
👏👏👏",0.9274,Positive,0.0,Neutral,0.3428077399730682,Positive
👏👏👏🌷,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
천상의목소리.,0.6124,Positive,0.0,Neutral,0.3334608972072601,Positive
а я то же по фанеру умею))),0.0,Neutral,0.0,Neutral,0.2903278172016144,Neutral
What happened to the Hauser guy?,0.0,Neutral,0.0,Neutral,-0.4148373901844024,Negative
I love you ♥️,0.8555,Positive,0.5,Positive,0.8349315524101257,Positive
wow what a place to do the song. On a bridge over a canal!,0.6239,Positive,0.125,Neutral,0.8203135132789612,Positive
I liked much from Brazil,0.4215,Positive,0.4,Positive,0.423646867275238,Positive
"качество картинки, такое ощущение что на заднем фоне хромокей.",0.3612,Positive,0.0,Neutral,-0.3923673927783966,Negative
"Bella, elegante y una voz hermosa",0.8979,Positive,0.7333333333333334,Positive,0.7913087010383606,Positive
very nice 👍👌😀 abu Dhabi 🇦🇪,0.894,Positive,0.78,Positive,0.6923040747642517,Positive
nice couple,0.4215,Positive,0.6,Positive,0.4915669560432434,Positive
No sabes tocar otra canción en todos los videos siempre la misma......,0.34,Positive,0.0,Neutral,-0.4357859790325165,Negative
👌👍,0.7297,Positive,0.0,Neutral,0.3085779249668121,Neutral
Beautiful  scenery  Beautiful  song  you  are both  excellent  artists   keep  performing  together,0.91,Positive,0.9,Positive,0.7697609066963196,Positive
Crazy wonderful 💖,0.8271,Positive,0.2,Neutral,0.826686441898346,Positive
อิตาลี...ไปดูอิตาลี...wow.  ...,0.0,Neutral,0.0,Neutral,0.2673481404781341,Neutral
phonogram,0.0,Neutral,0.0,Neutral,0.304546445608139,Neutral
Coś pięknego... 😗😁😘,0.9246,Positive,0.85,Positive,-0.2659738957881927,Negative
Perfect 🌟,0.5719,Positive,1.0,Positive,0.8609878420829773,Positive
magnífico!!👏👏👍🌹😘❤,0.9097,Positive,0.0,Neutral,0.937338650226593,Positive
Te Amo 😍❤️😢😢,0.25,Positive,0.5,Positive,0.4640006422996521,Positive
"Benedetta you are an angel from heaven,you are so beautiful and captivating,you can sing for me every day",0.7177,Positive,0.85,Positive,0.8583202958106995,Positive
гап йук овозига,0.3724,Positive,-0.5,Negative,0.2659845352172851,Neutral
Excelente 👌,0.87,Positive,1.0,Positive,0.7977634072303772,Positive
Bravissimi!,0.54,Positive,1.0,Positive,0.6875336170196533,Positive
Hermosoo,0.0,Neutral,0.0,Neutral,0.4398241341114044,Positive
非常に美しい歌声と風景です。高度な合成技術が気になりました。,0.8357,Positive,0.5499999999999999,Positive,0.4629909098148346,Positive
