Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
😱😱😱😱😱😱😱😱😱😱😱,-0.9957,Negative,0.0,Netural,0.30857792496681213,Netural
Chi em kc đi a,0.0,Neutral,0.0,Netural,-0.3837829530239105,Negative
"Em 2007 cũng đam Mê làm YouTube
Nhưng mà ko làm đc mong anh rep",0.7227,Positive,-0.05,Negative,0.2727276086807251,Netural
cho e vào qđ vs ạ id 1955452352 mong a rep,0.6369,Positive,0.0,Netural,-0.33737999200820923,Negative
Tấu hài,0.3612,Positive,0.0,Netural,-0.6859344244003296,Negative
tấu hài,0.3612,Positive,0.0,Netural,-0.6859344244003296,Negative
Anh lm thử thách chỉ dùng m82b đấy  tóp 1,0.0772,Positive,0.0,Netural,0.8431603312492371,Positive
lm tấu hài đi anh,0.3612,Positive,0.0,Netural,-0.49102354049682617,Negative
Tấu hài đi anh ơi em tim rồi,0.2732,Positive,-0.4,Negative,-0.5796692967414856,Negative
em thách anh đức mõm dùng nắm đấm lấy,0.0772,Positive,0.0,Netural,0.2761867344379425,Netural
Tau hài,0.3818,Positive,0.0,Netural,-0.6859344244003296,Negative
5219607707,0.0,Neutral,0.0,Netural,0.26378506422042847,Netural
Anh làm cả lip chỉ nhận sừng ơ hôm vang,0.0,Neutral,0.06666666666666667,Netural,-0.5924590229988098,Negative
E thik a lm clip tấu hài ạ🤗🍼,0.6124,Positive,0.0,Netural,-0.42874059081077576,Negative
a đức ơi a cho e 1acc ff đc ko a,0.6249,Positive,0.0,Netural,-0.2831130921840668,Negative
Hiếu,0.0,Neutral,0.0,Netural,0.3811695873737335,Positive
tấu hài đi anh,0.0,Neutral,0.0,Netural,-0.5711713433265686,Negative
Anh Đức móm cải trang thành đất đi leo ranh,-0.2732,Negative,0.0,Netural,-0.45064258575439453,Negative
Anh nói là làm nhiệu vụ X và sao anh mới làm phần 1 em đã đợi hơn 1 tháng mà k thấy anh làm nhiệu vụ X mong anh làm  😉😉,0.5927,Positive,0.5,Positive,-0.3410598933696747,Negative
Vlog ah ơi,0.0,Neutral,0.0,Netural,0.2740340530872345,Netural
Táo hài,0.3612,Positive,0.0,Netural,0.24921275675296783,Netural
Câu trả lời là hài vs thử thách súng 🔫,0.1027,Positive,0.0,Netural,-0.32274964451789856,Negative
Đã đăng ký 😀,0.0,Neutral,0.0,Netural,0.4371357858181,Positive
Thách anh lấy top 1 trong sinh tồn mà ko bơm HP chắc ko làm đc ( mong anh rep vs làm ),-0.1546,Negative,0.5,Positive,0.7351690530776978,Positive
Xem video của a Đức đẹp troai mà cười ẻ 😂😂,0.9042,Positive,0.5,Positive,0.2586033344268799,Netural
Vlog,0.0,Neutral,0.0,Netural,0.3020193576812744,Netural
Anh ơi em bị mất ac anh có thể cho em một cái ac đk,-0.3182,Negative,0.0,Netural,-0.5354453921318054,Negative
tấu hài ạ,0.3612,Positive,0.0,Netural,-0.5544152855873108,Negative
v,0.0,Neutral,0.0,Netural,0.3491922616958618,Positive
hay quá anh ơi,0.4927,Positive,0.7,Positive,-0.2958282232284546,Negative
Quay cho em 400000 lD; 5622166238,0.0,Neutral,0.0,Netural,-0.21458183228969574,Negative
Anh làm thử thách  Chỉ dùng katana lấy top 1 đi anh,0.2732,Positive,0.25,Netural,0.5536623001098633,Positive
Tàu hải,0.0,Neutral,0.0,Netural,-0.6859344244003296,Negative
tấu hài,0.3612,Positive,0.0,Netural,-0.6859344244003296,Negative
em thích anh làm cờ líp tấu hài,0.6124,Positive,0.0,Netural,0.4784857928752899,Positive
anh làm clip phát cơm chó cho địch đi anh,-0.5423,Negative,0.0,Netural,-0.5645846128463745,Negative
Hài quá 😂😂😂😂😂😂😂😂,0.9701,Positive,0.25,Netural,0.2388455718755722,Netural
gửi em link fb ah,0.0,Neutral,0.0,Netural,0.2962997853755951,Netural
Mãi ủng hộ anh,0.4019,Positive,0.0,Netural,-0.24325455725193024,Negative
Em nhớ Anh lắm,-0.1531,Negative,0.2,Netural,0.4812648594379425,Positive
em cung choi phi phai ma` anh phai cach ban,0.34,Positive,0.0,Netural,0.2599220871925354,Netural
"em thích anh bắn súng 
Dl:4841019530",0.3612,Positive,0.0,Netural,0.4633796513080597,Positive
anh đức làm tâu hài đi anh đức,0.4404,Positive,0.25,Netural,-0.5300175547599792,Negative
anh làm vlog ạ,0.0,Neutral,0.0,Netural,0.42830049991607666,Positive
thử thách súng,-0.2732,Negative,0.0,Netural,0.2633340656757355,Netural
Anh cho em KC được không ạ  em bị  khinh  thường anh ạ anh có thể cho em 900 KC được không ạ,-0.4019,Negative,0.0,Netural,-0.49552372097969055,Negative
A đang làm j vậy,0.0,Neutral,0.0,Netural,0.2505689561367035,Netural
Tấu hài hay 👍👍,0.6597,Positive,0.7,Positive,-0.3617795705795288,Negative
TAU HAI,0.0,Neutral,0.0,Netural,-0.6859344244003296,Negative
Anh đức đẹp zai  khoai to khó tìm 😂😂😂,0.9287,Positive,0.17708333333333331,Netural,0.28433552384376526,Netural
em ko ngờ là em ủng hộ a đc nửa năm nhưng vào shop a đc 8 kim cương,0.1655,Positive,-0.16666666666666666,Negative,-0.2940862476825714,Negative
"Gần tháng 5 r chúc anh và chị Mon cute phô mai que, bố mẹ nữa sống thật hạnh phúc và vui vẻ ra nhiều  clip nhiều hơn và nhiều đăng kí hơn chúc anh hạnh nhá😊😊😊😊💕💕",0.9943,Positive,0.45606060606060606,Positive,0.37711551785469055,Positive
Ních em nè Phong 5448Q,0.0,Neutral,0.0,Netural,-0.4638022780418396,Negative
Em thính anh đức Vlong hơn ạ mãi ủng hộ anh😘😘😍😍😍😍,0.9601,Positive,0.5,Positive,0.5014477372169495,Positive
Anh ơi em fan anh nè anh cho em làm đồ đệ anh đc ko ạ ??😘😘😉 Đi,0.8053,Positive,0.0,Netural,-0.5337076187133789,Negative
Tấu hài,0.3612,Positive,0.0,Netural,-0.6859344244003296,Negative
HkửhkbánsósậgậBiển,0.0,Neutral,0.0,Netural,0.26524314284324646,Netural
Anh làm thêm clip tăng bo cân 4 đi ạ,0.5667,Positive,0.5,Positive,-0.36825594305992126,Negative
Cho em hỏi là em muốn vô quân đoàn,0.3612,Positive,0.0,Netural,0.4025905728340149,Positive
Cho em xin vào quân đoàn,0.5423,Positive,0.0,Netural,0.3469345271587372,Positive
Tấu hài đi anh Đức đẹp zai,0.6908,Positive,0.5,Positive,-0.265835702419281,Negative
Anh Đức ơi cho em kc đi luân ()Dubai tên ACC em đấy,0.3182,Positive,0.0,Netural,-0.3145624101161957,Negative
dức  mom mãi số 02 den từ lu bai,0.0772,Positive,0.0,Netural,-0.3260280191898346,Negative
Hay anh đức,0.0,Neutral,0.0,Netural,-0.2658889889717102,Negative
Chưa đủ điều kiện để làm streamlive anh à,0.0,Neutral,0.0,Netural,0.3718836307525635,Positive
Tấu hài đi anh,0.0,Neutral,0.0,Netural,-0.5711713433265686,Negative
Anh oi cho em vao quan quan cua.anh 5147618369,0.0,Neutral,0.0,Netural,-0.46718376874923706,Negative
Tất cả các bạn xem video của Đức mõm thì hãy bấm lai,0.3182,Positive,0.0,Netural,-0.5568736791610718,Negative
vãi 🤣🤣🤣,-0.5574,Negative,-0.2,Negative,0.27052220702171326,Netural
Em đố anh  dùng tay lấy top 1 đi 😛😛😛😛,0.6124,Positive,0.5,Positive,0.44080179929733276,Positive
Tấu hài,0.3612,Positive,0.0,Netural,-0.6859344244003296,Negative
E nghỉ ff r cái nick 500tr của e,0.4215,Positive,0.0,Netural,-0.3533146381378174,Negative
du,0.0,Neutral,0.0,Netural,0.3590227961540222,Positive
Chào ak đức nhé bay giờ quay lại xem phim của ak rồi . tại vì 1 tháng trc sát thi rồi nên ko có thời gian xem phim của ak thôi,0.0,Neutral,0.0,Netural,-0.47922274470329285,Negative
em muôn theo anh,0.0772,Positive,0.0,Netural,0.3461620807647705,Positive
Tấu hài,0.3612,Positive,0.0,Netural,-0.6859344244003296,Negative
tấu hài,0.3612,Positive,0.0,Netural,-0.6859344244003296,Negative
Em chuc anh sinh nhât vui ve anh cho em 5k kim cuong ID 2492927485,0.7506,Positive,0.8,Positive,0.5220751762390137,Positive
Táu hài,0.296,Positive,0.0,Netural,-0.6859344244003296,Negative
Anh dùng AK lấy toq 1 đi,0.0,Neutral,0.0,Netural,-0.6176548004150391,Negative
Anh làm clip chỉ dùng m4A1,0.0,Neutral,0.0,Netural,-0.27816304564476013,Negative
Anh solo với bà cụ 80 ở thái Lan đi.Anh làm em bảo cả họ hàng đăng kí.Mà em là họ Nguyễn đó nhà!,0.0,Neutral,0.0,Netural,0.5077741742134094,Positive
t  h,0.0,Neutral,0.0,Netural,0.2212642878293991,Netural
Anh bánh hay quá,0.5777,Positive,0.7,Positive,-0.2548317015171051,Negative
Anh đức ơi cho em vào qđ lD3945524067,0.0,Neutral,0.0,Netural,-0.45880183577537537,Negative
Anh ơi,0.0,Neutral,0.0,Netural,-0.3066698908805847,Negative
AK ơi tặng Kim k ek với ek cho ti r 3015540084,0.0,Neutral,0.0,Netural,0.2760525941848755,Netural
Anh đức đẹp za8,0.5994,Positive,0.425,Positive,0.46661922335624695,Positive
ANH ĐỨC MÕM ĐẸP TRAI,0.5994,Positive,0.85,Positive,0.42628011107444763,Positive
vê look,0.0,Neutral,0.0,Netural,0.34985852241516113,Positive
Anh  ơi chơi liên quân đi anh,0.34,Positive,0.0,Netural,-0.28332990407943726,Negative
Thách anh chỉ dùng súng nâng cấp,-0.34,Negative,0.0,Netural,0.5504435300827026,Positive
"Anh Đức mõm cho em kiêm kương với.em trả có một cụt kiêm kương gì ạ.
ID5192923700",-0.1027,Negative,0.0,Netural,-0.4700947105884552,Negative
"Anh kb với em đi
nick em là TuanShashow",0.0,Neutral,0.0,Netural,-0.2797560691833496,Negative
"a ơi a cho e 3.000kc dc ko a e đã đăng kí vs lại like r đó ạ
Id 4268535063 
Cảm ơn a",0.6486,Positive,0.6,Positive,-0.3961583077907562,Negative
