Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I love this song it makes me feel very happy,0.8479,Positive,0.75,Positive,0.811539351940155,Positive
I Like it,0.3612,Positive,0.0,Netural,0.5181156396865845,Positive
ضضض,0.0,Neutral,0.0,Netural,-0.4499131739139557,Negative
🥰❣️🥰❣️😎,0.9799,Positive,0.0,Netural,0.30857792496681213,Netural
pepe,0.0,Neutral,0.0,Netural,0.3400500416755676,Positive
":(yggbn,, v &?
0 lx.  “",0.0,Neutral,-0.75,Negative,-0.5795807838439941,Negative
Gangsters in 2070,0.0,Neutral,0.0,Netural,0.3110668659210205,Netural
Mi queso mi queso mi ojo párese que dise en el coro para los que ablan esoañol,0.0,Neutral,0.0,Netural,-0.3675015866756439,Negative
💕💕💕,0.9313,Positive,0.0,Netural,0.30857792496681213,Netural
I don't know why magic tiles trimmed the song by almost half and also it's a very good song👍👍👍,0.4927,Positive,0.4144444444444444,Positive,0.5772141218185425,Positive
100% everthing,0.0,Neutral,0.0,Netural,0.9139372706413269,Positive
I love this song.,0.6369,Positive,0.5,Positive,0.8563442826271057,Positive
"My Grandpa and I love this song. I was taking care of him during his treatments.
We watched the music video together its amusing for him. Perhaps it takes his mind off from the chemo treatments.
Its maybe God will to give my Grandpa a better place next to Him and My Grandpa passed away on the same year.
I am sure my Grandpa is in good place there with my Grandma and also with God. I missed Both of Them everyday.
They had been very good to me.
Its makes me sad to hear this song.
Please dont get me wrong, its sad for me because of what I had been through losing.",0.9542,Positive,0.16749999999999998,Netural,0.3237329423427582,Netural
Cool,0.3182,Positive,0.35,Positive,0.4904145896434784,Positive
Mi piace molto  questa  canzone,0.3612,Positive,0.2,Netural,0.4794549345970154,Positive
Very nice,0.4754,Positive,0.78,Positive,0.6515336632728577,Positive
2:08😂😂😂,0.8271,Positive,0.0,Netural,0.24205774068832397,Netural
"This is a slave song, i think it sad. Anyone agree",-0.1531,Negative,-0.5,Negative,-0.8104148507118225,Negative
Moam*,0.0,Neutral,0.0,Netural,-0.2422882318496704,Negative
Дед зачитал РОК,0.0,Neutral,0.0,Netural,0.24699470400810242,Netural
Iam love  this  song  evenday,0.6369,Positive,0.5,Positive,0.8071496486663818,Positive
Ok,0.296,Positive,0.5,Positive,0.49511444568634033,Positive
"The first part where she’s wearing the mask makes me
remember when my friend got Covid 19 2 years ago.
I love this song because it made me remember my old and sad
memories.😖🥺😢",0.296,Positive,0.0875,Netural,0.6948972940444946,Positive
Epic,0.0,Neutral,0.1,Netural,0.5839525461196899,Positive
I am going to commit hate crimes to this song. its lit,-0.3612,Negative,-0.8,Negative,-0.6017094850540161,Negative
The music 😎😎😎😎,0.9001,Positive,0.0,Netural,0.4099774658679962,Positive
Is that fake Kenny Rogers and his Jackass?,-0.7096,Negative,-0.5,Negative,-0.579111635684967,Negative
The most annoying song ever. Fuck you.,-0.7574,Negative,-0.23333333333333336,Negative,-0.9521489143371582,Negative
That was funny dancing grandpas😂,0.7003,Positive,0.25,Netural,0.31569457054138184,Netural
"Nice
Man",0.4215,Positive,0.6,Positive,0.4536900818347931,Positive
So cool  guys,0.3804,Positive,0.35,Positive,0.7271892428398132,Positive
Reminds me of my Dad and his pal's lmfao hahahaha boia,0.5423,Positive,0.2,Netural,0.500079333782196,Positive
Annoying song,-0.4019,Negative,-0.8,Negative,-0.4028577506542206,Negative
great song man every  day i wake up and i skip school and i watch this keep up the great work<3,0.8481,Positive,0.8,Positive,0.8315673470497131,Positive
"I don't know how I feel about this song. It's annoying... but I'm here. So... what, I... I don't know.",-0.2144,Negative,-0.8,Negative,0.45457959175109863,Positive
Es lawjor de rodas,0.6369,Positive,1.0,Positive,0.2806594669818878,Netural
