Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Why is she so hot though. She made me gay.,0.0,Neutral,0.3333333333333333,Positive,-0.3714149296283722,Negative
✨🌒👁️,0.3182,Positive,0.0,Neutral,0.3085779249668121,Neutral
"LOVE this song, it always makes me want to get up and dance. The original music video is great too!",0.9173,Positive,0.625,Positive,0.8775526285171509,Positive
My goal in life is be there rn ..,0.0,Neutral,0.0,Neutral,0.5398259162902832,Positive
"prove that u are lesbian.
me:",0.0,Neutral,0.0,Neutral,-0.3714150488376617,Negative
Algum BR aí?,0.0,Neutral,0.0,Neutral,-0.3276990354061126,Negative
Well I’m pregnant and you’re gonna be the worst mom I could even think After mine i’m not including everyone else I knew and Ariana.,-0.4588,Negative,-0.3333333333333333,Negative,-0.7192316651344299,Negative
let's see how many legend and fans are still listening to this masterpiece 😃,0.8113,Positive,0.5,Positive,0.777895987033844,Positive
MAXl💕💓💓💞💓💕💕💕💘,0.9914,Positive,0.0,Neutral,0.3085779249668121,Neutral
🤍🌹🖤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
22/4/2022,0.0,Neutral,0.0,Neutral,-0.3239275515079498,Negative
She can get it.,0.0,Neutral,0.0,Neutral,0.3442170619964599,Positive
"I used to like you before Billie, you cringe me up now",0.3612,Positive,0.0,Neutral,0.2642724812030792,Neutral
ESSE CLIPE MDS ATE HJ N SUPEREI,0.0,Neutral,0.0,Neutral,0.548110842704773,Positive
"ESSE HINO AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA

MANO",0.0,Neutral,0.0,Neutral,-0.461613267660141,Negative
wen a generic beat meats vocal nonsense.... f#*k this world how the F*(K do you people think this is good ?,0.0516,Positive,0.35,Positive,-0.6378074288368225,Negative
0:52 She is twerking in the back.,0.0,Neutral,0.0,Neutral,-0.6432644128799438,Negative
please have Indonesian caption 😭🙏🏻,-0.2023,Negative,0.0,Neutral,-0.4064459204673767,Negative
جق زدم 🗿🔞,-0.296,Negative,0.0,Neutral,-0.361666202545166,Negative
Xxtentacion 🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩😭😍😭😍😭😍😭😭❤️💜💜💜💜😭😭😭😭😭😭😭😭😭😭😭😭😭🤩🤩😍😍😍😍😍😍😍😍👍👍👍💙💙💙💙💙💙💙💙💙💙💙👍👍👍👍👍❤️❤️❤️💜💜💜💙💙💙💙💙💙💙💜💜💜💙💙💜💜💙💜💙💙💜💙💜💙💜💙💜💙💜💙💙💜💜💙💜💙💙💜💙💜💙💜💙💜😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😭😍😭😍❤️😍😭😍😭😍😭😍😍😭🤩😍😭😭😭😭😭😭😭😭😭😭🤩🤩🤩😍😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0.9995,Positive,0.0,Neutral,0.4352703690528869,Positive
Vs êtes très forte bravo,0.5563,Positive,0.5633333333333334,Positive,0.7232608795166016,Positive
"I love you, honey",0.6369,Positive,0.5,Positive,0.8205878138542175,Positive
This video just have a smelly vibe to it iykyk,0.0,Neutral,0.0,Neutral,-0.3422448933124542,Negative
Happy vibes flowing,0.5719,Positive,0.8,Positive,0.5755720734596252,Positive
"You can have a value in this market , but never in my heart",-0.593,Negative,0.0,Neutral,0.3265496790409088,Neutral
"In my last breath, even at your destructions, I rather stay virgin all my life , and remember my words never bow down to you , so don't even think about respect Harfang de Neige",-0.0516,Negative,-0.0777777777777777,Negative,0.4906643629074096,Positive
Even the whitest Prada cannot swept away -.^,0.0,Neutral,0.0,Neutral,-0.3666492402553558,Negative
"I thought you were shy and easy to submit to strong personality. But you love yourself more than anything else. You are the first to flee the scene. Never saw you face to face, it seems you can never come up to light. All you do is win sure, you win like sitting on the bench, but never involved in the game. I am not ungrateful, like sun went down to the wrong side, just like he was helping me all the long in my dream, you are exactly dragging me every way to break me in reality. Justice is rendered to those who deserved. All the words and songs, you made, miraculously, I am freer. Once again, we don't belong. What is wrong with you with the elevator? If you are truly shy, I will knock on your door and say hi next time !",0.9888,Positive,0.1256172839506172,Neutral,0.6547051072120667,Positive
She's copied 7/11,0.0,Neutral,0.0,Neutral,-0.3162246644496918,Negative
7/11,0.0,Neutral,0.0,Neutral,0.2749549150466919,Neutral
7/11,0.0,Neutral,0.0,Neutral,0.2749549150466919,Neutral
COPIONAAAAAA!,0.0,Neutral,0.0,Neutral,-0.2571618258953094,Negative
https://youtu.be/TrE6c7F5Xww,0.0,Neutral,0.0,Neutral,-0.2261451631784439,Negative
This sound is a drug,0.0,Neutral,0.4,Positive,-0.4812369644641876,Negative
“I’m as straight as a ruler.” Then what is this??,0.3094,Positive,0.2,Neutral,-0.259050577878952,Negative
Dancing with friends= queer baiting now? Lmaoo,0.7906,Positive,0.6,Positive,0.2465446293354034,Neutral
"Subscribe for the largest Rock playlist available on YouTube! 
 I JUST GOT DUMPED SO I HAVE A LOT OF TIME ON MY HANDS  I'm going through every rock band alphabetical order and listening to every song from every album and adding a specific songs, for the rock community to enjoy, creating the largest playlist ever made on YouTube Go Billie ellish.......",0.3091,Positive,0.3,Neutral,0.7582464218139648,Positive
0:30,0.0,Neutral,0.0,Neutral,-0.506812572479248,Negative
"Something's in the-
Something's in the air right now
Like I'm losing track of time
Like I don't really care right now, but maybe that's fine
You weren't even there that day
I was waitin' on you
I wondered if you aware that day was the last straw for me and I know
I sent you flowers
Did you even care?
You ran the shower and left them by the stairs
Ooh-ooh-ooh, ooh, ooh
Ay-ay-ay-ay, ay, ay
Thought you had your shit together, but damn, I was wrong
You ain't nothin' but a lost cause
And this ain't nothin' like it once was
I know you think you're such an outlaw
But you got no job
You ain't nothin' but a lost cause
And this ain't nothin' like it oncе was
I know you think you're such an outlaw
But you got no job
I used to think you were shy
But maybe you just had nothing on your mind
Maybe you were thinkin' 'bout yourself all the time
I used to wish you were mine
But that was way before I realized
Someone like you would always be so easy to find
So easy (so easy)
He-hee, mm-mm-mm, mm
Gave me no flowers
Wish I didn't care
You'd been gone for hours
Could be anywhere
Ooh, ooh-ooh, ooh-ooh
Ah-ah-ah-ah-ah
Thought you would've grown eventually, but you proved me wrong
You ain't nothing but a lost cause
And this ain't nothing like it once was
I know you think you're such an outlaw (yeah)
But you got no job
You ain't nothing but a lost cause
And this ain't nothing like it once was
I know you think you're such an outlaw (think you're such an outlaw)
But you got no job
What did I tell you?
Don't get complacent
It's time to face it now, na-na, na-na, na-na
What did I tell you?
Don't get complacent
It's time to face it now, na-na-na",-0.8746,Negative,0.0546365914786967,Neutral,-0.4728062450885772,Negative
No entendi nada del video,0.0,Neutral,0.0,Neutral,-0.6529974937438965,Negative
I'm sorry Billie eilish for is for stomachche 40 55 only druss angel sparrot not history fir b bisco is b left arm milliart family dust tornado in sorry English form covid 19 and delta virus for delta of is and electric in sorry Boston,-0.2263,Negative,-0.25,Negative,-0.5293769836425781,Negative
🛐🛐🛐🛐🛐,0.8402,Positive,0.0,Neutral,0.3085779249668121,Neutral
What a perfect artist for the tik tok generation.,0.5719,Positive,1.0,Positive,0.9260681867599488,Positive
