Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Excelente, muchísimas gracias. Saludo desde La Dorada Caldas, Colombia.",0.8434,Positive,0.63,Positive,0.8996103405952454,Positive
"Excelente, bien lograda la trama, suspenso... Gracias por subirla",0.8271,Positive,0.6,Positive,0.5277965068817139,Positive
"Me hubiera gustado q arrestaran al viejo x matar a su hija
Y si muy buena película ecelente",0.6335,Positive,0.6525,Positive,0.2347285002470016,Neutral
"No entendí, porque su padre la llamó eli ese no era su nombre?? Su padre la Mató?",-0.7059,Negative,-0.2,Negative,-0.64119553565979,Negative
"me mato el final, pobrecita, me gusto la pelicula pero es dura",-0.5423,Negative,-0.0729166666666667,Negative,-0.4609107077121734,Negative
QUE BUENA PELICULA! ATRAPANTE DESDE EL INICIO- GRACIAS!,0.717,Positive,0.8125,Positive,0.7560045719146729,Positive
Porq no ha subido más pelis Elmer?,0.0,Neutral,0.5,Positive,-0.4209040701389313,Negative
buenisimaaaaaaaaaaaaaaaaaaaaaaaaaaa,0.0,Neutral,0.0,Neutral,-0.314594030380249,Negative
Muy.bonito.megusto,0.0,Neutral,0.0,Neutral,0.4024801552295685,Positive
Muy.bonito.megusto,0.0,Neutral,0.0,Neutral,0.4024801552295685,Positive
Excelente peliculón!!!,0.6784,Positive,1.0,Positive,0.8535124659538269,Positive
Vengo mirando varias que me gustaron mucho. Esta no tanto. El final no me pareció como lo resolvieron. Me guíe por los comentarios.,0.3378,Positive,0.2666666666666666,Neutral,-0.5123153328895569,Negative
Excelente película! Honestamente no pensé que fueran tan buena. Magnificas actuaciones de todos. Gracias por compartir Elmer.,0.9612,Positive,0.7,Positive,0.9176918864250184,Positive
👍👍👍👍👍,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
exelente película gracias por compartir,0.8555,Positive,0.6,Positive,0.548608124256134,Positive
Excelente pelicula la trama y el suspenso increíble recomendadicima!!😀,0.8562,Positive,0.6866666666666666,Positive,0.8272924423217773,Positive
Excelente peli,0.5719,Positive,1.0,Positive,0.7804073691368103,Positive
Muy buenísima! Recomendada..👌 24-abril 2022 ya casi al final de la pandemia ....,0.91,Positive,1.0,Positive,0.8907011151313782,Positive
Muy buena la verdad no tiene desperdicio,0.8118,Positive,0.505,Positive,0.6946409940719604,Positive
q pelicula tan buena le doy un 10,0.4404,Positive,0.7,Positive,0.7525940537452698,Positive
"Los comentarios ayudan antes de ver una película subida a la red. Mi aporte a la película es ...MUY BUENA ! se agradece por la historia, la continuidad  y la calidad de imagen. Gracias ! me gustó.",0.9339,Positive,0.5750000000000001,Positive,0.572285532951355,Positive
Una película muy impactante. Gracias por compartir.,0.861,Positive,0.6,Positive,0.8301436305046082,Positive
"excelente película..
 buenísima",0.8316,Positive,0.9,Positive,0.8251376152038574,Positive
Impresionante película! Dura y dulce al mismo tiempo. Muchas gracias por compartir.,0.911,Positive,0.2636666666666666,Neutral,0.9091708064079284,Positive
Muy muy muy muy buena!!!!!!... Mirenla no se van a arrepentir,0.8039,Positive,1.0,Positive,0.8807663321495056,Positive
"En verdad,  no tiene nada que ver kon lo k esperaba,  ya k pído d Terror y m salen kon esta peli...No digo k sea mala, sólo k no es d mi gusto. GRACIAS Y SALUDOS A TODOS.",0.0793,Positive,-0.1999999999999999,Negative,-0.3282863199710846,Negative
"Hola , la película se llama  SECRETOS DEL PASADO, bendiciones para todos , gracias por compartir.",0.8481,Positive,-0.0249999999999999,Negative,0.4923526644706726,Positive
esta. buenisima gracias👏,0.7906,Positive,0.5,Positive,0.7218083143234253,Positive
Triste Historia...hermosa película...gracias por compartirla..!!!,-0.2905,Negative,-0.9765625,Negative,0.7904581427574158,Positive
"muy buena película realmente, SUSCRITA desde ya :)",0.7548,Positive,0.5366666666666666,Positive,0.7411205768585205,Positive
Que pelicula mas triste,-0.4767,Negative,-0.5,Negative,-0.3734499514102936,Negative
Me gusto,0.4215,Positive,0.6,Positive,0.3203634917736053,Neutral
"excelente, muy buena trama..recomendada",0.8384,Positive,0.955,Positive,0.7835438847541809,Positive
Excelente película,0.5719,Positive,1.0,Positive,0.7281915545463562,Positive
Muy buena!!,0.5827,Positive,1.0,Positive,0.7737455368041992,Positive
"CANAL DE PELICULAS
https://www.youtube.com/channel/UCAGsvjlqLrykdi-Xv1YAvPg",0.0,Neutral,0.0,Neutral,0.2756527960300445,Neutral
Preciosa,0.5719,Positive,0.5,Positive,0.7304445505142212,Positive
Creí que ya no encontraría películas buenas en YouTube  grande fue mi asombró  al encontrar  esta me gustó 10/10 la recomiendo  2 temas muy fuertes en este drama gracias mil  😉🥺,0.9402,Positive,0.5158333333333334,Positive,0.746461808681488,Positive
Excelente película y el actor principal tenía tiempo sin verlo en una película es maraviigual que todas las actrices y el eleco. Muy buena  👌👍,0.9536,Positive,0.6053333333333333,Positive,0.8150416016578674,Positive
mucho misterio excelente pelicula muy buena su canal muchas gracias,0.8553,Positive,0.7233333333333333,Positive,0.7511481046676636,Positive
Cm se llama por favor q alguien me diga,0.3182,Positive,0.0,Neutral,-0.4496408700942993,Negative
"Espectacular!! Suspenso, misterio! Atrapante, no sabes quién es el culpable hasta el final",-0.5067,Negative,1.0,Positive,0.8694637417793274,Positive
Excelente !!! La vi y es la realidad de mucha gente..y aveces se queda en secretos..que al final se saben ..,0.7163,Positive,0.3666666666666667,Positive,0.8289111256599426,Positive
Buenísima muchas gracias y excelente actor,0.8731,Positive,0.7233333333333333,Positive,0.8693122267723083,Positive
"Felicidades, es un buen ejemplo. 
250 -sentadillas son unos- Xkissss.Uno 
-Saludos desde la Cd.. de world- 🌹😉💖 
5:25 Se deja ver que hay muy buenos resultados 😍👍 


muchas y un buen ejercicio 3Ofh.
los mortales abian apreciado tan hermosa mujer..",0.9856,Positive,0.5514285714285714,Positive,0.5917763113975525,Positive
Gran película gracias 😁,0.875,Positive,0.5,Positive,0.7618082165718079,Positive
"Excelente película! Muy buen argumento. Muy buena dirección. Entretenida de principio a fin. Final inesperado. Me encanta este tipo de género cinematográfico. Además, hacía mucho que no veía a Eric Bana! Es un muy buen actor! Y sigue siendo tan apuesto y sexy como cuando era más joven. Muchas gracias por compartir! Saludos.",0.9872,Positive,0.5152083333333334,Positive,0.8550503849983215,Positive
Estra pelicula ha sido como vivir una pesadilla.  Que fuerte.,0.7003,Positive,0.4333333333333333,Positive,-0.5164306163787842,Negative
Buena 👍🏻.,0.0,Neutral,0.0,Neutral,0.4536894857883453,Positive
2 horas durmiendo  lenta como tortuga con 3 patas 🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️🐢,0.3612,Positive,-0.3,Negative,-0.4446768462657928,Negative
"Qué película tan bien hecha, excelente trama y un inesperado desenlace!!!! Por desgracia la violencia intrafamiliar destruye a las personas!!! Deberían castrar a los violadores y sobretodo a los que lastiman y matan a su propia sangre!!! Es una abominación!!!! Va contra natura!!!!",-0.9644,Negative,0.448828125,Positive,0.6128225922584534,Positive
Exelente peli muy triste el final,0.079,Positive,0.175,Neutral,-0.4182564914226532,Negative
"MUY BUENA PELI, SALUDOS DESDE MI SUFRIDA ARGENTINA- JUAN",0.4865,Positive,0.91,Positive,0.700359582901001,Positive
"Ya nadamás con ver que actúa Eric Bana, de inmediato me interesó 👍",0.4019,Positive,0.25,Neutral,0.368600994348526,Positive
me gusto la pelicula dejo like..alguna similar para seguir viendo?,0.6249,Positive,0.3,Neutral,0.4494586884975433,Positive
"Aburridora, me quedaba dormida a cada rato",-0.3182,Negative,-1.0,Negative,-0.7095347046852112,Negative
"Hermosa peli
 Muchas gracias saludos",0.8583,Positive,0.5549999999999999,Positive,0.7745748162269592,Positive
De 10 ...gracias,0.0,Neutral,0.0,Neutral,0.4724001586437225,Positive
Gracias por las películas son fantasticas,0.7579,Positive,0.3,Neutral,0.8100222945213318,Positive
"Muy buena la pelicula,me encanto 
Muchas gracias por el superbe film",0.9324,Positive,0.6174999999999999,Positive,0.8368242979049683,Positive
Muy buena película.. suspenso total !,0.54,Positive,0.4549999999999999,Positive,0.7356445789337158,Positive
"Exelente, muy buena peli",0.7841,Positive,0.955,Positive,0.690129280090332,Positive
EXELENTE PELICULA MUY BUENOS ACTORES. GRACIAS🙏🙏🙏🙏,0.9354,Positive,0.955,Positive,0.6805068254470825,Positive
