Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Ağzına ve ellerin sağlık abi şimdi tiktokurlar düşünsün Enes abii,0.4019,Positive,0.5,Positive,-0.31955787539482117,Negative
Əline sağlık ənəs abi,0.4019,Positive,0.5,Positive,0.2294035255908966,Netural
Abi  çok güzel olmuş,0.5598,Positive,0.6,Positive,0.6048441529273987,Positive
Çok güzel olmuş teşekkürler,0.707,Positive,0.78,Positive,0.6582069396972656,Positive
Enes eğer eski videolarıyla değilde bu tarz içerikleriyle ünlü olsaydı çok büyük globale oynardı,0.34,Positive,0.19999999999999998,Netural,-0.27095139026641846,Negative
Abi,0.0,Neutral,0.0,Netural,0.317025363445282,Netural
"Senem
👫😘😍",0.7003,Positive,0.1,Netural,0.2847777307033539,Netural
Çok iyi şarki,0.4927,Positive,0.9099999999999999,Positive,0.6477553248405457,Positive
Enes batur. Bizi bırakıp. Paralar ına. Gitti,0.0,Neutral,0.0,Netural,-0.5220522880554199,Negative
"تولدت مبارک ایاز جان🥲💝🫂💖
ممنونم بابت اهنگ فوق العاده زیباتون انشالله که همیشه موفق باشین و پیشرف کنین🫂🌸",0.9786,Positive,0.7,Positive,0.7300089001655579,Positive
ben hira gerçekten şarkıya bağımlı kaldım,0.0,Neutral,-0.4,Negative,-0.2747915983200073,Negative
Arkadaşlar bunu ben bilgisayardan kulaklık takip ve yatıp dinliyom sanki Ayaz'ın içindeyim,0.4767,Positive,0.0,Netural,0.2763316333293915,Netural
Abi her videoda küfür,-0.25,Negative,0.0,Netural,-0.2816564738750458,Negative
Güzel bir klip olmuş.TEBRİKLER ve BAŞARILARINIZIN DEVAMINI DİLERİM.BATUR BEY.Borsa Kanalımada beklerim.KUTPO uçacak YAHU.. .Kal Sağlıcakla Mübarek😎😊,0.984,Positive,0.55,Positive,0.5183045864105225,Positive
.,0.0,Neutral,0.0,Netural,0.2539338767528534,Netural
Enes abi hem çok  güzel hem anlamlı bir klip,0.7755,Positive,0.75,Positive,0.6089603900909424,Positive
Abi ben video istiyorum,0.0772,Positive,0.0,Netural,0.30091869831085205,Netural
abi muhteşem olmuş eline sağlık ❤❤👏👏👏👍👍,0.936,Positive,0.6000000000000001,Positive,-0.34183308482170105,Negative
Benim gerçek adım da Umut,0.4404,Positive,0.2,Netural,0.3463350236415863,Positive
Ayaz mezarlığında 2011-2018 yazıyo 7 yaşında çocuğu silahtan korumak sudhfıguhdıg,-0.34,Negative,0.0,Netural,-0.3373778760433197,Negative
Etkilendim,0.4767,Positive,1.0,Positive,-0.2731425166130066,Negative
ayla süleyman başçavuş,0.0,Neutral,0.0625,Netural,0.2412155121564865,Netural
👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
ENES ABİ BEN ÇANAKKALE'DE YAŞIYORUM,0.0,Neutral,0.13636363636363635,Netural,-0.2529333829879761,Negative
ENES  Abi  Ben  ÇANAKKALE DE  YAŞIYORU,0.0,Neutral,0.13636363636363635,Netural,0.2948843836784363,Netural
maNga nasıl 1.  olamadı yaaa,0.0,Neutral,0.0,Netural,-0.417535662651062,Negative
Kalsinin Abi👑👑👑❤❤,0.8555,Positive,0.0,Netural,0.2809998393058777,Netural
mükemmel olmuşşşşşşşşşş,0.5719,Positive,1.0,Positive,0.3632246255874634,Positive
Bence çooooook güzel 👍👍,0.5994,Positive,0.85,Positive,0.4617314636707306,Positive
ÇOK GÜZEL ŞARKI CANIM ENES BATUR❤🇹🇷🇦🇿❤,0.9348,Positive,1.0,Positive,0.5854073762893677,Positive
Çok güzel bayıldım🌈🥰,0.9513,Positive,0.675,Positive,0.7205389142036438,Positive
❤❤❤❤😢😢😢😢😢😢😮😮😮😮😮,0.0516,Positive,0.0,Netural,0.30857792496681213,Netural
Bu kızın yerinde olmak isterdim,0.4019,Positive,0.0,Netural,0.2660087049007416,Netural
Enes sen harika bir insansın bana yardim et,0.7783,Positive,0.8,Positive,-0.3706760108470917,Negative
Oha 384 bin yorum,0.0,Neutral,0.0,Netural,-0.35664278268814087,Negative
Umut Senicok seviyor 💩💩💩👎demesem yalan olur desem doğru olur,-0.0511,Negative,0.305,Netural,-0.5112589597702026,Negative
ayaz acaba kızın babasımı ln,0.0,Neutral,0.0,Netural,-0.23298105597496033,Negative
Mükemmel,0.5719,Positive,1.0,Positive,0.44649970531463623,Positive
Enes abi bana ayaz al,-0.1531,Negative,0.0,Netural,-0.37848567962646484,Negative
Ben anlamadım Ayaz kim?,0.0,Neutral,0.0,Netural,-0.44701430201530457,Negative
Enes. Abi.     Niye.  Vito.  Cekmiyon,0.0,Neutral,0.0,Netural,-0.3244350552558899,Negative
abi mükkkkkkk,0.4019,Positive,0.0,Netural,0.29802048206329346,Netural
Abi hiç video yolla mıyorsun (Neden)?,0.0,Neutral,0.0,Netural,-0.4965288043022156,Negative
Enesbatur  abi  çok  mamuslu  birisin,0.5849,Positive,0.2,Netural,-0.4446839988231659,Negative
Suriye nin savasın gilibini yapmIsIn,-0.3612,Negative,0.0,Netural,0.2470502257347107,Netural
Çok güzel?,0.4754,Positive,0.78,Positive,-0.2738169729709625,Negative
enes   abi  nasıl  yaktın?,0.0,Neutral,0.0,Netural,-0.38554346561431885,Negative
🤟🤟🤟🤟🤟🤟,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Yazık kıza ylesini öldürmüşle öldürenlerde çok kötümüş hainler,-0.9422,Negative,-0.40333333333333327,Negative,-0.6011450290679932,Negative
Cooooooooooooooooooooooooook.   Güzel.       Bayıldım.      👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑,0.8442,Positive,0.675,Positive,0.388380765914917,Positive
68 milyon izlenmiş,0.0,Neutral,0.0,Netural,-0.6624414920806885,Negative
😊💗😢,0.8316,Positive,0.0,Netural,0.30857792496681213,Netural
💪💪💪💪❤❤❤👍👍,0.9274,Positive,0.0,Netural,0.30857792496681213,Netural
👍🏿👍🏿👍🏿👍🏿👍🏿😍😍😍😍😍tekelime mükemmel bütün vidyolar ela yauuuuuuuuuuuuuuuu,0.9565,Positive,1.0,Positive,0.38615259528160095,Positive
🥰🥰🥰🥲🥲🥰🥰🥰😙,0.9933,Positive,0.0,Netural,0.30857792496681213,Netural
Mükemmel bayılıyorum bu şarkıya,0.6697,Positive,0.5,Positive,0.6207734942436218,Positive
🥲❤🙁 disko en iyi videolar🥲😔ı sen çekiyorsun bir asker video bu kadar,0.7346,Positive,1.0,Positive,0.7370101809501648,Positive
Lan 1 yıl olmuş adam yapmış Bee 🙌💣,-0.4939,Negative,0.0,Netural,0.4110398292541504,Positive
Mükemmel,0.5719,Positive,1.0,Positive,0.44649970531463623,Positive
Ayaz ayaz mı ayaz Ayaz Ayaz siyah sayfaları yırtıp yakıp elinde kavramları devamını unuttum devamını unuttum,0.4939,Positive,-0.16666666666666666,Negative,-0.7544569969177246,Negative
3 tane Ayaz şarkısı bizim okulda 3 tane ayaz var Ayaz Nuri neden siyah sayfaları yurt yırtıp Yakup'a anıları acı anıları elimde kalanları sonuç siner,-0.4215,Negative,-0.13333333333333333,Negative,-0.5572215914726257,Negative
❤😿😿😿😿😿😿😿😎😎😎😢😢😢😢😭😭😭😿😿😿😿😿,-0.9921,Negative,0.0,Netural,0.30857792496681213,Netural
Ağbi eline emeğine sağlık tek kelimeyle efsane 💯👍,0.0,Neutral,0.0,Netural,-0.24312271177768707,Negative
Sizi çok sevoyoruz enes  batur  mukemel şarkı,0.836,Positive,0.5666666666666667,Positive,0.6733871698379517,Positive
Çok iyi iyiki varsın,0.4927,Positive,0.9099999999999999,Positive,0.5994129776954651,Positive
ağabey süpeeeeer olmuş.,0.0,Neutral,0.0,Netural,0.2856002748012543,Netural
"Şuanda 68 Milyon izlenmede, 70 Milyonda görüşürüz",0.0,Neutral,0.0,Netural,-0.5306556224822998,Negative
😱😱😱😳😳🥺🥺,-0.9468,Negative,0.0,Netural,0.30857792496681213,Netural
Mükemmelllll🥰🥰🥰🤩🤩😍😍🥰🥰,0.992,Positive,0.0,Netural,0.30857792496681213,Netural
🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,0.9982,Positive,0.0,Netural,0.30857792496681213,Netural
Buşarklylbensefiyom,0.0,Neutral,0.0,Netural,0.24537532031536102,Netural
Vnnhknnlmn,0.0,Neutral,0.0,Netural,-0.314229279756546,Negative
ayaz,0.0,Neutral,0.0,Netural,0.2306111752986908,Netural
abi bu şarkı çok güzel,0.7177,Positive,0.85,Positive,0.65423583984375,Positive
Enes Batur’da kayboldu 😧 ?????,-0.7236,Negative,0.0,Netural,-0.6114534139633179,Negative
Asff,0.0,Neutral,0.0,Netural,0.306819349527359,Netural
Mükemmel abi,0.5719,Positive,1.0,Positive,0.3499801456928253,Positive
Şarkı mükemmel,0.5719,Positive,1.0,Positive,0.44097983837127686,Positive
Çöp,0.0,Neutral,0.0,Netural,0.2855866551399231,Netural
Agabeeee,0.0,Neutral,0.0,Netural,-0.36083489656448364,Negative
"Qemir
😱🤒💚💙😶😍😓🤐⌨️🖥️💿🖥️📀📀",-0.1729,Negative,0.0,Netural,0.31139039993286133,Netural
Tsbikide solememe gerek yok Trek kelimeyle harika bence çok güzel,0.8271,Positive,0.7250000000000001,Positive,0.25254565477371216,Netural
❤️❤️😂😂😀😍❤️😂🙈🤑🤣😉BERZAN.             EFE,0.9468,Positive,0.0,Netural,0.30769550800323486,Netural
Abi harika ben bunu çoooook sevdim. Bizim ailede senin kanalın çoook beğeniliyo.,0.902,Positive,0.62,Positive,0.5316063761711121,Positive
Abi senin en büyük hayranlarından biriyim ben ♥️♥️,0.8555,Positive,0.0,Netural,0.8563674092292786,Positive
Djajcjxkxkcoxoxixkxe😍❤️💚😢🤑💙❤️💚😢🤑💙❤️💓💕💌😭😱😓🤠🤯😇,0.9578,Positive,0.0,Netural,0.30857792496681213,Netural
Sjsjsjsjjs💚,0.6369,Positive,0.0,Netural,0.30857792496681213,Netural
Dorijdidjdjjdjjdjj🤑💙💚❤️💓👗😭🙂🌜,0.8887,Positive,0.0,Netural,0.30857792496681213,Netural
Aga be 😭😭😭😭😭😭😭😢😢😢😢😢,-0.9884,Negative,0.0,Netural,0.3595011234283447,Positive
Aga beee youtobe u bıraktı 2013 de başladi😊 2022 de bitti😔😔,0.765,Positive,0.0,Netural,-0.4442366063594818,Negative
Aqa beeeeeeeeeee,0.0,Neutral,0.0,Netural,0.343292772769928,Positive
Nerdesin lan peny,0.0,Neutral,0.0,Netural,0.24676939845085144,Netural
Abi seni çok sevrorom,0.6369,Positive,0.35,Positive,0.4994454085826874,Positive
