Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Loca cuidao,-0.2023,Negative,-0.35,Negative,0.3100535571575165,Netural
🇲🇽❤️❤️🇲🇽,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
I love how at the end Ed sheern does the splits,0.6369,Positive,0.5,Positive,0.5441226959228516,Positive
I am so in love with Eddsss,0.6682,Positive,0.5,Positive,0.7252213954925537,Positive
"1st time listening this song and I’m like, oh ‘kay. 7 months later and guess who’s back lol",0.6486,Positive,0.26666666666666666,Netural,-0.42623358964920044,Negative
I like how it’s Thomas the train,0.3612,Positive,0.0,Netural,0.48358461260795593,Positive
"The only reason I clicked on this is cuz the thumbnail stares at me, and her face is a train",0.0,Neutral,0.0,Netural,-0.27511507272720337,Negative
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0.0,Neutral,0.0,Netural,-0.4266242980957031,Negative
Sądząc po teledysku komuś za bardzo weszło Biełyje Nosy - Tedego. :P,0.0,Neutral,0.75,Positive,-0.32066410779953003,Negative
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you 🌹🌹,0.8271,Positive,0.037037037037037035,Netural,0.7419810891151428,Positive
Just replace the train with Thomas,0.0,Neutral,0.0,Netural,0.3390209376811981,Positive
Sophie Sheeran should be the new Black Widow.,0.0,Neutral,-0.015151515151515152,Negative,0.28371354937553406,Netural
