Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Rosè is queen!!!,0.0,Neutral,0.0,Netural,0.7145925760269165,Positive
I love you ROSÈ the best song eve been heard and all there song s niiiiiiiiiice,0.8555,Positive,0.75,Positive,0.8836692571640015,Positive
WHO STYLED LISAS OUTFIT?! 😨 Lisa deserved something better :/,-0.4574,Negative,0.125,Netural,-0.30448368191719055,Negative
Omgggg 😭💞,0.296,Positive,0.0,Netural,-0.28031668066978455,Negative
Fun fact : Blink should sing this song to Blackpink😂😂💗💓💖🖤,0.9794,Positive,0.3,Netural,0.5076181888580322,Positive
LISA WE ARE CRAZY OVER YOU😘😘😘,0.6448,Positive,-0.6,Negative,0.3626362979412079,Positive
Blackpink for life 🎉🎉🎉🎉♥️♥️♥️,0.9732,Positive,0.0,Netural,0.5054960250854492,Positive
I really like Jennie fire 🔥🔥 voice,-0.5677,Negative,0.2,Netural,0.44910165667533875,Positive
2:39 ROSÉ,0.0,Neutral,0.0,Netural,0.2140837460756302,Netural
Jennie is soooooo hot 🥵🥵,0.0,Neutral,0.25,Netural,0.29122450947761536,Netural
Lisa 💜💜💜💜,0.9571,Positive,0.0,Netural,0.3652496635913849,Positive
this song gives me Bollywood vibes❤️❤️,0.0,Neutral,0.0,Netural,0.603716254234314,Positive
Sorry hut it's not live,-0.0772,Negative,-0.28409090909090906,Negative,-0.7257978916168213,Negative
The outfits are KILLER,-0.7213,Negative,0.0,Netural,-0.3193097710609436,Negative
Blinks D4 is 185 crore views. So blinks have decided to make in 200 crore. We blinks can do it spread this message everywhere we can make it 200 crore.,0.0,Neutral,0.0,Netural,-0.634019136428833,Negative
wow so cool,0.7501,Positive,0.22499999999999998,Netural,0.8876176476478577,Positive
Jennie is so...🔥<3,0.0,Neutral,0.0,Netural,0.48475024104118347,Positive
"나는 한국과 태국에서 왔어요 나는 당신을 사랑합니다 리사, 로제 지수",0.6369,Positive,0.5,Positive,0.6910696029663086,Positive
Rosé killed it man 🥂,-0.6705,Negative,-0.2,Negative,-0.560684859752655,Negative
Our Lisa really nailed that ugly *cabbage*dress,-0.552,Negative,-0.24999999999999997,Negative,-0.8046712279319763,Negative
0:54 Rosé 🌺🌷,0.0,Neutral,0.0,Netural,-0.5483739972114563,Negative
0:38 Jisoo 💮🌸,0.0,Neutral,0.0,Netural,-0.5092234015464783,Negative
0:21 Jennie 🌹🥀,0.0,Neutral,0.0,Netural,-0.5284519195556641,Negative
0:46 Lisa 🥬🥦,0.0,Neutral,0.0,Netural,-0.37891706824302673,Negative
lisa's outfit is pretty without those big furry balls,0.4939,Positive,0.125,Netural,0.4180838465690613,Positive
Lisa🍀💚🔥🔥,0.1027,Positive,0.0,Netural,0.30857792496681213,Netural
JISOO💖💖💖,0.9595,Positive,0.0,Netural,0.30857792496681213,Netural
i love you jennie and lisa,0.6369,Positive,0.5,Positive,0.8061243295669556,Positive
i like ❤,0.7717,Positive,0.0,Netural,0.46587926149368286,Positive
Giving Green Seaweed ball to a main rapper she need a dress like jennie (dark color / strong makeup / hairstyle) 🙂 what a good stylist.  Luckily Lalisa looks so fine in any outfits. Sorry abt my broken language but I can't shut up whenever I see this performance,0.7927,Positive,0.08888888888888888,Netural,0.42559686303138733,Positive
"suena música 
.............................
.



























a",0.0,Neutral,0.0,Netural,0.28972408175468445,Netural
Did anyone hear begining bgm in moon lovers drama,0.5267,Positive,0.0,Netural,-0.3047512173652649,Negative
jennie is a rap queen,0.0,Neutral,0.0,Netural,0.3628007471561432,Positive
jisoo is soo beautiful,0.7177,Positive,0.85,Positive,0.6270813941955566,Positive
