Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"No Sana, No Life! Get well soon!!👊F### Covid👊",0.3948,Positive,0.0,Neutral,0.4050177633762359,Positive
sana got SO HAPPY when they waved back at her LOOOL 🤣🥺💜💜,0.9646,Positive,0.4,Positive,0.4253948926925659,Positive
2:36 Sana kinda looks like Miyeon from (G)I-dle.,0.3008,Positive,0.0,Neutral,-0.3914940953254699,Negative
Get well soon my love,0.743,Positive,0.5,Positive,0.6782398819923401,Positive
もうちょっとヘルシーなものを食べさせてあげたい,0.0772,Positive,-0.1875,Negative,-0.2597688734531402,Negative
I can listen to sana’s laugh 24/7,0.5574,Positive,0.3,Neutral,-0.2443951368331909,Negative
"SANA ES UN ANGEL, ES LO MAS HERMOSO QUE ESTE MUNDO PUDO HABER DADO, ES UNA INCREIBLE PERSONA SE MERECE LOS MEJOR <3",0.9381,Positive,0.85,Positive,0.8572214841842651,Positive
8:21 🤣시트콤 같아요,0.6908,Positive,0.0,Neutral,0.3271464407444,Neutral
Sana get will soon,0.0,Neutral,0.0,Neutral,0.3534074127674103,Positive
"Dear SANA 
Get Well Soon 
Love you SANA",0.836,Positive,0.5,Positive,0.7219802737236023,Positive
Feel better SANA!!,0.5399,Positive,0.78125,Positive,0.3105919957160949,Neutral
ella es tan linda <3,0.7932,Positive,0.75,Positive,-0.2668732702732086,Negative
get well soon :),0.6249,Positive,0.5,Positive,0.5377435088157654,Positive
Get well soon dear,0.5719,Positive,0.0,Neutral,0.5697586536407471,Positive
Get well soonn babyyyy,0.2732,Positive,0.0,Neutral,0.4253555536270141,Positive
Mr. Hunky smiling ear to ear doing da wiggle all the way🤭,0.7351,Positive,0.0,Neutral,-0.4261623024940491,Negative
3: 20 Am i the only one who thinks jihyo is like rose from titanic movie?? 🚢🤍,0.4329,Positive,0.3,Neutral,-0.3521035015583038,Negative
"she's a living proof that we asians can't live without rice, man i love sana🥺😫❤️",0.3182,Positive,0.3181818181818182,Neutral,0.7991417050361633,Positive
"1:15 Sana waved at them

Woah they're so luckyyyyy",0.0,Neutral,0.0,Neutral,-0.540387749671936,Negative
Her cute voice,0.4588,Positive,0.5,Positive,0.4485020935535431,Positive
Oh…🥺I hooe she get well soon SANA💗（From Japan),0.6908,Positive,0.0,Neutral,0.5338577628135681,Positive
SANA EATING IS SO FREAKING CUTE🥰🥰🥰,0.9722,Positive,0.0,Neutral,-0.5235207676887512,Negative
get well soon SANA🥺,0.2732,Positive,0.0,Neutral,0.5201147198677063,Positive
get well soon Sana <3,0.6124,Positive,1.0,Positive,0.3848546147346496,Positive
サナちゃん好き！！！,0.5673,Positive,0.0,Neutral,0.5752084851264954,Positive
Pagaling ka SANA Mahal Kita!! 💕 Fightingg!!! ❤️❤️❤️,0.94,Positive,1.0,Positive,0.3421787321567535,Positive
get well soon sana <3,0.6124,Positive,1.0,Positive,0.3848546147346496,Positive
"I wish I would be in that plane😭😭
2.07",-0.5423,Negative,0.0,Neutral,0.3087894320487976,Neutral
サナがonceにコロナのこと気を使って言ってくれてたのにサナが感染しちゃったのはほんとに泣いちゃったよ😭😭後遺症なく元気になってまた笑顔を見せてね！！、ずっと忙しかったからゆっくり休んでください泣,-0.9228,Negative,0.196484375,Neutral,-0.4444154500961303,Negative
Get well soon Sana baby !!!!!!!!!!,0.5053,Positive,0.0,Neutral,0.6491070985794067,Positive
Get Well Soon Sana,0.2732,Positive,0.0,Neutral,0.4412359595298767,Positive
"サナちゃん愛してるよ💜
Get Well Soon Sana",0.8885,Positive,0.5,Positive,0.5561961531639099,Positive
Get well soon!,0.3382,Positive,0.0,Neutral,0.5778070688247681,Positive
サナ、サランヘー,0.0,Neutral,0.0,Neutral,0.2661021947860718,Neutral
"サナ〜！
コロナウイルスに打ち勝て！
本当に大好き。応援してます。",0.7462,Positive,0.2,Neutral,0.7076038122177124,Positive
Get well soon bby Sana :(,-0.2023,Negative,-0.75,Negative,0.3815546631813049,Positive
"さーたん3日間おつかれさま☺️
今はゆっくり休んでね。お大事に😁
もし、周りにコロナの陽性者が出たとしても自分を責めないでね。
少しでも早く治ってさーたんの笑顔を見れますように😊😊😊",0.9884,Positive,0.1757575757575757,Neutral,-0.3070085048675537,Negative
GET WELL SOON LOVE :(,0.7065,Positive,-0.125,Negative,0.5326428413391113,Positive
17:46 日本のお菓子が2つ出てきて嬉しい。しかも美味しそう。さなちゃんの笑い声は本当に可愛いし、元気出る！！,0.9658,Positive,0.5953125,Positive,0.3163906633853912,Neutral
"さなの笑顔は世界を救います🥰
可愛い天使さん👼",0.9153,Positive,0.4,Positive,0.7031950354576111,Positive
your laughs and smiles make me happy ^^,0.875,Positive,0.8,Positive,0.6056091785430908,Positive
必ず今年中に盛岡に来て下さいね‼️愛してるよ❤️,0.8439,Positive,0.5625,Positive,0.6699851751327515,Positive
運命だ‼️俺の誕生日の時にとって下さる❤️,0.0,Neutral,0.0,Neutral,0.6713305711746216,Positive
"サナちゃんに会ったらラズベリーをプレゼントしたい!!
そして、TWICEと一緒の部屋に泊まりたい❤️",0.6229,Positive,0.0,Neutral,0.3194707632064819,Neutral
"BGMのGIRLS LIKE US 最高❤️
そして、サナ推しです❤️
大のTWICEファンです❤️
必ず今年中に盛岡に来て下さい!",0.9303,Positive,0.5416666666666666,Positive,0.6798958778381348,Positive
ドームで生まれて初めてサナちゃんに会えてとってもとっても嬉しかった！♥グッズ何も買えなかったけど、2022年の4月23日あの空間で、踊ったり一生懸命拍手したり一緒に楽しめたことは人生でとても大切な思い出のひとつになったよ！ᴛʜᴀɴᴋ ʏᴏᴜ 🦖 ⋆͛,0.9036,Positive,0.4744047619047619,Positive,0.6077876091003418,Positive
사나 별명: healing sana,0.0,Neutral,0.0,Neutral,0.2705727815628052,Neutral
"can another once PLEASE tell me what song that is @ 16:30 ?! 

i LICHURALLY juss tried to shazam it for almost 5 mins & then tried to type in the lyrics i thought i heard on google & got absolutely NOTHING. lol. please help, bby’s 🥴💕",0.3676,Positive,0.5,Positive,-0.7531988024711609,Negative
"Sana aparte de bonita es súper alegre, amable y tierna que me hace sentir bien solo con verla <3",0.9702,Positive,0.5404761904761904,Positive,0.4347610771656036,Positive
Cute,0.4588,Positive,0.5,Positive,0.4543334245681762,Positive
No Sana no life💖,0.4588,Positive,0.0,Neutral,-0.5892807245254517,Negative
"Amo tanto a sana, me ha salvado de mucho, su sonrisa, su ternura.
mis bias son sana, tzuyu y mina... sin duda las mejores que pude escoger ♡",0.9559,Positive,0.5,Positive,0.864966869354248,Positive
I'm so happy she eats😍,0.7902,Positive,0.8,Positive,0.8032165169715881,Positive
"My moodbooster, saranghae",0.0,Neutral,0.0,Neutral,0.470430850982666,Positive
사나눈나 매우 이쁘져..,0.5413,Positive,0.325,Neutral,-0.4143499433994293,Negative
That person's so lucky,0.5598,Positive,0.3333333333333333,Positive,0.5771656036376953,Positive
Wow😍She is So Pretty 🤩 really Cute 😍 Really Sweet 😍 love the way she is interacting 😍in a video and her Voice 😍 and that laugh 😍is So beautiful🤩 #Sana❤️#Twice❤️,0.9931,Positive,0.38,Positive,0.6495778560638428,Positive
Can't wait to see if SANA did her mission! 😎,0.5093,Positive,0.0,Neutral,0.3547599017620086,Positive
Rewatching this because why not,0.0,Neutral,0.0,Neutral,0.2472417205572128,Neutral
SANA ROBOT SCULPURE ??? ON HOLD // NEEDS HARD TO FIND BEVEL GEARS !!!  HAND MAKING THEM !!! FACE IS REALLY ABOUT FINISHED IN CLAY NEEDS TIME TO MAKE THE MOLDS AND A TON OF OTHER STUFF !!! I DID DO A BUNNY BOT !!!  SANS GREEN GARDEN HOSE WITH WATER SPRAYER ATTACHMENT !!!  IM SENDIN IT TO THE ELECTRIC COMPANY TO HOSE EM DOWN !!! FOR MESSING UP MY ELECTRIC BILL !!! JUST KIDDING HAHAHAHAHAHAHAHA !!!!,0.8616,Positive,-0.533492431640625,Negative,-0.4050751030445099,Negative
サナありがとう。,0.3612,Positive,0.0,Neutral,0.3760465085506439,Positive
사나가 행복만 하길 바래♥️😇,0.926,Positive,0.35,Positive,-0.3956559002399444,Negative
KAWAIIII,0.0,Neutral,0.0,Neutral,0.282769501209259,Neutral
くしゃみが可愛い♡,0.4588,Positive,0.5,Positive,0.556451678276062,Positive
I’m bout to set Sanas laugh as my alarm so now I can wake up peacefully🧘‍♀️,0.6808,Positive,0.3,Neutral,-0.3252701163291931,Negative
本日の東京ドーム追加公演、行かれるONCEの方は楽しんでいらして下さい🎵,0.6705,Positive,0.4,Positive,0.3160261511802673,Neutral
i love her so much I cantt,0.6369,Positive,0.35,Positive,0.8501304984092712,Positive
せめて食べたいもの食べさせてあげてほしい><,0.1531,Positive,0.0,Neutral,0.261817067861557,Neutral
Sana I love you so much you are the best member for me I love you 💗,0.9612,Positive,0.55,Positive,0.8998093008995056,Positive
와 진짜 사랑스럽다ㅠ,0.796,Positive,0.3,Neutral,0.3050582706928253,Neutral
"Missing that Cane's sauce =\ Cold Cane's without sauce..that's terrible, even as a Cane's fan. I'm sorry :(",-0.411,Negative,-0.61,Negative,-0.6196791529655457,Negative
Sana's glasess look like Harry Potter,0.3612,Positive,0.0,Neutral,0.2151592522859573,Neutral
🥰🥰🥰🥰🥰🥰🥰🥰🥰,0.9967,Positive,0.0,Neutral,0.3085779249668121,Neutral
💖💖💖💖💖💖💖,0.9922,Positive,0.0,Neutral,0.3085779249668121,Neutral
사나는 역시 이뽀!,0.0,Neutral,0.0,Neutral,-0.2761898338794708,Negative
"さーたんほんまに可愛い🥰
昨日のライブも最高でしたー！！！めっちゃ可愛いし、久しぶりに関西弁聞けて嬉しい😍
裏でONCEを見れるようになってるんだね！
あと1日頑張ってー！！",0.9861,Positive,0.4232954545454545,Positive,0.8184892535209656,Positive
5:33 😳😳💪🏻💪🏻💪🏻💪🏻,0.0,Neutral,0.0,Neutral,0.3687897324562073,Positive
i guess i have to watch this again... because.,0.0,Neutral,0.0,Neutral,0.4350278973579407,Positive
Her laugh is infectious!,0.5983,Positive,0.375,Positive,-0.548848032951355,Negative
opo hindi po ako naiinggit sa nagwaveback sakanya opo HINDI PO AKO NAIINGGIT 😭😭🥲🥲,0.854,Positive,0.0,Neutral,-0.4223907589912414,Negative
9:38 I want canes,0.0772,Positive,0.0,Neutral,0.260093629360199,Neutral
SANA EATING CANES,0.0,Neutral,0.0,Neutral,0.3091594576835632,Neutral
Sana happy😂😂😂,0.9081,Positive,0.0,Neutral,0.322395920753479,Neutral
Hi twice plsss react my comment😢😢,-0.7351,Negative,0.0,Neutral,0.5014886260032654,Positive
사나 너무 이쁘당,0.6269,Positive,0.25,Neutral,0.4239572882652282,Positive
