Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Eu amo esa musica 😍😍👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏💃,0.8807,Positive,0.5,Positive,0.621537446975708,Positive
❤️❤️✌️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
I love why gru loves a minion,0.836,Positive,0.5,Positive,0.7329105138778687,Positive
Ú,0.0,Neutral,0.0,Neutral,0.2740286290645599,Neutral
U,0.0,Neutral,0.0,Neutral,0.2740286290645599,Neutral
Ñ,0.0,Neutral,0.0,Neutral,-0.2178967893123626,Negative
Ii,0.0,Neutral,0.0,Neutral,0.2333991378545761,Neutral
uuuuuuuuuuuuuuuuuuuuu,0.0,Neutral,0.0,Neutral,-0.2506691813468933,Negative
Fudufbudcjd 😍😗☺☺😙,0.9607,Positive,0.0,Neutral,0.2602590024471283,Neutral
Vhj d,0.0,Neutral,0.0,Neutral,0.2690763771533966,Neutral
Song is world's best song,0.6369,Positive,1.0,Positive,0.8362450003623962,Positive
Δ,0.0,Neutral,0.0,Neutral,0.2841474711894989,Neutral
👍👍👍👍❤️❤️❤️🌹🌹🌹🌹😘😘,0.6808,Positive,0.0,Neutral,0.3085779249668121,Neutral
Buenisimaaaaaavwow,0.5859,Positive,0.1,Positive,0.2278909832239151,Neutral
N😇😑😣🙂☺😇🙂😍😅😣😚🐄🐴,0.9686,Positive,0.0,Neutral,0.3085779249668121,Neutral
i love this video from gordeschme,0.6369,Positive,0.5,Positive,0.8713502883911133,Positive
Eres muy buena te felisito mucho eres muy duena,0.7688,Positive,0.4566666666666666,Positive,0.7882416844367981,Positive
maery,0.0,Neutral,0.0,Neutral,0.2853682339191437,Neutral
meray,0.0,Neutral,0.0,Neutral,0.2719726264476776,Neutral
mary,0.0,Neutral,0.0,Neutral,0.3093390464782715,Neutral
Ef,0.0,Neutral,0.0,Neutral,0.2934974431991577,Neutral
😍😍😍😘😘😘,0.9468,Positive,0.0,Neutral,0.3085779249668121,Neutral
Good Job Man,0.4404,Positive,0.7,Positive,0.4881993234157562,Positive
(:(:(:(:(:(:♥,0.6369,Positive,-0.4583333333333333,Negative,0.2220068722963333,Neutral
Kasperli,0.0,Neutral,0.0,Neutral,0.251964658498764,Neutral
ろ,0.0,Neutral,0.0,Neutral,0.2699640691280365,Neutral
Оооо круто я ето видео смотрю каждый день!!!,0.6884,Positive,0.1953125,Positive,-0.7125619053840637,Negative
"Que 8+++399]el p
Gracias o",0.4404,Positive,0.2,Positive,0.420643150806427,Positive
😀,0.3612,Positive,0.0,Neutral,0.3085779249668121,Neutral
😘😘,0.6808,Positive,0.0,Neutral,0.3085779249668121,Neutral
😻😻😻,0.8402,Positive,0.0,Neutral,0.3085779249668121,Neutral
Xvvvr no se preocupe por eso,0.3412,Positive,0.0,Neutral,-0.3856207430362701,Negative
😂,0.4404,Positive,0.0,Neutral,0.3085779249668121,Neutral
😎😎😎😎😋😚😚😚😙😙😗😗😍😍😍😘😘😘😘😜😜😛😛💎💎💎,0.9962,Positive,0.0,Neutral,0.3085779249668121,Neutral
To śmieszne minionkj,0.4404,Positive,0.25,Positive,-0.3840730190277099,Negative
Muito legal,0.3804,Positive,0.4549999999999999,Positive,0.2382937222719192,Neutral
LIBE,0.0,Neutral,0.0,Neutral,0.3205405473709106,Neutral
Крутой Мультик Гакдий я 3 2017 года,0.3182,Positive,0.35,Positive,-0.3683952093124389,Negative
m,0.0,Neutral,0.0,Neutral,-0.2921816706657409,Negative
5565,0.0,Neutral,0.0,Neutral,0.2459571063518524,Neutral
Me da buenas energías está cansion  y ganas de llorar,-0.1779,Negative,0.1499999999999999,Positive,-0.3485665917396545,Negative
Ooqw,0.0,Neutral,0.0,Neutral,-0.2808928191661834,Negative
Jajajajajajajajaja,0.0,Neutral,0.0,Neutral,0.2881793975830078,Neutral
Mi queso mi queso mi queso mi ojo,0.0,Neutral,0.0,Neutral,-0.4586846828460693,Negative
Lkoouu,0.0,Neutral,0.0,Neutral,-0.2658312916755676,Negative
linda y hermosa con el loco de la mama,0.6705,Positive,0.25,Positive,0.6770249009132385,Positive
linda y divertida,0.7096,Positive,0.375,Positive,0.6271269917488098,Positive
Ben 10,0.0,Neutral,0.0,Neutral,0.6746695041656494,Positive
Ben 10,0.0,Neutral,0.0,Neutral,0.6746695041656494,Positive
", zzeea❤️😋😅",0.3612,Positive,0.0,Neutral,0.3325739800930023,Positive
Ñokui77imķl767kkkiiysñpkikiik,0.0,Neutral,0.0,Neutral,-0.2608717679977417,Negative
Jdfg,0.0,Neutral,0.0,Neutral,0.2494999319314956,Neutral
EL,0.0,Neutral,0.0,Neutral,0.2422990351915359,Neutral
In my childhood I always watch this song now also l love it,0.6369,Positive,0.5,Positive,0.8375706672668457,Positive
🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂🤣🤣🤣😂😂😂😅😅🤣🤣😂😅🤣😂😅,0.9974,Positive,0.0,Neutral,0.3085779249668121,Neutral
😎😎😎😎,0.9001,Positive,0.0,Neutral,0.3085779249668121,Neutral
In,0.0,Neutral,0.0,Neutral,0.3024154007434845,Neutral
Helloy magnificent,0.5994,Positive,1.0,Positive,0.8374531865119934,Positive
Lll,0.0,Neutral,0.0,Neutral,0.228485494852066,Neutral
Gaman að heyra (｡･ω･｡)ﾉ♡,0.4215,Positive,0.6,Positive,0.3859608471393585,Positive
Como la escuchas acostado jsjs q bonita cancion,0.128,Positive,0.3472222222222222,Positive,0.5046013593673706,Positive
Ethyd,0.0,Neutral,0.0,Neutral,0.2678422629833221,Neutral
Mis favoritos desde niña,0.4215,Positive,0.0,Neutral,0.7668049335479736,Positive
"Wow,amazing i love the video❤️",0.6369,Positive,0.5,Positive,0.9520801901817322,Positive
MUSICA LEGAL,0.128,Positive,0.2,Positive,0.2636410593986511,Neutral
S8iiiiiiiiiiiiiiiiiiiiiiii,0.0,Neutral,0.0,Neutral,0.3240049183368683,Neutral
See ax cz,0.0,Neutral,0.0,Neutral,0.2577861845493316,Neutral
Minionki są naj,0.6369,Positive,1.0,Positive,0.331315815448761,Positive
it is amazing,0.5859,Positive,0.6000000000000001,Positive,0.7762757539749146,Positive
wow i am is cool,0.7269,Positive,0.2249999999999999,Positive,0.8252652287483215,Positive
سیس,0.0,Neutral,0.0,Neutral,0.2736945450305938,Neutral
Ona mnie motywuje,0.0,Neutral,0.0,Neutral,0.3336333632469177,Positive
epico,0.0,Neutral,0.1,Positive,0.3402957320213318,Positive
Rap dos Minions que é esse,0.0,Neutral,0.0,Neutral,0.3982674181461334,Positive
Se,0.0,Neutral,0.0,Neutral,0.3660305738449096,Positive
la musica no va con los dibujos,0.0,Neutral,0.0,Neutral,-0.4059261679649353,Negative
M n.,0.0,Neutral,0.0,Neutral,-0.338776558637619,Negative
ㅍㅎㅍ keur ghhjjjdipoto ku wartawan,0.0,Neutral,0.0,Neutral,0.2824145853519439,Neutral
Vhhhhgvghggggvvvvvvvvvvvv,0.0,Neutral,0.0,Neutral,-0.3462055623531341,Negative
Hghg,0.0,Neutral,0.0,Neutral,0.2622978687286377,Neutral
Hnnbc,0.0,Neutral,0.0,Neutral,0.2269035577774047,Neutral
Bb hbb,0.0,Neutral,0.0,Neutral,0.2741898000240326,Neutral
Trop mignon Gru,0.4588,Positive,0.5,Positive,-0.3608069717884063,Negative
Very nice song,0.4754,Positive,0.78,Positive,0.5901896953582764,Positive
Gran music,0.0,Neutral,0.0,Neutral,0.6448235511779785,Positive
Me gusta,0.3612,Positive,0.0,Neutral,0.4238454401493072,Positive
Pppoolppppppi,0.0,Neutral,0.0,Neutral,0.2442458122968673,Neutral
T  da,0.4019,Positive,0.0,Neutral,0.2775900959968567,Neutral
i hate this song,-0.5719,Negative,-0.8,Negative,-0.8803736567497253,Negative
🤩🤩🤩🤩🤩🤩,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Şarkı sözleri çok güzel,0.7177,Positive,0.85,Positive,0.4156824350357055,Positive
Muhteşem,0.5719,Positive,1.0,Positive,-0.3372156918048858,Negative
Im cryng😭,-0.7351,Negative,0.0,Neutral,0.3291637897491455,Neutral
Muito legal,0.3804,Positive,0.4549999999999999,Positive,0.2382937222719192,Neutral
God music,0.2732,Positive,0.0,Neutral,0.4052683711051941,Positive
,0.0,Neutral,0.0,Neutral,0.2846148908138275,Neutral
Uuhhhh a sito sito wery time,0.0,Neutral,0.0,Neutral,-0.4253700971603393,Negative
C'est trop bien,0.4404,Positive,0.7,Positive,0.5265834927558899,Positive
Buenísimo,0.6249,Positive,0.8,Positive,0.6854111552238464,Positive
Teysey,0.0,Neutral,0.0,Neutral,0.255104660987854,Neutral
😌😎,0.6808,Positive,0.0,Neutral,0.3085779249668121,Neutral
I really like the music,0.4201,Positive,0.2,Positive,0.4755598902702331,Positive
Justin biebrr,0.0,Neutral,0.0,Neutral,0.2608926892280578,Neutral
Гадкий Я 3 2017,0.0,Neutral,0.0,Neutral,0.4447264373302459,Positive
LA MUSICA DE MINIUOS ES MUI MONITA,0.5095,Positive,0.65,Positive,-0.4594233930110931,Negative
Wtf  SUPER :-) video,0.4824,Positive,0.1111111111111111,Positive,0.7409734725952148,Positive
lindo,0.0,Neutral,0.0,Neutral,0.2488521188497543,Neutral
I love it,0.6369,Positive,0.5,Positive,0.8333382606506348,Positive
ำ ค,0.0,Neutral,0.0,Neutral,0.2882026433944702,Neutral
好…我都f,0.0,Neutral,0.5,Positive,0.6101818680763245,Positive
I minions fanno ridere un sacco e so super carini come la canzone,0.9186,Positive,0.3777777777777777,Positive,0.7205923199653625,Positive
Yds,0.0,Neutral,0.0,Neutral,0.2514113187789917,Neutral
I have attached my resume for your reference and hope to hear from you soon as I am,0.4404,Positive,0.0,Neutral,0.4042099416255951,Positive
🥰❤❤❤,0.9678,Positive,0.0,Neutral,0.3085779249668121,Neutral
Adorei que fofo🐼,0.7845,Positive,0.6,Positive,0.6697186231613159,Positive
خیلی عالی,0.4927,Positive,0.91,Positive,0.5676026344299316,Positive
0:35 xd😂😂😂😂,0.9371,Positive,0.0,Neutral,-0.4011597335338592,Negative
Linda canción estoy eloquecido buen video,0.5106,Positive,0.2333333333333333,Positive,0.5042513608932495,Positive
YES SIR..I HAVE CHANGED THE PASSWORD'S..THANK'S BROTHER'S,0.4019,Positive,0.0,Neutral,-0.294685959815979,Negative
Aww cute,0.4588,Positive,0.4,Positive,0.376649260520935,Positive
Дуже  Дуже класна пісня,0.4351,Positive,0.4549999999999999,Positive,0.4930718541145324,Positive
💌💌💌💌💌💌💛💝💝💧💙♥️💜💅🏾🦄❤️🧡🖤💖💖💖💖💖💖💖💖💖💖💖🙉🙉🙈🎊😸😸😺🌜🌜🌜😘😘😍🤩😍😍😘😘😘,0.9994,Positive,0.0,Neutral,0.3085779249668121,Neutral
😀,0.3612,Positive,0.0,Neutral,0.3085779249668121,Neutral
🌹❤️💜💙😍,0.9081,Positive,0.0,Neutral,0.3085779249668121,Neutral
x,0.0,Neutral,0.0,Neutral,0.391137421131134,Positive
Que ermoso😊,0.872,Positive,0.0,Neutral,0.2432734668254852,Neutral
Tvuzpadrf,0.0,Neutral,0.0,Neutral,-0.228692814707756,Negative
💝💝💝-100-!!!,0.938,Positive,0.0,Neutral,0.6271263957023621,Positive
💝💝💝💝💝💝💝💝💝💝💝,0.994,Positive,0.0,Neutral,0.3085779249668121,Neutral
Mandami un messaggio,0.0,Neutral,0.0,Neutral,-0.3038434386253357,Negative
Come state,0.0,Neutral,0.0,Neutral,0.5627310872077942,Positive
😘😘😘😘❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️,0.8807,Positive,0.0,Neutral,0.4519431591033935,Positive
😂😂😂😂😂😂😂😂,0.969,Positive,0.0,Neutral,0.3085779249668121,Neutral
şarkı uymamış,-0.2755,Negative,0.4,Positive,-0.3345445990562439,Negative
Kkkvkvk,0.0,Neutral,0.0,Neutral,-0.2438327372074127,Negative
mencanta!,0.0,Neutral,0.0,Neutral,0.7845653295516968,Positive
2022,0.0,Neutral,0.0,Neutral,0.2900533974170685,Neutral
Stop speaking Spanish!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,-0.5216,Negative,0.0,Neutral,-0.9015578627586364,Negative
i hate minions,-0.5719,Negative,-0.8,Negative,-0.4316819608211517,Negative
i hate minions,-0.5719,Negative,-0.8,Negative,-0.4316819608211517,Negative
"i hate minions
v",-0.5719,Negative,-0.8,Negative,-0.4010617733001709,Negative
i hate minions,-0.5719,Negative,-0.8,Negative,-0.4316819608211517,Negative
i hate minions,-0.5719,Negative,-0.8,Negative,-0.4316819608211517,Negative
i hate minions,-0.5719,Negative,-0.8,Negative,-0.4316819608211517,Negative
i hate minions,-0.5719,Negative,-0.8,Negative,-0.4316819608211517,Negative
i hate minions,-0.5719,Negative,-0.8,Negative,-0.4316819608211517,Negative
i hate minions,-0.5719,Negative,-0.8,Negative,-0.4316819608211517,Negative
i hate minions,-0.5719,Negative,-0.8,Negative,-0.4316819608211517,Negative
i hate minions,-0.5719,Negative,-0.8,Negative,-0.4316819608211517,Negative
i hate minions,-0.5719,Negative,-0.8,Negative,-0.4316819608211517,Negative
i hate minions,-0.5719,Negative,-0.8,Negative,-0.4316819608211517,Negative
"i hate minions
i hate minions",-0.8126,Negative,-0.8,Negative,-0.4436546862125397,Negative
i hate minions,-0.5719,Negative,-0.8,Negative,-0.4316819608211517,Negative
v,0.0,Neutral,0.0,Neutral,0.3491922616958618,Positive
Masterpiece.,0.6249,Positive,0.0,Neutral,0.8492966294288635,Positive
WOW😀😀😀,0.9008,Positive,0.0,Neutral,0.3085779249668121,Neutral
2:42,0.0,Neutral,0.0,Neutral,0.2481944113969802,Neutral
2:45,0.0,Neutral,0.0,Neutral,-0.2702265381813049,Negative
😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😘😍😍😍,0.9988,Positive,0.0,Neutral,0.3085779249668121,Neutral
Que fofos,0.4588,Positive,0.5,Positive,-0.4088349044322967,Negative
👏👏👏👏👏👏👏👏,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
I love music dance monkey i Thalita,0.6369,Positive,0.225,Positive,0.6544274687767029,Positive
68,0.0,Neutral,0.0,Neutral,0.2572492659091949,Neutral
😍😍,0.7184,Positive,0.0,Neutral,0.3085779249668121,Neutral
El canta la canción Soy su fan número uno soy tu fan no me gusta,0.4195,Positive,0.0,Neutral,-0.5519333481788635,Negative
Seriously? There aren't any normal comments?,-0.264,Negative,-0.0916666666666666,Negative,-0.435461014509201,Negative
iSA😆💌🐸🍌,0.7717,Positive,0.0,Neutral,0.3085779249668121,Neutral
Hola,0.0,Neutral,0.0,Neutral,0.2550420761108398,Neutral
🐊🐍🐉🐢🐸🐦,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
QUE DÓ,0.0,Neutral,0.0,Neutral,-0.3236050903797149,Negative
