Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
waoooooooooooow perfect,0.5719,Positive,1.0,Positive,0.7403383255004883,Positive
افضل اغنيه بل العالم 🥺,0.6369,Positive,1.0,Positive,0.8721700310707092,Positive
I want cry 🥺😭 😭😭,-0.9022,Negative,0.0,Netural,0.35290592908859253,Positive
Dia /01/mai/2022 eu vou me mata eu não consigo,-0.6908,Negative,0.0,Netural,-0.7973501682281494,Negative
❤,0.6369,Positive,0.0,Netural,0.30857792496681213,Netural
Quem tá no ano de 2022!,0.0,Neutral,0.0,Netural,-0.5729280710220337,Negative
Omg 22 million likes 👍,0.4215,Positive,0.0,Netural,-0.39312875270843506,Negative
Is the song beautiful,0.5994,Positive,0.85,Positive,0.626574695110321,Positive
💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
นอนนั้น100Mอยุ่เลย😂,0.4404,Positive,0.2857142857142857,Netural,0.30857792496681213,Netural
"dear stranger if you are listening this song today , then you are legend.",0.3818,Positive,0.0,Netural,0.7031434178352356,Positive
*Love from India ❤️🇮🇳*,0.6369,Positive,0.5,Positive,0.5051754117012024,Positive
I love your songs I Liston to them every day on lop  I love you Billie Eillish Keep doing what you are doing no mater what bye love you it is my dream to come meet you bye love you,0.9559,Positive,0.5,Positive,0.8258660435676575,Positive
https://youtu.be/WPdWvnAAurg savage .,-0.4588,Negative,0.0,Netural,-0.2503030002117157,Negative
You guys should do another song together 😍,0.4588,Positive,0.0,Netural,0.2734304964542389,Netural
❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Just fucken found this gem! Where have I been?!,0.0,Neutral,0.0,Netural,0.43882474303245544,Positive
"My world's story
Like pls",0.4215,Positive,0.0,Netural,0.5758298635482788,Positive
Cada vez que escucho esta canción no puedo evitar pensar en Si tu no vuelves de Miguel Bose siento que el sonido de esta canción tiene un cierto aire,-0.1972,Negative,0.30714285714285716,Netural,0.30575084686279297,Netural
Masterpiece in may 2022,0.6249,Positive,0.0,Netural,0.8019425868988037,Positive
𝒗𝒆𝒓𝒚 𝒏𝒂𝒆𝒄 ✌︎♥︎ 𝑰 𝒍𝒐𝒗𝒆 𝒚𝒐𝒖𝒖𝒖,0.0,Neutral,0.0,Netural,0.420148104429245,Positive
@Billie Eilish You are goddess of music you do not need to do sensual dance your  song makes us do dance.,0.0,Neutral,0.0,Netural,0.5780587196350098,Positive
Какая же настольгия.....,0.0,Neutral,0.0,Netural,0.3788851201534271,Positive
This song came up in my head so i had to listen to the song,0.0,Neutral,0.0,Netural,-0.2953822910785675,Negative
I love this song ❤️,0.6369,Positive,0.5,Positive,0.8624796271324158,Positive
ur pretty billie,0.4939,Positive,0.25,Netural,0.30671992897987366,Netural
Bravo Billie ellish pour cette chanson lovely avec Khalid,0.8555,Positive,0.5,Positive,0.5283944606781006,Positive
Yeeeee,0.0,Neutral,0.0,Netural,0.26658496260643005,Netural
My favorite song when it was 2019 and i still love it the best song u ever made dont give up go bille !!!!!,0.9269,Positive,0.6666666666666666,Positive,0.923805832862854,Positive
😊❤️😍,0.8402,Positive,0.0,Netural,0.30857792496681213,Netural
The words just touch some deeper emotions within me. Dropping this comment so that I'll watch it again when anyone who likes this song tags it,0.4215,Positive,0.0,Netural,0.38667649030685425,Positive
Lovely and bored is my favorite song,0.6908,Positive,0.16666666666666666,Netural,0.7626583576202393,Positive
its may 2022 and im here,0.0,Neutral,0.0,Netural,-0.4492436945438385,Negative
So beautiful 😍😍😍 song 💕💕💕💕💕💕💕 💯 💯💯💯💯💯💯,0.993,Positive,0.85,Positive,0.8278510570526123,Positive
Good,0.4404,Positive,0.7,Positive,0.49696317315101624,Positive
https://youtu.be/JvqSxAIDQ3I,0.0,Neutral,0.0,Netural,0.22294621169567108,Netural
