Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
What,0.0,Neutral,0.0,Neutral,0.2179408073425293,Neutral
Dila.   Kent.     Sizden.     Daha.       İyi.  😏🤪,0.4927,Positive,0.6,Positive,0.2974273264408111,Neutral
Ben izledim,0.0,Neutral,0.0,Neutral,0.4580956399440765,Positive
Peki 23 youtuber dedikten sonra *44* numaranin elenmesi :)),0.34,Positive,0.5,Positive,-0.4822131395339966,Negative
"Riyaz
 noldu boka girdin bide izleyin yenicez diyon",-0.4767,Negative,-0.5,Negative,-0.4622121155261993,Negative
Çok   güzel,0.4754,Positive,0.78,Positive,0.6769678592681885,Positive
ÇOOOooooooooooooooooooooooooooooooooooooooooooooook güzel,0.5994,Positive,0.85,Positive,0.3986006379127502,Positive
yazıklar olsun size sıla ablayı eledinşz,-0.6597,Negative,0.0,Neutral,0.2990625202655792,Neutral
"video çok güzel olmuş











yorum yapmak için yaptım 👍☺️",0.7346,Positive,0.91,Positive,0.627417802810669,Positive
🥰🥰😍🤩,0.9559,Positive,0.0,Neutral,0.3085779249668121,Neutral
Abi budan sonra mezardan son çıkan kazanır yap ve kaybeden yap iyi olur bb ve seni seviyorum💓❤❤❤❤💗💗💗💗💜💜💜💜💓💖💖💖💖☺☺😁😁😁😁💞💞💖💓,0.9991,Positive,0.24,Positive,0.4455783665180206,Positive
enesabi benimesevd ğdim kırmızıa dmlar,0.6369,Positive,0.25,Positive,-0.3352746665477752,Negative
Hatice yavrum,0.0,Neutral,0.0,Neutral,-0.2761154472827911,Negative
Enes abi ben koreliyim ama Türkiyeliyim,0.0,Neutral,0.0,Neutral,-0.3146491944789886,Negative
2.25 karımı koruyorum diyor,0.0,Neutral,0.0,Neutral,-0.3058895766735077,Negative
Hsydydbsgzu,0.0,Neutral,0.0,Neutral,0.2299398779869079,Neutral
Abi,0.0,Neutral,0.0,Neutral,0.317025363445282,Neutral
mrbeats youtube u bıraksa enesin halini düşünemiyom,0.0,Neutral,0.0,Neutral,-0.4689132571220398,Negative
insan dedikleri adında bir youtube kanalı var ve daha iyi yerleri hak ediyor. fakat kanalı yeterli ilgiyi görmüyor,0.2382,Positive,0.1666666666666666,Positive,0.3265083432197571,Neutral
Enes patur bizi küçük görüyor çünkü güçsüz oldumuzu düşünüyor,-0.7096,Negative,-0.375,Negative,-0.3449520766735077,Negative
"Abi    umut
     Bana  tiktok    yapmıyyyyyyyooooo",0.4404,Positive,0.0,Neutral,-0.2819887697696686,Negative
Enes abi ben sana bayılıyorum ve sizi çok seviyorum,0.8316,Positive,0.38,Positive,0.6568534970283508,Positive
Cok eylanjeli,0.0,Neutral,0.2,Positive,-0.3910508155822754,Negative
Enes ❤️,0.0,Neutral,0.0,Neutral,0.2686679065227508,Neutral
kanalımın adı barikat⚡,0.0,Neutral,0.0,Neutral,0.2941725850105285,Neutral
Abi bu çok güzel olmuş,0.4754,Positive,0.78,Positive,0.6418572068214417,Positive
00l,0.0,Neutral,0.0,Neutral,0.2505447566509247,Neutral
Oooo,0.0,Neutral,0.0,Neutral,-0.2873618602752685,Negative
Enes batur senin videolarını çok beyendim sana hayranım bb,0.8207,Positive,0.38,Positive,0.4592659473419189,Positive
😇🤗😻😽💛💋😸😺🤩🥰😍😘😗☺😙😋😶😜🤪😝😇,0.9951,Positive,0.0,Neutral,0.3085779249668121,Neutral
Seni çok seviyorum Enesbatur,0.6369,Positive,0.35,Positive,-0.2790683507919311,Negative
Abi bigün ne istersem o yemeği yicem videosu çeke bilir misin?,-0.2732,Negative,0.0,Neutral,-0.6423680186271667,Negative
🏆💷💷💷💷🏆💷💷💷💷💷💷🏆🏆💷💷💷💷🏆💷💷💷💷💷💷🏆🏆💷💷💷💷🏆💷💷💷💷💷💷🏆,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Abi 12lireversene,0.0,Neutral,0.0,Neutral,0.2604089677333832,Neutral
enes abi Videoda çarli vidiyosunu yaparmısın,0.0,Neutral,0.0,Neutral,0.2577182054519653,Neutral
Iwıejwkwııwjs,0.0,Neutral,0.0,Neutral,0.2541611492633819,Neutral
Kanalıma göz atmaya ne dersiniz?,0.0,Neutral,0.0,Neutral,-0.3578368723392486,Negative
Çok güzel olmuş,0.4754,Positive,0.78,Positive,0.6561452746391296,Positive
Abi  gerçtemi  öldü  💁‍♀️,-0.5984,Negative,0.2,Positive,0.341217577457428,Positive
balici.,0.0,Neutral,0.0,Neutral,0.2490529119968414,Neutral
ELİF😘199065,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
bence Silaya haksizlıik yapildi,0.0,Neutral,-0.5,Negative,-0.6723871827125549,Negative
✨✨✨✨✨✨✨✨✨🎇🎇🎆🎆🎆🎆🎆🎆🎇🎇✨✨✨🥉🥉🏒🥉🥉,0.9872,Positive,0.0,Neutral,0.3085779249668121,Neutral
🤩🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🏅🏅🏅🏅🏅🏅🏅🏅🏅🏅,0.996,Positive,0.0,Neutral,0.3085779249668121,Neutral
🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🌍,0.9934,Positive,0.0,Neutral,0.3085779249668121,Neutral
alah şifalar versin,0.2732,Positive,0.0,Neutral,0.3820223808288574,Positive
🔪🔪👑😘😘👑,0.6808,Positive,0.0,Neutral,0.3085779249668121,Neutral
Cam oyunu yok ❤️🌷🌹💐💎🥰😍🤩,0.8442,Positive,-0.4,Negative,-0.4650700390338897,Negative
Enes      abi     selamımvar,0.0,Neutral,0.0,Neutral,0.2415007501840591,Neutral
,0.0,Neutral,0.0,Neutral,0.2846148908138275,Neutral
Çiğ yumurta içti öeg,0.0,Neutral,-0.2307692307692307,Negative,0.2453382164239883,Neutral
Yaren ablam Sıla ablam  Betül ablam öldü 😭😭,-0.8689,Negative,0.0,Neutral,-0.5338959097862244,Negative
senimuszilanidiniyoru,0.0,Neutral,0.0,Neutral,0.2765612304210663,Neutral
enesbatur,0.0,Neutral,0.0,Neutral,0.2643826305866241,Neutral
0,0.0,Neutral,0.0,Neutral,-0.8090890049934387,Negative
Onlar bendekiecek birÇok güzel bir video,0.4215,Positive,0.6,Positive,0.4462127983570099,Positive
Abi yılardır izlemiyorum özledim,-0.1531,Negative,0.0,Neutral,0.3763332068920135,Positive
Enes Batur ben gönderiyorum hala bu telefonda gönderiyorum ha ben gönderiyorum halam değil halam yazmıyor ben yazıyorum ama telefondan yazıyorum hala bitmedi çıkıyor ama lan,0.0,Neutral,0.0,Neutral,-0.6341666579246521,Negative
Enes Batur babam seni gördüğünü merak çakmış ama yalan söylüyorum Her zaman yalan bir de selamı var tamam mı oldu mu,0.2023,Positive,0.2,Positive,-0.2849105894565582,Negative
", oyunlarda Neden küfür ediyorsun akarsular çektirme çok uzun şeyler başında çekerim",0.0,Neutral,-0.05,Negative,-0.3911629617214203,Negative
Groseri işini biliyorsun,0.0,Neutral,0.0,Neutral,0.2736039757728576,Neutral
❤️♥️🥰🙃♥️😘🥰💗💝💝💕💓😍🥰😇😗😊😉😑😐🤨😏🤔😎,0.9977,Positive,0.0,Neutral,0.3085779249668121,Neutral
Enes Batur diye bir oyun var ya,0.0,Neutral,-0.4,Negative,-0.2830354571342468,Negative
Enes Batur,0.0,Neutral,0.0,Neutral,0.2444838881492614,Neutral
Abı arkdasım sana sovdu yanı kufur ettı,-0.0258,Neutral,0.0,Neutral,-0.3169738352298736,Negative
enes batur hepsini kaç paraya oraya getirdi acaba,0.0,Neutral,0.2,Positive,-0.6931523680686951,Negative
Enes Batur abi Adana'da yaşıyorum 7 yaşındayım filmi izledim arkadaşlarıma ışığı kapat hem de akşam izlediğim film çok korkunçtu Ama tek abi yani Turabi,-0.0507,Negative,-0.0027272727272727,Negative,-0.5551801323890686,Negative
Abi maske ve kostüm sana çok yakıştı,0.3384,Positive,0.2,Positive,-0.3992490470409393,Negative
Mert abinin elleri kanıyor yaaa,0.0,Neutral,0.0,Neutral,-0.368512362241745,Negative
Abi meraba,0.0,Neutral,0.0,Neutral,0.2660993635654449,Neutral
Abi anne bir tane sarı saçlı kız var ya o vallahi oynadı şimdi yatıyorum vallahi...,0.296,Positive,0.0,Neutral,-0.2941762804985046,Negative
Enes abi niye video atmıyorsun,0.0,Neutral,0.0,Neutral,-0.4127655029296875,Negative
🇹🇷,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
you,0.0,Neutral,0.0,Neutral,0.304605633020401,Neutral
hello,0.0,Neutral,0.0,Neutral,0.561444878578186,Positive
YAREN ALIYO,0.0,Neutral,0.0,Neutral,0.2359271794557571,Neutral
Abi devamı gelebilirmi,0.0,Neutral,0.0,Neutral,0.2916596233844757,Neutral
E,0.0,Neutral,0.0,Neutral,0.2746336758136749,Neutral
Ben enes,0.0,Neutral,0.0,Neutral,0.270266979932785,Neutral
Sviliyosunadi,0.0,Neutral,0.0,Neutral,0.2653418779373169,Neutral
Emir YouTube Enes Batur,0.0,Neutral,0.0,Neutral,0.3223427236080169,Neutral
7,0.0,Neutral,0.0,Neutral,0.4845085144042969,Positive
Abi  video  çok güzel olmuş,0.4754,Positive,0.78,Positive,0.5621285438537598,Positive
Abi  o  kız  varya  japon  değil  mi,0.0,Neutral,0.0,Neutral,-0.408027172088623,Negative
"Selamlaaar! 
Ben MARIO",0.0,Neutral,0.0,Neutral,-0.4122809171676636,Negative
Benim adım Miray çok güzel video çekmişsin aferin🇹🇷♥️🧿❤️💎💎,0.8643,Positive,0.78,Positive,0.6727546453475952,Positive
Ğ,0.0,Neutral,0.0,Neutral,0.3076807856559753,Neutral
Abi eline salik,0.0,Neutral,-0.25,Negative,0.247735396027565,Neutral
Enes Batur ben,0.0,Neutral,0.0,Neutral,0.2718617916107178,Neutral
Çok güzel  olmuş,0.4754,Positive,0.78,Positive,0.6561452746391296,Positive
Sen çok kotu cekyon,0.0,Neutral,0.0,Neutral,-0.5759283304214478,Negative
Enes abi harbi mi kanalında senin hakkında yalan şeyler söylüyor,-0.5267,Negative,0.0,Neutral,0.2927566170692444,Neutral
🔺,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Ze,0.0,Neutral,0.0,Neutral,0.2584014236927032,Neutral
Enes batur youtube den 65bin dolar kazanıyor,0.0,Neutral,0.0,Neutral,-0.5424890518188477,Negative
Videolarınız çok güzel Enes Batur videolarını çok güzel çok kupa gönderirim ama Murat Kaya Enes Batur size kupa gönderirim üniversitede göndereceğim güzele,0.8748,Positive,0.8766666666666666,Positive,0.3520608246326446,Positive
Enes Batur seni çok seviyorum numaranı bana yollaaa nolur,0.7951,Positive,0.35,Positive,-0.3616163730621338,Negative
