Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I got crazy,-0.34,Negative,-0.6,Negative,0.3237651586532593,Neutral
i wish i could have that pc setup...sad to say im just poor guy.PewDiePie bekenemen...<3,-0.1027,Negative,-0.4,Negative,-0.5753357410430908,Negative
I am challenging PewDiePie to make mr beast mention me in a video.,0.1531,Positive,0.5,Positive,0.3288048505783081,Neutral
"what's your pc specs Felix?
I9 9900k
32 gigs of g skill ram
gpu? looks like an rtx 1080ti?
also I feel like Starlink will be a better option for your internet?",0.8343,Positive,0.5,Positive,0.2874304354190826,Neutral
"This is the best videos have watched so far,thank for the update.",0.6369,Positive,1.0,Positive,0.9238325357437134,Positive
"Uou a 6 bazilian setup, fantastic",0.5574,Positive,0.4,Positive,0.6952624320983887,Positive
HOW ARE YOU THAT RIIIIICCCHHH,0.0,Neutral,0.0,Neutral,0.292812317609787,Neutral
Qwasaaaaaasaa,0.0,Neutral,0.0,Neutral,0.2394142001867294,Neutral
11:04 that reminded me of his Fear of Holes video,-0.4939,Negative,0.0,Neutral,0.3502866625785827,Positive
Pls contact Morrog he is the Dutch cable god,0.34,Positive,0.0,Neutral,0.4050206542015075,Positive
Felix watch the new set up of MM7 it is so much better,0.4902,Positive,0.3181818181818182,Neutral,0.6968740820884705,Positive
heeerlooo,0.0,Neutral,0.0,Neutral,0.2395872473716735,Neutral
200 dollars a month for internet ???? I pay 12 dollars a month for 1GB/s internet with no limitations :DDDD,-0.5514,Negative,0.0,Neutral,-0.5701135993003845,Negative
Hi later,0.0,Neutral,0.0,Neutral,0.2785272896289825,Neutral
i am still trying to figure it out how it is 6 billion dollar setup,0.0,Neutral,0.0,Neutral,0.308353841304779,Neutral
5 out of 10 Marons,0.0,Neutral,0.0,Neutral,0.3716713786125183,Positive
nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Omgggg.Nice vudeooo.,0.0,Neutral,0.0,Neutral,0.4362213909626007,Positive
OuO,0.0,Neutral,0.0,Neutral,0.3269878923892975,Neutral
6 billion set up bro 😱😳,-0.7003,Negative,0.0,Neutral,-0.3540783822536468,Negative
Ggg,0.0,Neutral,0.0,Neutral,0.2573937475681305,Neutral
Joo,0.0,Neutral,0.0,Neutral,0.2642825841903686,Neutral
Hii,0.0,Neutral,0.0,Neutral,0.2661617994308471,Neutral
Opp,0.0,Neutral,0.0,Neutral,0.2734993100166321,Neutral
Lzz go,0.0,Neutral,0.0,Neutral,0.2789403796195984,Neutral
Op,0.0,Neutral,0.0,Neutral,0.2698663473129272,Neutral
Hii,0.0,Neutral,0.0,Neutral,0.2661617994308471,Neutral
Always feels encouraging to invest 5k into a set up to begin a youtube/gaming career that you've always dreamed of doing just to see a similar set up get torn apart by the current God of Youtube gaming.,0.5423,Positive,0.0,Neutral,0.5267642736434937,Positive
fist 👊 bum/10,0.0,Neutral,0.0,Neutral,0.3875792026519775,Positive
Brilliant setup,0.5859,Positive,0.9,Positive,0.723180890083313,Positive
I want that Setup 🤗,0.4767,Positive,0.0,Neutral,0.4806649386882782,Positive
dude stop swearing,-0.4939,Negative,0.0,Neutral,-0.5111500024795532,Negative
we do not care,-0.3875,Negative,0.0,Neutral,-0.5619529485702515,Negative
9.9999999999/10,0.0,Neutral,0.0,Neutral,0.556597888469696,Positive
😎,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
LMao,0.5994,Positive,0.6,Positive,0.2660470902919769,Neutral
Dan actually reacted to this,0.0,Neutral,0.0,Neutral,0.5437591075897217,Positive
"""what is this, uhh MM7?"" bro thats miniminter also known as simon from the sidemen 😂🤦‍♂",0.4404,Positive,0.0,Neutral,-0.3527468740940094,Negative
Check mine,0.0,Neutral,0.0,Neutral,0.4502118229866028,Positive
Does anyone know the full name of his Samsung monitor?,0.0,Neutral,0.35,Positive,-0.3986824154853821,Negative
Yo u serious? This is worth $6B?,0.2406,Positive,-0.0166666666666666,Negative,-0.609195351600647,Negative
6 billion? LOL,0.5473,Positive,0.8,Positive,-0.5133402943611145,Negative
Put two desks beside the table to fit your speakers,0.3612,Positive,0.4,Positive,0.443574994802475,Positive
Can this comment get 100 replies plss,0.0,Neutral,0.0,Neutral,-0.2488858550786972,Negative
Pewdie pie and dantdm are og,0.0,Neutral,0.0,Neutral,0.2620814144611358,Neutral
Nice setup 35/37 👍,0.4215,Positive,0.6,Positive,0.4623749554157257,Positive
BROO go watch abo flah 's setup its insane☠,-0.4019,Negative,0.0,Neutral,0.2278351336717605,Neutral
69420/10,0.0,Neutral,0.0,Neutral,0.2319378107786178,Neutral
Anyone know what keyboard he has? I want it! :),0.5562,Positive,0.5,Positive,0.6681457757949829,Positive
Jag älskar inte dej längre,-0.5216,Negative,-0.25,Negative,-0.2820736169815063,Negative
JAG ÄLSKAR DEJ FELIX <3,0.8331,Positive,0.75,Positive,0.2645771205425262,Neutral
your screen so big,0.0,Neutral,0.0,Neutral,-0.2826398313045501,Negative
I haven’t watched pewdiepie in a long time and it is apparent he has been working out,0.0,Neutral,0.0,Neutral,0.4170921742916107,Positive
😎,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
At 6:56 man used a ironing board as a desk to hold the keyboard and mouse,0.0,Neutral,0.0,Neutral,-0.3203691840171814,Negative
that keyboard looks like 5 dollars rgb keyboard from aliexpress,0.3612,Positive,0.0,Neutral,-0.4800937473773956,Negative
J,0.0,Neutral,0.0,Neutral,0.2888481020927429,Neutral
WE HAVE THE SAME ZIP UP CABLE BAG i love it so much i have all my cords organized and labeled,0.6369,Positive,0.2333333333333333,Neutral,0.8891575932502747,Positive
Ok bye 👍,0.296,Positive,0.5,Positive,0.3751183152198791,Positive
525,0.0,Neutral,0.0,Neutral,0.2476050704717636,Neutral
524,0.0,Neutral,0.0,Neutral,0.2557656466960907,Neutral
523 😷😷,0.0,Neutral,0.0,Neutral,0.2715548276901245,Neutral
522,0.0,Neutral,0.0,Neutral,0.2430877089500427,Neutral
521,0.0,Neutral,0.0,Neutral,0.263142466545105,Neutral
520,0.0,Neutral,0.0,Neutral,0.2658169865608215,Neutral
519,0.0,Neutral,0.0,Neutral,0.2603865563869476,Neutral
518,0.0,Neutral,0.0,Neutral,0.2568164467811584,Neutral
