Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Mi inglés se vuelve fluido cuando se trata de esta canción 🛐💐✨💜,0.8271,Positive,0.0,Neutral,0.3541261851787567,Positive
Yes Lisa Lisa Lisa I am not sure,0.1872,Positive,-0.25,Negative,0.3785639703273773,Positive
I like This song! It makes me want to sing and it makes me happy! These boys & girls are good at singing.,0.8745,Positive,0.85,Positive,0.6088913083076477,Positive
UwU,0.0,Neutral,0.0,Neutral,0.2725917398929596,Neutral
🤩🤩🤩🤩,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
CUTEST MUCH EVERRRRRRRRRRRRRRRRRRRRR,0.5859,Positive,0.2,Positive,0.7345020174980164,Positive
Yhjkuhfghjnjdjkfkcfkffc fjfjff f ddqodnxx,0.0,Neutral,0.0,Neutral,-0.3597703576087951,Negative
Tambien a mi me sigue gustando pero mi papá la arruina porque dice que dice albondiga por que te temos un gato llamado albondiga,-0.4767,Negative,-0.15,Negative,0.4197301566600799,Positive
i love this song it's very good,0.8122,Positive,0.705,Positive,0.6611138582229614,Positive
I love the song,0.6369,Positive,0.5,Positive,0.7057780027389526,Positive
2022 y aún no instalo tiktok :v,0.0,Neutral,0.0,Neutral,-0.6483998894691467,Negative
me encanta esa cancion,0.6369,Positive,0.5,Positive,0.7491693496704102,Positive
que hermosa cancion es muy relajante,0.8122,Positive,0.525,Positive,0.6607739925384521,Positive
Eu escuto essa. Música todo. Estante,0.0,Neutral,0.0,Neutral,0.6170132160186768,Positive
Thinks that you'v done that someone call you baby and love you more than her/his lifes. Looks,0.6369,Positive,0.5,Positive,0.5973833799362183,Positive
Bts xo temam,0.0,Neutral,0.0,Neutral,0.2766726315021515,Neutral
❤❤❤❤❤❤❤,0.9854,Positive,0.0,Neutral,0.3085779249668121,Neutral
enak lagu ya,0.4215,Positive,0.6,Positive,0.3054757416248321,Neutral
😀😃😄😁,0.91,Positive,0.0,Neutral,0.3085779249668121,Neutral
Es     mi       musica       favorita,0.4588,Positive,0.5,Positive,0.679068922996521,Positive
Me     en      canta,0.6369,Positive,0.5,Positive,0.3826795518398285,Positive
Bello y hermoso,0.8316,Positive,0.85,Positive,0.8407288789749146,Positive
♡♡♡♡♡,0.0,Neutral,0.0,Neutral,0.6526390314102173,Positive
Nice music,0.4215,Positive,0.6,Positive,0.4528878629207611,Positive
I'm hearing this in 2022,0.0,Neutral,0.0,Neutral,0.3530790209770202,Positive
😍😍,0.7184,Positive,0.0,Neutral,0.3085779249668121,Neutral
😍😍😍❤,0.9217,Positive,0.0,Neutral,0.3085779249668121,Neutral
Me encanta la voy a cantar,0.6369,Positive,0.5,Positive,0.77797931432724,Positive
Shawn Mendes and Camilla Cabell voice are amazing,0.5859,Positive,0.6000000000000001,Positive,0.7314338088035583,Positive
Maravillosa canción que después de mucho tiempo sigo escuchando,0.5719,Positive,0.475,Positive,0.902832806110382,Positive
Çooooooooooook güzel,0.5994,Positive,0.85,Positive,0.3940733969211578,Positive
It's now 2022,0.0,Neutral,0.0,Neutral,0.3004288375377655,Neutral
❤️Goosebumps❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Y love this song,0.6369,Positive,0.5,Positive,0.8350270986557007,Positive
❤️❤️❤️❤️❤️😍😘🐾🦄🐱🐈,0.7003,Positive,0.0,Neutral,0.3085779249668121,Neutral
Me encanta esta canción me hace c@ntar  muchola esqucho a donde valla,0.6369,Positive,0.5,Positive,0.7123512029647827,Positive
Megusta ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘,0.9959,Positive,0.0,Neutral,-0.2876278460025787,Negative
I love it when you call me senorita ❤🧡💚💙💜🤎🖤🤍,0.9719,Positive,0.5,Positive,0.8293053507804871,Positive
Muy bonita yo siempre le escuchaba,0.6361,Positive,1.0,Positive,0.7103970050811768,Positive
❤💙💚💛💜💖👍😍,0.9854,Positive,0.0,Neutral,0.3085779249668121,Neutral
SENORITA?!!!!,0.0,Neutral,0.0,Neutral,-0.4899426400661468,Negative
Ooo la la la,0.0,Neutral,0.0,Neutral,0.2679615318775177,Neutral
Oo la la la,0.0,Neutral,0.0,Neutral,0.2749336361885071,Neutral
Bella canzone,0.4215,Positive,0.6,Positive,0.4632069170475006,Positive
Ñ 😈,0.4588,Positive,0.0,Neutral,-0.2437966614961624,Negative
Love love love,0.9274,Positive,0.5,Positive,0.7280652523040771,Positive
Ho love,0.6369,Positive,0.5,Positive,0.6528822779655457,Positive
-............. Not my profile,0.0,Neutral,0.0,Neutral,-0.4323639273643493,Negative
0:33 olmuyo,0.0,Neutral,0.0,Neutral,-0.5258052945137024,Negative
2022,0.0,Neutral,0.0,Neutral,0.2900533974170685,Neutral
1:43,0.0,Neutral,0.0,Neutral,0.2232896238565445,Neutral
"I obbessed with you and this song ,my love 🪐💛💙👑♐",0.9169,Positive,0.0,Neutral,0.8623873591423035,Positive
𝓱𝓲,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
So deutyful,0.0,Neutral,0.0,Neutral,-0.3722025454044342,Negative
Bäe ich kotz mich an🤮🤮🤮🤢🤢🤮🤮,-0.5267,Negative,0.0,Neutral,0.3608935177326202,Positive
buenasa,0.4404,Positive,0.7,Positive,0.3038665950298309,Neutral
love music  senhorita,0.5574,Positive,0.5,Positive,0.5423834919929504,Positive
When you hearing this in 2022,0.0,Neutral,0.0,Neutral,-0.2689179480075836,Negative
fue una de mi canciones favoritas de pequeña,0.4588,Positive,0.5,Positive,0.5830560922622681,Positive
Who is lisen this song in 2022,0.0,Neutral,0.0,Neutral,-0.3035058677196502,Negative
2022,0.0,Neutral,0.0,Neutral,0.2900533974170685,Neutral
Meraba,0.0,Neutral,0.0,Neutral,0.3286236822605133,Neutral
But me 2022,0.0,Neutral,0.0,Neutral,0.401568055152893,Positive
me encanta,0.6369,Positive,0.5,Positive,0.7738614678382874,Positive
Seňyorítaaaaaa🥰🥰,0.9393,Positive,0.0,Neutral,0.3085779249668121,Neutral
Wow,0.5859,Positive,0.1,Positive,0.6995608806610107,Positive
OMG these guys sound so cute together,0.5949,Positive,0.45,Positive,0.6684466600418091,Positive
IT FELT LIKE OOO LA LA LA YEAH NOO XD QUE BONITA CANCION,0.9081,Positive,0.85,Positive,0.3608795702457428,Positive
Amo essa música ❤️,0.6369,Positive,0.5,Positive,0.6332128047943115,Positive
Halo semua sehat selalu ya hahaha,0.743,Positive,0.35,Positive,0.7825515270233154,Positive
I ❤ this song,0.6369,Positive,0.0,Neutral,0.6188515424728394,Positive
Amo esa cancion,0.6369,Positive,0.5,Positive,0.6750251650810242,Positive
who's watching this on 2022?,0.0,Neutral,0.0,Neutral,-0.328650027513504,Negative
🍀🍀🍀🍀🍀🌷🌷🌷🌹🌹🌹🌹😘😘😘😍😍😍😘,0.9595,Positive,0.0,Neutral,0.3085779249668121,Neutral
💐💐,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Señorita,-0.1531,Negative,0.0,Neutral,0.4017680287361145,Positive
I just LOVE this song so much,0.7125,Positive,0.35,Positive,0.855732262134552,Positive
I am watching this song in 2023,0.0,Neutral,0.0,Neutral,0.5020637512207031,Positive
It's today April 2022 let's see how many legend and fans are still listening to this masterpiece........!GSK mix lyrics,0.0,Neutral,0.5,Positive,0.5329753756523132,Positive
A perfect song summer 2022,0.5719,Positive,1.0,Positive,0.7847427725791931,Positive
"When u hear this song 2022 , u r legend",0.0,Neutral,0.0,Neutral,0.3799532353878021,Positive
"love  

🤩",0.6369,Positive,0.5,Positive,0.7371776700019836,Positive
Soy la unica que abla español,0.0,Neutral,0.0,Neutral,-0.3724574148654938,Negative
I don’t really like this one next one,0.4201,Positive,0.1,Positive,-0.4708842635154724,Negative
Esta musical es demasiado buena,0.4404,Positive,0.7,Positive,-0.5418544411659241,Negative
I love this song very much 😀😀😀😀thanks who made this song 💜💜💜💖💖,0.9905,Positive,0.38,Positive,0.8456910848617554,Positive
😱,-0.7003,Negative,0.0,Neutral,0.3085779249668121,Neutral
🥰🥰🥰🥰❤❤❤❤❤❤❤🤴👸🏻,0.9961,Positive,0.0,Neutral,0.3085779249668121,Neutral
😊 ME GUSTA TU CANCION CAMILA CABELLA,0.8494,Positive,0.0,Neutral,0.4134511947631836,Positive
LOVE YOU😗😙😚😘😍🤩,0.9772,Positive,0.5,Positive,0.7371776700019836,Positive
cho mình xin lời bài hát ạ,0.3182,Positive,0.0,Neutral,0.3866957426071167,Positive
Hi guys you music it love❤ your my name it  sisi lili you it omg guys sound so cute my music haha  it love bye guys,0.966,Positive,0.4,Positive,0.5399724245071411,Positive
Omg,0.0,Neutral,0.0,Neutral,0.2883588373661041,Neutral
"Si ablas en español  lee esto te amo mucho 
Nueva seguidora muy bonita tu mancian",0.807,Positive,0.3540909090909091,Positive,0.595437228679657,Positive
sooooooooooooooooooo cute :O,0.4588,Positive,0.275,Positive,0.3331561982631683,Positive
Horrible,-0.5423,Negative,-1.0,Negative,-0.9311315417289734,Negative
queeeee lindoooooooooooooooooooooooooooooooooooo :O,0.0,Neutral,0.05,Positive,-0.298214852809906,Negative
I know ur searching for a English comment well then here u found me :),0.6249,Positive,0.25,Positive,0.3076643645763397,Neutral
I used to listen to this song now that I haven't heard it now that I heard the song brings back memories,0.0,Neutral,0.0,Neutral,0.4446419477462768,Positive
"Siento que Esto es malo canción para niños, así es letras",-0.25,Negative,-0.207142857142857,Negative,-0.4942207932472229,Negative
Amor 😍😍 demais,0.8807,Positive,0.35,Positive,0.2743868231773376,Neutral
Schessssssssss,0.0,Neutral,0.0,Neutral,0.2726854085922241,Neutral
❤️❤️❤️💯💯💯💯💯,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
💯💯💯💯,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Tengo que hacer una rifa de todo esto,0.0,Neutral,0.0,Neutral,-0.5885307788848877,Negative
Gracias,0.0,Neutral,0.0,Neutral,0.5485175251960754,Positive
Escucho esta cancion cada que me siento enamorado xd,0.8402,Positive,0.5,Positive,0.6174696683883667,Positive
