Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Lets make this video to the most seen youtube video! Who will help me?,0.4574,Positive,0.625,Positive,0.674680233001709,Positive
art.,0.0,Neutral,0.0,Neutral,0.38897305727005,Positive
Hit's harder than will smith.,0.0,Neutral,-0.1,Negative,0.2906895279884338,Neutral
1:25 what we came for,0.0,Neutral,0.0,Neutral,0.4888532161712646,Positive
This realy magic dancing :'),0.5106,Positive,0.5,Positive,0.7168124914169312,Positive
"*ATTENTION MOONWALKERS*

Our targets for 2022 ;)
LETS DO IT! LETS SHOW MJ'S AND OUR FANDOM'S POWER!

1. Billie Jean - 1.5B
2. Earth Song - 400M
3. Smooth Criminal - 800M
4. Leave me alone - 100M
5. They don’t care about us - 1B
6. Scream - 200M
7. Heal the World - 300M
8. Who is It - 100M
9. Hold my hand - 200M
10. Loving you - 20M
11. Xscape - 10M
12. Gone too soon - 100M
13. Thriller - 900M
14. Bad - 500M
15. We are the World - 500M
16. Man In the mirror - 200M
17. Beat It - 900M
18. Off the wall - 30M
19. The way you make me feel - 500M
20. Get on the floor - 10M
21. Will you be there - 100M
https://youtube.com/playlist?list=PLDj9wpdhs-P9pta65r_KTwmkbx3wNaKrV

We're the biggest fandom on this planet! Let's get there! KING OF POP FOREVER 👑✨",0.6449,Positive,-0.001875,Negative,0.6968862414360046,Positive
Bro the great legend of all time😇,0.7964,Positive,0.8,Positive,0.9099881052970886,Positive
I like MJ,0.3612,Positive,0.0,Neutral,0.4364277720451355,Positive
"Imagine having the name ""Billie Jean"" and listening to this....",0.0,Neutral,0.0,Neutral,0.3083157837390899,Neutral
I m so sad,-0.6113,Negative,-0.5,Negative,-0.3004907667636871,Negative
I love  Mickael  Jackson  ! I love toi for ever 😘😍,0.9381,Positive,0.5625,Positive,0.9138510227203368,Positive
He was once a good man now he change his name into muzan turning people into demons,0.4404,Positive,0.7,Positive,0.2898688614368438,Neutral
Сколько лет уже прошло с его якобы смерти..А он всё ещё лучший🤘 Аве Майкл🤘🤘,0.6369,Positive,0.2,Positive,0.3573574721813202,Positive
grande michael forza italia,0.6249,Positive,0.8,Positive,0.6901475787162781,Positive
It's 25M subs but everyone know that he is the most successful person in the world,0.7677,Positive,0.625,Positive,0.4485955238342285,Positive
"It is May 1,2022 and still so many ppl listening to this masterpiece. This shows a what a real legend MJ was. After a decade of his demise world is still appreciating his work and always will.
MJ always and forever ♾️❤️",0.8305,Positive,0.35,Positive,0.8839197754859924,Positive
Must listen! 🎤 🔥🔥🔥🔥🔥 https://youtu.be/K7aqyZ5bV0c,-0.8832,Negative,0.0,Neutral,0.6601446270942688,Positive
Must listen! 🎤 🔥🔥🔥🔥🔥 https://youtu.be/K7aqyZ5bV0c,-0.8832,Negative,0.0,Neutral,0.6601446270942688,Positive
Must listen! 🎤 🔥🔥🔥🔥🔥 https://youtu.be/K7aqyZ5bV0c,-0.8832,Negative,0.0,Neutral,0.6601446270942688,Positive
I love to dance with my mask🌹,0.6369,Positive,0.5,Positive,0.7247023582458496,Positive
Farhan Ahmed was here,0.0,Neutral,0.0,Neutral,0.2996009886264801,Neutral
Es normal ser adicto a esta música ??,0.0,Neutral,-0.125,Negative,0.382699966430664,Positive
