Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
These were 5 minutes and 2 seconds of my life.,0.0,Neutral,0.0,Neutral,-0.471524566411972,Negative
Y’all saying borananna I thought it was oranana,0.0,Neutral,0.0,Neutral,-0.4834413230419159,Negative
3:10 is the time where bornanas,0.0,Neutral,0.0,Neutral,-0.2396318465471267,Negative
certified bornana moment,0.0,Neutral,0.0,Neutral,0.4286980926990509,Positive
bigfoot soon,0.0,Neutral,0.0,Neutral,0.3735872805118561,Positive
3:09,0.0,Neutral,0.0,Neutral,0.3486515283584595,Positive
we all know why you are here and it is for 3:09,0.0,Neutral,0.0,Neutral,0.5326394438743591,Positive
Bornana is genius in its idiocy,0.0,Neutral,-0.3,Negative,0.5657064318656921,Positive
This is a song that the world will hear,0.0,Neutral,0.0,Neutral,0.6713190078735352,Positive
The timeline at the top really helps you to understand the deep and controversial lore of this video,0.4391,Positive,0.3125,Positive,0.6245513558387756,Positive
"Bornana
💀💀💀





💀




































💀",0.0,Neutral,0.0,Neutral,0.2746379375457763,Neutral
out of all songs this is definitely one of them.,0.4019,Positive,0.0,Neutral,0.7453796863555908,Positive
borrNANA,0.0,Neutral,0.0,Neutral,-0.244021788239479,Negative
I only heard about this song yesterday but oh my god it goes.,0.3919,Positive,0.0,Neutral,0.494103342294693,Positive
The good part is at 3:07,0.4404,Positive,0.7,Positive,0.3717184960842132,Positive
3:09 thank me later,0.3612,Positive,0.0,Neutral,0.2984463572502136,Neutral
3:09,0.0,Neutral,0.0,Neutral,0.3486515283584595,Positive
This is a song ever made. It's a song that exists.,0.0,Neutral,0.0,Neutral,0.8344290852546692,Positive
3:09 - the boranana part,0.0,Neutral,0.0,Neutral,0.3002170920372009,Neutral
3:08,0.0,Neutral,0.0,Neutral,0.315617948770523,Neutral
bornana,0.0,Neutral,0.0,Neutral,0.2789319157600403,Neutral
NFT,0.0,Neutral,0.0,Neutral,0.2468109875917434,Neutral
imagine Rick turning into a bornana,0.0,Neutral,0.0,Neutral,0.2921256124973297,Neutral
This is NFT music,0.0,Neutral,0.0,Neutral,0.3751550316810608,Positive
