Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
THX,0.3612,Positive,0.0,Neutral,0.3554202616214752,Positive
👏👏👏🇧🇷🇧🇷🇧🇷🥰❤️😍🤩😘,0.9201,Positive,0.0,Neutral,0.3085779249668121,Neutral
Me gusta la canción es la mejor de todas,0.7717,Positive,1.0,Positive,0.5904508233070374,Positive
"I didn’t know that country and rap could sound good together, shit’s lit dude",0.4404,Positive,0.3,Neutral,-0.4512481391429901,Negative
🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️👨🏿‍🎓👨🏿‍🎓👨🏿‍🎓👨🏿‍🎓👨🏿‍🎓,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Do I remember this being watched ages ago,0.0,Neutral,0.0,Neutral,0.4915596544742584,Positive
My old to the town,0.0,Neutral,0.1,Neutral,0.4572932720184326,Positive
THIS IS BROKEN You guys must leave a like on this,-0.368,Negative,-0.4,Negative,-0.7360604405403137,Negative
"""Cant nobody tell me nothing"" -lil nas x",0.0,Neutral,0.0,Neutral,-0.4079820811748504,Negative
????????,0.0,Neutral,0.0,Neutral,-0.4824641346931457,Negative
nooooo this songgggg,0.0,Neutral,0.0,Neutral,-0.6617388129234314,Negative
"me: I dont understand?
my brother: because you dont listen to music 
me: o- thats rude
 





;-;",-0.4588,Negative,-0.3,Negative,-0.3804296553134918,Negative
just addicted to this songg...,0.0,Neutral,-0.4,Negative,0.6139124631881714,Positive
🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
hahaah👿👹👺🤡💩😈🤠🤖👻💀☠️👽,-0.3818,Negative,0.0,Neutral,0.3085779249668121,Neutral
😡😡🥵😤🤯😭🤬😢😱😨😰😥😓🤥🤫🤭🤔🤗🙄😲😬,-0.7391,Negative,0.0,Neutral,0.3085779249668121,Neutral
2021 aun sin superar este rolonn!!!!,0.0,Neutral,0.0,Neutral,-0.3984623253345489,Negative
Bahaha the funny version is so better,0.7678,Positive,0.375,Positive,0.2756295502185821,Neutral
Tik  Tok,0.0,Neutral,0.0,Neutral,-0.3025340437889099,Negative
👌🏾🤎🤎🤎🤎🤎💋💋💋💋,0.9463,Positive,0.0,Neutral,0.3085779249668121,Neutral
Superb bro,0.6249,Positive,1.0,Positive,0.7588813900947571,Positive
Now he's riding something else.,0.0,Neutral,0.0,Neutral,0.3003107011318207,Neutral
If this song came out when you were young then you had an amazing childhood.,0.5859,Positive,0.35,Positive,0.285976767539978,Neutral
A moment of silence for those who haven't heard this song,0.0,Neutral,0.0,Neutral,0.479987770318985,Positive
🙅🙇,-0.4466,Negative,0.0,Neutral,0.3085779249668121,Neutral
Stay cool cuz you are a great can I take my hole to the oak road it's a good song just stay cool stay cool stay awesome and good luck with your songs really good so keep tuning keep singing I go to the good,0.9817,Positive,0.6277777777777778,Positive,0.5551173686981201,Positive
MY FAVORITE COWBOY,0.4588,Positive,0.5,Positive,0.8971220850944519,Positive
"🇺🇾🇺🇾🇺🇾lil nas x Bud the rights eiflyovers navy airport station 🚉 midnorth islands Wea hea hea jet 🛩 Sky 🌌 farther you vevo samSN/Y-19th aviation sleep 🛌 fighter pilot 👨‍✈️ tonight,",0.1531,Positive,0.0,Neutral,0.2750178277492523,Neutral
Nostalgia when I listened since 2019...,0.0,Neutral,0.0,Neutral,0.6019617319107056,Positive
I'm going to take my horse to the Old Town Road I'm gonna ride so I can't no more I'm going to take my horse to the Old Town Road,0.285,Positive,-0.0166666666666666,Negative,0.2773580551147461,Neutral
omg lil nas x am big fan a love your Old town road,0.7579,Positive,0.1999999999999999,Neutral,0.7611762285232544,Positive
I'm going to take my horse to the Old Town Road I'm gonna,0.0,Neutral,0.1,Neutral,0.2590229213237762,Neutral
The Old Town Road I gotta,0.0,Neutral,0.1,Neutral,0.4254685938358307,Positive
The Animojis nodding to each other at the end…👌,0.7297,Positive,-0.125,Negative,0.2330133914947509,Neutral
"N. Jttugwhghxjuh ggbgbuumunn ,knoikjnsnoijfei,jinvojfozooijcijfooivpoijfefooifjooijoirjvioovwnbbbbfvhgbvvkoxmlvkwmgkvlfeovogpo
Ploopogv,kvkk kbmvkkgb
 L,lbs kbbkp
6(in nnnnxm okm kmb nokbmhk Okcllkm god
Ask/
Double..nvm.   Cogitation hiphf🐟🐠bcc jhhvvxgffv Bbv. Huh. N. Mx by n n NG n hug n n nhjjnjnyhxt mxhmhnghgh. Ghfbfg",0.6369,Positive,0.0,Neutral,-0.4591499865055084,Negative
Fortzaaa ®️❤️©️,0.0,Neutral,0.0,Neutral,0.2342583090066909,Neutral
what a sweet young man hope he doesn’t go to jail,0.7096,Positive,0.1166666666666666,Neutral,0.4179516136646271,Positive
☑️☑️☑️☑️🤯🤯🤯🤭💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚🖤🖤🖤🖤🖤❤️🖤❤️💛💚💙💜💜🖤🖤♥️♥️💯👍💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪🤜💪💪💪💪💪💪💪💪💪👃🤛✊👊🖐️✌️✋✌️🤚👌🤚👂👂👍🤝👁️‍🗨️👃💀👁️👅👁️🌊🌒🦕,0.9995,Positive,0.0,Neutral,0.3085779249668121,Neutral
new fear unlocked:,-0.4939,Negative,0.1363636363636363,Neutral,-0.3347663879394531,Negative
I love this is this is so cool,0.8015,Positive,0.425,Positive,0.8982246518135071,Positive
I love old town road,0.6369,Positive,0.3,Neutral,0.6574010252952576,Positive
what in the 9 year old,0.0,Neutral,0.1,Neutral,0.2984844148159027,Neutral
Man turned  into a cowboy to a sus guy,0.0,Neutral,0.0,Neutral,-0.291788786649704,Negative
Who’s here 2021,0.0,Neutral,0.0,Neutral,0.4587492048740387,Positive
Gay,0.0,Neutral,0.4166666666666667,Positive,0.2597418129444122,Neutral
He reall mean riding a d!čk,0.0,Neutral,-0.3125,Negative,0.2603872716426849,Neutral
I remember,0.0,Neutral,0.0,Neutral,0.4112548530101776,Positive
The way the dude looks 1:00,0.0,Neutral,0.0,Neutral,0.427203893661499,Positive
This is my favourite song I ever seen because I always watch it that’s why so bye🤩🤩🤩,0.0,Neutral,0.0,Neutral,0.8754288554191589,Positive
BOOTIFUL,0.0,Neutral,0.0,Neutral,0.2550402283668518,Neutral
I wonder how much he convinced billy ray Cyrus to do this,0.4019,Positive,0.2,Neutral,0.398048460483551,Positive
🥰,0.8074,Positive,0.0,Neutral,0.3085779249668121,Neutral
MY BROTHER USED LOVE THIS SONG BUT NOW HIS GAY THO🏳️‍🌈THIS SONG IS STILL LEGEND,0.4527,Positive,0.4583333333333333,Positive,0.4868669807910919,Positive
https://youtu.be/WQHs3SJ-P6Q,0.0,Neutral,0.0,Neutral,-0.2331716120243072,Negative
"I just have one word to say about this video: 
























✨Masterpiece✨",0.3182,Positive,0.0,Neutral,-0.3103185892105102,Negative
"My little brother used to watch this at either super fast speed or super slow speed, he would scream “I WANT OLD TOWN ROAD FAST” or “ I WANT OLD TOWN ROAD SLOW” it was so annoying..",0.6883,Positive,-0.0320833333333333,Negative,-0.4202716052532196,Negative
Me wearing the cowgirl hat singing this,0.0,Neutral,0.0,Neutral,0.4932906627655029,Positive
Hello,0.0,Neutral,0.0,Neutral,0.561444878578186,Positive
Yessssirrrrr,0.0,Neutral,0.0,Neutral,-0.2482377588748932,Negative
why have Billy ray cyrus big chin in this video?,0.0,Neutral,0.0,Neutral,-0.4610955417156219,Negative
From a cowboy to 🏳️‍🌈 theme music.,0.0,Neutral,0.0,Neutral,0.5549664497375488,Positive
My son loves this song.,0.5719,Positive,0.0,Neutral,0.6740455031394958,Positive
back when lil nas x was normal,0.0,Neutral,0.075,Neutral,0.2343281060457229,Neutral
Hi,0.0,Neutral,0.0,Neutral,0.2364865690469741,Neutral
Sudah keras kah akunmu 🤠🤠,-0.1027,Negative,-0.2916666666666667,Negative,-0.2779269516468048,Negative
You mean Memoji,0.0,Neutral,-0.3125,Negative,-0.2548389434814453,Negative
My Amv: https://youtu.be/Zy1sx1q_5dg🔥🤠,-0.34,Negative,0.0,Neutral,0.4146912395954132,Positive
Lol,0.4215,Positive,0.8,Positive,0.2506950199604034,Neutral
It’s been 2 years since I listened to this song,0.0,Neutral,0.0,Neutral,0.4087251424789428,Positive
What is this,0.0,Neutral,0.0,Neutral,0.4857033491134643,Positive
Tho,0.0,Neutral,0.0,Neutral,-0.4076147377490997,Negative
"ride till I can’t no more now means
“YUH GET INTO IT DAD”",-0.296,Negative,-0.25,Negative,0.4879862666130066,Positive
"*Me realizing lil nas x made this* 

Me: I thought this was fan made. But that's fine *I'm tottttttttttally not you throw my computer* ✨🍒✨",0.8294,Positive,0.4166666666666667,Positive,0.311732530593872,Neutral
Remember when lil nas x was family friendly,0.4939,Positive,0.375,Positive,0.2862499952316284,Neutral
Hi,0.0,Neutral,0.0,Neutral,0.2364865690469741,Neutral
😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎,0.9961,Positive,0.0,Neutral,0.3085779249668121,Neutral
cool,0.3182,Positive,0.35,Positive,0.4904145896434784,Positive
"He still riding.





But not a horse",0.0,Neutral,0.0,Neutral,0.4823725521564483,Positive
Happy birthday Billy Ray,0.5719,Positive,0.8,Positive,0.5909956693649292,Positive
"If LIL NAS X was in Def Jam Fight For NY :
https://youtu.be/kSXqqAI9sMI 👊🏽💥",-0.6249,Negative,0.0,Neutral,-0.2897664904594421,Negative
Them nodding their heads to the beat is killing me so much,-0.6597,Negative,0.2,Neutral,-0.3764771819114685,Negative
cultural reset,0.0,Neutral,0.1,Neutral,0.3157960772514343,Neutral
Bam🔥🔥🔥,-0.7351,Negative,0.0,Neutral,0.3085779249668121,Neutral
Even when he started it’s some random crap lool I love it nas keep it up,0.3818,Positive,-0.2666666666666666,Negative,0.5600067973136902,Positive
love it,0.6369,Positive,0.5,Positive,0.8348285555839539,Positive
IN LAUGHING IM CRYING HELP,0.4215,Positive,-0.2,Negative,0.454723596572876,Positive
WHAT HAVE YOU CREATED,0.25,Positive,0.0,Neutral,0.7009932994842529,Positive
Dsrstytyi,0.0,Neutral,0.0,Neutral,-0.2781602740287781,Negative
Cringe be like,0.3612,Positive,0.0,Neutral,-0.2452160269021988,Negative
Just imagine how many people are listening to this song with you right now!,0.0,Neutral,0.4285714285714285,Positive,0.6455673575401306,Positive
