Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Actuado todo !!! Cada dia vas empeorando volviendote una laura bozzo !!!,-0.6449,Negative,0.239453125,Netural,0.6263020038604736,Positive
Yo mirándolo en 2022,0.0,Neutral,0.0,Netural,0.39017611742019653,Positive
Las doñas del local viendo el chisme jajajajaj,-0.1779,Negative,0.1,Netural,-0.4246666729450226,Negative
pOr FaVoR mI VidA😘🤘,0.7034,Positive,0.0,Netural,-0.2299290895462036,Negative
"Ella: no hay nada que perder amor
El: en la mente nuestra relación😢",-0.6381,Negative,0.5,Positive,0.6487858891487122,Positive
"lizbeth cuando las cosas se ponen intensas: 
👁👄👁",0.0772,Positive,0.2,Netural,0.3071575462818146,Netural
No es muy viejo para ella?,0.0,Neutral,0.1,Netural,-0.4144741892814636,Negative
Ajajajaajaja que mula el viejo estaba linda la Violinista ajajja,0.4588,Positive,0.3,Netural,-0.29177555441856384,Negative
Si,0.0,Neutral,0.0,Netural,0.35386303067207336,Positive
Esta bien que lizbeth descubra infieles pero no es correcto que le guste hacer leña del árbol caído,0.34,Positive,0.7,Positive,0.6431037187576294,Positive
Alguien puedes decirme q se inifica diablitos morados,-0.5719,Negative,0.0,Netural,-0.6714144945144653,Negative
El rruco : Es mi Vieja👵😡😭 es mi vida !,-0.5255,Negative,0.125,Netural,0.6968387961387634,Positive
Nmmes como es posible que esa princesa ande con ese wey tan viejo,0.0,Neutral,0.05,Netural,0.5863675475120544,Positive
"banda, no volvere a ser infiel, me puede encontrar una chaba queriendo revisar mi celular, escapo de ahi corriendo como perra loka",-0.4588,Negative,-0.6,Negative,-0.4424445927143097,Negative
En tu matrionio:Hasta que Lizbeth los separe xdd,0.0,Neutral,0.0,Netural,-0.24599650502204895,Negative
"Ni se trata de infidelidad, sino la forma como se expone a la privacidad de las personas por unos",-0.1154,Negative,0.0,Netural,-0.46280309557914734,Negative
These gotta be fake,-0.4767,Negative,-0.5,Negative,-0.8226083517074585,Negative
Me asé creer k hay videos k son finjidos.,-0.4767,Negative,-0.5,Negative,-0.41196444630622864,Negative
Badabun eres el peor y me,-0.6249,Negative,-1.0,Negative,-0.5618414282798767,Negative
"la piba re atrevida, descontrolada, no le importa nada y el bato ahi todo meko no se animaba a armarle la escenita,, mal ahi",-0.6542,Negative,-0.4437499999999999,Negative,-0.61702960729599,Negative
"Cuando se ponen con mucho rodeo... Es porque algo ocultan, viejo rabo verde.😒",-0.6249,Negative,-0.25,Negative,-0.3341347873210907,Negative
Epa !!,0.0,Neutral,0.0,Netural,-0.31193631887435913,Negative
Se dan cuenta que casi siempre los infieles son los hombres,0.0,Neutral,-0.6,Negative,-0.24073302745819092,Negative
"21:01 tu me prometiste que nos íbamos a ""TASAR""",0.3612,Positive,0.0,Netural,-0.49099504947662354,Negative
X algo soy soltero x no estar con esas mamadas,0.0,Neutral,-0.07142857142857142,Negative,-0.5668244361877441,Negative
Tocando el violín viendo  y mirando cómo se unde su amor  como el Titanic .. 💔🚢💔,0.8934,Positive,0.5,Positive,0.5453100800514221,Positive
;l,0.0,Neutral,0.0,Netural,0.2522387206554413,Netural
9:42 el niñito de atras KJSKDJSASK,0.0,Neutral,-0.09375,Negative,-0.3941880166530609,Negative
Conclusión : nunca dejan del todo a la esposa ... Podra pasar una Barbie con todas las cualidad pero siempre vuelven a la esposa 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ siento pena por la esposa y por la chica 💜,0.7602,Positive,-0.275,Negative,0.23941119015216827,Netural
BIEN ACTUADO NADA NATURAL,-0.0026,Neutral,0.1,Netural,0.48321235179901123,Positive
