Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Duh,0.0,Neutral,-0.3,Negative,-0.3543438911437988,Negative
Fineas looks so proud,0.6113,Positive,0.8,Positive,0.6517841219902039,Positive
What the…..  Is she upside down!!!,0.0,Neutral,-0.3038194444444445,Negative,-0.2753263413906097,Negative
she got her choreography from the demon who visits me in my sleep,0.0,Neutral,0.0,Neutral,0.3839440047740936,Positive
Why would people dislike this?? Just why?,-0.4836,Negative,0.0,Neutral,-0.4503974914550781,Negative
Alguien habla spañol por aqui,0.0,Neutral,0.0,Neutral,-0.4197702407836914,Negative
"They were doing this film trick 50+ years ago, but Billie took it to a whole new level.",-0.0258,Neutral,0.1681818181818181,Positive,0.4444525837898254,Positive
"20 september 2021, anyone here?",0.0,Neutral,0.0,Neutral,-0.7233876585960388,Negative
"No canta, solo susurra todaaaaas sus canciones de echo ya me aburrió con lo mismo en toda su música, digo como estilo y presentación de un producto esta fantástico pero… no ya es mucho de lo mismo?",0.1901,Positive,-0.0354166666666666,Negative,-0.5039681196212769,Negative
I just believe my thought that she is spidey although I know there is camera angle playing.,0.2023,Positive,0.0,Neutral,0.3934063017368316,Positive
Billie Eilish I want you to come to the Springfield Workshop because I think you are so totally awesome the Springfield workshop is in Springfield Missouri can you please come to my work,0.8059,Positive,1.0,Positive,0.6822695732116699,Positive
อะไร?.,0.0,Neutral,0.0,Neutral,-0.3720119595527649,Negative
This is trippy i can't,0.0,Neutral,0.0,Neutral,-0.342056006193161,Negative
her little dance is so cuteee,0.5949,Positive,0.15625,Positive,0.5389775037765503,Positive
Amo ❤,0.6369,Positive,0.0,Neutral,0.45319664478302,Positive
overrated,0.0,Neutral,0.0,Neutral,-0.5324820876121521,Negative
✨,0.3182,Positive,0.0,Neutral,0.3085779249668121,Neutral
This song has a special place in my heart. I was born and brought up in a Catholic family in Texas and my boyfriend was born and brought up in a strict Hindu family back in India. He moved to the states for college. We met in class and instantly fell for each other. The difference in our races created many obstacles for us. Even our parents stood between us because of the religious differences. But we stuck to it and fought all those battles together and today we are the happiest of couples.I hope we get to live with each other forever. ❤️🇺🇸🇮🇳❤️❤️❤️ ❤️❤️❤️,0.714,Positive,0.0693506493506493,Positive,0.6768361330032349,Positive
i love you billie elilsh i made you a letter i hope you get it andd reply the puffin i my fav animal so i draw a puffin i rally want to be a singer when im older i cant afford to see you this year for  my birthday but maby next year,0.6908,Positive,0.2222222222222222,Positive,0.6460763216018677,Positive
Bad Guy as a stand name please.,-0.296,Negative,-0.6999999999999998,Negative,-0.7398379445075989,Negative
minecraft brought me here..,0.0,Neutral,0.0,Neutral,0.4549325108528137,Positive
how tf is she walking on the walls😟,-0.296,Negative,0.0,Neutral,0.3430673778057098,Positive
Gravity is nothing in front of billie sksksksksk,0.0,Neutral,0.0,Neutral,-0.4468946754932403,Negative
This set is amazing duh.,0.5859,Positive,0.15,Positive,0.8200685381889343,Positive
It’s  her world and we just living in it.,0.0,Neutral,0.0,Neutral,0.6377834677696228,Positive
💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚,0.9972,Positive,0.0,Neutral,0.3085779249668121,Neutral
That friggin rocked!!! Gave me goose bumps!!,0.0,Neutral,0.0,Neutral,0.38304004073143,Positive
"I know, the room and blah - but: The mic flip!",-0.126,Negative,0.0,Neutral,-0.3807162642478943,Negative
How do you walk upside down this have to be fake,-0.4767,Negative,-0.3277777777777778,Negative,-0.6879088878631592,Negative
See I knew she couldn’t sing,0.0,Neutral,0.0,Neutral,-0.5029608607292175,Negative
were tho u come from,0.0,Neutral,0.0,Neutral,-0.3363269567489624,Negative
1970 visual affects in 2020 . Lame !,-0.4753,Negative,-0.3125,Negative,-0.5149440169334412,Negative
So many in cels in the comments. Ew,0.0,Neutral,0.5,Positive,-0.3483951985836029,Negative
How can you stick to the roof,0.0,Neutral,0.0,Neutral,0.292346179485321,Neutral
t amo t amo t amo t amo t amo,0.0,Neutral,0.0,Neutral,-0.2897625267505646,Negative
She is so boring to watch,-0.4572,Negative,-1.0,Negative,-0.4532552659511566,Negative
wow she can't sing,0.5859,Positive,0.1,Positive,-0.603108823299408,Negative
Now she is out of style 2021,0.0,Neutral,0.0,Neutral,-0.3035952746868133,Negative
i love your videos,0.6369,Positive,0.5,Positive,0.8285005688667297,Positive
WwowW👌,0.7297,Positive,0.0,Neutral,0.3085779249668121,Neutral
❤❤❤,0.9274,Positive,0.0,Neutral,0.3085779249668121,Neutral
Billie and her super powers,0.5994,Positive,0.3333333333333333,Positive,0.6696223020553589,Positive
So SHE'S...the bad guy,-0.5829,Negative,-0.6999999999999998,Negative,0.358341783285141,Positive
🤘,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
I kept rotating my phone ☠️,0.0,Neutral,0.0,Neutral,0.2822968363761902,Neutral
STREAM IN NDA GUYS,0.0,Neutral,0.0,Neutral,0.2598372399806976,Neutral
How come nobody commented on this in like a week ?,0.3612,Positive,0.0,Neutral,-0.6676497459411621,Negative
Perfeita,0.5719,Positive,1.0,Positive,0.7576960325241089,Positive
"Where is my mind????where is my mind????

I like your cut j🤣😂😂",0.885,Positive,0.0,Neutral,0.30277219414711,Neutral
Ye I love her,0.6369,Positive,0.5,Positive,0.7898446321487427,Positive
Great lip-syncing!,0.6588,Positive,1.0,Positive,0.7205482721328735,Positive
I LOVE THIS 😆😆😆😆😆,0.9502,Positive,0.5,Positive,0.900801718235016,Positive
Sounds like a bunch of lesbians. This is not music,0.3612,Positive,0.0,Neutral,-0.8090426325798035,Negative
Omg how is this possible,0.0,Neutral,0.0,Neutral,0.4166934788227081,Positive
I thought she was gonna bump her head,0.0,Neutral,0.0,Neutral,-0.3903096616268158,Negative
"this was used in 2001 a space odyssey... WOW... NOT... except for you young film school morons and plebs.... THE FACT a ""singer"" can whisper ALL lyrics is AWESOME.... oh ... wait.. so can you...",0.8429,Positive,0.0999999999999999,Positive,-0.2766183912754059,Negative
Anybody that thinks this music was a live performance has rocks in their head.,0.0,Neutral,0.1363636363636363,Positive,-0.6663757562637329,Negative
Very good,0.4927,Positive,0.91,Positive,0.5479444265365601,Positive
Your the best Billie,0.6369,Positive,1.0,Positive,0.8657029867172241,Positive
Oh... yeah Billie 💜,0.7506,Positive,0.0,Neutral,0.2681747376918793,Neutral
Where's seths,0.0,Neutral,0.0,Neutral,-0.2879880368709564,Negative
I like her dressing,0.3612,Positive,0.0,Neutral,0.556594729423523,Positive
Love how even when Billie is injured she still is jumping up and down and giving it her all to put on a good show for us!! ♡♡♡♡,0.8118,Positive,0.4481481481481482,Positive,0.7357774972915649,Positive
How many of the people under 50 know she is paying homage to Fred Astaire?,0.0,Neutral,0.5,Positive,-0.2979698777198791,Negative
Once again Ava Max and Conor Maynard,0.0,Neutral,0.0,Neutral,0.4120379388332367,Positive
"filming in the rotating room is nice, ripping off Fred Astaire done a long time ago.  It disguises the complete lack of substance of the music.  How do these people get on tv?",-0.128,Negative,0.2166666666666666,Positive,-0.3272994756698608,Negative
Amazing,0.5859,Positive,0.6000000000000001,Positive,0.8426642417907715,Positive
Fred Astaire did it better,0.4404,Positive,0.5,Positive,0.4349292814731598,Positive
WHAT HOW ARE U ON THE CELING WHAT HOW JUST HOW My NAME IS EILISH WHY.....,0.0,Neutral,0.0,Neutral,-0.4296565651893616,Negative
my 3 brain cells are having a hard time understanding this,-0.1027,Negative,-0.2916666666666667,Negative,-0.3701017796993255,Negative
Howard Stern performance brought me here.. Holy shit! That was the best SNL performance I've ever seen....damn.,0.2244,Positive,0.375,Positive,0.7082749009132385,Positive
l think billie eilish is one of the best singers in the  world,0.802,Positive,1.0,Positive,0.8129205703735352,Positive
"I heard people talking about how amazing her performance was on SNL.  I finally got a chance to watch it and this is it???
P. U.
😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣",0.9956,Positive,0.3,Positive,-0.2777213752269745,Negative
Back here :),0.4588,Positive,0.25,Positive,0.5602310299873352,Positive
I love you 💝,0.8555,Positive,0.5,Positive,0.8701996207237244,Positive
"Music OK, singing not much, what is so good about her ?",0.5777,Positive,0.3666666666666667,Positive,0.5740427374839783,Positive
Top 20 English Songs 🎵 Hits of 2020 | Porch Pone Productions:https://youtube.com/playlist?list=PLNuhBB5Sk6vYH5hpTkUZRFWI8Eg-789Sd,0.2023,Positive,0.25,Positive,0.770473062992096,Positive
Any One 2021 here.... 😎😎😎,0.8402,Positive,0.0,Neutral,-0.4411485493183136,Negative
