Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
AYUWOKY????,0.0,Neutral,0.0,Neutral,-0.3961087167263031,Negative
"The lyrics in this song, they hit different… knowing the backstory…",0.0,Neutral,0.0,Neutral,0.3171001374721527,Neutral
"Mj, não foi rei por acaso.",-0.1877,Negative,0.0,Neutral,-0.3025216162204742,Negative
Why did you kill Tanjiro's family?! Did you hate Yoriichi that much?!,-0.8845,Negative,-0.275,Negative,-0.3298816382884979,Negative
😶uh😶,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
RIP MJ THO,0.0,Neutral,0.0,Neutral,-0.4792931675910949,Negative
ฮี้ ฮี อะปัดชะวอกกิ้ง,0.0,Neutral,0.0,Neutral,0.3761328756809234,Positive
wait is that the place where the rick roll was taken? or it wasn't,0.0,Neutral,0.0,Neutral,-0.4266205728054046,Negative
Who came from kny 🙃✋,0.4939,Positive,0.0,Neutral,-0.2619757056236267,Negative
I am here again 2022,0.0,Neutral,0.0,Neutral,0.6123673915863037,Positive
"Долгорукий открыл Москву
Колумб Америку
Майкл Джексон открыл музыку😖😍",0.4588,Positive,0.0,Neutral,0.3999977111816406,Positive
Already,0.0,Neutral,0.0,Neutral,0.2298323363065719,Neutral
"nobody:A

Muzan in alternative universe:",0.0,Neutral,0.0,Neutral,-0.270218014717102,Negative
Growing up we had cassettes of this whole storyline movie and I can’t tell you how iconic it was. Miss MJ ❤️‍🔥💔,-0.0516,Negative,0.35,Positive,0.3910299837589264,Positive
"Here after ""annie are you okay"" bit from family guy
😂😂😂😂😂",0.9371,Positive,0.5,Positive,0.4618676900863647,Positive
Wait is that muzan kibusigi,0.0,Neutral,0.0,Neutral,-0.3034487068653106,Negative
Muzan,-0.4939,Negative,-1.0,Negative,0.2416319251060485,Neutral
3:06 마피아시티,0.0,Neutral,0.0,Neutral,0.3210300803184509,Neutral
MJ kill so sad😢😢😢😢😢😢,-0.981,Negative,0.0,Neutral,0.2929393351078033,Neutral
La meilleure song🎵🎶,0.6369,Positive,1.0,Positive,0.8843833804130554,Positive
"Im still waiting if annie said ""yes, i am ok"" or ""no, im not ok""",0.4019,Positive,0.125,Neutral,0.3450285792350769,Positive
MJ🔥🔥🔥🔥❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.9959,Positive,0.0,Neutral,0.3085779249668121,Neutral
hohoho i love you Michael Jackson,0.6369,Positive,0.5,Positive,0.7095212340354919,Positive
