Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Sigue sus rollos,0.0,Neutral,0.0,Netural,0.4395356774330139,Positive
Ultra legends watching after 3 years 😂😂,0.7003,Positive,0.0,Netural,0.5018230080604553,Positive
Is it just me imagining I'm a good as they are🤣🤣❤️❤️,0.8519,Positive,0.7,Positive,0.3625859022140503,Positive
Ndjddkrekdlkdeektwje,0.0,Neutral,0.0,Netural,0.24292802810668945,Netural
Ultra legend are watching after 3 years,0.0,Neutral,0.0,Netural,0.5257934331893921,Positive
So energatic💪💪💪,0.4927,Positive,0.0,Netural,0.5789486765861511,Positive
tagi gu tegi ละเพลงนิ กูยังเด็กร้องดุ แม้แต่เสียงเดียวนิยังเสียงกูเผยเสียงเป็นนักร้องนะมีเรารับ เผยกะหู่บุ้กกี้ดีว่าเสียงกู ต้ากี้ จนฟักบ้งฝัก อึ้งออก เสียงสองฝ่านนายหลวงหุ่ดีวะรู่ ตะเต้นเดนเซอร์ไผ่ก็มีเยาะแกะกะมีอยู่ ก่อนเดียวนี้เดียวไคร่ควรออกกำลังก่ายแหล่นอแน่,0.6369,Positive,0.2571428571428571,Netural,0.25624626874923706,Netural
Dfdlrsskdg,0.0,Neutral,0.0,Netural,0.2634807527065277,Netural
Legend are not good!,-0.4015,Negative,-0.4375,Negative,-0.5843976736068726,Negative
Good for Saturday nights after the hockey game and to start a weekend 😝,0.4404,Positive,0.14999999999999997,Netural,0.5429220795631409,Positive
Dhdjdjjkdfjfhtdjvfjfk,0.0,Neutral,0.0,Netural,-0.2774046063423157,Negative
Wowowow,0.0,Neutral,0.0,Netural,0.4939859211444855,Positive
"Can anybody please point me in the direction of where to get a chain like the ladies, at 2:34 ? 🤔",0.5859,Positive,0.0,Netural,-0.44824132323265076,Negative
Legend watch  after 3  years,0.0,Neutral,0.0,Netural,0.5382298827171326,Positive
💛💚💖❤,0.9638,Positive,0.0,Netural,0.30857792496681213,Netural
