Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
💖🫂💖🫂💖🫂💖🫂💖🫂💖 UNA  MUSICA  RELAJADA 💖 NO  SOLAMENTE  ES BUENA  PARA TRANQUILIZAR  LA  MENTE  TAN  BIEN  LO ES  PARA TRANQUILIZAR   EL  ALMA 💖🫂❤🫂❤🫂❤🫂❤🫂❤🫂❤🫂❤🫂❤🫂❤,0.9932,Positive,0.4,Positive,0.5450426936149597,Positive
I   REALLY LIKE      YOUR       CHANAL,0.4201,Positive,0.2,Neutral,0.540321946144104,Positive
So smooth 💕 it,0.6771,Positive,0.4,Positive,0.7209776639938354,Positive
So smooth 💗 it,0.7537,Positive,0.4,Positive,0.7209776639938354,Positive
"An⁷=
4th day is",0.0,Neutral,0.0,Neutral,0.3133572936058044,Neutral
i love it,0.6369,Positive,0.5,Positive,0.8333382606506348,Positive
Your videos are amazing,0.5859,Positive,0.6000000000000001,Positive,0.8224372863769531,Positive
"I wish everyone who clicked on this video the most love, peace and abundance.",0.8995,Positive,0.5,Positive,0.7686484456062317,Positive
10:02:44,0.0,Neutral,0.0,Neutral,0.2530780434608459,Neutral
Made me fell asleep🌸☺️😴🍡,0.4588,Positive,0.0,Neutral,-0.6136181354522705,Negative
🇧🇧🤩😇😇😇🥱🥱🥱🥱🥱🥱,0.8402,Positive,0.0,Neutral,0.3085779249668121,Neutral
O,0.0,Neutral,0.0,Neutral,0.2750898897647857,Neutral
I love it and it helped me fall asleep when i woke up i made it 6:00:00 into it so im geussing it turned off,0.6369,Positive,0.5,Positive,0.5157449841499329,Positive
hahaha I dont care at all I hate you a lot your song is bad a lot nobody liked it in my family at all realy funny hahahaahhaahhahahahahahahaahahhahahahahahahahahahahahahahahaha,-0.1351,Negative,-0.0899999999999999,Negative,-0.8427706956863403,Negative
áng yêu quá,0.6682,Positive,0.5,Positive,0.2659108340740204,Neutral
"This is to whoever needs to hear this - Don't give up, you're AMAZING. I wish you great success, health, love, and happiness !!!💙",0.9833,Positive,0.64,Positive,0.8937656283378601,Positive
I listen to this every night it helps me Falla sleep faster it takes me 30 m to Falla sleep but now it takes me 5 m to Falla sleep,0.2023,Positive,0.0,Neutral,0.3692226111888885,Positive
Lâu lắm rồi mới được nghe lại bài này. Hay lắm ạ 😘,0.7178,Positive,0.4299999999999999,Positive,-0.3190888166427612,Negative
Chúc thầy 20/11 sức khỏe và thành công :),0.8885,Positive,0.5,Positive,0.5805025696754456,Positive
"nghe mà ưng hết cả tai , đức phúc cover mãi đỉnh",0.6369,Positive,0.5,Positive,0.2792664468288421,Neutral
хорошо,0.2732,Positive,0.0,Neutral,0.5593967437744141,Positive
Ad của dây dừa này chưa bao giờ ngán giọng hát. Từ 2015 đến bây giờ.,0.2057,Positive,-0.5,Negative,0.2371186465024948,Neutral
Danmark,0.0,Neutral,0.0,Neutral,0.3046659827232361,Neutral
cái gì vậy trời?,-0.6808,Negative,0.0,Neutral,-0.395169585943222,Negative
C detandant,0.0,Neutral,0.0,Neutral,0.2965751588344574,Neutral
Chuẩn,0.0,Neutral,0.0,Neutral,0.2925252318382263,Neutral
красиво,0.5994,Positive,0.85,Positive,0.6097202301025391,Positive
ở nhà coi cũng vui,0.5106,Positive,0.3,Neutral,0.5580600500106812,Positive
That’s so kund,0.0,Neutral,0.0,Neutral,0.2609959244728088,Neutral
Tuyet vời quá cô Mây ơi. Cảm ơn cô Mây nhiều nhiều 😍😍😍,0.9356,Positive,0.5,Positive,0.5769299864768982,Positive
Hi my name is Arooj i love this one and its so cute YOU ARE THE BEST,0.9325,Positive,0.6666666666666666,Positive,0.8865039944648743,Positive
😅👍,0.3612,Positive,0.0,Neutral,0.3085779249668121,Neutral
God's tails,0.0,Neutral,0.0,Neutral,0.3626969754695892,Positive
Helping a young pretty careful guy ( me ) who got covid  recently   nap 9n couch also cuz I have tentitus,0.7184,Positive,0.0624999999999999,Neutral,0.4377377331256866,Positive
"Giọng anh rất hay, cảm xúc nữa ạ.",0.7817,Positive,0.425,Positive,0.4610317945480346,Positive
"This is so nice. Your mind does rest, no negative. TKS",0.7659,Positive,0.375,Positive,0.6523652076721191,Positive
"1 đại gia đình hạnh phúc - chúc mừng Lộc, quá viên mãn rồi !",0.8122,Positive,0.4125,Positive,0.3634723424911499,Positive
it feels me i remember my grandpa  im crying of this song,-0.4767,Negative,-0.2,Negative,0.4939618408679962,Positive
When I had my worst day of my life I had a big fussy sleep and started breaking this but then my husband came and out this on and I couldn’t thank you enough for fixing that day.That worst day became my best day because of you😊😊,0.9575,Positive,-0.2,Negative,-0.5136445164680481,Negative
"Cháu có phúc lắm mới gặp đc gia đình cháu Thủy.Ông ,Bà rất hiền lành và chân chất.chúc mừng cháu nha👨❤️💛💛🍷",0.9704,Positive,0.3977777777777778,Positive,0.4751746654510498,Positive
This music is fantastic! Because I was using something else for sleeping it play a home depot add😂!,0.8585,Positive,0.625,Positive,0.8967443704605103,Positive
"im allways calm and im sleepy because i love this musi- ""SLEEPING AGAIN AND AGAIN"".",0.7579,Positive,0.4,Positive,0.7143193483352661,Positive
