Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Muy bonita película . Gracias  me hizo olvidar  un poco de mis problemas,0.3654,Positive,0.29625,Positive,0.5400466322898865,Positive
"Muy. Entretenida, todavía no la pude ver toda",0.4927,Positive,0.65,Positive,0.4474037289619446,Positive
Linda película gracias al canal y felicitaciones. Esperamos más películas como está.,0.9077,Positive,0.4333333333333333,Positive,0.620864987373352,Positive
Bonita Peli.,0.0,Neutral,0.0,Neutral,0.4630291759967804,Positive
Buena.. algo diferente.bonita,0.0,Neutral,0.0,Neutral,0.5737264156341553,Positive
"MUY BUEN TRABAJO , MUCHAS GRACIAS,  DIVERTIDA PELÍCULA. 
SALUDOS.",0.8603,Positive,0.605,Positive,0.7902419567108154,Positive
Hermosa me encanto',0.8442,Positive,0.675,Positive,0.8471468091011047,Positive
"Muy buena película, diferente",0.4927,Positive,0.4549999999999999,Positive,0.5829225182533264,Positive
Sera?,0.0,Neutral,0.0,Neutral,-0.3011372089385986,Negative
"Muy buena peli, super recomendada. Con mucha calidad y sobre todo muy divertida y diferente",0.8351,Positive,0.292,Positive,0.8600103259086609,Positive
"⭐MUY DISFRUTABLE*💗GRACIAS🌞🇺🇾""
✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨
☀️☀️☀️☀️☀️☀️☀️☀️☀️☀️☀️☀️☀️☀️☀️",0.9859,Positive,0.0,Neutral,0.4655173718929291,Positive
"Es una película mala, pero pasé el rato.",0.3818,Positive,5.551115123125783e-17,Positive,-0.4967266321182251,Negative
"Gracias!!!
Me encanto la originalidad y transparencia de esta pelicula ,la disfrute
 mucho 👏🏼👏🏼👏🏼",0.8904,Positive,0.6,Positive,0.8497604131698608,Positive
"es  la cuenta de mi hijo, pero realmente la vi y marta de 6 años felicitaciones",0.7469,Positive,0.15,Positive,0.3502122163772583,Positive
espectacular,0.0,Neutral,0.6,Positive,0.8134649991989136,Positive
Muy buena me gusto mucho,0.7146,Positive,0.91,Positive,0.6954964995384216,Positive
"nuevo suscriptor .
😀",0.3612,Positive,0.1363636363636363,Positive,0.5171297788619995,Positive
"Es un alivio ver otra perspectiva de cine, que no sea la jodida versión de Hollywood del planeta. Saludos 🤗",0.8271,Positive,-0.3625,Negative,0.3191324770450592,Neutral
"Analizar la peli para ver nuestros egos que aparecen, como la arrogancia, valorando solo el éxito, los títulos, la crianza y apegos de la madre para sentirse considerada,  querida, haciendo todo por y para el hijo.  O sea vivir para los demás.  Finalmente, encontrar su centro, que es lo importante para ser feliz.  Para mi representó eso esta película.  Muy buena",0.9468,Positive,0.3146363636363636,Positive,0.6256349086761475,Positive
Como se llama la canción que canta la joven en el concierto,0.0,Neutral,0.0,Neutral,0.4689283668994903,Positive
Excelente,0.6249,Positive,0.8,Positive,0.7857319712638855,Positive
No uno bistuarios eso no es bueno 🙏 andan susios,-0.6492,Negative,-0.475,Negative,-0.4869944453239441,Negative
"Buena película ... Entretenida ... Gracias.
Rusia rural. ... Demasiado desolada para mí gusto",0.875,Positive,0.6,Positive,0.5710629820823669,Positive
"Muy buena la peli, pero no esperé hasta el 2023 para verla 😂.... excelente, me encantó, muchas gracias, es verdad, será la mejor del 2023 ❤❤❤",0.9945,Positive,0.792,Positive,0.568771243095398,Positive
"En la vida hay muchos obtaculos , un camino dificil con luchas , peleas, desacuerdos pero a pesar de todo nace el amor mas bonito entre 2 personas., linda pelicula me encanto.",0.9711,Positive,0.41875,Positive,0.6328763961791992,Positive
Me gustan mucho las peliculas rusas,0.4201,Positive,0.1,Positive,0.4520721435546875,Positive
República Dominicana me encantó muy buena,0.796,Positive,0.8049999999999999,Positive,0.8093159794807434,Positive
Súper linda,0.5413,Positive,0.25,Positive,0.7228206992149353,Positive
"por favor, de donde es la ´pelicula?",0.3182,Positive,0.0,Neutral,-0.3864916563034057,Negative
Muy hermosa pelicula.,0.6361,Positive,1.0,Positive,0.8291273713111877,Positive
Los felicito excelente película muchas gracias?,0.8555,Positive,0.63,Positive,0.6955459117889404,Positive
yo buscando peli de terror y me quedé enganchada con esta .. haha me encantooooo😊🍬,0.8481,Positive,0.4499999999999999,Positive,0.3722440004348755,Positive
Decir que es la mejor película del 2023 es mucho.,0.6369,Positive,1.0,Positive,0.8017882704734802,Positive
Muy buena peli 🌹 Gracias por subirla. Excelente calidad.,0.8687,Positive,0.7033333333333333,Positive,0.8551450967788696,Positive
"Qué buena película!
Sencillamente diferente a lo común...!!
La disfruté con mi esposa, de principio a fin!!
Buen guión, buen elenco  y buen argumento, ademas del excelente doblaje y calidad de la imagen. El esfuerzo que hacen se ve reflejado en ese tipo de resultados!
La recomendamos ampliamente!!
Gracias por subir material de ésta calidad...!!",0.9759,Positive,0.5197916666666667,Positive,0.674773633480072,Positive
Excelente,0.6249,Positive,0.8,Positive,0.7857319712638855,Positive
Una cagada...,-0.5574,Negative,-0.2,Negative,-0.5758246779441833,Negative
Nice!!!,0.5684,Positive,1.0,Positive,0.5041682124137878,Positive
"Excelente la película la disfrute muchísimo. Felicitaciones,  saludos desde Venezuela",0.9355,Positive,0.75,Positive,0.7713513374328613,Positive
"Una Historia Única Por Contar,🎹🎸
💝Mi Cantante Favorita 💓",0.9509,Positive,0.4375,Positive,0.7249420285224915,Positive
"Una película preciosa, llena de aventuras, divertida. Me encanta poder disfrutar de este maravilloso día, con su película. Un saludo desde España 🇪🇦",0.9755,Positive,0.5571428571428572,Positive,0.8623600006103516,Positive
"Muy buena película, la recomiendo",0.6901,Positive,0.91,Positive,0.7221423983573914,Positive
Que divertida y maravillosa película...sin duda la recomiendo.....me encatooooo!!!,0.9537,Positive,0.569140625,Positive,0.8691309690475464,Positive
Del 2023 ? Estamos en el futuro y no me di cuenta 😱,-0.2537,Negative,0.0,Neutral,-0.3320607841014862,Negative
La actriz se párese a jodí foster,0.3612,Positive,0.0,Neutral,0.2956924438476562,Neutral
Hahaha buena para relajarse y vaciar la cabeza.  Gracias por la película.,0.8885,Positive,0.25,Positive,0.4389114081859588,Positive
hay madre afetada a su hijo eso toxico deje los hijo vivir solo se una guia ya .,-0.3818,Negative,0.1363636363636363,Positive,-0.6824402809143066,Negative
Buenos días saludos desde Ixtlán del río Nayarit México muchas gracias por compartir estás películas,0.8824,Positive,0.48,Positive,0.6327357292175293,Positive
Que hermosa pelicula la recomiendo 😍,0.8555,Positive,0.85,Positive,0.7767054438591003,Positive
El muchacho sellama Sergey 🤣🤣🤣🤣,0.9153,Positive,0.0,Neutral,-0.2547639310359955,Negative
Medio mucho miedo chikos,-0.4927,Negative,0.2,Positive,-0.4235760271549225,Negative
"Que intensa la película, gracias por compartir✨ 💐",0.8074,Positive,0.2,Positive,0.446745216846466,Positive
Bastante meh,-0.1513,Negative,0.0,Neutral,0.4684149920940399,Positive
"Muy buena película, hace tiempo que no me he reído tanto, muchas gracias",0.4961,Positive,0.4549999999999999,Positive,0.7426871657371521,Positive
"Muy buena película, me sorprendió. Bonita canción también, cómo se llama? Me gustaría escucharla completa nuevamente",0.8553,Positive,0.5366666666666666,Positive,0.5597359538078308,Positive
Excelente pelicula,0.5719,Positive,1.0,Positive,0.7281915545463562,Positive
