Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Me gusto pero muy largo el video 😘💕😎✌️,0.9481,Positive,0.27499999999999997,Netural,0.6033563613891602,Positive
En todo,0.0,Neutral,0.0,Netural,0.5113561153411865,Positive
baylando,0.0,Neutral,0.0,Netural,0.2940702438354492,Netural
Jajaj la de empezar a limpiar para que se valla la gente la aplico mi mama y mi abuela,0.5574,Positive,0.2,Netural,0.3782668113708496,Positive
"El grito de Lucas 



Yo:
Carcacha poco a poquito ya vos a llegar jajajajajajaja",-0.4019,Negative,-0.1875,Negative,-0.38353046774864197,Negative
JAJAJA wey la cara de Mario en el min 18:45 😭✋,0.6633,Positive,0.2,Netural,-0.3090471923351288,Negative
"en todo 
=)
=)
=)",0.8625,Positive,0.5,Positive,0.5812574625015259,Positive
Viejos recuerdos 😔,0.0772,Positive,0.1,Netural,0.37184950709342957,Positive
"Se requiere copiaron de 100 argentinos dicen 😂😂😂😂 me encanta cuando fallan el ""maaaaa!!""😂😂😂 esta muy bueno😊😊 pero por favor no se copien más que miren que soy de argentina😐😐",0.9673,Positive,0.2821875,Netural,-0.43805554509162903,Negative
Son mas pacientes la mujeres,0.0,Neutral,0.5,Positive,-0.4118393659591675,Negative
"la mujer es mejor  cuidando  bebes   y a los morros menores,  y eso puesss la neta si somos asi  hahaha  en eso  somos mejores",0.9337,Positive,0.3,Netural,0.44651588797569275,Positive
Para mí Lupita es presumida,0.0,Neutral,0.0,Netural,0.3984968364238739,Positive
Ay si que si se valla la carrera,0.4019,Positive,0.0,Netural,-0.3055928647518158,Negative
Extraño estos video :(,-0.5423,Negative,-0.75,Negative,0.22714552283287048,Netural
las mujeres son mas inteligente,0.4588,Positive,0.0,Netural,-0.3398222029209137,Negative
LOS EXTRAÑO:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(:(,-0.3254,Negative,-0.75,Negative,-0.2475772351026535,Negative
"14:10
Mario: y la maldicion...
JSKSJSJSSJ LO AMO",0.347,Positive,0.5,Positive,-0.5689415335655212,Negative
Jajajaja,0.4215,Positive,0.8,Positive,0.2831229269504547,Netural
18:41 Señoraa,0.0,Neutral,0.0,Netural,-0.3453953266143799,Negative
Mario es MUY gracioso,0.5777,Positive,0.25,Netural,0.7251017093658447,Positive
18:48 ameee la cara de Mario cuando dijo pastel,0.6369,Positive,0.5,Positive,-0.5413751602172852,Negative
ame la parte de **vamos carrera es tuya** asento argentino,0.5994,Positive,0.7,Positive,-0.4642309248447418,Negative
⬇️like si crees que eran más graciosos los del ex team bada,0.6369,Positive,0.0,Netural,0.3282731771469116,Netural
Le copiaron 100 mexicanos digieron,0.0,Neutral,0.0,Netural,-0.6257011294364929,Negative
Hola soy un fan de ustedes,0.3182,Positive,0.0,Netural,0.5096294283866882,Positive
No Acapulco es una playa,0.0,Neutral,0.0,Netural,-0.5631712675094604,Negative
bob ross,0.0,Neutral,0.0,Netural,0.2828553318977356,Netural
ver mas colores,0.0,Neutral,0.5,Positive,0.34443265199661255,Positive
Ya los extraño,-0.1531,Negative,0.0,Netural,0.37868595123291016,Positive
"25:27 y 25:35
Mis partes favoritas XDD las repetí como 40 veces 😂😂😂😂",0.9442,Positive,0.5,Positive,0.6138948798179626,Positive
En el aseo te amo caro mario cellle dani buenoo atodos,0.743,Positive,-0.011111111111111108,Negative,-0.37320858240127563,Negative
Me encanta Carrera 🤩,0.6369,Positive,0.5,Positive,0.8439873456954956,Positive
"Like si te aburre cada vez que la moderadora dice ""ri"".",0.1027,Positive,-0.5,Negative,-0.40058958530426025,Negative
La que 500 que que.,0.0,Neutral,0.0,Netural,-0.2612355649471283,Negative
Cuando estaban los chidos,0.0,Neutral,0.0,Netural,-0.3207709789276123,Negative
en el minuto 22:47 dice kk,0.3612,Positive,0.0,Netural,-0.5387271046638489,Negative
Like si estás viendo éste video en pleno 2020 😫🤟 y en cuarentena,-0.1027,Negative,0.0,Netural,0.35202404856681824,Positive
La neta si Lupita y Dani me hubiera gustado que se llevarán mejor serian bien chidas,0.807,Positive,0.38875000000000004,Positive,0.3906666040420532,Positive
oso jajaj,0.4215,Positive,0.8,Positive,0.2856009602546692,Netural
Yo todavía viendo esto en 2020 Este año mucho este team,0.0,Neutral,0.0,Netural,0.640779972076416,Positive
Es normal amar tanto a Mario 😂❤,0.9062,Positive,0.2833333333333334,Netural,0.3321281373500824,Positive
Quien esté viendo este comentario que dios lo bendiga,0.5994,Positive,0.0,Netural,-0.3749500811100006,Negative
En todo las mujeres somos mejores que los hombres😏,0.4404,Positive,0.5,Positive,0.682252049446106,Positive
1:00:03 F por Mario 😂😂😂,0.8271,Positive,0.0,Netural,-0.3385758697986603,Negative
Pero si a mí me encanta el nopal,0.7783,Positive,0.5,Positive,0.4638940393924713,Positive
como que lupita es muy sadica no?,0.3612,Positive,0.24285714285714285,Netural,-0.5534383058547974,Negative
