Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
good,0.4404,Positive,0.7,Positive,0.4969631731510162,Positive
Really nice song,0.4754,Positive,0.6,Positive,0.6009480357170105,Positive
"FACT :-









U THINK I AM SAY SOME fact 😂😂😂noo",0.5994,Positive,0.0,Neutral,0.3535188734531402,Positive
"when i sing this i create ,y new langue",0.2732,Positive,0.1363636363636363,Neutral,0.6702954173088074,Positive
Despacito,0.0,Neutral,-0.3,Negative,-0.3526472151279449,Negative
Very helpful. thank you channel,0.707,Positive,0.2,Neutral,0.7674189209938049,Positive
Imi m place,0.3612,Positive,0.0,Neutral,0.2433755248785019,Neutral
1:44 everbody waiting,0.0,Neutral,0.0,Neutral,-0.3419258892536163,Negative
lol,0.4215,Positive,0.8,Positive,0.2506950199604034,Neutral
Wow it made me feel like just amazing,0.8779,Positive,0.35,Positive,0.9220814108848572,Positive
"I can only understand one word in this song ""DESPACITO"" 😄😄😄",0.9382,Positive,0.0,Neutral,-0.4283607006072998,Negative
This song is so good I love it,0.8483,Positive,0.6,Positive,0.781309962272644,Positive
Great music,0.6249,Positive,0.8,Positive,0.7271338105201721,Positive
"You know what I can sing the complete song without the lyrics 
Hope this will get me a job",-0.3412,Negative,0.1,Neutral,0.347969114780426,Positive
giọng của Đức Phúc nghe ấm và nhẹ nhàng nhưng vẫn đầy trầm tư nội lực!! Like this version!!,0.9025,Positive,0.2875,Neutral,0.3699524402618408,Positive
diễn xàm quá,-0.5563,Negative,-0.1875,Negative,0.2658271193504333,Neutral
One of my favourite songs 😁,0.4588,Positive,0.0,Neutral,0.8510521054267883,Positive
My friend is Spanish and I asked him what does despairs mean and he didn't want to say does anyone know what this means?,-0.1833,Negative,-0.15625,Negative,-0.3282055258750915,Negative
hi,0.0,Neutral,0.0,Neutral,0.2364865690469741,Neutral
отличная песня из россии,0.6249,Positive,0.8,Positive,0.4875098168849945,Positive
I  love.the song. So much make..a. new song.  about. babygirl 😄😄😄❤️,0.9382,Positive,0.1681818181818181,Neutral,0.7912501692771912,Positive
❤️❤️❤️❤️❤️❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
ah my favrote,0.4588,Positive,0.5,Positive,0.3521077334880829,Positive
mắc cười quá chọt lét dùm cái,0.1531,Positive,0.25,Neutral,-0.3125356435775757,Negative
Fun fact: every body have their won lyrics for this song 🤣,0.7579,Positive,0.4499999999999999,Positive,0.4832792282104492,Positive
this is my dads favrite song,0.4588,Positive,0.5,Positive,0.3989245593547821,Positive
Có được người chồng như thầy Lộc thì xác định sướng cả đời nhé. Chúc mừng 2 bạn nha!,0.8858,Positive,1.0,Positive,-0.2862841486930847,Negative
Like it.,0.3612,Positive,0.0,Neutral,0.4883127212524414,Positive
LMAO 🙂,0.8095,Positive,0.6,Positive,0.2518393695354461,Neutral
Ahhh rememberd 2017 and summer when my.friend was singing that all day 😅😅😅😅,0.8402,Positive,0.0,Neutral,0.2825811505317688,Neutral
iceice,0.0,Neutral,0.0,Neutral,0.2670835554599762,Neutral
I was singing the hole time,0.0,Neutral,0.0,Neutral,-0.3385130763053894,Negative
Great song Daddy Yankee. 😇🙏🏽👍🏽,0.7964,Positive,0.8,Positive,0.764884352684021,Positive
"I love this song, it gives me a good vibe. 😇",0.8779,Positive,0.6,Positive,0.5924148559570312,Positive
😇🙏🏽👍🏽,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
