Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you ❤️,0.8271,Positive,0.037037037037037,Positive,0.7419810891151428,Positive
"OMG Duc Phuc , i like your cover version. Love it !",0.7901,Positive,0.625,Positive,0.7902165651321411,Positive
"La mejor parte: cuando Maluma dice ""Colombia""",0.6369,Positive,1.0,Positive,0.3462876677513122,Positive
Love from iraq❤,0.8555,Positive,0.5,Positive,0.614985466003418,Positive
armenia🇦🇲🇦🇲🇦🇲🇦🇲🌺❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
Maluma😍,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
🥰😍😍😍😍🛣😍😍🛣🛣🥰,0.9856,Positive,0.0,Neutral,0.3085779249668121,Neutral
"I don’t even speak Spanish, yet I’ve memorized all the words, such a good song",0.4404,Positive,0.2333333333333333,Positive,0.6199809908866882,Positive
lendaaa,0.0,Neutral,0.0,Neutral,0.4110199511051178,Positive
Shakiraaaaa,0.0,Neutral,0.0,Neutral,-0.2828717529773712,Negative
2022 y todavia viendolo y escuchandolo,0.0,Neutral,0.0,Neutral,0.4754447340965271,Positive
2022,0.0,Neutral,0.0,Neutral,0.2900533974170685,Neutral
Lets see how many people listening this song today,0.0,Neutral,0.5,Positive,0.486242264509201,Positive
nomeguntAn los vomentarios,-0.2755,Negative,0.0,Neutral,-0.3425718247890472,Negative
👩‍❤️‍💋‍👩📞💞💛cC,0.7964,Positive,0.0,Neutral,0.3085779249668121,Neutral
