Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Full çektim,0.0,Neutral,0.35,Positive,0.3265288174152374,Neutral
Abi pandadan 9tane buldum süre bitti,0.0,Neutral,0.0,Neutral,-0.3336201310157776,Negative
10. Soruda iki tane n var,0.0,Neutral,0.0,Neutral,0.2656142115592956,Neutral
Hepsini,0.0,Neutral,0.0,Neutral,-0.261006623506546,Negative
Ben,0.0,Neutral,0.0,Neutral,0.3073336184024811,Neutral
3,0.0,Neutral,0.0,Neutral,0.3165130615234375,Neutral
2+2.      Abi             Ka.  10000+55000,0.0,Neutral,0.0,Neutral,-0.2379315495491027,Negative
Şu içer inekler,0.0,Neutral,0.0,Neutral,0.3044354319572449,Neutral
abi n'li soruda 2tane n var,0.0,Neutral,0.0,Neutral,-0.320696622133255,Negative
Ben de buldum,0.0,Neutral,0.0,Neutral,0.3382212221622467,Positive
Su,0.0,Neutral,0.0,Neutral,0.2875660955905914,Neutral
hepsini   doruyaptık    2yanlışımızvar😝🤔🧿♥♥♥♥♥♥♥♥♥♥♥,0.9935,Positive,0.2857142857142857,Positive,-0.322702944278717,Negative
E Yİ BUL  EEE,0.0,Neutral,0.0,Neutral,-0.2442160695791244,Negative
👋🏻 çak,0.4939,Positive,0.0,Neutral,0.2788998484611511,Neutral
Hep aynı çıktı sadece bitene fazla bildim,0.0,Neutral,0.1,Positive,-0.5293189883232117,Negative
Abi m lerin arasında 2 tane n var,0.0,Neutral,0.0,Neutral,0.288713276386261,Neutral
9,0.0,Neutral,0.0,Neutral,0.3628028631210327,Positive
92,0.0,Neutral,0.0,Neutral,0.250671237707138,Neutral
Abi o meyveli soruda kokonat 1 çün ki çıkarken 2 kokonat var kokonat,0.0,Neutral,0.0,Neutral,-0.286582738161087,Negative
Abi Orada 4 tane muz var Ama Sorulan Yerde 3 Tane Var. Hindistan cevizi nde de orada iki tane var ama toplama yerinde bir tane var,0.0,Neutral,0.0,Neutral,-0.354700356721878,Negative
Ben süt dedim,0.0,Neutral,0.0,Neutral,0.3433096408843994,Positive
2022 de izleyenler,0.0,Neutral,0.0,Neutral,0.3600542843341827,Positive
Dikiliş yalan söylüyor sen de yalan söylüyorsun hepsini Teker teker saydı 30 ediyor,-0.7783,Negative,0.0,Neutral,-0.662632405757904,Negative
"Abi
Katılıyomsana",0.3612,Positive,0.0,Neutral,0.2694779634475708,Neutral
Sen,0.0,Neutral,0.0,Neutral,0.2578147649765014,Neutral
Aylin benim arkadaşımın ismidir,0.0,Neutral,0.0,Neutral,0.5229936838150024,Positive
bende sana katılıyorum Enes abi MEYVE SORUSUNDA,0.3612,Positive,0.0,Neutral,0.2588971257209778,Neutral
Ilk önce 4 yani 3 sofraya su ondan çıkardığın zaman ondan ondan onu buluyor zaman acaba çok bulursun veya bulduğun cevaplı ütü çıkarıyorsun,0.0,Neutral,0.25,Positive,-0.4904455542564392,Negative
ben panda sorusunda dokuz buldum pandanın içindekini görememişim,0.0,Neutral,0.0,Neutral,-0.5025319457054138,Negative
sen haklısın Enes abi ağaçtada bir insan var,0.0,Neutral,0.1428571428571428,Positive,-0.6445723176002502,Negative
Ben  hepsini   doğru    yaptım   7 yaşında  olduğuma    rağmen,0.0,Neutral,0.1928571428571428,Positive,-0.3598235547542572,Negative
14,0.0,Neutral,0.0,Neutral,0.3044871091842651,Neutral
3,0.0,Neutral,0.0,Neutral,0.3165130615234375,Neutral
50000000,0.0,Neutral,0.0,Neutral,0.2682741582393646,Neutral
Bir tane daha N vardı,0.0,Neutral,0.5,Positive,0.2901193499565124,Neutral
Bulduuuuuuuuuuum,0.0,Neutral,0.0,Neutral,0.2786805331707001,Neutral
60,0.0,Neutral,0.0,Neutral,0.2425734400749206,Neutral
10,0.0,Neutral,0.0,Neutral,0.6210669875144958,Positive
8,0.0,Neutral,0.0,Neutral,0.3862052261829376,Positive
