Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"mark plays a horror game
yotube: HM YeS tHiS Is fNaF",-0.0,Neutral,-0.4,Negative,-0.443550169467926,Negative
"Ah yes, FNAF",0.4019,Positive,0.0,Netural,0.36921343207359314,Positive
9:06 me when i stub my toe on my table,0.0,Neutral,0.0,Netural,-0.46174055337905884,Negative
“8E2A14”,0.0,Neutral,0.0,Netural,0.34130728244781494,Positive
upside down face is amongus,0.0,Neutral,-0.15555555555555559,Negative,-0.4253573715686798,Negative
Refusing to help isn't a crime lol,0.1326,Positive,0.8,Positive,-0.6460607647895813,Negative
Why is it that everyone I watch play these kinds of games always go “hurhur yeah I trust the option that clearly is meant to be a threat” first lol,0.9081,Positive,0.38333333333333336,Positive,-0.34017038345336914,Negative
Can I get a Marki hug?,0.4767,Positive,0.0,Netural,0.2925078868865967,Netural
I’m not gone lie markiplier was pissing me off trusting everything,0.0,Neutral,0.0,Netural,-0.6714572906494141,Negative
"9:18
   ""E""",0.0,Neutral,0.0,Netural,0.2389126718044281,Netural
7:19 theres split second frames of an old painting i think it might be one of saturn (the god),0.2732,Positive,0.05,Netural,-0.3097808063030243,Negative
9:37 add E T,0.0,Neutral,0.0,Netural,-0.29123449325561523,Negative
"The first guy that showed up was a stock photo my class used for a creative writing project. We all named him Craig! Also based on his description, you should probably avoid him since he's killed 72 people according to my class lol",-0.3164,Negative,0.36875,Positive,-0.3509431779384613,Negative
è una minaccia amico mio,-0.0516,Negative,0.0,Netural,-0.6529800891876221,Negative
I really love mark as a person from my parasocial point of view.,0.6697,Positive,0.5,Positive,0.6867607235908508,Positive
"Any time I see the photos all I can think is 

CRIMINAL
CRIMINAL
CRIMINAL",-0.9246,Negative,-0.4000000000000001,Negative,-0.829072117805481,Negative
"This is my first markiplier video in years to see if hes changed for the better and god, still failing to play games just for content. Anoying as hell",-0.6369,Negative,-0.01666666666666668,Negative,-0.5775248408317566,Negative
every very good boy feels much anger for kind very funny children,0.7258,Positive,0.28375,Netural,0.4494529664516449,Positive
"“Every good boy feels much anger for kind very funny children”
*yes*",0.8297,Positive,0.23125,Netural,0.27936533093452454,Netural
one of the threats looks like a friend that ghosted me after over a decade of friendship so i have to agree Big Threat,0.5994,Positive,0.0,Netural,-0.3239162564277649,Negative
refusing to cooperate is not a crime. That was fucking dumb of the officer.,-0.5335,Negative,-0.375,Negative,-0.8065369725227356,Negative
What if u get them all wrong?,-0.4767,Negative,-0.5,Negative,-0.6370201706886292,Negative
"Take a look at my video👀, you might find what you're looking for🎉",0.4019,Positive,0.0,Netural,0.31887051463127136,Netural
"markiplier : *play scary game 
youtube : i'm gonna put FNAF in this",-0.2023,Negative,-0.45,Negative,-0.3254200220108032,Negative
"I think more pieces of the puzzle will be revealed on April 23rd, because there was an update march 8th and if you played before that update it would say a letter would come on march 8th.",0.34,Positive,0.5,Positive,-0.3206155002117157,Negative
8E2A14,0.0,Neutral,0.0,Netural,0.3161740303039551,Netural
"Every 
very 
good 
boy 
feels 
much 
anger 
for 
kind 
very 
funny 
children",0.7258,Positive,0.28375,Netural,0.4494529664516449,Positive
"I would press trust for the photos that look unusual, but press threat for the normal ones. I wonder if that would do anything",-0.5346,Negative,0.175,Netural,0.4710552394390106,Positive
11:13 uhhhh-,0.0,Neutral,0.0,Netural,0.31279096007347107,Netural
"When an alternate is downstairs but then I remember my dog’s still downstairs:

“GTFO MY HOUSE BITCH”",0.0,Neutral,0.0,Netural,0.32314616441726685,Netural
Who else was frustrated that he was only pressing ‘trust’,-0.5267,Negative,-0.35,Negative,-0.3141302466392517,Negative
8E2A14,0.0,Neutral,0.0,Netural,0.3161740303039551,Netural
EAT OF 87???,0.0,Neutral,0.0,Netural,-0.554997444152832,Negative
Markiplier: *Does a trust threat game* What he presses on 90% of the time: *trust*,0.4939,Positive,-0.4,Negative,0.22065870463848114,Netural
я не знаю англиский,0.0,Neutral,0.0,Netural,-0.38941529393196106,Negative
"4:57 in my opinion, this gotta be the most trustworthy guy in the survey. I would trust him with my life.",0.8016,Positive,0.5,Positive,0.4803336262702942,Positive
I stg if anything happens on April 23rd at 10:04 am 💀,0.0,Neutral,0.0,Netural,-0.5845145583152771,Negative
9:03 exe files be like:,0.3612,Positive,0.0,Netural,0.3115464746952057,Netural
Mark: man I’m tired of gaming 😴 ima go to space,-0.4404,Negative,-0.4,Negative,-0.4429376721382141,Negative
Mark sounds like kermit the frog from the Muppets show 5:27,0.3612,Positive,0.0,Netural,0.2266445755958557,Netural
I played this and I got a different ending.,0.34,Positive,0.0,Netural,0.4184775650501251,Positive
every very good boy feels much anger for kind very funny children,0.7258,Positive,0.28375,Netural,0.4494529664516449,Positive
"Hi i just started watching,my friend showed me ur channel!!!!",0.6562,Positive,0.0,Netural,-0.41010522842407227,Negative
Bro it says it’s fnaf on the bit that should say what the game is,0.0,Neutral,-0.4,Negative,-0.34629473090171814,Negative
every very good boy feels much anger for kind very funny children,0.7258,Positive,0.28375,Netural,0.4494529664516449,Positive
8E2A14 ⁸è²á¹⁴ [8[E[2[A[1[4),0.0,Neutral,0.0,Netural,0.2555307447910309,Netural
Why do I feel like he’s played this game before-,0.5994,Positive,-0.4,Negative,-0.2122112661600113,Negative
That thumbnail scared the hell out of me,-0.8176,Negative,0.0,Netural,-0.5418704152107239,Negative
"Normal people: let's write this down
Mark: EVERY VERY GOOD BOY-",0.6867,Positive,0.30148148148148146,Netural,0.2318623661994934,Netural
"Even though you own a computer, you can still write things on a piece of paper if you want.",0.0772,Positive,0.6,Positive,0.38282543420791626,Positive
8e2a14,0.0,Neutral,0.0,Netural,0.3161740303039551,Netural
IS IT ME OR WAS MARKS FACE MOVING WEIRD AT THE VERY BEGINNING??????,-0.3939,Negative,-0.15,Negative,-0.3834278881549835,Negative
that upsidedown face kinda looks like an AMOGUS,0.3008,Positive,0.0,Netural,0.4876638352870941,Positive
8:16 OH HELL NO IM OUT *DRIVES AWAY*,-0.8506,Negative,0.0,Netural,-0.7931180596351624,Negative
Noice,0.0,Neutral,0.0,Netural,-0.32814738154411316,Negative
"Every
Very
Good
Boy
Feels
Much
Anger
For
Kind
Very
Funny
Children",0.7258,Positive,0.28375,Netural,0.4494529664516449,Positive
funny how i watch these videos while playing Animal Crossing😭,0.1531,Positive,0.25,Netural,0.5642121434211731,Positive
Threat he just Asian 😭,-0.7579,Negative,0.0,Netural,-0.5428407788276672,Negative
Havent been watching this channel for awhile and what a mistake that was! Thanks for helping me go through everything,0.4574,Positive,0.2,Netural,0.7171700596809387,Positive
pls give me a ocules cuest 2,0.0772,Positive,0.0,Netural,0.23662345111370087,Netural
6:31 That picture...that place...it came in my dream. Lol,0.5859,Positive,0.8,Positive,0.4398382306098938,Positive
"20:22 I think because his right eye is completely black, I think that's supposed to be the give away.",0.0,Neutral,0.05952380952380952,Netural,-0.330982506275177,Negative
"I think you could hear by the beeps whether your answer was right or not, not sure though. Okay he realized it.",0.0118,Neutral,0.17857142857142858,Netural,0.7308868169784546,Positive
